logz,logdust,logNpix,logage,lnprob,N_walkers
-0.1209,-1.9567,2.0038,9.5994,-5290.7621,32
-0.1209,-1.9567,2.0038,9.5994,-5290.7621,32
-0.1209,-1.9567,2.0038,9.5994,-5290.7621,32
-0.1209,-1.9567,2.0038,9.5994,-5290.7621,32
-0.1209,-1.9567,2.0038,9.5994,-5290.7621,32
-0.1209,-1.9567,2.0038,9.5994,-5290.7621,32
-0.1002,-1.9144,2.0279,9.6203,-4490.5361,32
-0.1002,-1.9144,2.0279,9.6203,-4490.5361,32
-0.1002,-1.9144,2.0279,9.6203,-4490.5361,32
-0.1002,-1.9144,2.0279,9.6203,-4490.5361,32
-0.1421,-1.9632,2.0163,9.6140,-2329.3688,32
-0.1542,-1.9511,2.0275,9.6106,-1177.1053,32
-0.1729,-1.9757,2.0244,9.6150,-819.8740,32
-0.1729,-1.9757,2.0244,9.6150,-819.8740,32
-0.1729,-1.9757,2.0244,9.6150,-819.8740,32
-0.1729,-1.9757,2.0244,9.6150,-819.8740,32
-0.1729,-1.9757,2.0244,9.6150,-819.8740,32
-0.1729,-1.9757,2.0244,9.6150,-819.8740,32
-0.1738,-1.9771,2.0247,9.6158,-783.3017,32
-0.1738,-1.9771,2.0247,9.6158,-783.3017,32
-0.1738,-1.9771,2.0247,9.6158,-783.3017,32
-0.1738,-1.9771,2.0247,9.6158,-783.3017,32
-0.1738,-1.9771,2.0247,9.6158,-783.3017,32
-0.1673,-2.0510,2.0241,9.6010,-778.0348,32
-0.1673,-2.0510,2.0241,9.6010,-778.0348,32
-0.1673,-2.0510,2.0241,9.6010,-778.0348,32
-0.1673,-2.0510,2.0241,9.6010,-778.0348,32
-0.1673,-2.0510,2.0241,9.6010,-778.0348,32
-0.1673,-2.0510,2.0241,9.6010,-778.0348,32
-0.1673,-2.0510,2.0241,9.6010,-778.0348,32
-0.1673,-2.0510,2.0241,9.6010,-778.0348,32
-0.1673,-2.0510,2.0241,9.6010,-778.0348,32
-0.1673,-2.0510,2.0241,9.6010,-778.0348,32
-0.1673,-2.0510,2.0241,9.6010,-778.0348,32
-0.1673,-2.0510,2.0241,9.6010,-778.0348,32
-0.1673,-2.0510,2.0241,9.6010,-778.0348,32
-0.1673,-2.0510,2.0241,9.6010,-778.0348,32
-0.1673,-2.0510,2.0241,9.6010,-778.0348,32
-0.1673,-2.0510,2.0241,9.6010,-778.0348,32
-0.1673,-2.0510,2.0241,9.6010,-778.0348,32
-0.1673,-2.0510,2.0241,9.6010,-778.0348,32
-0.1673,-2.0510,2.0241,9.6010,-778.0348,32
-0.1673,-2.0510,2.0241,9.6010,-778.0348,32
-0.1673,-2.0510,2.0241,9.6010,-778.0348,32
-0.1673,-2.0510,2.0241,9.6010,-778.0348,32
-0.1673,-2.0510,2.0241,9.6010,-778.0348,32
-0.1673,-2.0510,2.0241,9.6010,-778.0348,32
-0.1673,-2.0510,2.0241,9.6010,-778.0348,32
-0.1673,-2.0510,2.0241,9.6010,-778.0348,32
-0.1673,-2.0510,2.0241,9.6010,-778.0348,32
-0.1673,-2.0510,2.0241,9.6010,-778.0348,32
-0.1673,-2.0510,2.0241,9.6010,-778.0348,32
-0.1673,-2.0510,2.0241,9.6010,-778.0348,32
-0.1741,-2.0298,2.0201,9.5953,-763.3974,32
-0.1774,-2.0254,2.0194,9.5926,-753.5376,32
-0.1774,-2.0254,2.0194,9.5926,-753.5376,32
-0.1774,-2.0254,2.0194,9.5926,-753.5376,32
-0.1774,-2.0254,2.0194,9.5926,-753.5376,32
-0.1774,-2.0254,2.0194,9.5926,-753.5376,32
-0.1774,-2.0254,2.0194,9.5926,-753.5376,32
-0.1788,-2.0213,2.0194,9.5921,-751.0398,32
-0.1788,-2.0213,2.0194,9.5921,-751.0398,32
-0.1788,-2.0213,2.0194,9.5921,-751.0398,32
-0.1788,-2.0213,2.0194,9.5921,-751.0398,32
-0.1788,-2.0213,2.0194,9.5921,-751.0398,32
-0.1788,-2.0213,2.0194,9.5921,-751.0398,32
-0.1788,-2.0213,2.0194,9.5921,-751.0398,32
-0.1788,-2.0213,2.0194,9.5921,-751.0398,32
-0.1788,-2.0213,2.0194,9.5921,-751.0398,32
-0.1788,-2.0213,2.0194,9.5921,-751.0398,32
-0.1788,-2.0213,2.0194,9.5921,-751.0398,32
-0.1788,-2.0213,2.0194,9.5921,-751.0398,32
-0.1797,-2.0190,2.0191,9.5916,-742.0274,32
-0.1797,-2.0190,2.0191,9.5916,-742.0274,32
-0.1797,-2.0190,2.0191,9.5916,-742.0274,32
-0.1797,-2.0190,2.0191,9.5916,-742.0274,32
-0.1797,-2.0190,2.0191,9.5916,-742.0274,32
-0.1797,-2.0190,2.0191,9.5916,-742.0274,32
-0.1797,-2.0190,2.0191,9.5916,-742.0274,32
-0.1797,-2.0190,2.0191,9.5916,-742.0274,32
-0.1797,-2.0190,2.0191,9.5916,-742.0274,32
-0.1797,-2.0190,2.0191,9.5916,-742.0274,32
-0.1797,-2.0190,2.0191,9.5916,-742.0274,32
-0.1797,-2.0190,2.0191,9.5916,-742.0274,32
-0.1797,-2.0190,2.0191,9.5916,-742.0274,32
-0.1797,-2.0190,2.0191,9.5916,-742.0274,32
-0.1797,-2.0190,2.0191,9.5916,-742.0274,32
-0.1797,-2.0190,2.0191,9.5916,-742.0274,32
-0.1797,-2.0190,2.0191,9.5916,-742.0274,32
-0.1797,-2.0190,2.0191,9.5916,-742.0274,32
-0.1797,-2.0190,2.0191,9.5916,-742.0274,32
-0.1797,-2.0190,2.0191,9.5916,-742.0274,32
-0.1797,-2.0190,2.0191,9.5916,-742.0274,32
-0.1797,-2.0190,2.0191,9.5916,-742.0274,32
-0.1797,-2.0190,2.0191,9.5916,-742.0274,32
-0.1797,-2.0190,2.0191,9.5916,-742.0274,32
-0.1797,-2.0190,2.0191,9.5916,-742.0274,32
-0.1797,-2.0190,2.0191,9.5916,-742.0274,32
-0.1797,-2.0190,2.0191,9.5916,-742.0274,32
-0.1797,-2.0190,2.0191,9.5916,-742.0274,32
-0.3422,-1.8480,1.9709,9.5867,-6983.6618,32
-0.3422,-1.8480,1.9709,9.5867,-6983.6618,32
-0.3422,-1.8480,1.9709,9.5867,-6983.6618,32
-0.3422,-1.8480,1.9709,9.5867,-6983.6618,32
-0.3422,-1.8480,1.9709,9.5867,-6983.6618,32
-0.3395,-1.8493,1.9719,9.5868,-6641.9699,32
-0.3395,-1.8493,1.9719,9.5868,-6641.9699,32
-0.3395,-1.8493,1.9719,9.5868,-6641.9699,32
-0.3395,-1.8493,1.9719,9.5868,-6641.9699,32
-0.3395,-1.8493,1.9719,9.5868,-6641.9699,32
-0.3395,-1.8493,1.9719,9.5868,-6641.9699,32
-0.3395,-1.8493,1.9719,9.5868,-6641.9699,32
-0.3395,-1.8493,1.9719,9.5868,-6641.9699,32
-0.3271,-1.8546,1.9762,9.5874,-5668.2096,32
-0.3158,-1.9127,1.9833,9.5992,-5540.4800,32
