logz,logdust,logNpix,logage,lnprob,N_walkers
-0.6280,-2.7071,2.8417,8.3599,-70839.0818,20
-0.6692,-2.8061,2.7262,8.2890,-68730.4232,20
-0.6692,-2.8061,2.7262,8.2890,-68730.4232,20
-0.6692,-2.8061,2.7262,8.2890,-68730.4232,20
-0.7410,-2.9785,2.5251,8.1654,-62702.8869,20
-0.7998,-3.1196,2.3605,8.0643,-57192.9232,20
-0.8683,-3.2839,2.1687,7.9465,-53368.8319,20
-0.8683,-3.2839,2.1687,7.9465,-53368.8319,20
-0.8683,-3.2839,2.1687,7.9465,-53368.8319,20
-0.8683,-3.2839,2.1687,7.9465,-53368.8319,20
-0.8683,-3.2839,2.1687,7.9465,-53368.8319,20
-1.3566,-4.4559,0.8015,7.1066,-51589.4658,20
-1.3566,-4.4559,0.8015,7.1066,-51589.4658,20
-1.3974,-4.5537,0.6874,7.0365,-50674.7038,20
-1.6410,-5.1383,0.0053,6.6176,-41540.1671,20
-1.6410,-5.1383,0.0053,6.6176,-41540.1671,20
-1.6410,-5.1383,0.0053,6.6176,-41540.1671,20
-1.6410,-5.1383,0.0053,6.6176,-41540.1671,20
-1.6410,-5.1383,0.0053,6.6176,-41540.1671,20
-1.6410,-5.1383,0.0053,6.6176,-41540.1671,20
-1.7000,-5.2799,-0.1599,6.5161,-40090.6053,20
-1.6825,-5.2381,-0.1111,6.5460,-39762.1582,20
-1.6825,-5.2381,-0.1111,6.5460,-39762.1582,20
-1.6825,-5.2381,-0.1111,6.5460,-39762.1582,20
-1.9869,-5.9686,-0.9633,6.0225,-32165.4723,20
-1.9869,-5.9686,-0.9633,6.0225,-32165.4723,20
-1.9869,-5.9686,-0.9633,6.0225,-32165.4723,20
-1.9779,-5.9470,-0.9382,6.0380,-30076.7382,20
-1.9779,-5.9470,-0.9382,6.0380,-30076.7382,20
-1.9779,-5.9470,-0.9382,6.0380,-30076.7382,20
-1.9921,-5.9810,-0.9779,6.0136,-30078.4840,20
-1.9921,-5.9810,-0.9779,6.0136,-30078.4840,20
-1.9921,-5.9810,-0.9779,6.0136,-30078.4840,20
-1.9921,-5.9810,-0.9779,6.0136,-30078.4840,20
-1.9921,-5.9810,-0.9779,6.0136,-30078.4840,20
-1.9921,-5.9810,-0.9779,6.0136,-30078.4840,20
-1.9921,-5.9810,-0.9779,6.0136,-30078.4840,20
-1.9921,-5.9810,-0.9779,6.0136,-30078.4840,20
-1.9921,-5.9810,-0.9779,6.0136,-30078.4840,20
-1.9921,-5.9810,-0.9779,6.0136,-30078.4840,20
-1.9921,-5.9810,-0.9779,6.0136,-30078.4840,20
-1.9921,-5.9810,-0.9779,6.0136,-30078.4840,20
-1.9921,-5.9810,-0.9779,6.0136,-30078.4840,20
-1.9921,-5.9810,-0.9779,6.0136,-30078.4840,20
-1.9921,-5.9810,-0.9779,6.0136,-30078.4840,20
-1.9921,-5.9810,-0.9779,6.0136,-30078.4840,20
-1.9921,-5.9810,-0.9779,6.0136,-30078.4840,20
-1.9921,-5.9810,-0.9779,6.0136,-30078.4840,20
-1.9921,-5.9810,-0.9779,6.0136,-30078.4840,20
-1.9912,-5.9788,-0.9753,6.0152,-29871.0357,20
-1.9912,-5.9788,-0.9753,6.0152,-29871.0357,20
-1.9912,-5.9788,-0.9753,6.0152,-29871.0357,20
-1.9912,-5.9788,-0.9753,6.0152,-29871.0357,20
-1.9912,-5.9788,-0.9753,6.0152,-29871.0357,20
-1.9912,-5.9788,-0.9753,6.0152,-29871.0357,20
-1.9912,-5.9788,-0.9753,6.0152,-29871.0357,20
-1.9912,-5.9788,-0.9753,6.0152,-29871.0357,20
-1.9912,-5.9788,-0.9753,6.0152,-29871.0357,20
-1.9912,-5.9788,-0.9753,6.0152,-29871.0357,20
-1.9914,-5.9793,-0.9759,6.0148,-29753.9302,20
-1.9914,-5.9793,-0.9759,6.0148,-29753.9302,20
-1.9914,-5.9793,-0.9759,6.0148,-29753.9302,20
-1.9914,-5.9793,-0.9759,6.0148,-29753.9302,20
-1.9914,-5.9793,-0.9759,6.0148,-29753.9302,20
-1.9914,-5.9793,-0.9759,6.0148,-29753.9302,20
-1.9842,-5.9620,-0.9557,6.0272,-29321.0425,20
-1.9842,-5.9620,-0.9557,6.0272,-29321.0425,20
-1.9842,-5.9620,-0.9557,6.0272,-29321.0425,20
-1.9842,-5.9620,-0.9557,6.0272,-29321.0425,20
-1.9842,-5.9620,-0.9557,6.0272,-29321.0425,20
-1.9842,-5.9620,-0.9557,6.0272,-29321.0425,20
-1.9842,-5.9620,-0.9557,6.0272,-29321.0425,20
-1.9842,-5.9620,-0.9557,6.0272,-29321.0425,20
-1.9842,-5.9620,-0.9557,6.0272,-29321.0425,20
-1.9837,-5.9608,-0.9543,6.0281,-28659.8015,20
-1.9837,-5.9608,-0.9543,6.0281,-28659.8015,20
