GPU acceleration enabled
Loading Setup File: setup_files/dynamic_1.py
using given n: 0
Starting SourceModule Code
Getting function
Past the SourceModule code
CUDAC Available
Running Nested Sampling
-initializing models
-Running dynesty dynamic sampler
iter: 1 | batch: 0 | bound: 0 | nc: 1 | ncall: 1 | eff(%):  3.226 | logz: -217957.013 +/-  0.368 | dlogz:    inf >  5.000 
iter: 2 | batch: 0 | bound: 0 | nc: 1 | ncall: 2 | eff(%):  6.250 | logz: -160322.636 +/-  0.369 | dlogz: 185536.258 >  5.000 
iter: 3 | batch: 0 | bound: 0 | nc: 2 | ncall: 4 | eff(%):  8.824 | logz: -155672.659 +/-  0.371 | dlogz: 127901.849 >  5.000 
iter: 4 | batch: 0 | bound: 0 | nc: 1 | ncall: 5 | eff(%): 11.429 | logz: -152080.366 +/-  0.372 | dlogz: 123251.838 >  5.000 
iter: 5 | batch: 0 | bound: 0 | nc: 1 | ncall: 6 | eff(%): 13.889 | logz: -148323.977 +/-  0.374 | dlogz: 119659.513 >  5.000 
iter: 6 | batch: 0 | bound: 0 | nc: 3 | ncall: 9 | eff(%): 15.385 | logz: -146599.133 +/-  0.375 | dlogz: 115903.091 >  5.000 
iter: 7 | batch: 0 | bound: 0 | nc: 1 | ncall: 10 | eff(%): 17.500 | logz: -142882.535 +/-  0.377 | dlogz: 114178.214 >  5.000 
iter: 8 | batch: 0 | bound: 0 | nc: 1 | ncall: 11 | eff(%): 19.512 | logz: -141618.020 +/-  0.378 | dlogz: 110461.583 >  5.000 
iter: 9 | batch: 0 | bound: 0 | nc: 1 | ncall: 12 | eff(%): 21.429 | logz: -141183.171 +/-  0.379 | dlogz: 109197.035 >  5.000 
iter: 10 | batch: 0 | bound: 0 | nc: 2 | ncall: 14 | eff(%): 22.727 | logz: -140062.701 +/-  0.381 | dlogz: 108762.154 >  5.000 
iter: 11 | batch: 0 | bound: 0 | nc: 5 | ncall: 19 | eff(%): 22.449 | logz: -136910.510 +/-  0.382 | dlogz: 107641.651 >  5.000 
iter: 12 | batch: 0 | bound: 0 | nc: 1 | ncall: 20 | eff(%): 24.000 | logz: -135239.489 +/-  0.384 | dlogz: 104489.427 >  5.000 
iter: 13 | batch: 0 | bound: 0 | nc: 2 | ncall: 22 | eff(%): 25.000 | logz: -135137.846 +/-  0.385 | dlogz: 102818.373 >  5.000 
iter: 14 | batch: 0 | bound: 0 | nc: 1 | ncall: 23 | eff(%): 26.415 | logz: -134336.280 +/-  0.386 | dlogz: 102716.698 >  5.000 
iter: 15 | batch: 0 | bound: 0 | nc: 1 | ncall: 24 | eff(%): 27.778 | logz: -133096.686 +/-  0.388 | dlogz: 101915.098 >  5.000 
iter: 16 | batch: 0 | bound: 0 | nc: 1 | ncall: 25 | eff(%): 29.091 | logz: -133091.179 +/-  0.387 | dlogz: 100675.472 >  5.000 
iter: 17 | batch: 0 | bound: 0 | nc: 1 | ncall: 26 | eff(%): 30.357 | logz: -132448.001 +/-  0.391 | dlogz: 100669.932 >  5.000 
iter: 18 | batch: 0 | bound: 0 | nc: 3 | ncall: 29 | eff(%): 30.508 | logz: -131700.440 +/-  0.392 | dlogz: 100026.721 >  5.000 
iter: 19 | batch: 0 | bound: 0 | nc: 1 | ncall: 30 | eff(%): 31.667 | logz: -131426.183 +/-  0.393 | dlogz: 99279.127 >  5.000 
iter: 20 | batch: 0 | bound: 0 | nc: 3 | ncall: 33 | eff(%): 31.746 | logz: -130739.884 +/-  0.395 | dlogz: 99004.838 >  5.000 
iter: 21 | batch: 0 | bound: 0 | nc: 4 | ncall: 37 | eff(%): 31.343 | logz: -130445.574 +/-  0.396 | dlogz: 98318.506 >  5.000 
iter: 22 | batch: 0 | bound: 0 | nc: 3 | ncall: 40 | eff(%): 31.429 | logz: -130375.806 +/-  0.397 | dlogz: 98024.163 >  5.000 
iter: 23 | batch: 0 | bound: 0 | nc: 1 | ncall: 41 | eff(%): 32.394 | logz: -130257.170 +/-  0.399 | dlogz: 97954.362 >  5.000 
iter: 24 | batch: 0 | bound: 0 | nc: 1 | ncall: 42 | eff(%): 33.333 | logz: -129515.273 +/-  0.400 | dlogz: 97835.694 >  5.000 
iter: 25 | batch: 0 | bound: 0 | nc: 1 | ncall: 43 | eff(%): 34.247 | logz: -128605.074 +/-  0.401 | dlogz: 97093.764 >  5.000 
iter: 26 | batch: 0 | bound: 0 | nc: 6 | ncall: 49 | eff(%): 32.911 | logz: -128477.145 +/-  0.403 | dlogz: 115623.670 >  5.000 
iter: 27 | batch: 0 | bound: 0 | nc: 3 | ncall: 52 | eff(%): 32.927 | logz: -127290.384 +/-  0.404 | dlogz: 115495.708 >  5.000 
