GPU acceleration enabled
Loading Setup File: setup_files/dynamic_1.py
using given n: 0
Starting SourceModule Code
Getting function
Past the SourceModule code
CUDAC Available
Running Nested Sampling
-initializing models
-Running dynesty dynamic sampler
iter: 1 | batch: 0 | bound: 0 | nc: 1 | ncall: 1 | eff(%):  3.226 | logz: -218450.653 +/-  0.368 | dlogz:    inf > 10.000 
iter: 2 | batch: 0 | bound: 0 | nc: 1 | ncall: 2 | eff(%):  6.250 | logz: -159813.005 +/-  0.369 | dlogz: 183237.959 > 10.000 
iter: 3 | batch: 0 | bound: 0 | nc: 2 | ncall: 4 | eff(%):  8.824 | logz: -154415.864 +/-  0.371 | dlogz: 124600.277 > 10.000 
iter: 4 | batch: 0 | bound: 0 | nc: 1 | ncall: 5 | eff(%): 11.429 | logz: -152585.868 +/-  0.372 | dlogz: 119203.104 > 10.000 
iter: 5 | batch: 0 | bound: 0 | nc: 1 | ncall: 6 | eff(%): 13.889 | logz: -149295.227 +/-  0.374 | dlogz: 117373.075 > 10.000 
iter: 6 | batch: 0 | bound: 0 | nc: 3 | ncall: 9 | eff(%): 15.385 | logz: -146599.926 +/-  0.375 | dlogz: 114082.401 > 10.000 
iter: 7 | batch: 0 | bound: 0 | nc: 1 | ncall: 10 | eff(%): 17.500 | logz: -142515.569 +/-  0.377 | dlogz: 111387.067 > 10.000 
iter: 8 | batch: 0 | bound: 0 | nc: 1 | ncall: 11 | eff(%): 19.512 | logz: -142185.259 +/-  0.378 | dlogz: 107302.678 > 10.000 
iter: 9 | batch: 0 | bound: 0 | nc: 1 | ncall: 12 | eff(%): 21.429 | logz: -140775.884 +/-  0.379 | dlogz: 106972.335 > 10.000 
iter: 10 | batch: 0 | bound: 0 | nc: 2 | ncall: 14 | eff(%): 22.727 | logz: -139225.579 +/-  0.381 | dlogz: 105562.927 > 10.000 
iter: 11 | batch: 0 | bound: 0 | nc: 5 | ncall: 19 | eff(%): 22.449 | logz: -136723.771 +/-  0.382 | dlogz: 104012.590 > 10.000 
iter: 12 | batch: 0 | bound: 0 | nc: 1 | ncall: 20 | eff(%): 24.000 | logz: -134879.534 +/-  0.384 | dlogz: 101510.748 > 10.000 
iter: 13 | batch: 0 | bound: 0 | nc: 2 | ncall: 22 | eff(%): 25.000 | logz: -134837.583 +/-  0.385 | dlogz: 99666.479 > 10.000 
iter: 14 | batch: 0 | bound: 0 | nc: 1 | ncall: 23 | eff(%): 26.415 | logz: -134529.153 +/-  0.386 | dlogz: 99624.495 > 10.000 
iter: 15 | batch: 0 | bound: 0 | nc: 1 | ncall: 24 | eff(%): 27.778 | logz: -132770.389 +/-  0.388 | dlogz: 99316.032 > 10.000 
iter: 16 | batch: 0 | bound: 0 | nc: 1 | ncall: 25 | eff(%): 29.091 | logz: -132578.483 +/-  0.389 | dlogz: 97557.236 > 10.000 
iter: 17 | batch: 0 | bound: 0 | nc: 1 | ncall: 26 | eff(%): 30.357 | logz: -132535.532 +/-  0.391 | dlogz: 97365.296 > 10.000 
iter: 18 | batch: 0 | bound: 0 | nc: 3 | ncall: 29 | eff(%): 30.508 | logz: -131906.492 +/-  0.392 | dlogz: 97322.313 > 10.000 
iter: 19 | batch: 0 | bound: 0 | nc: 1 | ncall: 30 | eff(%): 31.667 | logz: -131460.824 +/-  0.393 | dlogz: 96693.240 > 10.000 
iter: 20 | batch: 0 | bound: 0 | nc: 3 | ncall: 33 | eff(%): 31.746 | logz: -131086.702 +/-  0.395 | dlogz: 96247.539 > 10.000 
iter: 21 | batch: 0 | bound: 0 | nc: 4 | ncall: 37 | eff(%): 31.343 | logz: -131050.263 +/-  0.396 | dlogz: 95873.384 > 10.000 
iter: 22 | batch: 0 | bound: 0 | nc: 3 | ncall: 40 | eff(%): 31.429 | logz: -130975.747 +/-  0.397 | dlogz: 95836.913 > 10.000 
iter: 23 | batch: 0 | bound: 0 | nc: 1 | ncall: 41 | eff(%): 32.394 | logz: -130301.468 +/-  0.399 | dlogz: 95762.364 > 10.000 
iter: 24 | batch: 0 | bound: 0 | nc: 1 | ncall: 42 | eff(%): 33.333 | logz: -129286.375 +/-  0.400 | dlogz: 95088.052 > 10.000 
iter: 25 | batch: 0 | bound: 0 | nc: 1 | ncall: 43 | eff(%): 34.247 | logz: -129186.928 +/-  0.401 | dlogz: 94072.926 > 10.000 
iter: 26 | batch: 0 | bound: 0 | nc: 6 | ncall: 49 | eff(%): 32.911 | logz: -128154.683 +/-  0.403 | dlogz: 113947.194 > 10.000 
iter: 27 | batch: 0 | bound: 0 | nc: 3 | ncall: 52 | eff(%): 32.927 | logz: -128076.548 +/-  0.404 | dlogz: 112914.916 > 10.000 
iter: 28 | batch: 0 | bound: 0 | nc: 3 | ncall: 55 | eff(%): 32.941 | logz: -128008.057 +/-  0.405 | dlogz: 112836.748 > 10.000 
iter: 29 | batch: 0 | bound: 0 | nc: 2 | ncall: 57 | eff(%): 33.333 | logz: -127084.633 +/-  0.407 | dlogz: 112768.225 > 10.000 
iter: 30 | batch: 0 | bound: 0 | nc: 2 | ncall: 59 | eff(%): 33.708 | logz: -126967.602 +/-  0.408 | dlogz: 111844.767 > 10.000 
iter: 31 | batch: 0 | bound: 0 | nc: 1 | ncall: 60 | eff(%): 34.444 | logz: -126735.543 +/-  0.409 | dlogz: 111727.704 > 10.000 
iter: 32 | batch: 0 | bound: 0 | nc: 1 | ncall: 61 | eff(%): 35.165 | logz: -126423.877 +/-  0.411 | dlogz: 111495.613 > 10.000 
iter: 33 | batch: 0 | bound: 0 | nc: 4 | ncall: 65 | eff(%): 34.737 | logz: -126020.316 +/-  0.412 | dlogz: 111183.914 > 10.000 
iter: 34 | batch: 0 | bound: 0 | nc: 1 | ncall: 66 | eff(%): 35.417 | logz: -125078.490 +/-  0.413 | dlogz: 110780.319 > 10.000 
iter: 35 | batch: 0 | bound: 0 | nc: 3 | ncall: 69 | eff(%): 35.354 | logz: -125062.007 +/-  0.415 | dlogz: 109838.461 > 10.000 
iter: 36 | batch: 0 | bound: 0 | nc: 9 | ncall: 78 | eff(%): 33.333 | logz: -124090.461 +/-  0.416 | dlogz: 109821.945 > 10.000 
iter: 37 | batch: 0 | bound: 0 | nc: 3 | ncall: 81 | eff(%): 33.333 | logz: -123895.227 +/-  0.417 | dlogz: 108850.366 > 10.000 
iter: 38 | batch: 0 | bound: 0 | nc: 10 | ncall: 91 | eff(%): 31.405 | logz: -122160.635 +/-  0.418 | dlogz: 108655.099 > 10.000 
iter: 39 | batch: 0 | bound: 0 | nc: 1 | ncall: 92 | eff(%): 31.967 | logz: -120848.577 +/-  0.420 | dlogz: 106920.474 > 10.000 
iter: 40 | batch: 0 | bound: 0 | nc: 3 | ncall: 95 | eff(%): 32.000 | logz: -120413.248 +/-  0.421 | dlogz: 105608.384 > 10.000 
iter: 41 | batch: 0 | bound: 0 | nc: 2 | ncall: 97 | eff(%): 32.283 | logz: -120221.261 +/-  0.422 | dlogz: 105173.022 > 10.000 
iter: 42 | batch: 0 | bound: 0 | nc: 22 | ncall: 119 | eff(%): 28.188 | logz: -118694.480 +/-  0.424 | dlogz: 104981.002 > 10.000 
iter: 43 | batch: 0 | bound: 0 | nc: 1 | ncall: 120 | eff(%): 28.667 | logz: -118046.307 +/-  0.425 | dlogz: 103454.189 > 10.000 
iter: 44 | batch: 0 | bound: 0 | nc: 13 | ncall: 133 | eff(%): 26.994 | logz: -116910.914 +/-  0.426 | dlogz: 102805.983 > 10.000 
iter: 45 | batch: 0 | bound: 0 | nc: 14 | ncall: 147 | eff(%): 25.424 | logz: -116617.484 +/-  0.427 | dlogz: 101670.557 > 10.000 
iter: 46 | batch: 0 | bound: 0 | nc: 4 | ncall: 151 | eff(%): 25.414 | logz: -115168.533 +/-  0.429 | dlogz: 101377.094 > 10.000 
iter: 47 | batch: 0 | bound: 0 | nc: 8 | ncall: 159 | eff(%): 24.868 | logz: -114618.747 +/-  0.430 | dlogz: 99928.110 > 10.000 
iter: 48 | batch: 0 | bound: 0 | nc: 6 | ncall: 165 | eff(%): 24.615 | logz: -114579.378 +/-  0.431 | dlogz: 99378.292 > 10.000 
iter: 49 | batch: 0 | bound: 0 | nc: 4 | ncall: 169 | eff(%): 24.623 | logz: -113780.795 +/-  0.432 | dlogz: 99338.890 > 10.000 
iter: 50 | batch: 0 | bound: 0 | nc: 4 | ncall: 173 | eff(%): 24.631 | logz: -112759.239 +/-  0.434 | dlogz: 98540.274 > 10.000 
iter: 51 | batch: 0 | bound: 0 | nc: 2 | ncall: 175 | eff(%): 24.878 | logz: -111762.313 +/-  0.435 | dlogz: 97518.685 > 10.000 
iter: 52 | batch: 0 | bound: 0 | nc: 6 | ncall: 181 | eff(%): 24.645 | logz: -110943.267 +/-  0.436 | dlogz: 96521.727 > 10.000 
iter: 53 | batch: 0 | bound: 0 | nc: 3 | ncall: 184 | eff(%): 24.766 | logz: -107302.313 +/-  0.437 | dlogz: 95702.648 > 10.000 
iter: 54 | batch: 0 | bound: 0 | nc: 3 | ncall: 187 | eff(%): 24.885 | logz: -104739.738 +/-  0.439 | dlogz: 92061.661 > 10.000 
iter: 55 | batch: 0 | bound: 0 | nc: 6 | ncall: 193 | eff(%): 24.664 | logz: -104125.439 +/-  0.440 | dlogz: 89499.053 > 10.000 
iter: 56 | batch: 0 | bound: 0 | nc: 9 | ncall: 202 | eff(%): 24.138 | logz: -104064.955 +/-  0.441 | dlogz: 88884.722 > 10.000 
iter: 57 | batch: 0 | bound: 0 | nc: 9 | ncall: 211 | eff(%): 23.651 | logz: -102264.397 +/-  0.442 | dlogz: 88824.204 > 10.000 
iter: 58 | batch: 0 | bound: 0 | nc: 10 | ncall: 221 | eff(%): 23.108 | logz: -99862.495 +/-  0.443 | dlogz: 87023.614 > 10.000 
iter: 59 | batch: 0 | bound: 0 | nc: 6 | ncall: 227 | eff(%): 22.957 | logz: -99168.746 +/-  0.445 | dlogz: 84621.679 > 10.000 
iter: 60 | batch: 0 | bound: 0 | nc: 3 | ncall: 230 | eff(%): 23.077 | logz: -97683.950 +/-  0.446 | dlogz: 83927.897 > 10.000 
