logz,logdust,logNpix,logage,lnprob,N_walkers
-0.1940,-1.6369,2.1853,9.7985,-18300.3037,128
-0.1940,-1.6369,2.1853,9.7985,-18300.3037,128
-0.1940,-1.6369,2.1853,9.7985,-18300.3037,128
-0.1940,-1.6369,2.1853,9.7985,-18300.3037,128
-0.1940,-1.6369,2.1853,9.7985,-18300.3037,128
-0.1940,-1.6369,2.1853,9.7985,-18300.3037,128
-0.2129,-1.6775,2.2021,9.8237,-17030.9719,128
-0.2129,-1.6775,2.2021,9.8237,-17030.9719,128
-0.2129,-1.6775,2.2021,9.8237,-17030.9719,128
-0.2129,-1.6775,2.2021,9.8237,-17030.9719,128
-0.2129,-1.6775,2.2021,9.8237,-17030.9719,128
-0.2129,-1.6775,2.2021,9.8237,-17030.9719,128
-0.2129,-1.6775,2.2021,9.8237,-17030.9719,128
-0.2129,-1.6775,2.2021,9.8237,-17030.9719,128
-0.2164,-1.6777,2.1982,9.8137,-16686.1136,128
-0.2164,-1.6777,2.1982,9.8137,-16686.1136,128
-0.2164,-1.6777,2.1982,9.8137,-16686.1136,128
-0.2165,-1.6786,2.1929,9.8072,-16281.9079,128
-0.2165,-1.6786,2.1929,9.8072,-16281.9079,128
-0.2165,-1.6786,2.1929,9.8072,-16281.9079,128
-0.2165,-1.6786,2.1929,9.8072,-16281.9079,128
-0.2165,-1.6786,2.1929,9.8072,-16281.9079,128
-0.2165,-1.6786,2.1929,9.8072,-16281.9079,128
-0.1953,-1.7515,2.1715,9.7807,-16079.2013,128
-0.1953,-1.7515,2.1715,9.7807,-16079.2013,128
-0.2211,-1.7327,2.1711,9.7865,-14116.1333,128
-0.2211,-1.7327,2.1711,9.7865,-14116.1333,128
-0.2225,-1.7314,2.1727,9.7888,-14032.1707,128
-0.2225,-1.7314,2.1727,9.7888,-14032.1707,128
-0.2225,-1.7314,2.1727,9.7888,-14032.1707,128
-0.2581,-1.7127,2.1577,9.7803,-11605.5030,128
-0.2581,-1.7127,2.1577,9.7803,-11605.5030,128
-0.2745,-1.6925,2.1556,9.7881,-10950.2026,128
-0.1899,-2.0417,2.0802,9.6856,-3967.9146,128
-0.2090,-2.0082,2.0918,9.7100,-3645.5179,128
-0.2090,-2.0082,2.0918,9.7100,-3645.5179,128
-0.2090,-2.0082,2.0918,9.7100,-3645.5179,128
-0.2090,-2.0082,2.0918,9.7100,-3645.5179,128
-0.1979,-2.0588,2.0809,9.6994,-3591.4512,128
-0.1979,-2.0588,2.0809,9.6994,-3591.4512,128
-0.1979,-2.0588,2.0809,9.6994,-3591.4512,128
-0.1979,-2.0588,2.0809,9.6994,-3591.4512,128
-0.2549,-2.0012,2.0829,9.7095,-2462.7340,128
-0.2549,-2.0012,2.0829,9.7095,-2462.7340,128
-0.1598,-1.8446,2.0238,9.5952,-1376.2967,128
-0.1598,-1.8446,2.0238,9.5952,-1376.2967,128
-0.1210,-1.8594,2.0052,9.5582,-1187.1203,128
-0.1210,-1.8594,2.0052,9.5582,-1187.1203,128
-0.1210,-1.8594,2.0052,9.5582,-1187.1203,128
-0.1210,-1.8594,2.0052,9.5582,-1187.1203,128
-0.1351,-1.8585,2.0141,9.5746,-982.7710,128
-0.1351,-1.8585,2.0141,9.5746,-982.7710,128
-0.1351,-1.8585,2.0141,9.5746,-982.7710,128
-0.1351,-1.8585,2.0141,9.5746,-982.7710,128
-0.1351,-1.8585,2.0141,9.5746,-982.7710,128
-0.1351,-1.8585,2.0141,9.5746,-982.7710,128
-0.1351,-1.8585,2.0141,9.5746,-982.7710,128
-0.1351,-1.8585,2.0141,9.5746,-982.7710,128
-0.1338,-1.8537,2.0140,9.5740,-976.0816,128
-0.1338,-1.8537,2.0140,9.5740,-976.0816,128
-0.1338,-1.8537,2.0140,9.5740,-976.0816,128
-0.1344,-1.8491,2.0125,9.5726,-974.5500,128
-0.1344,-1.8491,2.0125,9.5726,-974.5500,128
-0.1344,-1.8491,2.0125,9.5726,-974.5500,128
-0.1344,-1.8491,2.0125,9.5726,-974.5500,128
-0.1344,-1.8491,2.0125,9.5726,-974.5500,128
-0.1344,-1.8491,2.0125,9.5726,-974.5500,128
-0.1344,-1.8491,2.0125,9.5726,-974.5500,128
-0.1344,-1.8491,2.0125,9.5726,-974.5500,128
-0.1344,-1.8491,2.0125,9.5726,-974.5500,128
-0.1344,-1.8491,2.0125,9.5726,-974.5500,128
-0.1344,-1.8491,2.0125,9.5726,-974.5500,128
-0.1344,-1.8491,2.0125,9.5726,-974.5500,128
-0.1344,-1.8491,2.0125,9.5726,-974.5500,128
-0.1344,-1.8491,2.0125,9.5726,-974.5500,128
-0.1346,-1.8212,2.0144,9.5704,-965.4629,128
-0.1346,-1.8212,2.0144,9.5704,-965.4629,128
-0.1346,-1.8212,2.0144,9.5704,-965.4629,128
-0.1346,-1.8212,2.0144,9.5704,-965.4629,128
-0.1346,-1.8212,2.0144,9.5704,-965.4629,128
-0.1346,-1.8212,2.0144,9.5704,-965.4629,128
-0.1346,-1.8212,2.0144,9.5704,-965.4629,128
-0.1346,-1.8212,2.0144,9.5704,-965.4629,128
-0.1346,-1.8212,2.0144,9.5704,-965.4629,128
-0.1346,-1.8212,2.0144,9.5704,-965.4629,128
-0.1346,-1.8212,2.0144,9.5704,-965.4629,128
-0.1346,-1.8212,2.0144,9.5704,-965.4629,128
-0.1346,-1.8212,2.0144,9.5704,-965.4629,128
-0.1346,-1.8212,2.0144,9.5704,-965.4629,128
-0.1346,-1.8212,2.0144,9.5704,-965.4629,128
-0.1346,-1.8212,2.0144,9.5704,-965.4629,128
-0.1346,-1.8212,2.0144,9.5704,-965.4629,128
-0.1346,-1.8212,2.0144,9.5704,-965.4629,128
-0.1346,-1.8212,2.0144,9.5704,-965.4629,128
-0.1346,-1.8212,2.0144,9.5704,-965.4629,128
-0.1346,-1.8212,2.0144,9.5704,-965.4629,128
-0.1346,-1.8212,2.0144,9.5704,-965.4629,128
-0.1346,-1.8212,2.0144,9.5704,-965.4629,128
-0.1346,-1.8212,2.0144,9.5704,-965.4629,128
-0.1346,-1.8212,2.0144,9.5704,-965.4629,128
