nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logzh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logSFH5,logSFH6
2.0000e+03,0.0000e+00,1.0000e+00,4.9751e-01,-1.1705e+06,-1.1705e+06,-4.9875e-03,-1.1705e+06,1.7294e-01,5.9964e+00,inf,2.5626e+00,-6.3211e-01,-1.9934e+00,-3.2212e+00,-1.7848e+00,-1.4792e+00,-1.1009e+00,-6.9174e-01,1.2234e+00,1.7979e+00
2.0000e+03,1.0000e+00,2.0000e+00,9.9010e-01,-1.1562e+06,-1.1562e+06,-9.9751e-03,-1.1562e+06,1.7301e-01,6.0015e+00,inf,5.1087e+00,-6.8683e-01,-2.0094e+00,-3.1172e+00,-2.2416e+00,-1.5519e+00,-1.3655e+00,1.7821e-01,1.2219e+00,1.7043e+00
2.0000e+03,2.0000e+00,3.0000e+00,1.4778e+00,-1.1559e+06,-1.1559e+06,-1.4963e-02,-1.1559e+06,1.7308e-01,6.0064e+00,inf,7.6861e+00,-7.1839e-01,-2.0087e+00,-2.8866e+00,-2.1487e+00,-1.7315e+00,-9.7322e-01,-5.1544e-01,1.1150e+00,1.7853e+00
2.0000e+03,3.0000e+00,4.0000e+00,1.9608e+00,-1.1517e+06,-1.1517e+06,-1.9950e-02,-1.1517e+06,1.7315e-01,6.0113e+00,inf,1.0262e+01,-5.5848e-01,-1.9976e+00,-2.9219e+00,-1.5689e+00,-1.1770e+00,-1.1350e+00,-4.7189e-01,1.0885e+00,1.8520e+00
2.0000e+03,4.0000e+00,5.0000e+00,2.4390e+00,-1.1481e+06,-1.1481e+06,-2.4938e-02,-1.1481e+06,1.7323e-01,6.0165e+00,inf,1.2824e+01,-6.9953e-01,-2.0083e+00,-3.3211e+00,-1.8890e+00,-1.3531e+00,-1.2258e+00,-2.2932e-01,9.9676e-01,1.8188e+00
2.0000e+03,5.0000e+00,6.0000e+00,2.9126e+00,-1.1429e+06,-1.1429e+06,-2.9925e-02,-1.1429e+06,1.7330e-01,6.0214e+00,inf,1.5393e+01,-7.4345e-01,-2.0000e+00,-2.7610e+00,-2.0541e+00,-1.4952e+00,-9.1200e-01,-1.6269e-01,1.1562e+00,1.7261e+00
2.0000e+03,6.0000e+00,7.0000e+00,3.3816e+00,-1.1360e+06,-1.1360e+06,-3.4913e-02,-1.1360e+06,1.7337e-01,6.0263e+00,inf,1.7952e+01,-4.8877e-01,-1.9912e+00,-2.4210e+00,-1.6092e+00,-1.0462e+00,-1.1704e+00,-2.5338e-01,1.0965e+00,1.8484e+00
2.0000e+03,7.0000e+00,8.0000e+00,3.8462e+00,-1.1132e+06,-1.1132e+06,-3.9900e-02,-1.1132e+06,1.7344e-01,6.0315e+00,inf,2.0520e+01,-7.3904e-01,-2.0036e+00,-2.8329e+00,-1.7245e+00,-1.0754e+00,-7.6646e-01,-7.2566e-01,9.8179e-01,1.7785e+00
2.0000e+03,8.0000e+00,9.0000e+00,4.3062e+00,-1.0819e+06,-1.0820e+06,-4.4888e-02,-1.0820e+06,1.7351e-01,6.0364e+00,inf,2.3092e+01,-6.0134e-01,-1.9939e+00,-2.9399e+00,-2.0151e+00,-1.6598e+00,-6.8961e-01,2.4946e-01,8.3851e-01,1.7838e+00
2.0000e+03,9.0000e+00,1.0000e+01,4.7619e+00,-1.0672e+06,-1.0672e+06,-4.9875e-02,-1.0672e+06,1.7358e-01,6.0413e+00,inf,2.5665e+01,-1.5237e-01,-2.0015e+00,-2.4262e+00,-1.3603e+00,-1.4091e+00,-6.7737e-01,-7.2037e-01,1.1502e+00,1.8925e+00
2.0000e+03,1.0000e+01,1.1000e+01,5.2133e+00,-1.0467e+06,-1.0467e+06,-5.4863e-02,-1.0467e+06,1.7366e-01,6.0463e+00,inf,2.8196e+01,-6.6609e-01,-2.0061e+00,-2.4121e+00,-1.3845e+00,-1.9530e+00,-1.2233e+00,1.7962e-01,9.7310e-01,1.7087e+00
2.0000e+03,1.1000e+01,1.3000e+01,5.6338e+00,-1.0379e+06,-1.0379e+06,-5.9850e-02,-1.0379e+06,1.7373e-01,6.0513e+00,9.8411e+05,3.3314e+01,-7.8519e-03,-2.0081e+00,-2.8479e+00,-1.5107e+00,-9.6339e-01,-7.7684e-01,-4.6288e-01,4.1262e-01,9.0722e-01
2.0000e+03,1.2000e+01,1.5000e+01,6.0465e+00,-1.0269e+06,-1.0269e+06,-6.4838e-02,-1.0269e+06,1.7380e-01,6.0562e+00,9.7533e+05,3.8469e+01,-6.9933e-01,-2.0040e+00,-3.1695e+00,-2.3457e+00,-1.8294e+00,-1.2947e+00,-1.7936e-02,5.2598e-01,1.7954e+00
2.0000e+03,1.3000e+01,1.6000e+01,6.4815e+00,-1.0243e+06,-1.0243e+06,-6.9826e-02,-1.0243e+06,1.7387e-01,6.0613e+00,9.6438e+05,4.1038e+01,1.9321e-01,-2.0029e+00,-3.3279e+00,-1.8807e+00,-1.8895e+00,-9.0835e-01,-5.6207e-02,3.6272e-01,1.1237e+00
2.0000e+03,1.4000e+01,1.7000e+01,6.9124e+00,-1.0149e+06,-1.0149e+06,-7.4813e-02,-1.0149e+06,1.7394e-01,6.0663e+00,9.6170e+05,4.3608e+01,-2.5583e-02,-1.9950e+00,-2.6616e+00,-2.2409e+00,-1.6700e+00,-1.1455e+00,-6.8212e-01,2.8878e-01,1.1632e+00
2.0000e+03,1.5000e+01,1.8000e+01,7.3394e+00,-9.9770e+05,-9.9770e+05,-7.9801e-02,-9.9770e+05,1.7401e-01,6.0712e+00,9.5234e+05,4.6174e+01,1.3934e-01,-1.9916e+00,-3.2073e+00,-2.2353e+00,-1.9469e+00,-1.1278e+00,-6.2543e-01,7.4424e-01,1.0823e+00
2.0000e+03,1.6000e+01,1.9000e+01,7.7626e+00,-9.8823e+05,-9.8824e+05,-8.4788e-02,-9.8824e+05,1.7408e-01,6.0762e+00,9.3514e+05,4.8735e+01,6.6528e-02,-2.0054e+00,-2.6945e+00,-1.7787e+00,-1.8776e+00,-1.3653e+00,1.0867e-01,4.3415e-01,9.9694e-01
2.0000e+03,1.7000e+01,2.1000e+01,8.1448e+00,-9.8016e+05,-9.8017e+05,-8.9776e-02,-9.8017e+05,1.7416e-01,6.0813e+00,9.2567e+05,5.3835e+01,-1.0692e-01,-1.9991e+00,-3.0414e+00,-1.5661e+00,-1.3925e+00,-9.9202e-01,-4.2042e-01,1.2073e+00,1.8243e+00
2.0000e+03,1.8000e+01,2.2000e+01,8.5586e+00,-9.7886e+05,-9.7887e+05,-9.4763e-02,-9.7887e+05,1.7423e-01,6.0862e+00,9.1761e+05,5.6383e+01,-1.8952e-01,-1.9968e+00,-2.8378e+00,-1.5585e+00,-1.7053e+00,-8.7712e-01,-6.9205e-01,4.2394e-01,1.0359e+00
2.0000e+03,1.9000e+01,2.3000e+01,8.9686e+00,-9.7270e+05,-9.7271e+05,-9.9751e-02,-9.7271e+05,1.7430e-01,6.0912e+00,9.1630e+05,5.8957e+01,2.3501e-02,-2.0031e+00,-2.9758e+00,-1.9763e+00,-1.5310e+00,-7.0070e-01,-5.0418e-01,4.6438e-01,1.1103e+00
2.0000e+03,2.0000e+01,2.4000e+01,9.3750e+00,-9.6559e+05,-9.6559e+05,-1.0474e-01,-9.6559e+05,1.7437e-01,6.0962e+00,9.1015e+05,6.1534e+01,-6.8600e-01,-1.9999e+00,-2.4262e+00,-2.2053e+00,-1.3875e+00,-1.3479e+00,-5.7907e-01,3.5563e-01,1.7999e+00
2.0000e+03,2.1000e+01,2.6000e+01,9.7345e+00,-9.5992e+05,-9.5993e+05,-1.0973e-01,-9.5993e+05,1.7444e-01,6.1012e+00,9.0303e+05,6.6666e+01,-6.0069e-01,-2.0006e+00,-3.3374e+00,-1.5946e+00,-1.7513e+00,-5.6701e-01,2.6504e-02,4.6277e-01,1.7784e+00
2.0000e+03,2.2000e+01,2.7000e+01,1.0132e+01,-9.5200e+05,-9.5201e+05,-1.1471e-01,-9.5201e+05,1.7451e-01,6.1062e+00,8.9736e+05,6.9243e+01,-6.1598e-01,-1.9901e+00,-3.1802e+00,-2.0367e+00,-1.3886e+00,-1.3983e+00,1.5230e-01,1.2638e+00,1.4508e+00
2.0000e+03,2.3000e+01,2.8000e+01,1.0526e+01,-9.5024e+05,-9.5025e+05,-1.1970e-01,-9.5025e+05,1.7459e-01,6.1112e+00,8.8945e+05,7.1813e+01,-3.0605e-01,-1.9915e+00,-2.6882e+00,-2.2727e+00,-1.3843e+00,-1.2869e+00,2.5161e-01,1.2840e+00,1.5886e+00
2.0000e+03,2.4000e+01,2.9000e+01,1.0917e+01,-9.4753e+05,-9.4754e+05,-1.2469e-01,-9.4754e+05,1.7466e-01,6.1161e+00,8.8768e+05,7.4381e+01,-3.7360e-01,-2.0041e+00,-2.9877e+00,-1.5266e+00,-1.0558e+00,-9.8030e-01,-7.4616e-01,3.2857e-01,1.0357e+00
2.0000e+03,2.5000e+01,3.0000e+01,1.1304e+01,-9.4700e+05,-9.4701e+05,-1.2968e-01,-9.4701e+05,1.7473e-01,6.1212e+00,8.8498e+05,7.6950e+01,1.2593e-01,-2.0028e+00,-2.8587e+00,-1.6708e+00,-1.2442e+00,-1.0373e+00,-1.8715e-01,7.8969e-01,9.0763e-01
2.0000e+03,2.6000e+01,3.2000e+01,1.1638e+01,-9.4619e+05,-9.4619e+05,-1.3466e-01,-9.4619e+05,1.7480e-01,6.1261e+00,8.8445e+05,8.2048e+01,-1.3447e-01,-1.9989e+00,-3.1222e+00,-1.8859e+00,-1.4881e+00,-8.4447e-01,-3.3669e-01,4.6414e-01,1.0462e+00
