nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,logzh,logdust,logNpix,tau
2.0000e+03,0.0000e+00,1.0000e+00,1.9608e+00,-1.7669e+07,-1.7669e+07,-1.9803e-02,-1.7669e+07,3.0289e-01,4.6330e+00,inf,2.8111e-01,-5.3470e-02,1.6868e+00,3.1964e+00
2.0000e+03,1.0000e+00,2.0000e+00,3.8462e+00,-1.6563e+07,-1.6563e+07,-3.9605e-02,-1.6563e+07,3.0310e-01,4.6392e+00,inf,-5.8438e-01,-1.5919e-01,2.2581e+00,2.5157e+00
2.0000e+03,2.0000e+00,3.0000e+00,5.6604e+00,-1.2960e+07,-1.2960e+07,-5.9408e-02,-1.2960e+07,3.0424e-01,4.6741e+00,inf,-1.2719e+00,-9.8380e-02,1.1514e+00,2.1617e+00
2.0000e+03,3.0000e+00,4.0000e+00,7.4074e+00,-1.1342e+07,-1.1342e+07,-7.9211e-02,-1.1342e+07,3.0455e-01,4.6838e+00,inf,-4.4355e-01,-9.7142e-02,1.4607e+00,4.0154e+00
2.0000e+03,4.0000e+00,5.0000e+00,9.0909e+00,-9.2576e+06,-9.2576e+06,-9.9013e-02,-9.2576e+06,3.0496e-01,4.6964e+00,inf,8.1048e-02,-1.5837e-02,2.4176e+00,5.7518e+00
2.0000e+03,5.0000e+00,6.0000e+00,1.0714e+01,-8.1223e+06,-8.1223e+06,-1.1882e-01,-8.1223e+06,3.0592e-01,4.7259e+00,inf,4.1628e-01,-2.4813e-01,1.2156e+00,4.0060e+00
2.0000e+03,6.0000e+00,7.0000e+00,1.2281e+01,-7.8838e+06,-7.8838e+06,-1.3862e-01,-7.8838e+06,3.0659e-01,4.7468e+00,inf,2.3208e-02,-1.7119e-01,1.8172e+00,4.4102e+00
2.0000e+03,7.0000e+00,8.0000e+00,1.3793e+01,-6.7634e+06,-6.7634e+06,-1.5842e-01,-6.7634e+06,3.0704e-01,4.7608e+00,inf,4.8713e-01,-3.6259e-01,1.5902e+00,3.7075e+00
2.0000e+03,8.0000e+00,1.0000e+01,1.5000e+01,-6.3251e+06,-6.3251e+06,-1.7822e-01,-6.3251e+06,3.0772e-01,4.7817e+00,inf,-1.4813e+00,-1.9870e-01,2.4545e+00,4.3414e+00
2.0000e+03,9.0000e+00,1.1000e+01,1.6393e+01,-6.1811e+06,-6.1811e+06,-1.9803e-01,-6.1811e+06,3.0838e-01,4.8024e+00,inf,-4.6683e-02,-1.9982e-01,2.0583e+00,4.5949e+00
2.0000e+03,1.0000e+01,1.2000e+01,1.7742e+01,-6.0377e+06,-6.0377e+06,-2.1783e-01,-6.0377e+06,3.0905e-01,4.8231e+00,inf,-1.0624e+00,-1.5026e-01,1.3843e+00,6.4559e+00
2.0000e+03,1.1000e+01,1.3000e+01,1.9048e+01,-5.2577e+06,-5.2577e+06,-2.3763e-01,-5.2577e+06,3.0970e-01,4.8436e+00,inf,-7.5611e-01,-3.4460e-01,2.3023e+00,3.5638e+00
2.0000e+03,1.2000e+01,1.4000e+01,2.0312e+01,-4.8684e+06,-4.8684e+06,-2.5743e-01,-4.8684e+06,3.1036e-01,4.8641e+00,inf,-8.5381e-01,-2.5715e-01,9.3127e-01,5.4097e+00
2.0000e+03,1.3000e+01,1.5000e+01,2.1538e+01,-4.4307e+06,-4.4307e+06,-2.7724e-01,-4.4307e+06,3.1100e-01,4.8844e+00,inf,-4.2624e-01,-3.6160e-01,6.1423e-01,5.0165e+00
2.0000e+03,1.4000e+01,1.6000e+01,2.2727e+01,-4.1875e+06,-4.1875e+06,-2.9704e-01,-4.1875e+06,3.1159e-01,4.9027e+00,inf,-5.0420e-02,-5.6664e-01,5.8216e-01,3.6369e+00
2.0000e+03,1.5000e+01,1.7000e+01,2.3881e+01,-4.1394e+06,-4.1394e+06,-3.1684e-01,-4.1394e+06,3.1217e-01,4.9212e+00,inf,4.5808e-01,-2.3754e-01,1.7554e+00,6.5829e+00
2.0000e+03,1.6000e+01,1.8000e+01,2.5000e+01,-3.8558e+06,-3.8558e+06,-3.3664e-01,-3.8558e+06,3.1282e-01,4.9416e+00,inf,-1.4546e+00,-2.8989e-01,1.1127e+00,5.5527e+00
2.0000e+03,1.7000e+01,1.9000e+01,2.6087e+01,-3.7473e+06,-3.7473e+06,-3.5645e-01,-3.7473e+06,3.1346e-01,4.9619e+00,inf,2.0780e-01,-1.4259e+00,8.4613e-01,1.8041e+00
2.0000e+03,1.8000e+01,2.1000e+01,2.6761e+01,-3.6044e+06,-3.6044e+06,-3.7625e-01,-3.6044e+06,3.1410e-01,4.9822e+00,inf,2.1375e-01,-6.7051e-01,1.1668e+00,4.1089e+00
2.0000e+03,1.9000e+01,2.2000e+01,2.7778e+01,-3.5323e+06,-3.5323e+06,-3.9605e-01,-3.5323e+06,3.1469e-01,5.0009e+00,inf,-1.1571e+00,-5.2583e-01,7.5406e-01,3.2179e+00
2.0000e+03,2.0000e+01,2.3000e+01,2.8767e+01,-3.4660e+06,-3.4660e+06,-4.1586e-01,-3.4660e+06,3.1533e-01,5.0212e+00,inf,2.1295e-01,-5.4441e-01,1.8847e+00,3.8341e+00
2.0000e+03,2.1000e+01,2.7000e+01,2.8571e+01,-3.4522e+06,-3.4522e+06,-4.3566e-01,-3.4522e+06,3.1597e-01,5.0415e+00,inf,-1.3307e-01,-5.7460e-01,1.2405e+00,4.3672e+00
2.0000e+03,2.2000e+01,2.9000e+01,2.9114e+01,-3.4425e+06,-3.4425e+06,-4.5546e-01,-3.4425e+06,3.1655e-01,5.0602e+00,inf,-1.1335e+00,-4.0518e-01,1.7247e+00,4.3339e+00
2.0000e+03,2.3000e+01,3.0000e+01,3.0000e+01,-3.3514e+06,-3.3514e+06,-4.7526e-01,-3.3514e+06,3.1718e-01,5.0804e+00,inf,-7.9651e-01,-7.3973e-01,1.2157e+00,2.2769e+00
2.0000e+03,2.4000e+01,3.1000e+01,3.0864e+01,-3.1403e+06,-3.1403e+06,-4.9507e-01,-3.1403e+06,3.1782e-01,5.1007e+00,inf,4.3167e-01,-1.7057e+00,5.5929e-01,4.5634e+00
2.0000e+03,2.5000e+01,3.2000e+01,3.1707e+01,-3.1383e+06,-3.1383e+06,-5.1487e-01,-3.1383e+06,3.1840e-01,5.1195e+00,inf,-6.6649e-01,-9.2830e-01,5.1242e-01,2.8039e+00
