nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,logzh,logdust,logNpix
2.0000e+03,0.0000e+00,1.0000e+00,1.9608e+00,-9.8687e+05,-9.8688e+05,-1.9803e-02,-9.8688e+05,3.0263e-01,4.6250e+00,inf,-1.1128e+00,-1.0844e+00,3.8408e+00
2.0000e+03,1.0000e+00,2.0000e+00,3.8462e+00,-9.7480e+05,-9.7480e+05,-3.9605e-02,-9.7480e+05,3.0328e-01,4.6448e+00,8.9642e+05,-9.4707e-01,-3.9626e-01,3.9163e+00
2.0000e+03,2.0000e+00,3.0000e+00,5.6604e+00,-9.7165e+05,-9.7165e+05,-5.9408e-02,-9.7165e+05,3.0393e-01,4.6646e+00,8.8435e+05,9.3734e-02,-8.8448e-01,3.9317e+00
2.0000e+03,3.0000e+00,4.0000e+00,7.4074e+00,-9.4037e+05,-9.4038e+05,-7.9211e-02,-9.4038e+05,3.0457e-01,4.6843e+00,8.8120e+05,-1.3305e+00,-1.3340e+00,3.4569e+00
2.0000e+03,4.0000e+00,6.0000e+00,8.9286e+00,-9.3690e+05,-9.3690e+05,-9.9013e-02,-9.3690e+05,3.0521e-01,4.7042e+00,8.4992e+05,2.3825e-01,-1.1277e+00,3.6043e+00
2.0000e+03,5.0000e+00,7.0000e+00,1.0526e+01,-9.3516e+05,-9.3517e+05,-1.1882e-01,-9.3517e+05,3.0586e-01,4.7240e+00,8.4645e+05,4.8416e-01,-8.2396e-02,3.5839e+00
2.0000e+03,6.0000e+00,9.0000e+00,1.1864e+01,-9.2835e+05,-9.2836e+05,-1.3862e-01,-9.2836e+05,3.0650e-01,4.7438e+00,8.4471e+05,-1.2834e+00,-4.4764e-01,3.5650e+00
2.0000e+03,7.0000e+00,1.0000e+01,1.3333e+01,-9.2252e+05,-9.2252e+05,-1.5842e-01,-9.2252e+05,3.0714e-01,4.7636e+00,8.3790e+05,-8.8005e-02,-1.7003e+00,3.4921e+00
2.0000e+03,8.0000e+00,1.2000e+01,1.4516e+01,-9.0894e+05,-9.0895e+05,-1.7822e-01,-9.0895e+05,3.0777e-01,4.7834e+00,8.3207e+05,-2.6512e-01,-1.7575e-01,3.5810e+00
2.0000e+03,9.0000e+00,1.3000e+01,1.5873e+01,-9.0501e+05,-9.0502e+05,-1.9803e-01,-9.0502e+05,3.0841e-01,4.8032e+00,8.1849e+05,-4.6683e-02,-1.9982e-01,3.5583e+00
2.0000e+03,1.0000e+01,1.4000e+01,1.7188e+01,-9.0463e+05,-9.0463e+05,-2.1783e-01,-9.0463e+05,3.0904e-01,4.8230e+00,8.1456e+05,-3.6326e-01,-1.5965e+00,3.3966e+00
2.0000e+03,1.1000e+01,1.5000e+01,1.8462e+01,-8.9405e+05,-8.9406e+05,-2.3763e-01,-8.9406e+05,3.0968e-01,4.8428e+00,8.1418e+05,2.8111e-01,-5.3470e-02,3.1868e+00
2.0000e+03,1.2000e+01,1.6000e+01,1.9697e+01,-8.9340e+05,-8.9340e+05,-2.5743e-01,-8.9340e+05,3.1031e-01,4.8626e+00,8.0360e+05,-1.1348e+00,-1.9641e-01,3.4131e+00
2.0000e+03,1.3000e+01,1.9000e+01,2.0290e+01,-8.9339e+05,-8.9340e+05,-2.7724e-01,-8.9340e+05,3.1008e-01,4.8555e+00,8.0295e+05,2.3208e-02,-1.7119e-01,3.3172e+00
2.0000e+03,1.4000e+01,2.0000e+01,2.1429e+01,-8.8776e+05,-8.8777e+05,-2.9704e-01,-8.8777e+05,3.1157e-01,4.9022e+00,8.0294e+05,3.0130e-01,-4.5517e-02,3.1138e+00
2.0000e+03,1.5000e+01,2.1000e+01,2.2535e+01,-8.8244e+05,-8.8244e+05,-3.1684e-01,-8.8244e+05,3.1220e-01,4.9220e+00,7.9731e+05,-1.2125e+00,-5.9148e-01,3.4092e+00
2.0000e+03,1.6000e+01,2.2000e+01,2.3611e+01,-8.7693e+05,-8.7694e+05,-3.3664e-01,-8.7694e+05,3.1283e-01,4.9419e+00,7.9199e+05,-2.7570e-01,-1.6360e-01,3.2515e+00
2.0000e+03,1.7000e+01,2.3000e+01,2.4658e+01,-8.6011e+05,-8.6012e+05,-3.5645e-01,-8.6012e+05,3.1345e-01,4.9616e+00,7.8648e+05,-1.0624e+00,-1.5026e-01,2.8843e+00
2.0000e+03,1.8000e+01,2.4000e+01,2.5676e+01,-8.5566e+05,-8.5566e+05,-3.7625e-01,-8.5566e+05,3.1408e-01,4.9814e+00,8.3678e+05,-1.2057e+00,-1.9407e+00,3.1878e+00
2.0000e+03,1.9000e+01,2.5000e+01,2.6667e+01,-8.3631e+05,-8.3632e+05,-3.9605e-01,-8.3632e+05,3.1470e-01,5.0012e+00,8.3232e+05,-1.2719e+00,-9.8380e-02,2.6514e+00
2.0000e+03,2.0000e+01,2.6000e+01,2.7632e+01,-8.3279e+05,-8.3280e+05,-4.1586e-01,-8.3280e+05,3.1533e-01,5.0211e+00,8.1298e+05,-1.2320e+00,-1.0692e-02,2.3590e+00
2.0000e+03,2.1000e+01,2.7000e+01,2.8571e+01,-8.2647e+05,-8.2648e+05,-4.3566e-01,-8.2648e+05,3.1594e-01,5.0408e+00,8.0946e+05,-1.3900e+00,-1.3536e+00,3.1810e+00
2.0000e+03,2.2000e+01,2.9000e+01,2.9114e+01,-8.1992e+05,-8.1992e+05,-4.5546e-01,-8.1992e+05,3.1657e-01,5.0606e+00,8.0314e+05,-1.0687e+00,-5.3011e-01,2.7312e+00
2.0000e+03,2.3000e+01,3.1000e+01,2.9630e+01,-8.1206e+05,-8.1207e+05,-4.7526e-01,-8.1207e+05,3.1718e-01,5.0804e+00,7.9658e+05,-5.9670e-01,-3.5991e-02,2.2479e+00
2.0000e+03,2.4000e+01,3.2000e+01,3.0488e+01,-8.1182e+05,-8.1182e+05,-4.9507e-01,-8.1182e+05,3.1780e-01,5.1003e+00,7.8873e+05,4.5653e-02,-2.3472e-01,2.7298e+00
2.0000e+03,2.5000e+01,3.3000e+01,3.1325e+01,-8.0777e+05,-8.0777e+05,-5.1487e-01,-8.0777e+05,3.1842e-01,5.1201e+00,7.8848e+05,3.4381e-01,-2.5345e-01,2.7035e+00
2.0000e+03,2.6000e+01,3.5000e+01,3.1765e+01,-8.0175e+05,-8.0175e+05,-5.3467e-01,-8.0175e+05,3.1903e-01,5.1398e+00,7.8443e+05,1.6201e-01,-7.3255e-01,2.8766e+00
2.0000e+03,2.7000e+01,3.7000e+01,3.2184e+01,-7.9984e+05,-7.9985e+05,-5.5447e-01,-7.9985e+05,3.1965e-01,5.1596e+00,7.7841e+05,3.6628e-01,-6.9724e-01,2.7944e+00
2.0000e+03,2.8000e+01,3.9000e+01,3.2584e+01,-7.9725e+05,-7.9726e+05,-5.7428e-01,-7.9726e+05,3.2026e-01,5.1795e+00,7.7651e+05,-1.3307e-01,-5.7460e-01,2.7405e+00
2.0000e+03,2.9000e+01,4.1000e+01,3.2967e+01,-7.9160e+05,-7.9161e+05,-5.9408e-01,-7.9161e+05,3.2087e-01,5.1993e+00,7.7391e+05,-1.7791e-01,-7.3937e-01,2.7419e+00
2.0000e+03,3.0000e+01,4.3000e+01,3.3333e+01,-7.8268e+05,-7.8269e+05,-6.1388e-01,-7.8269e+05,3.2148e-01,5.2190e+00,7.6827e+05,-7.7352e-01,-5.3856e-01,2.9511e+00
2.0000e+03,3.1000e+01,4.4000e+01,3.4043e+01,-7.8266e+05,-7.8266e+05,-6.3368e-01,-7.8266e+05,3.2209e-01,5.2388e+00,7.5934e+05,-1.2151e+00,-8.9506e-01,2.5461e+00
2.0000e+03,3.2000e+01,4.5000e+01,3.4737e+01,-7.7494e+05,-7.7494e+05,-6.5349e-01,-7.7494e+05,3.2270e-01,5.2587e+00,7.5932e+05,7.0717e-02,-4.4005e-01,2.5452e+00
2.0000e+03,3.3000e+01,4.7000e+01,3.5052e+01,-7.7413e+05,-7.7414e+05,-6.7329e-01,-7.7414e+05,3.2331e-01,5.2785e+00,7.5160e+05,2.5814e-01,-1.4948e+00,2.6960e+00
2.0000e+03,3.4000e+01,4.9000e+01,3.5354e+01,-7.6368e+05,-7.6369e+05,-6.9309e-01,-7.6369e+05,3.2391e-01,5.2982e+00,7.5080e+05,-1.1571e+00,-5.2583e-01,2.2541e+00
2.0000e+03,3.5000e+01,5.0000e+01,3.6000e+01,-7.6052e+05,-7.6052e+05,-7.1289e-01,-7.6052e+05,3.2452e-01,5.3180e+00,7.4035e+05,-5.5673e-01,-1.7857e+00,2.4584e+00
2.0000e+03,3.6000e+01,5.2000e+01,3.6275e+01,-7.5974e+05,-7.5974e+05,-7.3270e-01,-7.5974e+05,3.2512e-01,5.3379e+00,7.3718e+05,-3.0353e-01,-1.7871e+00,2.5943e+00
2.0000e+03,3.7000e+01,5.5000e+01,3.6190e+01,-7.5621e+05,-7.5622e+05,-7.5250e-01,-7.5622e+05,3.2572e-01,5.3577e+00,7.3640e+05,-8.1117e-01,-7.1824e-01,2.2524e+00
2.0000e+03,3.8000e+01,5.8000e+01,3.6111e+01,-7.5614e+05,-7.5614e+05,-7.7230e-01,-7.5614e+05,3.2633e-01,5.3775e+00,7.3288e+05,-6.7984e-01,-1.9162e+00,2.3484e+00
2.0000e+03,3.9000e+01,6.0000e+01,3.6364e+01,-7.5576e+05,-7.5577e+05,-7.9211e-01,-7.5577e+05,3.2692e-01,5.3972e+00,7.3280e+05,-1.3586e+00,-1.6848e+00,2.3231e+00
2.0000e+03,4.0000e+01,6.1000e+01,3.6937e+01,-7.5380e+05,-7.5380e+05,-8.1191e-01,-7.5380e+05,3.2752e-01,5.4171e+00,7.3243e+05,4.4899e-01,-6.6443e-01,2.5113e+00
2.0000e+03,4.1000e+01,7.1000e+01,3.4711e+01,-7.4915e+05,-7.4916e+05,-8.3171e-01,-7.4916e+05,3.2812e-01,5.4369e+00,7.3046e+05,-3.5153e-01,-9.4552e-01,2.3953e+00
2.0000e+03,4.2000e+01,7.5000e+01,3.4400e+01,-7.4851e+05,-7.4851e+05,-8.5151e-01,-7.4851e+05,3.2872e-01,5.4567e+00,7.2582e+05,-1.4956e+00,-1.9161e+00,2.2836e+00
2.0000e+03,4.3000e+01,7.6000e+01,3.4921e+01,-7.4805e+05,-7.4806e+05,-8.7132e-01,-7.4806e+05,3.2931e-01,5.4764e+00,7.2517e+05,3.0718e-01,-1.4448e+00,2.5133e+00
