nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,logzh,logdust,logNpix,tau
2.0000e+03,0.0000e+00,1.0000e+00,1.9608e+00,-1.0000e+300,-1.0000e+300,-1.9803e-02,-1.0000e+300,,-1.9608e+298,inf,2.0780e-01,-1.4259e+00,2.3461e+00,7.2170e-02
2.0000e+03,1.0000e+00,2.0000e+00,3.8462e+00,-1.0000e+300,-1.0000e+300,-3.9605e-02,-1.0000e+300,,-3.8831e+298,inf,-5.4887e-01,-1.3112e+00,3.2818e+00,9.6426e-03
2.0000e+03,2.0000e+00,3.0000e+00,5.6604e+00,-1.0529e+06,-1.0529e+06,-5.9408e-02,-1.0529e+06,0.0000e+00,4.6646e+00,inf,-3.9506e-01,-1.4539e+00,3.9490e+00,4.3423e+00
2.0000e+03,3.0000e+00,4.0000e+00,7.4074e+00,-1.0518e+06,-1.0518e+06,-7.9211e-02,-1.0518e+06,1.9755e-02,4.6843e+00,7.3548e+05,-8.6633e-01,-8.6380e-01,3.7383e+00,2.4894e+00
2.0000e+03,4.0000e+00,5.0000e+00,9.0909e+00,-1.0447e+06,-1.0447e+06,-9.9013e-02,-1.0447e+06,2.7981e-02,4.7042e+00,8.0487e+05,-5.8438e-01,-1.5919e-01,3.7581e+00,1.0209e+00
2.0000e+03,5.0000e+00,6.0000e+00,1.0714e+01,-1.0445e+06,-1.0445e+06,-1.1882e-01,-1.0445e+06,3.4288e-02,4.7240e+00,7.9780e+05,-1.4813e+00,-1.9870e-01,3.9545e+00,3.4552e+00
2.0000e+03,6.0000e+00,7.0000e+00,1.2281e+01,-1.0410e+06,-1.0410e+06,-1.3862e-01,-1.0410e+06,3.9602e-02,4.7438e+00,7.9757e+05,-8.0398e-01,-1.6348e+00,3.8036e+00,4.6522e+00
2.0000e+03,7.0000e+00,8.0000e+00,1.3793e+01,-1.0391e+06,-1.0391e+06,-1.5842e-01,-1.0391e+06,4.4283e-02,4.7636e+00,7.9413e+05,-6.2621e-01,-7.7570e-01,3.8364e+00,4.0059e+00
2.0000e+03,8.0000e+00,9.0000e+00,1.5254e+01,-1.0369e+06,-1.0369e+06,-1.7822e-01,-1.0369e+06,4.8490e-02,4.7834e+00,7.9218e+05,-7.5315e-01,-1.9752e+00,3.8438e+00,5.9862e+00
2.0000e+03,9.0000e+00,1.1000e+01,1.6393e+01,-1.0326e+06,-1.0326e+06,-1.9803e-01,-1.0326e+06,5.2383e-02,4.8032e+00,7.9003e+05,-1.0965e+00,-6.0341e-01,3.9044e+00,6.1197e+00
2.0000e+03,1.0000e+01,1.2000e+01,1.7742e+01,-1.0241e+06,-1.0241e+06,-2.1783e-01,-1.0241e+06,5.6006e-02,4.8230e+00,7.8568e+05,2.8111e-01,-5.3470e-02,3.1868e+00,1.9286e+00
2.0000e+03,1.1000e+01,1.3000e+01,1.9048e+01,-1.0215e+06,-1.0215e+06,-2.3763e-01,-1.0215e+06,5.9408e-02,4.8428e+00,7.7717e+05,-1.3305e+00,-1.3340e+00,3.4569e+00,1.3948e-01
2.0000e+03,1.2000e+01,1.4000e+01,2.0312e+01,-1.0059e+06,-1.0059e+06,-2.5743e-01,-1.0059e+06,6.2607e-02,4.8626e+00,7.7465e+05,-1.2521e+00,-1.7612e+00,3.4770e+00,3.6984e+00
2.0000e+03,1.3000e+01,1.5000e+01,2.1538e+01,-1.0036e+06,-1.0037e+06,-2.7724e-01,-1.0037e+06,6.5668e-02,4.8824e+00,7.5897e+05,8.1048e-02,-1.5837e-02,3.9176e+00,5.3357e+00
2.0000e+03,1.4000e+01,1.6000e+01,2.2727e+01,-1.0024e+06,-1.0024e+06,-2.9704e-01,-1.0024e+06,6.8593e-02,4.9022e+00,7.5676e+05,-2.5445e-01,-1.0126e+00,3.6811e+00,4.6968e+00
2.0000e+03,1.5000e+01,1.7000e+01,2.3881e+01,-9.9809e+05,-9.9809e+05,-3.1684e-01,-9.9809e+05,7.1398e-02,4.9220e+00,7.5552e+05,-9.8869e-01,-1.7834e+00,3.5524e+00,5.2598e+00
2.0000e+03,1.6000e+01,1.8000e+01,2.5000e+01,-9.8648e+05,-9.8649e+05,-3.3664e-01,-9.8649e+05,7.4096e-02,4.9419e+00,7.5120e+05,-7.6876e-01,-3.9679e-01,3.5655e+00,4.6108e+00
2.0000e+03,1.7000e+01,1.9000e+01,2.6087e+01,-9.8636e+05,-9.8636e+05,-3.5645e-01,-9.8636e+05,7.6685e-02,4.9616e+00,7.3960e+05,-4.6683e-02,-1.9982e-01,3.5583e+00,3.7932e+00
2.0000e+03,1.8000e+01,2.0000e+01,2.7143e+01,-9.8283e+05,-9.8283e+05,-3.7625e-01,-9.8283e+05,7.9204e-02,4.9814e+00,7.3947e+05,-2.9133e-01,-1.7938e+00,3.6047e+00,6.5644e+00
2.0000e+03,1.9000e+01,2.1000e+01,2.8169e+01,-9.7982e+05,-9.7983e+05,-3.9605e-01,-9.7983e+05,8.1645e-02,5.0012e+00,7.3594e+05,-4.9383e-01,-1.9725e+00,3.5457e+00,6.0611e+00
