nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logzh,logdust,logNpix
2.0000e+03,0.0000e+00,1.0000e+00,4.9751e-01,-2.1721e+05,-2.1722e+05,-4.9875e-03,-2.1722e+05,1.7294e-01,5.9965e+00,inf,5.5902e-01,-5.9670e-01,-3.5991e-02,5.2479e+00
2.0000e+03,1.0000e+00,2.0000e+00,9.9010e-01,-2.0892e+05,-2.0892e+05,-9.9751e-03,-2.0892e+05,1.7301e-01,6.0014e+00,1.1020e+05,1.1430e+00,4.3518e-01,-1.3994e-01,5.3694e+00
2.0000e+03,2.0000e+00,3.0000e+00,1.4778e+00,-2.0799e+05,-2.0799e+05,-1.4963e-02,-2.0799e+05,1.7308e-01,6.0064e+00,1.0191e+05,1.7065e+00,-1.2320e+00,-1.0692e-02,5.3590e+00
2.0000e+03,3.0000e+00,4.0000e+00,1.9608e+00,-1.9878e+05,-1.9878e+05,-1.9950e-02,-1.9878e+05,1.7315e-01,6.0114e+00,1.0097e+05,2.2876e+00,-8.3540e-01,-4.2364e-02,5.4064e+00
2.0000e+03,4.0000e+00,5.0000e+00,2.4390e+00,-1.9791e+05,-1.9792e+05,-2.4938e-02,-1.9792e+05,1.7323e-01,6.0164e+00,9.1766e+04,2.8606e+00,-1.2355e+00,-5.1038e-02,5.3613e+00
2.0000e+03,5.0000e+00,6.0000e+00,2.9126e+00,-1.9233e+05,-1.9234e+05,-2.9925e-02,-1.9234e+05,1.7330e-01,6.0214e+00,9.0901e+04,3.4575e+00,-4.5380e-01,-2.5388e-01,5.0774e+00
2.0000e+03,6.0000e+00,7.0000e+00,3.3816e+00,-1.8565e+05,-1.8566e+05,-3.4913e-02,-1.8566e+05,1.7337e-01,6.0264e+00,8.5323e+04,4.0452e+00,-1.1113e+00,-2.7426e-01,5.0574e+00
2.0000e+03,7.0000e+00,8.0000e+00,3.8462e+00,-1.8111e+05,-1.8112e+05,-3.9900e-02,-1.8112e+05,1.7344e-01,6.0314e+00,7.8638e+04,4.6150e+00,-9.9109e-03,-1.7853e-01,5.4744e+00
2.0000e+03,8.0000e+00,9.0000e+00,4.3062e+00,-1.7771e+05,-1.7772e+05,-4.4888e-02,-1.7772e+05,1.7351e-01,6.0364e+00,7.4103e+04,5.1762e+00,-4.2624e-01,-3.6160e-01,5.1142e+00
2.0000e+03,9.0000e+00,1.0000e+01,4.7619e+00,-1.7457e+05,-1.7458e+05,-4.9875e-02,-1.7458e+05,1.7358e-01,6.0413e+00,7.0701e+04,5.7511e+00,4.0298e-01,-6.3404e-01,5.1523e+00
