nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,logzh,logdust,logNpix,tau
2.0000e+03,0.0000e+00,1.0000e+00,9.9010e-01,-2.2298e+10,-2.2298e+10,-9.9503e-03,-2.2298e+10,,-4.0205e+04,inf,4.0648e-01,-2.2923e-01,6.5586e+00,1.2545e+00
2.0000e+03,1.0000e+00,2.0000e+00,1.9608e+00,-9.9093e+09,-9.9093e+09,-1.9901e-02,-9.9093e+09,,-2.0057e+03,inf,2.6808e-01,-8.6589e-01,6.9890e+00,2.4299e+00
2.0000e+03,2.0000e+00,3.0000e+00,2.9126e+00,-5.2815e+09,-5.2815e+09,-2.9851e-02,-5.2815e+09,4.8347e+00,2.3491e+03,inf,-1.4756e+00,-1.0860e+00,6.8635e+00,7.7682e+00
2.0000e+03,3.0000e+00,4.0000e+00,3.8462e+00,-4.5752e+09,-4.5752e+09,-3.9801e-02,-4.5752e+09,2.5062e+00,6.3122e+02,inf,-1.4813e+00,-1.9870e-01,6.9545e+00,5.4552e+00
2.0000e+03,4.0000e+00,5.0000e+00,4.7619e+00,-4.5543e+09,-4.5543e+09,-4.9752e-02,-4.5543e+09,,-7.6963e+02,inf,-1.0965e+00,-6.0341e-01,6.9044e+00,8.1197e+00
2.0000e+03,5.0000e+00,6.0000e+00,5.6604e+00,-2.9872e+09,-2.9872e+09,-5.9702e-02,-2.9872e+09,2.1126e-01,4.4852e+00,inf,-3.9506e-01,-1.4539e+00,6.9490e+00,6.3423e+00
2.0000e+03,6.0000e+00,7.0000e+00,6.5421e+00,-2.8226e+09,-2.8226e+09,-6.9652e-02,-2.8226e+09,2.1946e+00,4.8403e+02,inf,4.9566e-01,-1.1978e+00,6.7667e+00,5.5531e+00
2.0000e+03,7.0000e+00,8.0000e+00,7.4074e+00,-2.6743e+09,-2.6743e+09,-7.9603e-02,-2.6743e+09,,-3.6202e+02,inf,3.7728e-01,-5.0991e-01,6.8215e+00,2.8978e+00
2.0000e+03,8.0000e+00,9.0000e+00,8.2569e+00,-2.6550e+09,-2.6550e+09,-8.9553e-02,-2.6550e+09,9.5494e-01,9.1647e+01,inf,-7.5315e-01,-1.9752e+00,6.8438e+00,7.9862e+00
2.0000e+03,9.0000e+00,1.1000e+01,9.0090e+00,-2.4657e+09,-2.4657e+09,-9.9503e-02,-2.4657e+09,2.2402e+00,5.0437e+02,inf,-8.0398e-01,-1.6348e+00,6.8036e+00,6.6522e+00
2.0000e+03,1.0000e+01,1.2000e+01,9.8214e+00,-2.1192e+09,-2.1192e+09,-1.0945e-01,-2.1192e+09,,-2.1626e+02,inf,-8.6633e-01,-8.6380e-01,6.7383e+00,4.4894e+00
2.0000e+03,1.1000e+01,1.3000e+01,1.0619e+01,-1.8809e+09,-1.8809e+09,-1.1940e-01,-1.8809e+09,1.1294e+00,1.2818e+02,inf,-6.2621e-01,-7.7570e-01,6.8364e+00,6.0059e+00
2.0000e+03,1.2000e+01,1.4000e+01,1.1404e+01,-1.7899e+09,-1.7899e+09,-1.2935e-01,-1.7899e+09,,-4.3331e-01,inf,-7.5611e-01,-3.4460e-01,6.8023e+00,4.4184e+00
2.0000e+03,1.3000e+01,1.5000e+01,1.2174e+01,-1.7488e+09,-1.7488e+09,-1.3930e-01,-1.7488e+09,,-1.2016e+02,inf,-5.1007e-01,-3.8024e-01,6.9091e+00,6.0999e+00
2.0000e+03,1.4000e+01,1.6000e+01,1.2931e+01,-1.6497e+09,-1.6497e+09,-1.4925e-01,-1.6497e+09,1.2899e+00,1.6721e+02,inf,4.2959e-01,-6.4817e-02,6.8601e+00,2.4774e+00
2.0000e+03,1.5000e+01,1.7000e+01,1.3675e+01,-1.4866e+09,-1.4866e+09,-1.5921e-01,-1.4866e+09,7.0055e-01,4.9322e+01,inf,8.1048e-02,-1.5837e-02,6.9176e+00,7.3357e+00
2.0000e+03,1.6000e+01,1.8000e+01,1.4407e+01,-1.2626e+09,-1.2626e+09,-1.6916e-01,-1.2626e+09,,-4.3823e+01,inf,-2.5408e-01,-1.1741e+00,5.7261e+00,1.2928e+00
2.0000e+03,1.7000e+01,1.9000e+01,1.5126e+01,-1.1405e+09,-1.1405e+09,-1.7911e-01,-1.1405e+09,,-1.1722e+02,inf,6.4929e-02,-1.3654e+00,6.6366e+00,5.0604e+00
2.0000e+03,1.8000e+01,2.0000e+01,1.5833e+01,-9.8730e+08,-9.8730e+08,-1.8906e-01,-9.8730e+08,,-5.0710e+01,inf,-5.8438e-01,-1.5919e-01,6.7581e+00,3.0209e+00
