nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logSFH5,logSFH6
2.0000e+03,1.0000e+00,1.0000e+00,9.9900e-02,-1.1440e+06,-1.1440e+06,-9.9950e-04,-inf,8.7167e-02,7.6019e+00,inf,4.0112e+00,-1.4513e+00,-1.7841e+00,-5.6821e+00,-3.0518e+00,-6.4403e+00,-9.8280e-02,-4.2133e+00,3.5061e+00,1.7857e+00
2.0000e+03,2.0000e+00,1.0000e+00,1.9960e-01,-1.1346e+06,-1.1346e+06,-1.9990e-03,-inf,8.7173e-02,7.6030e+00,inf,8.0601e+00,-7.8787e-01,-7.1115e-01,-7.3176e+00,-6.8067e+00,4.4868e-01,-4.9073e+00,-3.0341e+00,3.5091e+00,3.3315e+00
2.0000e+03,3.0000e+00,1.0000e+00,2.9910e-01,-1.1344e+06,-1.1344e+06,-2.9985e-03,-inf,8.7178e-02,7.6038e+00,inf,1.2073e+01,-1.3737e+00,-1.9356e+00,-5.9279e+00,-5.9779e+00,-3.1503e+00,-5.4181e+00,2.2586e+00,3.1978e+00,3.2375e+00
2.0000e+03,4.0000e+00,1.0000e+00,3.9841e-01,-1.1333e+06,-1.1333e+06,-3.9980e-03,-inf,8.7184e-02,7.6048e+00,inf,1.6160e+01,-1.3058e+00,-1.3186e+00,-7.2276e+00,-5.1383e+00,-2.8914e+00,-3.4980e+00,1.4444e+00,3.4432e+00,1.0305e+00
2.0000e+03,5.0000e+00,1.0000e+00,4.9751e-01,-1.1331e+06,-1.1331e+06,-4.9975e-03,-inf,8.7190e-02,7.6059e+00,inf,2.0212e+01,-3.9849e-01,-7.5747e-01,-3.6317e+00,-1.3045e+00,-2.9644e+00,1.2969e+00,-2.6928e-01,3.3703e+00,3.6022e+00
2.0000e+03,6.0000e+00,1.0000e+00,5.9642e-01,-1.1300e+06,-1.1300e+06,-5.9970e-03,-inf,8.7196e-02,7.6070e+00,inf,2.4212e+01,-1.4211e+00,-1.9064e+00,-6.6244e+00,-7.2427e-02,1.2662e+00,-2.8949e+00,-4.4621e+00,3.4366e+00,3.0766e+00
2.0000e+03,7.0000e+00,1.0000e+00,6.9513e-01,-1.1284e+06,-1.1284e+06,-6.9965e-03,-inf,8.7201e-02,7.6078e+00,inf,2.8213e+01,-1.3217e-01,-1.8776e+00,-1.8216e+00,-1.3730e+00,-6.3721e+00,-3.7921e-01,1.2527e+00,2.6684e+00,3.7457e+00
2.0000e+03,8.0000e+00,1.0000e+00,7.9365e-01,-1.1276e+06,-1.1276e+06,-7.9960e-03,-inf,8.7207e-02,7.6088e+00,inf,3.2238e+01,-1.4413e+00,-5.9799e-01,-1.1551e+00,-4.4685e+00,-2.3364e+00,2.0769e+00,-1.6738e+00,3.4646e+00,3.2586e+00
2.0000e+03,9.0000e+00,1.0000e+00,8.9197e-01,-1.1276e+06,-1.1276e+06,-8.9955e-03,-inf,8.7213e-02,7.6099e+00,inf,3.6267e+01,-1.0431e+00,-1.1246e+00,-6.4928e+00,-5.3113e+00,-4.2017e+00,1.9278e-01,9.8289e-01,-2.7394e-01,3.7281e+00
2.0000e+03,1.0000e+01,1.0000e+00,9.9010e-01,-1.1273e+06,-1.1273e+06,-9.9950e-03,-inf,8.7219e-02,7.6110e+00,inf,4.0353e+01,-8.0022e-01,-1.3698e+00,-1.3735e+00,-2.9857e+00,-1.5556e-01,-5.2389e+00,-2.8738e+00,3.4429e+00,2.3740e+00
2.0000e+03,1.1000e+01,1.0000e+00,1.0880e+00,-1.1252e+06,-1.1253e+06,-1.0995e-02,-inf,8.7225e-02,7.6120e+00,inf,4.4482e+01,1.1413e-01,-1.8021e+00,-4.0310e+00,-2.2387e+00,-2.0808e+00,-4.2829e+00,-2.4288e-01,2.4411e+00,3.7559e+00
2.0000e+03,1.2000e+01,1.0000e+00,1.1858e+00,-1.1249e+06,-1.1249e+06,-1.1994e-02,-inf,8.7230e-02,7.6128e+00,inf,4.8519e+01,-1.0116e+00,-1.9812e+00,-5.9027e+00,-6.7978e+00,-2.7753e-01,-5.6539e+00,-3.6620e+00,3.3151e+00,2.8809e+00
2.0000e+03,1.3000e+01,1.0000e+00,1.2833e+00,-1.1245e+06,-1.1245e+06,-1.2994e-02,-inf,8.7236e-02,7.6139e+00,inf,5.2640e+01,-6.4147e-01,-6.6728e-01,-7.6285e+00,-5.3776e+00,1.1649e+00,-3.4836e-01,-3.8126e+00,3.5099e+00,3.1939e+00
2.0000e+03,1.4000e+01,1.0000e+00,1.3807e+00,-1.1241e+06,-1.1241e+06,-1.3993e-02,-inf,8.7242e-02,7.6150e+00,inf,5.6681e+01,-1.0629e+00,-1.1773e+00,-7.3618e+00,-3.0495e+00,-3.5630e+00,-5.0937e+00,-3.5628e+00,3.0835e+00,3.4074e+00
2.0000e+03,1.5000e+01,1.0000e+00,1.4778e+00,-1.1231e+06,-1.1231e+06,-1.4993e-02,-inf,8.7248e-02,7.6160e+00,inf,6.0750e+01,-1.0062e+00,-9.9030e-01,-4.9805e-01,-1.6852e+00,-3.9323e+00,1.9655e+00,-4.2667e+00,3.4778e+00,2.3979e+00
2.0000e+03,1.6000e+01,1.0000e+00,1.5748e+00,-1.1231e+06,-1.1231e+06,-1.5992e-02,-inf,8.7253e-02,7.6168e+00,inf,6.5038e+01,-5.4951e-01,-1.1408e+00,-1.7147e+00,-5.5511e+00,-6.3267e+00,6.7582e-01,-4.6942e-01,3.1995e+00,3.4026e+00
2.0000e+03,1.7000e+01,1.0000e+00,1.6716e+00,-1.1229e+06,-1.1229e+06,-1.6992e-02,-inf,8.7259e-02,7.6179e+00,inf,6.9103e+01,2.5285e-02,-1.8712e+00,-2.3587e+00,-4.3092e+00,-3.4653e+00,-1.6089e+00,1.6057e+00,-9.9218e-01,3.7569e+00
