nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logNpix,tau
2.0000e+03,1.0000e+00,1.0000e+00,3.3223e-01,-1.1242e+06,-1.1242e+06,-3.3278e-03,-inf,1.4594e-01,6.4001e+00,inf,4.0525e+00,-3.1767e-01,-1.3770e+00,3.7553e+00,1.4559e+00
2.0000e+03,2.0000e+00,1.0000e+00,6.6225e-01,-1.1242e+06,-1.1242e+06,-6.6556e-03,-inf,1.3591e-01,5.5506e+00,9.8306e+05,8.0598e+00,-1.3957e+00,-1.8145e+00,3.6610e+00,2.5134e+00
2.0000e+03,3.0000e+00,1.0000e+00,9.9010e-01,-1.1223e+06,-1.1223e+06,-9.9834e-03,-inf,1.4602e-01,6.4069e+00,9.8306e+05,1.2128e+01,-1.1894e+00,-7.0088e-01,3.9450e+00,7.2533e+00
2.0000e+03,4.0000e+00,1.0000e+00,1.3158e+00,-1.1218e+06,-1.1218e+06,-1.3311e-02,-inf,1.4606e-01,6.4104e+00,9.8121e+05,1.6209e+01,-3.5468e-01,-1.7587e+00,3.9999e+00,9.9764e+00
2.0000e+03,5.0000e+00,1.0000e+00,1.6393e+00,-1.1212e+06,-1.1212e+06,-1.6639e-02,-inf,1.4609e-01,6.4136e+00,9.8072e+05,2.0282e+01,2.6808e-01,-8.6589e-01,3.9834e+00,2.6087e+00
2.0000e+03,6.0000e+00,1.0000e+00,1.9608e+00,-1.1201e+06,-1.1202e+06,-1.9967e-02,-inf,1.4613e-01,6.4168e+00,9.8007e+05,2.4298e+01,-1.4756e+00,-1.0860e+00,3.7953e+00,8.6142e+00
2.0000e+03,7.0000e+00,1.0000e+00,2.2801e+00,-1.1167e+06,-1.1167e+06,-2.3295e-02,-inf,1.4617e-01,6.4203e+00,9.7905e+05,2.8454e+01,-9.0571e-01,-5.6403e-01,3.9934e+00,5.9671e+00
2.0000e+03,8.0000e+00,1.0000e+00,2.5974e+00,-1.1162e+06,-1.1162e+06,-2.6622e-02,-inf,1.4621e-01,6.4235e+00,9.7561e+05,3.2522e+01,-1.2240e+00,-1.1944e+00,3.7939e+00,7.0585e+00
2.0000e+03,9.0000e+00,1.0000e+00,2.9126e+00,-1.1160e+06,-1.1161e+06,-2.9950e-02,-inf,1.4624e-01,6.4268e+00,9.7507e+05,3.6597e+01,-8.8663e-01,-1.8868e+00,3.8105e+00,9.1360e+00
2.0000e+03,1.0000e+01,1.0000e+00,3.2258e+00,-1.1141e+06,-1.1142e+06,-3.3278e-02,-inf,1.4628e-01,6.4302e+00,9.7495e+05,4.0807e+01,1.3139e-01,-1.8159e+00,3.6634e+00,1.1480e+00
2.0000e+03,1.1000e+01,1.0000e+00,3.5370e+00,-1.1135e+06,-1.1135e+06,-3.6606e-02,-inf,1.4632e-01,6.4335e+00,9.7305e+05,4.4823e+01,-3.9506e-01,-1.4539e+00,3.9235e+00,7.0101e+00
2.0000e+03,1.2000e+01,1.0000e+00,3.8462e+00,-1.1079e+06,-1.1079e+06,-3.9933e-02,-inf,1.4636e-01,6.4370e+00,9.8581e+05,4.8839e+01,-6.4392e-01,-1.4832e+00,3.5958e+00,2.5595e+00
2.0000e+03,1.3000e+01,1.0000e+00,4.1534e+00,-1.1067e+06,-1.1068e+06,-4.3261e-02,-inf,1.4640e-01,6.4402e+00,9.8021e+05,5.2865e+01,3.6062e-02,-1.6113e+00,3.5886e+00,1.2585e+00
2.0000e+03,1.4000e+01,1.0000e+00,4.4586e+00,-1.1063e+06,-1.1063e+06,-4.6589e-02,-inf,1.4643e-01,6.4434e+00,9.7903e+05,5.6990e+01,-7.5315e-01,-1.9752e+00,3.7657e+00,8.8595e+00
2.0000e+03,1.5000e+01,1.0000e+00,4.7619e+00,-1.1040e+06,-1.1040e+06,-4.9917e-02,-inf,1.4647e-01,6.4469e+00,9.7859e+05,6.1043e+01,-6.2538e-01,-8.1379e-01,3.8543e+00,5.9781e+00
2.0000e+03,1.6000e+01,1.0000e+00,5.0633e+00,-1.1037e+06,-1.1037e+06,-5.3245e-02,-inf,1.4651e-01,6.4501e+00,9.7627e+05,6.5106e+01,-1.1131e+00,-5.1990e-01,3.8702e+00,5.6430e+00
2.0000e+03,1.7000e+01,1.0000e+00,5.3628e+00,-1.1031e+06,-1.1031e+06,-5.6572e-02,-inf,1.4655e-01,6.4536e+00,9.7596e+05,6.9148e+01,-1.0965e+00,-6.0341e-01,3.8566e+00,9.0097e+00
2.0000e+03,1.8000e+01,1.0000e+00,5.6604e+00,-1.0999e+06,-1.0999e+06,-5.9900e-02,-inf,1.4658e-01,6.4568e+00,9.7542e+05,7.3302e+01,-5.5399e-01,-1.5316e+00,3.5015e+00,1.8866e+00
2.0000e+03,1.9000e+01,1.0000e+00,5.9561e+00,-1.0990e+06,-1.0990e+06,-6.3228e-02,-inf,1.4662e-01,6.4601e+00,9.7221e+05,7.7339e+01,-8.0398e-01,-1.6348e+00,3.7054e+00,7.3588e+00
2.0000e+03,2.0000e+01,1.0000e+00,6.2500e+00,-1.0943e+06,-1.0943e+06,-6.6556e-02,-inf,1.4666e-01,6.4636e+00,9.7131e+05,8.1410e+01,4.2959e-01,-6.4817e-02,3.7901e+00,2.6621e+00
2.0000e+03,2.1000e+01,1.0000e+00,6.5421e+00,-1.0929e+06,-1.0929e+06,-6.9884e-02,-inf,1.4670e-01,6.4668e+00,9.6657e+05,8.5418e+01,-1.4813e+00,-1.9870e-01,3.9317e+00,6.0121e+00
2.0000e+03,2.2000e+01,1.0000e+00,6.8323e+00,-1.0921e+06,-1.0921e+06,-7.3211e-02,-inf,1.4673e-01,6.4700e+00,9.6517e+05,8.9427e+01,4.0648e-01,-2.2923e-01,3.3379e+00,1.2863e+00
2.0000e+03,2.3000e+01,1.0000e+00,7.1207e+00,-1.0902e+06,-1.0902e+06,-7.6539e-02,-inf,1.4677e-01,6.4735e+00,9.6438e+05,9.3427e+01,-6.2621e-01,-7.7570e-01,3.7546e+00,6.6316e+00
2.0000e+03,2.4000e+01,1.0000e+00,7.4074e+00,-1.0881e+06,-1.0881e+06,-7.9867e-02,-inf,1.4681e-01,6.4767e+00,9.6246e+05,9.7457e+01,-3.0474e-01,-1.1543e+00,3.8005e+00,9.9457e+00
2.0000e+03,2.5000e+01,3.0000e+00,7.6453e+00,-1.0879e+06,-1.0879e+06,-8.3195e-02,-inf,1.4685e-01,6.4802e+00,9.6037e+05,1.0972e+02,3.0314e-01,-1.3430e+00,3.6221e+00,3.1288e+00
2.0000e+03,2.6000e+01,1.0000e+00,7.9268e+00,-1.0864e+06,-1.0864e+06,-8.6523e-02,-inf,1.4689e-01,6.4834e+00,9.6014e+05,1.1383e+02,3.7728e-01,-5.0991e-01,3.7322e+00,3.1350e+00
2.0000e+03,2.7000e+01,1.0000e+00,8.2067e+00,-1.0848e+06,-1.0849e+06,-8.9850e-02,-inf,1.4692e-01,6.4867e+00,9.5870e+05,1.1785e+02,-1.4832e+00,-1.0569e+00,3.5573e+00,9.3086e+00
2.0000e+03,2.8000e+01,1.0000e+00,8.4848e+00,-1.0842e+06,-1.0842e+06,-9.3178e-02,-inf,1.4696e-01,6.4902e+00,9.5713e+05,1.2189e+02,-8.6633e-01,-8.6380e-01,3.6074e+00,4.9256e+00
2.0000e+03,2.9000e+01,1.0000e+00,8.7613e+00,-1.0818e+06,-1.0819e+06,-9.6506e-02,-inf,1.4700e-01,6.4934e+00,9.5648e+05,1.2589e+02,4.6530e-01,-1.6474e+00,3.3999e+00,2.3974e+00
2.0000e+03,3.0000e+01,1.0000e+00,9.0361e+00,-1.0818e+06,-1.0818e+06,-9.9834e-02,-inf,1.4704e-01,6.4969e+00,9.5413e+05,1.3008e+02,-2.6199e-01,-4.4107e-01,3.7940e+00,4.0746e+00
2.0000e+03,3.1000e+01,1.0000e+00,9.3093e+00,-1.0802e+06,-1.0802e+06,-1.0316e-01,-inf,1.4707e-01,6.5001e+00,9.5404e+05,1.3409e+02,2.5905e-01,-1.0002e+00,3.7428e+00,4.7117e+00
2.0000e+03,3.2000e+01,1.0000e+00,9.5808e+00,-1.0793e+06,-1.0793e+06,-1.0649e-01,-inf,1.4711e-01,6.5033e+00,9.5243e+05,1.3811e+02,-1.0504e+00,-1.4203e+00,3.5469e+00,7.6975e+00
2.0000e+03,3.3000e+01,1.0000e+00,9.8507e+00,-1.0789e+06,-1.0789e+06,-1.0982e-01,-inf,1.4715e-01,6.5068e+00,9.5161e+05,1.4215e+02,-5.1007e-01,-3.8024e-01,3.8637e+00,6.7373e+00
2.0000e+03,3.4000e+01,1.0000e+00,1.0119e+01,-1.0789e+06,-1.0789e+06,-1.1314e-01,-inf,1.4152e-01,6.0180e+00,9.5121e+05,1.4624e+02,-4.7514e-01,-1.7105e+00,3.6304e+00,7.6441e+00
2.0000e+03,3.5000e+01,2.0000e+00,1.0355e+01,-1.0785e+06,-1.0786e+06,-1.1647e-01,-inf,1.4722e-01,6.5133e+00,9.5121e+05,1.5434e+02,2.7846e-01,-1.8955e+00,3.3496e+00,2.3066e+00
