nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logNpix,tau
2.0000e+03,1.0000e+00,1.0000e+00,3.3223e-01,-1.4291e+06,-1.4291e+06,-3.3278e-03,-inf,1.4594e-01,6.4001e+00,inf,3.9907e+00,-3.5468e-01,-1.7587e+00,3.9999e+00,9.9764e+00
2.0000e+03,2.0000e+00,1.0000e+00,6.6225e-01,-1.4175e+06,-1.4175e+06,-6.6556e-03,-inf,1.4598e-01,6.4037e+00,inf,7.9187e+00,-8.8663e-01,-1.8868e+00,3.8105e+00,9.1360e+00
2.0000e+03,3.0000e+00,1.0000e+00,9.9010e-01,-1.4138e+06,-1.4138e+06,-9.9834e-03,-inf,1.4602e-01,6.4069e+00,inf,1.1904e+01,-1.4756e+00,-1.0860e+00,3.7953e+00,8.6142e+00
2.0000e+03,4.0000e+00,1.0000e+00,1.3158e+00,-1.4092e+06,-1.4092e+06,-1.3311e-02,-inf,1.4606e-01,6.4104e+00,inf,1.5894e+01,-1.2240e+00,-1.1944e+00,3.7939e+00,7.0585e+00
2.0000e+03,5.0000e+00,1.0000e+00,1.6393e+00,-1.4089e+06,-1.4089e+06,-1.6639e-02,-inf,1.4609e-01,6.4136e+00,inf,1.9866e+01,-3.9506e-01,-1.4539e+00,3.9235e+00,7.0101e+00
2.0000e+03,6.0000e+00,1.0000e+00,1.9608e+00,-1.4084e+06,-1.4084e+06,-1.9967e-02,-inf,1.4613e-01,6.4168e+00,inf,2.3817e+01,-7.5315e-01,-1.9752e+00,3.7657e+00,8.8595e+00
2.0000e+03,7.0000e+00,1.0000e+00,2.2801e+00,-1.4081e+06,-1.4081e+06,-2.3295e-02,-inf,1.4617e-01,6.4203e+00,inf,2.7913e+01,-1.1894e+00,-7.0088e-01,3.9450e+00,7.2533e+00
2.0000e+03,8.0000e+00,1.0000e+00,2.5974e+00,-1.3964e+06,-1.3964e+06,-2.6622e-02,-inf,1.4621e-01,6.4235e+00,inf,3.1913e+01,-8.0398e-01,-1.6348e+00,3.7054e+00,7.3588e+00
2.0000e+03,9.0000e+00,1.0000e+00,2.9126e+00,-1.3947e+06,-1.3947e+06,-2.9950e-02,-inf,1.4624e-01,6.4267e+00,inf,3.5929e+01,-9.0571e-01,-5.6403e-01,3.9934e+00,5.9671e+00
2.0000e+03,1.0000e+01,1.0000e+00,3.2258e+00,-1.3944e+06,-1.3944e+06,-3.3278e-02,-inf,1.4628e-01,6.4302e+00,inf,4.0054e+01,-3.0474e-01,-1.1543e+00,3.8005e+00,9.9457e+00
2.0000e+03,1.1000e+01,1.0000e+00,3.5370e+00,-1.3927e+06,-1.3927e+06,-3.6606e-02,-inf,1.4632e-01,6.4335e+00,inf,4.3987e+01,-1.0965e+00,-6.0341e-01,3.8566e+00,9.0097e+00
2.0000e+03,1.2000e+01,1.0000e+00,3.8462e+00,-1.3879e+06,-1.3879e+06,-3.9933e-02,-inf,1.4636e-01,6.4370e+00,inf,4.7909e+01,-1.3957e+00,-1.8145e+00,3.6610e+00,2.5134e+00
2.0000e+03,1.3000e+01,1.0000e+00,4.1534e+00,-1.3874e+06,-1.3874e+06,-4.3261e-02,-inf,1.4640e-01,6.4402e+00,inf,5.1856e+01,-6.2538e-01,-8.1379e-01,3.8543e+00,5.9781e+00
2.0000e+03,1.4000e+01,1.0000e+00,4.4586e+00,-1.3846e+06,-1.3846e+06,-4.6589e-02,-inf,1.4643e-01,6.4434e+00,inf,5.5884e+01,-1.4832e+00,-1.0569e+00,3.5573e+00,9.3086e+00
2.0000e+03,1.5000e+01,1.0000e+00,4.7619e+00,-1.3792e+06,-1.3792e+06,-4.9917e-02,-inf,1.4647e-01,6.4469e+00,inf,5.9843e+01,-1.1131e+00,-5.1990e-01,3.8702e+00,5.6430e+00
2.0000e+03,1.6000e+01,1.0000e+00,5.0633e+00,-1.3791e+06,-1.3791e+06,-5.3245e-02,-inf,1.4651e-01,6.4501e+00,inf,6.3807e+01,-4.7514e-01,-1.7105e+00,3.6304e+00,7.6441e+00
2.0000e+03,1.7000e+01,1.0000e+00,5.3628e+00,-1.3765e+06,-1.3765e+06,-5.6572e-02,-inf,1.4655e-01,6.4536e+00,inf,6.7763e+01,-1.1075e+00,-1.5235e+00,3.4735e+00,9.0684e+00
2.0000e+03,1.8000e+01,2.0000e+00,5.6426e+00,-1.3763e+06,-1.3763e+06,-5.9900e-02,-inf,1.4658e-01,6.4568e+00,inf,7.5792e+01,-6.2621e-01,-7.7570e-01,3.7546e+00,6.6316e+00
2.0000e+03,1.9000e+01,1.0000e+00,5.9375e+00,-1.3738e+06,-1.3738e+06,-6.3228e-02,-inf,1.4662e-01,6.4601e+00,inf,7.9771e+01,-3.1767e-01,-1.3770e+00,3.7553e+00,1.4559e+00
2.0000e+03,2.0000e+01,1.0000e+00,6.2305e+00,-1.3706e+06,-1.3706e+06,-6.6556e-02,-inf,1.4666e-01,6.4636e+00,inf,8.3697e+01,-2.6772e-01,-1.5614e+00,3.6176e+00,6.8308e+00
2.0000e+03,2.1000e+01,1.0000e+00,6.5217e+00,-1.3684e+06,-1.3684e+06,-6.9884e-02,-inf,1.4670e-01,6.4668e+00,inf,8.7635e+01,-6.4392e-01,-1.4832e+00,3.5958e+00,2.5595e+00
2.0000e+03,2.2000e+01,1.0000e+00,6.8111e+00,-1.3649e+06,-1.3649e+06,-7.3211e-02,-inf,1.4673e-01,6.4700e+00,inf,9.1563e+01,-8.6633e-01,-8.6380e-01,3.6074e+00,4.9256e+00
2.0000e+03,2.3000e+01,1.0000e+00,7.0988e+00,-1.3648e+06,-1.3649e+06,-7.6539e-02,-inf,1.4677e-01,6.4735e+00,inf,9.5562e+01,2.6808e-01,-8.6589e-01,3.9834e+00,2.6087e+00
2.0000e+03,2.4000e+01,1.0000e+00,7.3846e+00,-1.3624e+06,-1.3624e+06,-7.9867e-02,-inf,1.4681e-01,6.4767e+00,inf,9.9600e+01,-3.6678e-01,-9.7199e-01,3.6066e+00,7.4831e+00
2.0000e+03,2.5000e+01,1.0000e+00,7.6687e+00,-1.3615e+06,-1.3615e+06,-8.3195e-02,-inf,1.4685e-01,6.4802e+00,inf,1.0369e+02,-7.3402e-01,-6.8382e-01,3.6436e+00,6.1541e+00
2.0000e+03,2.6000e+01,1.0000e+00,7.9511e+00,-1.3608e+06,-1.3608e+06,-8.6523e-02,-inf,1.4689e-01,6.4834e+00,inf,1.0765e+02,2.7979e-01,-1.6631e+00,3.6507e+00,7.3250e+00
2.0000e+03,2.7000e+01,1.0000e+00,8.2317e+00,-1.3585e+06,-1.3585e+06,-8.9850e-02,-inf,1.4692e-01,6.4867e+00,inf,1.1167e+02,-9.6441e-01,-1.9265e+00,3.4121e+00,4.0042e+00
2.0000e+03,2.8000e+01,1.0000e+00,8.5106e+00,-1.3576e+06,-1.3576e+06,-9.3178e-02,-inf,1.4696e-01,6.4902e+00,inf,1.1559e+02,-5.5399e-01,-1.5316e+00,3.5015e+00,1.8866e+00
2.0000e+03,2.9000e+01,1.0000e+00,8.7879e+00,-1.3576e+06,-1.3576e+06,-9.6506e-02,-inf,1.4700e-01,6.4934e+00,inf,1.1953e+02,-9.8869e-01,-1.7834e+00,3.3285e+00,8.0423e+00
2.0000e+03,3.0000e+01,1.0000e+00,9.0634e+00,-1.3559e+06,-1.3559e+06,-9.9834e-02,-inf,1.4704e-01,6.4969e+00,inf,1.2355e+02,-1.2041e+00,-1.9670e+00,3.3472e+00,4.1421e+00
2.0000e+03,3.1000e+01,2.0000e+00,9.3093e+00,-1.3547e+06,-1.3547e+06,-1.0316e-01,-inf,1.4707e-01,6.5001e+00,inf,1.3157e+02,-5.1007e-01,-3.8024e-01,3.8637e+00,6.7373e+00
2.0000e+03,3.2000e+01,1.0000e+00,9.5808e+00,-1.3544e+06,-1.3544e+06,-1.0649e-01,-inf,1.4711e-01,6.5033e+00,inf,1.3553e+02,-7.6560e-01,-1.5351e+00,3.3552e+00,7.5403e+00
2.0000e+03,3.3000e+01,1.0000e+00,9.8507e+00,-1.3540e+06,-1.3541e+06,-1.0982e-01,-inf,1.4715e-01,6.5068e+00,inf,1.3950e+02,1.3139e-01,-1.8159e+00,3.6634e+00,1.1480e+00
