logfeh_mean,logdust,logNpix,tau,logl
-4.9319e-01,-1.9651e+00,1.2192e+00,4.2515e+00,-4.5541e+04
-4.8127e-01,-1.9851e+00,1.2174e+00,4.2628e+00,-4.5559e+04
-4.9178e-01,-1.9431e+00,1.2165e+00,4.5380e+00,-4.5524e+04
-4.9274e-01,-1.8836e+00,1.2137e+00,4.6153e+00,-4.5458e+04
-4.8822e-01,-1.9742e+00,1.2253e+00,4.3158e+00,-4.5559e+04
-4.9711e-01,-1.9846e+00,1.2234e+00,4.2567e+00,-4.5245e+04
-4.9331e-01,-1.8613e+00,1.2125e+00,4.6266e+00,-4.5545e+04
-4.9253e-01,-1.9778e+00,1.2114e+00,4.4877e+00,-4.5335e+04
-4.9262e-01,-1.9343e+00,1.2143e+00,4.5408e+00,-4.5147e+04
-4.9010e-01,-1.9414e+00,1.2207e+00,4.5069e+00,-4.5564e+04
-4.9691e-01,-1.8867e+00,1.2014e+00,4.7207e+00,-4.5364e+04
-4.9640e-01,-1.9629e+00,1.2251e+00,4.3051e+00,-4.5337e+04
-4.9319e-01,-1.9918e+00,1.2127e+00,4.4815e+00,-4.5259e+04
-4.9604e-01,-1.9965e+00,1.2033e+00,4.7030e+00,-4.5437e+04
-4.9390e-01,-1.9457e+00,1.2120e+00,4.6430e+00,-4.5557e+04
-4.9318e-01,-1.9861e+00,1.2205e+00,4.1938e+00,-4.5257e+04
-4.8682e-01,-1.9386e+00,1.2166e+00,4.4385e+00,-4.5482e+04
-4.9179e-01,-1.9846e+00,1.2139e+00,4.4470e+00,-4.5417e+04
-4.9027e-01,-1.9938e+00,1.2088e+00,4.4824e+00,-4.5075e+04
-4.4896e-01,-1.9997e+00,1.2300e+00,4.2317e+00,-4.5495e+04
-4.9398e-01,-1.8878e+00,1.2139e+00,4.5806e+00,-4.5560e+04
-4.9425e-01,-1.8598e+00,1.2125e+00,4.6571e+00,-4.5556e+04
-4.8267e-01,-1.9273e+00,1.2147e+00,4.4387e+00,-4.5355e+04
-4.9510e-01,-1.9629e+00,1.2184e+00,4.2424e+00,-4.5466e+04
-4.9067e-01,-1.9891e+00,1.2239e+00,4.2615e+00,-4.5563e+04
-4.9728e-01,-1.9083e+00,1.2219e+00,4.2894e+00,-4.5446e+04
-4.9755e-01,-1.9979e+00,1.2243e+00,4.3800e+00,-4.5342e+04
-4.9448e-01,-1.9166e+00,1.2138e+00,4.5795e+00,-4.5541e+04
-4.9045e-01,-1.9698e+00,1.2103e+00,4.4654e+00,-4.5368e+04
-4.8747e-01,-1.9420e+00,1.2182e+00,4.4176e+00,-4.5516e+04
-4.9030e-01,-1.9820e+00,1.2105e+00,4.4751e+00,-4.5353e+04
-4.9686e-01,-1.9974e+00,1.2115e+00,4.4446e+00,-4.5523e+04
-4.9349e-01,-1.9318e+00,1.2151e+00,4.5791e+00,-4.5559e+04
-4.9873e-01,-1.9662e+00,1.2338e+00,3.9348e+00,-4.5301e+04
-4.8560e-01,-1.8414e+00,1.2209e+00,4.5553e+00,-4.5526e+04
-4.9226e-01,-1.9469e+00,1.2107e+00,4.4606e+00,-4.5298e+04
