logfeh_mean,logdust,logNpix,tau,dmod,logl
-2.1977e-01,-1.6388e+00,1.8655e+00,3.9868e+00,2.4789e+01,-7.7254e+04
-2.2763e-01,-1.8730e+00,1.9876e+00,4.8590e+00,2.5721e+01,-8.7172e+04
-2.6462e-01,-1.5892e+00,1.6210e+00,4.4368e+00,2.4152e+01,-7.1077e+04
-4.0272e-01,-1.6104e+00,1.5553e+00,4.2569e+00,2.4188e+01,-5.6808e+04
-1.7800e-01,-1.6093e+00,1.6724e+00,3.8490e+00,2.4541e+01,-8.6947e+04
-3.0614e-01,-1.2664e+00,1.7169e+00,4.4828e+00,2.4788e+01,-8.9309e+04
-3.9363e-01,-1.8112e+00,1.5632e+00,4.9534e-01,2.4150e+01,-8.9290e+04
-2.2218e-01,-1.8608e+00,1.8640e+00,3.6483e+00,2.4887e+01,-7.0992e+04
-3.9935e-01,-1.7692e+00,1.7798e+00,3.6250e+00,2.4656e+01,-6.0346e+04
-3.3377e-01,-1.9084e+00,2.7537e+00,4.5648e+00,2.7776e+01,-7.9422e+04
1.6737e-02,-1.4438e+00,1.6994e+00,4.9163e+00,2.4281e+01,-9.0038e+04
8.0664e-02,-1.7133e+00,1.6642e+00,4.8425e+00,2.4214e+01,-8.9139e+04
-3.1569e-01,-1.9879e+00,1.7363e+00,3.9586e+00,2.4694e+01,-5.8429e+04
4.6791e-02,-1.8587e+00,1.9290e+00,4.9329e+00,2.4880e+01,-8.9673e+04
-3.6742e-01,-1.9535e+00,1.8069e+00,4.7004e+00,2.4793e+01,-5.5879e+04
-3.6590e-01,-1.4130e+00,2.8999e+00,4.2948e+00,2.7879e+01,-8.9936e+04
-3.8402e-01,-1.8388e+00,2.2875e+00,4.3493e+00,2.6147e+01,-5.7704e+04
-3.6310e-01,-1.6799e+00,1.6326e+00,3.2210e+00,2.4268e+01,-6.6541e+04
-2.2129e-01,-1.7313e+00,1.8109e+00,3.6420e+00,2.4833e+01,-7.7763e+04
-4.2923e-01,-1.6383e+00,2.2318e+00,4.8462e+00,2.5891e+01,-8.0597e+04
-4.1159e-01,-1.6460e+00,1.9520e+00,4.9289e+00,2.5516e+01,-5.5430e+04
-2.4530e-01,-1.8398e+00,1.6786e+00,3.1389e+00,2.4423e+01,-7.8161e+04
-1.7429e-01,-1.7096e+00,2.6445e+00,4.6100e+00,2.7274e+01,-8.3077e+04
-1.7577e-01,-1.6582e+00,2.5781e+00,4.9101e+00,2.7022e+01,-7.2469e+04
-3.0351e-01,-1.8659e+00,1.6932e+00,2.7223e+00,2.4470e+01,-7.9456e+04
-3.8929e-01,-1.2559e+00,2.5771e+00,4.2150e+00,2.6973e+01,-8.4734e+04
-4.6276e-01,-1.7268e+00,2.3906e+00,2.0376e+00,2.6274e+01,-8.9966e+04
-4.4614e-01,-1.5370e+00,2.1508e+00,3.5321e+00,2.5690e+01,-6.7740e+04
-3.8618e-01,-1.7916e+00,2.7880e+00,4.6507e+00,2.7826e+01,-6.4514e+04
-4.7883e-01,-1.5127e+00,2.1134e+00,4.5281e+00,2.5737e+01,-4.9734e+04
-4.3964e-01,-1.3541e+00,2.5706e+00,4.7807e+00,2.7229e+01,-7.0601e+04
-4.0424e-01,-1.9010e+00,2.6194e+00,4.9752e+00,2.7363e+01,-4.6270e+04
-1.3673e-01,-1.5624e+00,1.7600e+00,4.9010e+00,2.4590e+01,-7.0189e+04
-3.3610e-01,-1.6697e+00,1.9288e+00,3.8861e+00,2.5263e+01,-6.4464e+04
-2.8725e-01,-1.8370e+00,2.4756e+00,4.8981e+00,2.6905e+01,-5.6858e+04
-2.8773e-01,-1.6853e+00,2.5636e+00,4.9616e+00,2.7156e+01,-6.2934e+04
-3.7124e-01,-1.4307e+00,1.8678e+00,3.7550e+00,2.4818e+01,-7.5387e+04
-2.7036e-01,-1.9248e+00,1.5420e+00,3.0764e+00,2.3938e+01,-7.4899e+04
-4.8072e-01,-1.6840e+00,2.0713e+00,4.3662e+00,2.5641e+01,-4.7572e+04
-4.9577e-01,-1.5670e+00,2.6249e+00,4.6238e+00,2.7020e+01,-8.4310e+04
-2.7850e-01,-1.6220e+00,2.7410e+00,4.2614e+00,2.7461e+01,-8.2206e+04
-4.8551e-01,-1.9526e+00,1.8892e+00,3.4489e+00,2.5349e+01,-7.0366e+04
-4.6177e-01,-1.6301e+00,1.6586e+00,2.4590e+00,2.4533e+01,-8.3500e+04
-4.2883e-01,-1.7581e+00,1.8744e+00,1.1864e+00,2.4798e+01,-8.4897e+04
-1.9612e-01,-1.7048e+00,1.6133e+00,4.4237e+00,2.4082e+01,-7.5477e+04
-3.3212e-01,-1.5981e+00,2.3897e+00,4.4361e+00,2.6462e+01,-6.2328e+04
-2.9842e-01,-1.3320e+00,2.4873e+00,4.0789e+00,2.6661e+01,-9.0014e+04
-3.9224e-01,-1.9243e+00,1.9222e+00,3.9948e+00,2.5315e+01,-5.5868e+04
-4.7820e-01,-1.8757e+00,2.7313e+00,3.7582e+00,2.7531e+01,-5.9882e+04
-2.1796e-01,-1.6696e+00,2.3328e+00,4.6269e+00,2.6202e+01,-7.2256e+04
-4.2279e-01,-1.9669e+00,1.8192e+00,4.8362e+00,2.5056e+01,-4.7495e+04
-4.7723e-01,-1.2641e+00,1.6828e+00,4.3099e+00,2.4520e+01,-6.1502e+04
-3.2779e-01,-1.3038e+00,1.7863e+00,4.9466e+00,2.4921e+01,-6.7858e+04
-4.0586e-01,-1.7573e+00,1.9624e+00,1.0780e+00,2.5012e+01,-9.0157e+04
-4.4433e-01,-1.7992e+00,2.1793e+00,4.7134e+00,2.6343e+01,-7.5168e+04
-3.3468e-01,-1.9771e+00,2.6240e+00,4.9888e+00,2.7463e+01,-6.6122e+04
-4.9795e-01,-1.9110e+00,1.8776e+00,4.2273e+00,2.5310e+01,-5.5395e+04
-3.0174e-01,-1.9446e+00,2.6928e+00,4.0391e+00,2.7392e+01,-7.4103e+04
-3.5218e-01,-1.9600e+00,2.2358e+00,3.5926e+00,2.5830e+01,-7.8836e+04
-4.5368e-01,-1.9711e+00,2.2484e+00,1.5366e+00,2.5886e+01,-8.3651e+04
-4.6059e-01,-1.9506e+00,1.7557e+00,4.2764e+00,2.5127e+01,-8.0994e+04
-1.9374e-01,-1.8080e+00,1.9509e+00,3.1724e+00,2.5080e+01,-8.6802e+04
-3.6035e-01,-1.1683e+00,1.7827e+00,3.9933e+00,2.4844e+01,-8.9742e+04
-4.2211e-01,-1.6925e+00,1.6159e+00,3.2828e+00,2.4556e+01,-8.5278e+04
-3.7059e-01,-1.6967e+00,1.8505e+00,4.5061e+00,2.5065e+01,-5.2415e+04
-2.8826e-01,-1.6797e+00,1.9955e+00,3.2937e+00,2.5313e+01,-7.8988e+04
-3.7316e-01,-1.8191e+00,2.0807e+00,3.9614e+00,2.5874e+01,-7.4043e+04
-4.4754e-01,-1.6625e+00,1.7325e+00,1.6952e+00,2.4576e+01,-8.2160e+04
-4.9077e-01,-1.4778e+00,2.6997e+00,4.8554e+00,2.7317e+01,-6.9989e+04
-4.2410e-01,-1.3881e+00,1.9771e+00,2.6045e+00,2.5125e+01,-8.7052e+04
-4.6839e-01,-1.3233e+00,2.1849e+00,3.3622e+00,2.5695e+01,-8.2082e+04
-2.2202e-01,-1.8829e+00,1.5826e+00,4.6538e+00,2.4257e+01,-6.1493e+04
-4.1229e-02,-1.8580e+00,1.5921e+00,4.7977e+00,2.3980e+01,-8.2795e+04
-2.5249e-01,-1.9841e+00,2.3268e+00,3.8220e+00,2.6031e+01,-8.9831e+04
-4.8087e-01,-1.7961e+00,1.5971e+00,3.2189e-01,2.4249e+01,-7.9843e+04
-4.8954e-01,-9.5412e-01,2.1599e+00,4.7153e+00,2.5707e+01,-8.8783e+04
-4.7356e-01,-1.7625e+00,2.7657e+00,3.4770e+00,2.7713e+01,-8.5150e+04
-4.2080e-01,-1.8730e+00,2.0824e+00,1.2271e+00,2.5311e+01,-9.0749e+04
-1.4752e-01,-1.4386e+00,1.6420e+00,4.8598e+00,2.4475e+01,-8.0705e+04
-3.6382e-01,-1.3419e+00,1.8457e+00,4.0555e+00,2.4850e+01,-6.9881e+04
-4.3506e-01,-1.3452e+00,2.6640e+00,4.9300e+00,2.7150e+01,-8.2933e+04
-1.9568e-01,-1.9322e+00,2.7290e+00,4.0488e+00,2.7430e+01,-8.9236e+04
-3.9596e-01,-1.7445e+00,1.9628e+00,4.1498e+00,2.4980e+01,-9.0643e+04
-4.0725e-01,-1.2122e+00,1.5336e+00,4.5849e+00,2.4118e+01,-7.0664e+04
-4.5516e-01,-1.7686e+00,1.6163e+00,4.1048e+00,2.4261e+01,-5.3893e+04
-4.3870e-01,-1.5909e+00,1.5489e+00,1.6098e+00,2.3998e+01,-8.2496e+04
-2.1713e-01,-1.5519e+00,1.5637e+00,3.6865e+00,2.4126e+01,-7.9530e+04
-4.6894e-02,-1.9739e+00,2.2026e+00,4.8133e+00,2.5970e+01,-7.5205e+04
-3.8208e-01,-1.3099e+00,2.2313e+00,4.6897e+00,2.5807e+01,-8.7958e+04
-4.4539e-01,-1.2648e+00,1.9517e+00,3.1915e+00,2.5307e+01,-9.0023e+04
-1.2982e-01,-1.7472e+00,2.2312e+00,4.4229e+00,2.5938e+01,-7.5896e+04
-1.9185e-01,-1.9987e+00,1.8157e+00,3.3746e+00,2.4895e+01,-8.5061e+04
-1.5501e-01,-1.7222e+00,2.4729e+00,4.8537e+00,2.6859e+01,-8.0221e+04
-3.2801e-01,-1.7905e+00,2.5798e+00,4.4005e+00,2.6978e+01,-6.7135e+04
-2.1429e-01,-1.8720e+00,2.2058e+00,4.1764e+00,2.6032e+01,-7.2583e+04
-4.2355e-01,-1.9637e+00,1.7750e+00,5.4549e-01,2.4570e+01,-7.8961e+04
-3.5343e-01,-1.6856e+00,1.5933e+00,3.0031e+00,2.4265e+01,-7.4878e+04
-3.3271e-01,-1.4483e+00,1.9234e+00,4.6133e+00,2.5143e+01,-5.8395e+04
