logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-2.1132e-01,-1.3445e+00,-5.0011e+00,-4.4565e+00,-4.2153e+00,-1.3594e+00,2.4218e+00,2.4935e+01,-3.0770e+03
-5.0826e-02,-1.9366e+00,-5.2653e+00,-4.7264e+00,-4.0285e+00,2.6319e-01,2.3595e+00,2.4747e+01,-2.7853e+03
-1.4585e-01,-1.4942e+00,-6.2059e+00,-5.6511e+00,-4.2061e+00,-1.2016e-01,2.4230e+00,2.4925e+01,-3.0537e+03
-1.2381e-01,-1.6992e+00,-5.1396e+00,-4.2078e+00,-3.1144e+00,-8.6916e-01,2.4970e+00,2.5133e+01,-3.3047e+03
-1.3431e-01,-1.5590e+00,-6.6936e+00,-5.6587e+00,-4.0059e+00,-9.1327e-02,2.3522e+00,2.4738e+01,-3.3406e+03
-1.1585e-01,-1.5303e+00,-5.8062e+00,-4.4272e+00,-3.4538e+00,-4.1604e-01,2.3679e+00,2.4755e+01,-3.0160e+03
-1.6518e-01,-1.5525e+00,-6.2234e+00,-5.5161e+00,-3.1386e+00,-9.5476e-01,2.4450e+00,2.5020e+01,-3.0395e+03
-9.2394e-02,-1.7984e+00,-6.1653e+00,-4.2786e+00,-4.2388e+00,-1.5045e+00,2.3315e+00,2.4697e+01,-3.3590e+03
-1.1709e-01,-1.6187e+00,-6.1809e+00,-5.3615e+00,-4.5395e+00,-9.6905e-01,2.4317e+00,2.4947e+01,-2.9670e+03
-1.9646e-01,-1.4562e+00,-6.2020e+00,-5.0939e+00,-3.3286e+00,-5.2147e-01,2.4243e+00,2.4971e+01,-3.3077e+03
-1.0691e-01,-1.7222e+00,-5.9370e+00,-5.6438e+00,-3.5553e+00,-5.0036e-01,2.4446e+00,2.5002e+01,-2.9884e+03
-1.0733e-01,-1.5786e+00,-6.8626e+00,-4.9197e+00,-3.2832e+00,-1.0835e+00,2.3654e+00,2.4760e+01,-3.0021e+03
-2.2363e-01,-1.3274e+00,-6.8440e+00,-5.0162e+00,-4.0069e+00,-6.6731e-01,2.3969e+00,2.4874e+01,-3.0142e+03
-5.8150e-02,-1.7040e+00,-6.4865e+00,-4.2660e+00,-3.6719e+00,-1.1689e+00,2.2927e+00,2.4538e+01,-3.3490e+03
-1.1764e-01,-1.5749e+00,-5.8310e+00,-5.2812e+00,-3.4904e+00,3.8407e-01,2.3546e+00,2.4770e+01,-3.1107e+03
-5.4082e-02,-1.8732e+00,-5.6478e+00,-5.6281e+00,-3.3240e+00,-1.9719e-01,2.4088e+00,2.4875e+01,-3.0552e+03
-7.6103e-02,-1.8369e+00,-5.5740e+00,-5.1024e+00,-4.3452e+00,-1.5779e-01,2.3646e+00,2.4774e+01,-2.9389e+03
-2.1717e-02,-1.9395e+00,-5.2060e+00,-5.2516e+00,-4.4003e+00,-1.2514e+00,2.3493e+00,2.4681e+01,-3.1060e+03
-2.4785e-01,-1.3527e+00,-5.1602e+00,-4.5202e+00,-3.5165e+00,-1.4080e+00,2.4466e+00,2.5036e+01,-3.2800e+03
-9.6030e-02,-1.7933e+00,-5.5382e+00,-5.5514e+00,-3.6463e+00,1.4303e-01,2.4293e+00,2.4937e+01,-3.1838e+03
-6.7151e-02,-1.9474e+00,-5.5377e+00,-5.4486e+00,-3.0848e+00,-8.4610e-01,2.3228e+00,2.4663e+01,-3.3230e+03
-2.3559e-01,-1.3206e+00,-5.6090e+00,-4.7193e+00,-2.5678e+00,-2.4563e-01,2.4585e+00,2.5067e+01,-3.3767e+03
-8.6225e-02,-1.6846e+00,-5.2263e+00,-4.0880e+00,-3.9918e+00,1.9373e-01,2.3473e+00,2.4710e+01,-3.1617e+03
-1.2256e-01,-1.6326e+00,-6.2711e+00,-5.2646e+00,-3.2610e+00,4.3518e-01,2.3902e+00,2.4886e+01,-3.1227e+03
-2.0123e-01,-1.3148e+00,-6.7848e+00,-4.3726e+00,-3.0900e+00,-9.4737e-01,2.3874e+00,2.4824e+01,-3.3209e+03
-1.0472e-01,-1.8710e+00,-5.6656e+00,-4.6817e+00,-3.3170e+00,2.0620e-01,2.4236e+00,2.4945e+01,-3.3628e+03
-1.5144e-01,-1.5651e+00,-5.8750e+00,-3.8578e+00,-3.4654e+00,3.5116e-01,2.5070e+00,2.5174e+01,-3.3669e+03
-7.5607e-02,-1.8281e+00,-5.9503e+00,-4.1254e+00,-4.1264e+00,-6.0905e-01,2.4473e+00,2.4987e+01,-2.9927e+03
-1.2602e-01,-1.6098e+00,-5.6361e+00,-4.1996e+00,-3.1129e+00,9.8208e-03,2.3780e+00,2.4834e+01,-2.9792e+03
-7.0810e-02,-1.9639e+00,-5.9892e+00,-4.7165e+00,-3.4861e+00,-4.3410e-02,2.4016e+00,2.4862e+01,-3.1746e+03
-3.1133e-02,-1.8252e+00,-6.1991e+00,-4.4060e+00,-3.3224e+00,-5.0551e-01,2.3724e+00,2.4732e+01,-3.2682e+03
-6.9378e-02,-1.9041e+00,-4.9790e+00,-5.3999e+00,-3.1767e+00,-8.3135e-01,2.3809e+00,2.4822e+01,-3.0168e+03
-9.8273e-02,-1.5744e+00,-4.9487e+00,-3.9244e+00,-4.3779e+00,-2.6783e-01,2.3450e+00,2.4699e+01,-3.1327e+03
-2.5568e-01,-1.2826e+00,-6.4148e+00,-4.6411e+00,-3.4824e+00,-4.6651e-01,2.4738e+00,2.5089e+01,-3.1602e+03
-1.5863e-01,-1.5476e+00,-5.0294e+00,-3.7393e+00,-3.5132e+00,-3.9359e-01,2.4288e+00,2.4961e+01,-3.1217e+03
-1.0507e-01,-1.6956e+00,-6.0867e+00,-3.6987e+00,-3.7171e+00,-9.0740e-01,2.3993e+00,2.4862e+01,-2.7577e+03
-1.3010e-01,-1.6776e+00,-4.9215e+00,-5.2179e+00,-3.1747e+00,-1.8160e-01,2.3849e+00,2.4863e+01,-3.1466e+03
-1.2581e-01,-1.7019e+00,-5.3375e+00,-4.3887e+00,-4.0915e+00,-2.4195e-01,2.4008e+00,2.4900e+01,-2.9602e+03
-1.0886e-01,-1.6697e+00,-6.2609e+00,-4.4952e+00,-3.2225e+00,-1.4155e+00,2.4489e+00,2.4989e+01,-3.0253e+03
-3.2627e-02,-1.8629e+00,-6.3633e+00,-5.5896e+00,-2.8342e+00,-1.5261e+00,2.3839e+00,2.4768e+01,-3.2704e+03
