logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-4.4768e-01,-1.7171e+00,-2.7836e+00,-1.6852e+00,3.6968e-01,7.9707e-01,1.7567e+00,-2.8132e+04
-3.1554e-01,-1.7147e+00,-2.2375e+00,-1.3216e+00,4.7627e-01,1.3022e+00,1.5850e+00,-3.4089e+04
-2.3673e-01,-1.8696e+00,-2.8188e+00,-1.1810e+00,6.4373e-01,1.2582e+00,1.5230e+00,-3.0078e+04
-3.3594e-01,-1.7250e+00,-1.7009e+00,-9.7928e-01,4.9704e-01,4.2214e-01,1.7895e+00,-3.2945e+04
-1.8912e-01,-1.6049e+00,-1.2884e+00,-1.9363e-01,7.0738e-01,5.3274e-01,1.7212e+00,-3.3628e+04
-3.7739e-01,-1.4053e+00,-1.6583e+00,-1.9377e+00,-4.8640e-02,1.3999e+00,1.4812e+00,-2.4411e+04
-4.7134e-01,-1.5202e+00,-1.2734e+00,-9.6836e-01,-3.4714e-01,1.3079e+00,1.6079e+00,-2.7227e+04
-3.3229e-01,-1.8001e+00,-1.1506e+00,-7.6359e-01,-9.1255e-01,1.3924e+00,1.5529e+00,-2.7064e+04
-3.3594e-01,-1.7729e+00,-1.3711e+00,-1.4104e+00,2.4017e-01,9.2353e-01,1.6707e+00,-3.1877e+04
-2.2876e-01,-1.9683e+00,-2.4663e+00,-6.8396e-01,4.9356e-01,2.8976e-01,1.7675e+00,-3.2944e+04
-2.0828e-01,-1.6390e+00,-1.3950e+00,-3.6251e-01,7.2219e-01,4.7827e-01,1.7087e+00,-3.2711e+04
-3.2598e-01,-1.1578e+00,-1.3408e+00,-1.2677e+00,1.0456e-01,1.3953e+00,1.4798e+00,-3.3288e+04
-1.1281e-01,-1.4044e+00,-1.0096e+00,-5.2604e-01,5.2442e-01,1.2638e+00,1.5824e+00,-3.3457e+04
-4.9357e-01,-1.1257e+00,-7.4532e-01,-4.0736e-01,3.2090e-01,3.0506e-01,1.7907e+00,-3.4602e+04
-3.1678e-01,-1.4654e+00,-8.2495e-01,-1.1836e+00,-9.9771e-01,1.2373e+00,1.6280e+00,-2.6981e+04
