nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust,logNpix,tau,dmod
2.0000e+03,1.0000e+00,1.0000e+00,1.9960e-01,7.4816e+05,7.4815e+05,-1.9980e-03,7.4815e+05,1.1750e-01,6.9097e+00,inf,1.3322e+03,-1.4848e+00,-1.1037e+00,4.9902e+00,8.0794e+00,2.0302e+01
2.0000e+03,2.0000e+00,1.0000e+00,3.9841e-01,7.4944e+05,7.4943e+05,-3.9960e-03,7.4943e+05,1.1751e-01,6.9117e+00,2.4811e+05,1.3351e+03,-6.8079e-01,-1.9943e+00,4.8161e+00,6.0920e+00,2.0065e+01
2.0000e+03,3.0000e+00,1.0000e+00,5.9642e-01,7.5129e+05,7.5128e+05,-5.9940e-03,7.5128e+05,1.1753e-01,6.9138e+00,2.4683e+05,1.3376e+03,3.4996e-01,-1.4709e+00,4.8847e+00,5.5178e+00,2.0064e+01
2.0000e+03,4.0000e+00,1.0000e+00,7.9365e-01,7.5195e+05,7.5194e+05,-7.9920e-03,7.5194e+05,1.1755e-01,6.9158e+00,2.4498e+05,1.3399e+03,-1.4813e+00,-1.0994e+00,4.9090e+00,5.6133e+00,2.0848e+01
2.0000e+03,5.0000e+00,1.0000e+00,9.9010e-01,7.5358e+05,7.5358e+05,-9.9900e-03,7.5358e+05,1.1757e-01,6.9178e+00,2.4432e+05,1.3421e+03,-1.1025e+00,-1.5560e+00,4.6991e+00,6.7472e+00,2.0815e+01
2.0000e+03,6.0000e+00,1.0000e+00,1.1858e+00,7.5365e+05,7.5364e+05,-1.1988e-02,7.5364e+05,1.1758e-01,6.9197e+00,2.4268e+05,1.3442e+03,-4.4655e-01,-1.3703e+00,4.5261e+00,6.4473e+00,2.0227e+01
2.0000e+03,7.0000e+00,1.0000e+00,1.3807e+00,7.5390e+05,7.5389e+05,-1.3986e-02,7.5389e+05,1.1760e-01,6.9217e+00,2.4262e+05,1.3472e+03,-1.3923e+00,-1.5484e+00,4.9280e+00,1.3270e+00,2.1194e+01
2.0000e+03,8.0000e+00,1.0000e+00,1.5748e+00,7.5501e+05,7.5500e+05,-1.5984e-02,7.5500e+05,1.1762e-01,6.9237e+00,2.4237e+05,1.3497e+03,-6.5678e-01,-1.0678e+00,4.4705e+00,4.5072e+00,2.0292e+01
2.0000e+03,9.0000e+00,1.0000e+00,1.7682e+00,7.5593e+05,7.5592e+05,-1.7982e-02,7.5592e+05,1.1763e-01,6.9258e+00,2.4126e+05,1.3523e+03,3.3117e-01,-1.8223e+00,4.9284e+00,6.5784e+00,2.1420e+01
2.0000e+03,1.0000e+01,1.0000e+00,1.9608e+00,7.5641e+05,7.5641e+05,-1.9980e-02,7.5641e+05,1.1765e-01,6.9277e+00,2.4034e+05,1.3552e+03,-2.8802e-01,-1.0352e+00,4.8704e+00,9.3073e+00,2.1847e+01
2.0000e+03,1.1000e+01,1.0000e+00,2.1526e+00,7.5663e+05,7.5663e+05,-2.1978e-02,7.5663e+05,1.1767e-01,6.9297e+00,2.3985e+05,1.3582e+03,-1.1096e+00,-1.9426e+00,4.6590e+00,8.3236e+00,2.1590e+01
2.0000e+03,1.2000e+01,1.0000e+00,2.3438e+00,7.5697e+05,7.5696e+05,-2.3976e-02,7.5696e+05,1.1768e-01,6.9317e+00,2.3963e+05,1.3607e+03,-3.3458e-02,-1.9345e+00,4.2620e+00,8.6118e+00,2.0316e+01
2.0000e+03,1.3000e+01,1.0000e+00,2.5341e+00,7.5707e+05,7.5706e+05,-2.5974e-02,7.5706e+05,1.1770e-01,6.9337e+00,2.3930e+05,1.3632e+03,-1.4214e+00,-1.5682e+00,4.4171e+00,4.2811e+00,2.0884e+01
2.0000e+03,1.4000e+01,1.0000e+00,2.7237e+00,7.5741e+05,7.5741e+05,-2.7972e-02,7.5741e+05,1.1772e-01,6.9358e+00,2.3920e+05,1.3662e+03,-3.6058e-01,-1.1107e+00,4.6726e+00,1.6086e+00,2.1190e+01
2.0000e+03,1.5000e+01,1.0000e+00,2.9126e+00,7.5851e+05,7.5850e+05,-2.9970e-02,7.5850e+05,1.1774e-01,6.9377e+00,2.3885e+05,1.3687e+03,1.3137e-01,-1.0264e+00,4.6825e+00,1.0799e+00,2.1185e+01
2.0000e+03,1.6000e+01,1.0000e+00,3.1008e+00,7.5882e+05,7.5881e+05,-3.1968e-02,7.5881e+05,1.1775e-01,6.9397e+00,2.3776e+05,1.3713e+03,1.9213e-01,-1.8167e+00,4.6519e+00,1.1262e+00,2.1268e+01
2.0000e+03,1.7000e+01,1.0000e+00,3.2882e+00,7.5905e+05,7.5905e+05,-3.3966e-02,7.5905e+05,1.1777e-01,6.9417e+00,2.3745e+05,1.3743e+03,-7.1996e-01,-1.7329e+00,4.2087e+00,9.0064e+00,2.1016e+01
2.0000e+03,1.8000e+01,1.0000e+00,3.4749e+00,7.5917e+05,7.5916e+05,-3.5964e-02,7.5916e+05,1.1779e-01,6.9437e+00,2.3722e+05,1.3773e+03,-4.6073e-01,-1.7922e+00,4.5004e+00,2.3191e+00,2.1387e+01
2.0000e+03,1.9000e+01,1.0000e+00,3.6609e+00,7.5929e+05,7.5928e+05,-3.7962e-02,7.5928e+05,1.1780e-01,6.9458e+00,2.3710e+05,1.3803e+03,-8.3999e-01,-1.3933e+00,4.2886e+00,6.3169e+00,2.1179e+01
2.0000e+03,2.0000e+01,1.0000e+00,3.8462e+00,7.5942e+05,7.5942e+05,-3.9960e-02,7.5942e+05,1.1782e-01,6.9477e+00,2.3698e+05,1.3829e+03,-4.7656e-01,-1.1564e+00,4.9742e+00,6.3445e+00,2.2855e+01
2.0000e+03,2.1000e+01,1.0000e+00,4.0307e+00,7.5949e+05,7.5948e+05,-4.1958e-02,7.5948e+05,1.1784e-01,6.9497e+00,2.3684e+05,1.3854e+03,-1.4547e+00,-1.7872e+00,3.9050e+00,6.7649e+00,2.0384e+01
2.0000e+03,2.2000e+01,1.0000e+00,4.2146e+00,7.6000e+05,7.5999e+05,-4.3956e-02,7.5999e+05,1.1785e-01,6.9517e+00,2.3678e+05,1.3884e+03,-1.4813e+00,-1.3388e+00,4.1046e+00,9.2735e+00,2.1094e+01
2.0000e+03,2.3000e+01,1.0000e+00,4.3977e+00,7.6040e+05,7.6039e+05,-4.5954e-02,7.6039e+05,1.1787e-01,6.9537e+00,2.3627e+05,1.3909e+03,-1.2364e+00,-1.0728e+00,4.3112e+00,3.9880e+00,2.1406e+01
2.0000e+03,2.4000e+01,1.0000e+00,4.5802e+00,7.6061e+05,7.6060e+05,-4.7952e-02,7.6060e+05,1.1789e-01,6.9557e+00,2.3587e+05,1.3938e+03,-1.1895e+00,-1.6390e+00,4.8203e+00,1.3886e+00,2.2728e+01
2.0000e+03,2.5000e+01,1.0000e+00,4.7619e+00,7.6075e+05,7.6075e+05,-4.9950e-02,7.6075e+05,1.1790e-01,6.9577e+00,2.3566e+05,1.3967e+03,-8.5361e-01,-1.4095e+00,4.4156e+00,2.9419e+00,2.1731e+01
2.0000e+03,2.6000e+01,1.0000e+00,4.9430e+00,7.6078e+05,7.6077e+05,-5.1948e-02,7.6077e+05,1.1792e-01,6.9597e+00,2.3551e+05,1.3996e+03,-1.4565e+00,-1.5517e+00,4.5725e+00,7.7812e+00,2.2492e+01
2.0000e+03,2.7000e+01,1.0000e+00,5.1233e+00,7.6098e+05,7.6097e+05,-5.3946e-02,7.6097e+05,1.1794e-01,6.9617e+00,2.3549e+05,1.4022e+03,-4.1442e-01,-1.5051e+00,4.2051e+00,3.1488e+00,2.1140e+01
2.0000e+03,2.8000e+01,1.0000e+00,5.3030e+00,7.6122e+05,7.6121e+05,-5.5944e-02,7.6121e+05,1.1796e-01,6.9637e+00,2.3529e+05,1.4052e+03,-9.0272e-01,-1.1384e+00,4.6232e+00,7.7090e+00,2.2612e+01
2.0000e+03,2.9000e+01,1.0000e+00,5.4820e+00,7.6144e+05,7.6144e+05,-5.7942e-02,7.6144e+05,1.1797e-01,6.9657e+00,2.3505e+05,1.4074e+03,-1.4832e+00,-1.5285e+00,4.4097e+00,9.2395e+00,2.2314e+01
2.0000e+03,3.0000e+01,1.0000e+00,5.6604e+00,7.6212e+05,7.6211e+05,-5.9940e-02,7.6211e+05,1.1799e-01,6.9677e+00,2.3482e+05,1.4102e+03,6.1261e-02,-1.1785e+00,4.8136e+00,6.1386e+00,2.2901e+01
2.0000e+03,3.1000e+01,1.0000e+00,5.8380e+00,7.6216e+05,7.6215e+05,-6.1938e-02,7.6215e+05,1.1801e-01,6.9697e+00,2.3415e+05,1.4128e+03,-1.3037e+00,-1.5618e+00,4.7899e+00,5.1179e-01,2.3108e+01
2.0000e+03,3.2000e+01,1.0000e+00,6.0150e+00,7.6220e+05,7.6219e+05,-6.3936e-02,7.6219e+05,1.1802e-01,6.9717e+00,2.3411e+05,1.4157e+03,-2.7119e-01,-1.1961e+00,4.1147e+00,4.8948e+00,2.1274e+01
2.0000e+03,3.3000e+01,1.0000e+00,6.1914e+00,7.6251e+05,7.6250e+05,-6.5934e-02,7.6250e+05,1.1804e-01,6.9737e+00,2.3407e+05,1.4183e+03,6.4833e-02,-1.6509e+00,3.9987e+00,6.4404e-01,2.0782e+01
