logfeh_mean,logdust,logNpix,tau,logl
-2.9638e-01,-1.4709e+00,1.8888e+00,4.7234e+00,-2.8563e+04
-3.1634e-01,-1.9770e+00,2.0477e+00,8.2863e-01,-4.2600e+04
2.8585e-02,-1.8122e+00,2.0462e+00,4.9520e+00,-3.5232e+04
2.6593e-02,-1.7447e+00,2.0692e+00,3.4695e+00,-5.4181e+04
-1.5230e-01,-1.4078e+00,2.1013e+00,3.9860e+00,-6.0390e+04
-1.5278e-01,-1.4687e+00,1.9973e+00,4.1460e+00,-2.8353e+04
-4.6042e-01,-1.9128e+00,1.8459e+00,3.0542e+00,-5.4846e+04
-8.6102e-02,-1.6474e+00,2.0941e+00,4.0817e+00,-5.4840e+04
2.5512e-01,-1.6732e+00,2.1132e+00,4.6399e+00,-6.0247e+04
-2.6070e-01,-1.3348e+00,1.8930e+00,4.3161e+00,-4.4687e+04
-4.3554e-01,-1.6504e+00,2.0571e+00,3.0884e+00,-5.2033e+04
-1.5614e-01,-1.7058e+00,2.0960e+00,2.9517e+00,-5.6742e+04
-3.7202e-01,-1.2218e+00,1.9263e+00,3.3247e+00,-5.3747e+04
-6.0375e-02,-1.9565e+00,1.9136e+00,4.7493e+00,-3.2720e+04
-1.4158e-02,-1.4693e+00,2.0967e+00,3.7660e+00,-5.7303e+04
-6.1770e-02,-1.0979e+00,1.9968e+00,4.7385e+00,-5.6673e+04
-4.7379e-01,-9.2996e-01,1.8842e+00,4.9750e+00,-5.4410e+04
-3.1578e-01,-1.5942e+00,1.9844e+00,1.0168e+00,-5.6950e+04
-2.8367e-02,-1.8393e+00,2.0730e+00,4.5098e+00,-4.6902e+04
-4.2741e-01,-1.6582e+00,1.9791e+00,3.6069e+00,-2.1095e+04
-4.0924e-01,-1.2835e+00,2.0259e+00,4.8646e+00,-5.0925e+04
5.9114e-02,-1.4910e+00,2.0085e+00,4.7153e+00,-3.8946e+04
-2.9635e-01,-1.7599e+00,2.0014e+00,3.2346e+00,-2.5226e+04
-3.5679e-01,-1.5922e+00,1.8664e+00,4.8996e+00,-3.2062e+04
-4.3470e-01,-1.9559e+00,1.8367e+00,4.6941e+00,-4.1800e+04
-4.5559e-01,-1.1733e+00,2.0332e+00,2.8823e+00,-4.1228e+04
-3.4769e-01,-1.5101e+00,2.0348e+00,2.4349e+00,-3.9287e+04
-3.0506e-01,-1.3302e+00,1.9666e+00,4.1351e+00,-2.3977e+04
-4.3840e-01,-1.8367e+00,2.0050e+00,3.4068e+00,-3.2762e+04
-2.7556e-01,-1.9662e+00,2.0645e+00,3.3503e+00,-4.9293e+04
-3.1207e-01,-1.6654e+00,2.0739e+00,1.3544e+00,-5.1918e+04
-3.6667e-01,-1.7518e+00,2.0742e+00,7.7454e-01,-5.0982e+04
-3.6995e-01,-1.6104e+00,2.0864e+00,1.2217e+00,-5.6358e+04
-1.4071e-01,-1.5946e+00,1.8727e+00,4.8260e+00,-4.7247e+04
-1.2022e-01,-1.3310e+00,2.0240e+00,4.3083e+00,-3.7539e+04
-2.9670e-01,-1.5173e+00,2.0402e+00,5.4209e-01,-5.8828e+04
-1.9941e-01,-1.5962e+00,1.8667e+00,4.0161e+00,-6.0120e+04
-4.4068e-01,-9.7041e-01,2.0371e+00,4.3077e+00,-4.3575e+04
-3.1088e-01,-1.0926e+00,2.0724e+00,4.3492e+00,-5.3518e+04
-3.4203e-01,-1.0895e+00,2.0819e+00,4.2950e+00,-5.7536e+04
-4.8727e-02,-1.5673e+00,1.9141e+00,4.7318e+00,-4.4839e+04
-3.0572e-01,-1.9154e+00,2.0447e+00,4.3752e-01,-4.5332e+04
4.4204e-02,-1.6089e+00,1.9473e+00,4.4352e+00,-5.3812e+04
-4.2560e-01,-1.8629e+00,2.0220e+00,3.2248e+00,-3.8133e+04
-2.9353e-01,-1.7591e+00,1.9261e+00,3.8683e+00,-2.2065e+04
-2.8658e-01,-1.8668e+00,1.9502e+00,4.7624e+00,-2.0010e+04
-4.4494e-01,-1.6542e+00,1.8863e+00,2.5861e+00,-5.1682e+04
-9.3976e-03,-1.4098e+00,2.0281e+00,4.3693e+00,-4.1605e+04
-3.6740e-01,-1.1074e+00,1.9029e+00,4.0754e+00,-5.4543e+04
7.0235e-02,-1.4581e+00,2.0804e+00,4.6293e+00,-4.8719e+04
-4.1360e-01,-1.5844e+00,1.9494e+00,4.1998e+00,-1.7419e+04
-2.7833e-01,-8.9263e-01,2.0648e+00,4.9176e+00,-6.0113e+04
-4.1076e-01,-1.2243e+00,1.9471e+00,2.5729e+00,-6.0513e+04
-4.8512e-01,-1.7679e+00,1.8766e+00,1.9814e+00,-5.8622e+04
-2.8111e-01,-9.3139e-01,2.0014e+00,4.7630e+00,-5.3899e+04
-2.2483e-01,-1.5934e+00,2.0228e+00,2.7925e+00,-4.2082e+04
-4.4336e-01,-1.0667e+00,2.0212e+00,3.0834e+00,-4.9973e+04
-4.2148e-01,-1.5591e+00,1.8983e+00,2.8345e+00,-4.6401e+04
-4.6092e-01,-1.3739e+00,2.0267e+00,1.6557e+00,-4.0452e+04
-1.5591e-01,-1.9064e+00,2.0732e+00,2.5360e+00,-5.0750e+04
-4.9781e-01,-1.9371e+00,1.8545e+00,3.0314e+00,-4.8215e+04
-4.9163e-01,-1.2062e+00,2.0008e+00,4.1653e+00,-2.9026e+04
