niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust,logNpix,tau
1.0000e+00,1.0000e+00,9.9900e-02,-2.0665e+05,-2.0665e+05,-9.9950e-04,-2.0665e+05,8.7167e-02,7.6019e+00,inf,2.6278e+00,-4.0102e-01,-1.8223e+00,3.9511e+00,8.0765e-01
2.0000e+00,1.0000e+00,1.9960e-01,-2.0657e+05,-2.0658e+05,-1.9990e-03,-2.0658e+05,8.7173e-02,7.6029e+00,1.7922e+05,5.7580e+00,-3.9133e-01,-1.2845e+00,3.9556e+00,4.2772e-01
3.0000e+00,1.0000e+00,2.9910e-01,-2.0651e+05,-2.0652e+05,-2.9985e-03,-2.0652e+05,8.7179e-02,7.6039e+00,1.7914e+05,8.0302e+00,-4.2384e-01,-1.2176e+00,3.9602e+00,2.1788e+00
4.0000e+00,1.0000e+00,3.9841e-01,-2.0636e+05,-2.0637e+05,-3.9980e-03,-2.0637e+05,8.7184e-02,7.6049e+00,1.7909e+05,1.0684e+01,8.7972e-02,-1.9623e+00,3.9728e+00,4.4679e-01
5.0000e+00,1.0000e+00,4.9751e-01,-2.0631e+05,-2.0632e+05,-4.9975e-03,-2.0632e+05,8.7190e-02,7.6059e+00,1.7893e+05,1.3396e+01,1.2998e-01,-1.3370e+00,3.9905e+00,4.8650e-01
6.0000e+00,1.0000e+00,5.9642e-01,-2.0625e+05,-2.0626e+05,-5.9970e-03,-2.0626e+05,8.7196e-02,7.6069e+00,1.7888e+05,1.5616e+01,5.2327e-02,-1.7214e+00,3.9524e+00,5.7009e-01
7.0000e+00,1.0000e+00,6.9513e-01,-2.0619e+05,-2.0620e+05,-6.9965e-03,-2.0620e+05,8.7201e-02,7.6079e+00,1.7882e+05,1.8723e+01,-3.3109e-01,-1.5041e+00,3.8868e+00,6.0812e-01
8.0000e+00,1.0000e+00,7.9365e-01,-2.0610e+05,-2.0611e+05,-7.9960e-03,-2.0611e+05,8.7207e-02,7.6089e+00,1.7876e+05,2.1388e+01,1.4357e-01,-1.6103e+00,3.9455e+00,1.6441e-01
9.0000e+00,1.0000e+00,8.9197e-01,-2.0607e+05,-2.0607e+05,-8.9955e-03,-2.0607e+05,8.7213e-02,7.6099e+00,1.7867e+05,2.4020e+01,3.8404e-01,-1.1494e+00,3.9862e+00,9.7582e-01
1.0000e+01,1.0000e+00,9.9010e-01,-2.0605e+05,-2.0606e+05,-9.9950e-03,-2.0606e+05,8.7219e-02,7.6109e+00,1.7864e+05,2.6430e+01,-2.0285e-01,-9.2302e-01,3.9945e+00,2.8043e+00
1.1000e+01,1.0000e+00,1.0880e+00,-2.0596e+05,-2.0597e+05,-1.0995e-02,-2.0597e+05,8.7224e-02,7.6119e+00,1.7862e+05,2.9061e+01,3.8860e-01,-1.7496e+00,3.9506e+00,1.7082e+00
1.2000e+01,1.0000e+00,1.1858e+00,-2.0596e+05,-2.0597e+05,-1.1994e-02,-2.0597e+05,8.3144e-02,6.9164e+00,1.7853e+05,3.1733e+01,-4.2782e-01,-1.2021e+00,3.9385e+00,3.3378e+00
1.3000e+01,1.0000e+00,1.2833e+00,-2.0590e+05,-2.0590e+05,-1.2994e-02,-2.0590e+05,8.7236e-02,7.6139e+00,1.7853e+05,3.4403e+01,-4.9065e-01,-6.4903e-01,3.9431e+00,2.8288e+00
1.4000e+01,1.0000e+00,1.3807e+00,-2.0584e+05,-2.0585e+05,-1.3993e-02,-2.0585e+05,8.7242e-02,7.6149e+00,1.7847e+05,3.7038e+01,-2.9966e-01,-1.0144e+00,3.8580e+00,1.8482e+00
1.5000e+01,1.0000e+00,1.4778e+00,-2.0584e+05,-2.0585e+05,-1.4993e-02,-2.0585e+05,8.6989e-02,7.5708e+00,1.7841e+05,3.9355e+01,-3.4469e-01,-1.0257e+00,3.9541e+00,3.5046e+00
1.6000e+01,1.0000e+00,1.5748e+00,-2.0582e+05,-2.0583e+05,-1.5992e-02,-2.0583e+05,8.7253e-02,7.6169e+00,1.7841e+05,4.2514e+01,-4.1570e-01,-1.4343e+00,3.8632e+00,2.6521e+00
1.7000e+01,1.0000e+00,1.6716e+00,-2.0582e+05,-2.0582e+05,-1.6992e-02,-2.0582e+05,8.1192e-02,6.5954e+00,1.7839e+05,4.4757e+01,8.4091e-02,-1.7118e+00,3.9014e+00,2.1005e+00
1.8000e+01,1.0000e+00,1.7682e+00,-2.0581e+05,-2.0582e+05,-1.7991e-02,-2.0582e+05,8.6089e-02,7.4151e+00,1.7839e+05,4.7009e+01,1.4266e-01,-1.0233e+00,3.9184e+00,1.7258e+00
1.9000e+01,1.0000e+00,1.8646e+00,-2.0574e+05,-2.0575e+05,-1.8991e-02,-2.0575e+05,8.7270e-02,7.6199e+00,1.7838e+05,4.9276e+01,3.7279e-01,-1.2379e+00,3.9576e+00,2.1885e+00
2.0000e+01,1.0000e+00,1.9608e+00,-2.0574e+05,-2.0575e+05,-1.9990e-02,-2.0575e+05,8.0758e-02,6.5251e+00,1.7831e+05,5.1971e+01,-4.9997e-01,-1.7768e+00,3.8718e+00,3.4596e+00
2.1000e+01,1.0000e+00,2.0568e+00,-2.0573e+05,-2.0573e+05,-2.0990e-02,-2.0573e+05,8.7281e-02,7.6218e+00,1.7831e+05,5.4666e+01,-3.0986e-01,-1.0302e+00,3.8328e+00,1.0708e+00
2.2000e+01,1.0000e+00,2.1526e+00,-2.0572e+05,-2.0573e+05,-2.1989e-02,-2.0573e+05,8.5035e-02,7.2346e+00,1.7830e+05,5.7381e+01,-3.0657e-01,-8.8993e-01,3.8918e+00,2.6279e+00
2.3000e+01,1.0000e+00,2.2483e+00,-2.0566e+05,-2.0567e+05,-2.2989e-02,-2.0567e+05,8.7293e-02,7.6239e+00,1.7829e+05,6.0023e+01,-1.2796e-01,-1.9710e+00,3.8722e+00,2.7315e+00
2.4000e+01,1.0000e+00,2.3438e+00,-2.0566e+05,-2.0566e+05,-2.3988e-02,-2.0566e+05,8.6939e-02,7.5621e+00,1.7823e+05,6.2328e+01,-8.6398e-02,-1.1300e+00,3.9724e+00,3.6093e+00
2.5000e+01,1.0000e+00,2.4390e+00,-2.0565e+05,-2.0566e+05,-2.4988e-02,-2.0566e+05,8.7187e-02,7.6053e+00,1.7823e+05,6.4549e+01,-2.2405e-01,-1.1254e+00,3.8249e+00,3.8075e-01
2.6000e+01,1.0000e+00,2.5341e+00,-2.0560e+05,-2.0561e+05,-2.5987e-02,-2.0561e+05,8.7310e-02,7.6269e+00,1.7822e+05,6.7648e+01,3.6669e-01,-1.4970e+00,3.8738e+00,7.9140e-01
2.7000e+01,1.0000e+00,2.6290e+00,-2.0560e+05,-2.0561e+05,-2.6987e-02,-2.0561e+05,8.2583e-02,6.8234e+00,1.7817e+05,6.9870e+01,4.3246e-01,-1.9169e+00,3.8914e+00,1.7665e+00
2.8000e+01,1.0000e+00,2.7237e+00,-2.0560e+05,-2.0561e+05,-2.7986e-02,-2.0561e+05,8.6238e-02,7.4408e+00,1.7817e+05,7.2166e+01,-3.5562e-01,-1.8992e+00,3.7653e+00,2.9729e-01
2.9000e+01,1.0000e+00,2.8183e+00,-2.0558e+05,-2.0559e+05,-2.8986e-02,-2.0559e+05,8.7327e-02,7.6299e+00,1.7817e+05,7.4807e+01,1.6520e-01,-7.6428e-01,3.9032e+00,2.8537e-01
3.0000e+01,1.0000e+00,2.9126e+00,-2.0557e+05,-2.0557e+05,-2.9985e-02,-2.0557e+05,8.7333e-02,7.6308e+00,1.7815e+05,7.7535e+01,-4.6731e-01,-1.7047e+00,3.7521e+00,1.0066e+00
3.1000e+01,2.0000e+00,3.0039e+00,-2.0555e+05,-2.0556e+05,-3.0985e-02,-2.0556e+05,8.7339e-02,7.6318e+00,1.7814e+05,8.3470e+01,1.3351e-01,-1.6332e+00,3.8279e+00,1.4551e+00
3.2000e+01,1.0000e+00,3.0978e+00,-2.0555e+05,-2.0555e+05,-3.1984e-02,-2.0555e+05,8.7281e-02,7.6218e+00,1.7812e+05,8.6128e+01,3.3435e-01,-9.0293e-01,3.9036e+00,6.6187e-01
3.3000e+01,1.0000e+00,3.1915e+00,-2.0554e+05,-2.0555e+05,-3.2984e-02,-2.0555e+05,8.5982e-02,7.3966e+00,1.7812e+05,8.8407e+01,5.2469e-02,-1.5904e+00,3.9362e+00,3.3722e+00
3.4000e+01,1.0000e+00,3.2850e+00,-2.0554e+05,-2.0555e+05,-3.3983e-02,-2.0555e+05,8.5524e-02,7.3180e+00,1.7811e+05,9.1476e+01,2.3646e-01,-1.2879e+00,3.9353e+00,2.6758e+00
3.5000e+01,1.0000e+00,3.3784e+00,-2.0544e+05,-2.0545e+05,-3.4983e-02,-2.0545e+05,8.7362e-02,7.6359e+00,1.7811e+05,9.4142e+01,-4.9610e-01,-1.7236e+00,3.8199e+00,3.4639e+00
3.6000e+01,1.0000e+00,3.4716e+00,-2.0543e+05,-2.0544e+05,-3.5982e-02,-2.0544e+05,8.7367e-02,7.6367e+00,1.7801e+05,9.6828e+01,7.2659e-02,-1.8190e+00,3.9999e+00,4.9872e+00
3.7000e+01,1.0000e+00,3.5645e+00,-2.0543e+05,-2.0544e+05,-3.6982e-02,-2.0544e+05,8.2679e-02,6.8392e+00,1.7800e+05,9.9457e+01,1.6000e-01,-1.7446e+00,3.9980e+00,4.2480e+00
3.8000e+01,1.0000e+00,3.6574e+00,-2.0540e+05,-2.0541e+05,-3.7981e-02,-2.0541e+05,8.7379e-02,7.6389e+00,1.7800e+05,1.0254e+02,-4.4786e-01,-1.8609e+00,3.7175e+00,9.2394e-01
3.9000e+01,1.0000e+00,3.7500e+00,-2.0540e+05,-2.0541e+05,-3.8981e-02,-2.0541e+05,8.4578e-02,7.1570e+00,1.7797e+05,1.0481e+02,9.1166e-02,-1.5327e+00,3.7961e+00,3.4819e-01
4.0000e+01,1.0000e+00,3.8425e+00,-2.0540e+05,-2.0541e+05,-3.9980e-02,-2.0540e+05,8.0038e-02,6.4093e+00,1.7797e+05,1.0755e+02,-6.2689e-02,-1.1103e+00,3.8786e+00,2.8103e+00
4.1000e+01,1.0000e+00,3.9347e+00,-2.0536e+05,-2.0537e+05,-4.0980e-02,-2.0537e+05,8.7396e-02,7.6419e+00,1.7797e+05,1.1020e+02,1.6622e-01,-1.6768e+00,3.7962e+00,1.3832e+00
4.2000e+01,3.0000e+00,4.0191e+00,-2.0532e+05,-2.0533e+05,-4.1979e-02,-2.0533e+05,8.7402e-02,7.6429e+00,1.7793e+05,1.1905e+02,-3.1373e-01,-1.2948e+00,3.8084e+00,3.0032e+00
4.3000e+01,1.0000e+00,4.1109e+00,-2.0531e+05,-2.0532e+05,-4.2979e-02,-2.0532e+05,8.7406e-02,7.6437e+00,1.7789e+05,1.2171e+02,-3.6202e-01,-1.3958e+00,3.8282e+00,3.3985e+00
4.4000e+01,1.0000e+00,4.2025e+00,-2.0529e+05,-2.0530e+05,-4.3978e-02,-2.0530e+05,8.7413e-02,7.6449e+00,1.7788e+05,1.2397e+02,-4.4379e-01,-1.5827e+00,3.8418e+00,4.2082e+00
4.5000e+01,1.0000e+00,4.2939e+00,-2.0528e+05,-2.0529e+05,-4.4978e-02,-2.0529e+05,8.7383e-02,7.6397e+00,1.7786e+05,1.2664e+02,3.1818e-01,-1.1666e+00,3.8521e+00,2.0471e+00
4.6000e+01,1.0000e+00,4.3851e+00,-2.0527e+05,-2.0528e+05,-4.5977e-02,-2.0528e+05,8.7413e-02,7.6448e+00,1.7785e+05,1.2932e+02,1.1900e-01,-8.3080e-01,3.8283e+00,1.7739e+00
4.7000e+01,1.0000e+00,4.4762e+00,-2.0525e+05,-2.0526e+05,-4.6977e-02,-2.0526e+05,8.7430e-02,7.6479e+00,1.7784e+05,1.3239e+02,-4.1609e-01,-1.7064e+00,3.8688e+00,4.8517e+00
4.8000e+01,1.0000e+00,4.5671e+00,-2.0523e+05,-2.0524e+05,-4.7976e-02,-2.0524e+05,8.7436e-02,7.6489e+00,1.7782e+05,1.3504e+02,-3.2347e-02,-1.5449e+00,3.7866e+00,2.2607e+00
4.9000e+01,1.0000e+00,4.6578e+00,-2.0522e+05,-2.0523e+05,-4.8976e-02,-2.0523e+05,8.7203e-02,7.6082e+00,1.7780e+05,1.3775e+02,2.9108e-01,-8.1907e-01,3.8695e+00,2.0610e+00
5.0000e+01,1.0000e+00,4.7483e+00,-2.0522e+05,-2.0523e+05,-4.9975e-02,-2.0523e+05,8.7131e-02,7.5955e+00,1.7779e+05,1.4061e+02,3.7059e-01,-5.3512e-01,3.9534e+00,2.2359e+00
5.1000e+01,1.0000e+00,4.8387e+00,-2.0521e+05,-2.0522e+05,-5.0975e-02,-2.0522e+05,8.7283e-02,7.6221e+00,1.7779e+05,1.4326e+02,-2.2298e-01,-1.9843e+00,3.7195e+00,1.9321e+00
5.2000e+01,1.0000e+00,4.9289e+00,-2.0520e+05,-2.0520e+05,-5.1974e-02,-2.0520e+05,8.7459e-02,7.6529e+00,1.7778e+05,1.4596e+02,1.6125e-01,-8.3579e-01,3.8165e+00,6.3614e-01
5.3000e+01,1.0000e+00,5.0189e+00,-2.0519e+05,-2.0520e+05,-5.2974e-02,-2.0520e+05,8.7257e-02,7.6176e+00,1.7777e+05,1.4860e+02,-4.8780e-01,-1.3145e+00,3.8294e+00,4.2455e+00
5.4000e+01,2.0000e+00,5.1040e+00,-2.0519e+05,-2.0520e+05,-5.3973e-02,-2.0520e+05,8.1529e-02,6.6504e+00,1.7776e+05,1.5349e+02,-3.2111e-01,-1.8849e+00,3.8420e+00,4.1955e+00
5.5000e+01,1.0000e+00,5.1936e+00,-2.0516e+05,-2.0517e+05,-5.4973e-02,-2.0517e+05,8.7476e-02,7.6559e+00,1.7776e+05,1.5657e+02,4.6911e-01,-8.7605e-01,3.8318e+00,5.3322e-01
5.6000e+01,1.0000e+00,5.2830e+00,-2.0514e+05,-2.0514e+05,-5.5972e-02,-2.0514e+05,8.7482e-02,7.6569e+00,1.7773e+05,1.5924e+02,-1.9096e-03,-1.3356e+00,3.7493e+00,1.8067e+00
5.7000e+01,2.0000e+00,5.3672e+00,-2.0512e+05,-2.0513e+05,-5.6972e-02,-2.0513e+05,8.7487e-02,7.6578e+00,1.7771e+05,1.6417e+02,-2.6146e-01,-1.8195e+00,3.6948e+00,8.2551e-01
5.8000e+01,1.0000e+00,5.4563e+00,-2.0512e+05,-2.0513e+05,-5.7971e-02,-2.0513e+05,8.5002e-02,7.2289e+00,1.7769e+05,1.6687e+02,2.6802e-01,-7.7401e-01,3.8169e+00,1.1145e+00
