logfeh_mean,logdust,logNpix,tau,dmod,logl
-7.3056e-02,-1.8145e+00,2.3754e+00,4.3709e+00,2.5695e+01,-3.9806e+04
-4.7802e-01,-1.8979e+00,2.1837e+00,2.8263e+00,2.4939e+01,-2.6452e+04
-2.1361e-01,-1.4438e+00,1.5472e+00,4.9141e+00,2.3213e+01,-2.8327e+04
-1.8571e-02,-1.5460e+00,1.6632e+00,4.4471e+00,2.3456e+01,-3.8164e+04
-2.6149e-01,-1.6117e+00,2.1046e+00,3.4781e+00,2.4630e+01,-3.2029e+04
-4.1628e-01,-1.7074e+00,1.6613e+00,1.1378e-01,2.3458e+01,-3.6639e+04
-4.6335e-01,-1.6881e+00,2.2672e+00,3.9345e-01,2.5278e+01,-3.7976e+04
-2.8956e-01,-1.8349e+00,1.9087e+00,1.3654e+00,2.4090e+01,-4.4512e+04
-1.9509e-01,-1.5512e+00,1.7947e+00,3.5990e+00,2.3724e+01,-3.7917e+04
-3.7552e-01,-1.7782e+00,1.6041e+00,6.6305e-01,2.3385e+01,-4.3466e+04
-4.3606e-01,-1.7314e+00,1.9805e+00,4.9828e+00,2.4800e+01,-3.1484e+04
-4.2591e-01,-1.7366e+00,2.2181e+00,3.3209e+00,2.4977e+01,-3.6912e+04
-3.5647e-01,-1.3558e+00,1.5254e+00,4.2984e+00,2.3109e+01,-2.9589e+04
-1.1046e-01,-1.5119e+00,1.8505e+00,3.6988e+00,2.3995e+01,-4.1238e+04
-4.9603e-01,-1.7982e+00,2.7017e+00,3.5816e+00,2.6485e+01,-2.6084e+04
-1.6590e-01,-1.9605e+00,2.1438e+00,4.5300e+00,2.5211e+01,-4.2822e+04
-4.1833e-01,-1.6850e+00,1.6588e+00,2.4888e+00,2.3632e+01,-3.7605e+04
-3.1693e-01,-1.8311e+00,1.6141e+00,6.3401e-01,2.3224e+01,-4.2228e+04
-4.2525e-01,-1.9088e+00,2.7043e+00,2.7791e+00,2.6514e+01,-2.9905e+04
-4.4463e-01,-1.9797e+00,1.7517e+00,2.3815e+00,2.3794e+01,-2.4327e+04
-4.3824e-01,-1.6020e+00,2.0798e+00,4.1697e+00,2.4841e+01,-1.4798e+04
-3.9150e-01,-1.2515e+00,2.4406e+00,4.4551e+00,2.6027e+01,-4.1761e+04
-4.6742e-01,-1.3186e+00,1.9357e+00,4.8550e+00,2.4274e+01,-3.8251e+04
-4.5539e-01,-1.5340e+00,2.0614e+00,1.0266e+00,2.4497e+01,-3.7465e+04
-4.5996e-01,-1.2639e+00,2.4264e+00,3.7899e+00,2.5721e+01,-2.1082e+04
-3.5564e-01,-1.4225e+00,1.6942e+00,3.9631e+00,2.3548e+01,-2.8833e+04
-4.6619e-01,-1.7089e+00,2.6736e+00,3.9371e+00,2.6770e+01,-4.0282e+04
-2.3533e-01,-1.2010e+00,2.6731e+00,4.6163e+00,2.6297e+01,-4.5656e+04
-4.9697e-01,-1.7193e+00,1.7511e+00,2.5108e+00,2.3659e+01,-3.2182e+04
-4.4867e-01,-1.7166e+00,1.9623e+00,1.3085e+00,2.4278e+01,-3.1892e+04
-3.1693e-01,-1.7433e+00,2.0832e+00,1.9489e+00,2.4637e+01,-3.9510e+04
-3.4827e-01,-1.2429e+00,2.0042e+00,3.1159e+00,2.4363e+01,-4.1603e+04
-2.2949e-01,-1.9267e+00,1.9191e+00,2.3452e+00,2.4010e+01,-4.5227e+04
-2.8950e-01,-1.9408e+00,1.7931e+00,7.1694e-01,2.3665e+01,-4.4680e+04
-7.1629e-02,-1.6548e+00,2.2874e+00,4.7683e+00,2.5357e+01,-2.2712e+04
-1.7411e-01,-1.2877e+00,1.5567e+00,4.0519e+00,2.3267e+01,-4.6335e+04
-4.4024e-01,-1.6627e+00,2.4572e+00,3.3702e+00,2.5934e+01,-1.7960e+04
-2.8960e-01,-1.9400e+00,2.3397e+00,2.8078e+00,2.5371e+01,-3.0467e+04
-3.4578e-01,-1.7492e+00,2.1517e+00,1.6240e+00,2.4685e+01,-4.4720e+04
-3.6019e-01,-1.7389e+00,2.3621e+00,2.1040e+00,2.5502e+01,-4.2995e+04
-2.7351e-01,-1.7902e+00,2.0222e+00,4.6326e+00,2.4930e+01,-4.3059e+04
-4.1390e-01,-1.9361e+00,2.1482e+00,4.7300e+00,2.5270e+01,-2.5922e+04
-3.1852e-01,-1.8036e+00,2.3272e+00,4.4782e+00,2.5629e+01,-1.1378e+04
-2.1534e-01,-1.7850e+00,1.6680e+00,3.9207e+00,2.3523e+01,-2.5283e+04
-2.9027e-01,-1.3299e+00,2.2361e+00,4.0962e+00,2.5218e+01,-2.4939e+04
-3.1633e-01,-1.7989e+00,2.1124e+00,4.1066e+00,2.4963e+01,-1.3649e+04
-4.0124e-01,-1.8162e+00,2.6026e+00,3.2512e+00,2.6189e+01,-2.2918e+04
-1.0314e-01,-1.7763e+00,1.6702e+00,3.8956e+00,2.3570e+01,-3.4077e+04
-4.1717e-01,-1.5082e+00,2.6552e+00,3.0002e+00,2.6293e+01,-3.7600e+04
-3.8943e-01,-1.7301e+00,1.8406e+00,8.1305e-01,2.3876e+01,-3.8208e+04
