logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-6.9270e-02,-1.1656e+00,-2.2291e+00,-8.5119e-02,1.0453e+00,1.3845e+00,2.9156e+00,-2.2396e+03
2.3801e-02,-1.1987e+00,-1.4438e+00,1.5721e-01,-5.9367e-01,2.1940e+00,2.8521e+00,-3.9488e+03
-1.1170e-01,-8.8881e-01,-1.6391e+00,-1.8604e+00,-5.2906e-01,2.6211e+00,2.3057e+00,-1.6179e+04
-1.2372e-01,-1.0693e+00,-2.3580e+00,-2.1126e+00,-9.2785e-01,2.6562e-01,2.9640e+00,-1.4711e+04
3.0908e-01,-1.3493e+00,-2.1869e+00,-1.6971e-02,4.5251e-01,2.4893e+00,2.7250e+00,-1.1741e+04
-8.6819e-02,-9.4615e-01,-2.0396e+00,-1.2938e+00,-1.2520e+00,2.5418e+00,2.5565e+00,-6.8334e+03
-4.6608e-02,-1.2360e+00,-1.4606e+00,-5.2381e-01,-2.8007e-02,9.4096e-01,2.9625e+00,-4.7018e+03
-2.8222e-02,-1.6699e+00,-2.4101e+00,-2.0905e+00,-4.5288e-01,4.4893e-01,2.9463e+00,-8.9759e+03
1.4962e-01,-1.4891e+00,-1.0043e+00,-7.6266e-01,1.0003e+00,2.3816e+00,2.7309e+00,-1.3922e+04
-4.9289e-02,-1.0983e+00,-3.0982e+00,-1.6134e+00,1.2956e-01,2.1660e+00,2.8874e+00,-1.0475e+04
-5.6452e-02,-1.4548e+00,-1.5478e+00,-3.3750e-01,2.1290e-01,9.3832e-01,2.9225e+00,-6.4920e+03
-4.0811e-01,-7.4153e-01,-9.3982e-01,-9.9123e-01,-6.2345e-01,2.3878e+00,2.6978e+00,-1.1378e+04
1.9381e-01,-1.3281e+00,-2.2103e+00,-1.4153e+00,2.3215e-01,2.5803e+00,2.6339e+00,-1.0852e+04
3.2873e-02,-1.7388e+00,-7.4087e-01,-1.8567e+00,-6.2890e-01,1.0097e+00,2.9674e+00,-9.1223e+03
1.6029e-01,-1.1801e+00,-1.2060e+00,-8.5008e-02,9.0032e-01,2.6259e+00,2.4352e+00,-1.0354e+04
-2.3976e-01,-9.4681e-01,-1.5290e+00,-1.4088e+00,7.9141e-01,4.5559e-01,2.9620e+00,-8.9248e+03
9.4259e-02,-1.3901e+00,-1.3418e+00,-1.3712e+00,5.5913e-01,1.2584e+00,2.9746e+00,-1.2177e+04
6.2289e-02,-1.2203e+00,-9.6895e-01,-7.2341e-01,3.0546e-01,2.4726e+00,2.7199e+00,-1.5004e+04
-3.5981e-02,-1.5445e+00,-1.7716e+00,-1.5859e-01,1.5392e-01,3.7986e-01,2.9063e+00,-1.3648e+04
-4.6765e-01,-7.7401e-01,-2.9693e+00,-6.6406e-01,7.0768e-01,2.3445e+00,2.6756e+00,-9.5902e+03
1.7309e-01,-1.9398e+00,-1.6629e+00,-1.0384e+00,1.0303e+00,2.4290e-01,2.9570e+00,-5.8569e+03
1.2353e-01,-1.7063e+00,-2.6575e+00,2.6607e-01,1.7061e-01,4.4572e-01,3.0048e+00,-1.0589e+04
-7.1240e-02,-1.2417e+00,-1.8854e+00,-1.0077e+00,-1.1947e+00,1.5955e+00,2.9019e+00,-7.9490e+03
6.5771e-02,-1.2043e+00,-2.9468e+00,2.8173e-01,-9.2124e-01,2.0929e+00,2.9237e+00,-8.7150e+03
8.8114e-03,-1.2483e+00,-1.8324e+00,-3.3713e-02,7.6990e-01,4.8574e-01,2.9552e+00,-6.3771e+03
6.8325e-02,-1.6047e+00,-1.9356e+00,-1.4133e+00,-1.1775e-01,1.1544e+00,2.9535e+00,-6.1427e+03
-4.8391e-01,-8.6123e-01,-1.8380e+00,-1.1528e+00,-5.1466e-01,1.9055e+00,2.8435e+00,-9.1271e+03
3.0062e-01,-1.1262e+00,-1.5146e+00,-2.0474e-01,5.8279e-01,2.6683e+00,2.5635e+00,-1.3470e+04
4.2583e-01,-1.4847e+00,-1.1866e+00,-1.1833e+00,-1.3834e+00,2.6429e+00,2.6373e+00,-1.2973e+04
-3.8977e-02,-1.2093e+00,-2.0077e+00,-1.1302e+00,-5.6471e-01,4.7747e-01,2.9806e+00,-9.2009e+03
1.7923e-01,-1.5254e+00,-2.3546e+00,-1.7525e+00,5.0159e-01,2.3150e+00,2.8573e+00,-1.4391e+04
-4.9877e-01,-8.8226e-01,-2.6218e+00,-1.0852e+00,8.9393e-01,1.0751e+00,2.9055e+00,-1.3374e+04
-1.6597e-01,-1.2082e+00,-2.8189e+00,-1.7987e+00,5.4666e-01,1.3022e+00,2.8773e+00,-1.4265e+04
-4.0502e-01,-9.7767e-01,-1.9368e+00,-2.1579e+00,-4.0908e-01,1.0589e+00,2.9124e+00,-9.7809e+03
1.2505e-01,-1.1214e+00,-2.5102e+00,-6.4244e-01,-1.3820e+00,2.6300e+00,2.3724e+00,-1.4037e+04
2.6296e-02,-1.8728e+00,-2.9033e+00,-3.8024e-01,-3.1810e-01,8.9045e-01,2.9598e+00,-1.0520e+04
-3.5264e-01,-8.9214e-01,-1.4390e+00,3.0028e-01,7.1399e-01,1.0969e+00,2.8932e+00,-8.4209e+03
-2.2742e-01,-9.0941e-01,-2.7149e+00,-5.7485e-01,6.7881e-01,2.1948e+00,2.8210e+00,-4.2095e+03
2.5263e-01,-1.7357e+00,-2.6607e+00,-4.9833e-01,1.6554e-01,2.4514e+00,2.7258e+00,-6.1111e+03
-1.8475e-01,-1.0858e+00,-1.9647e+00,-1.9254e-02,-4.5130e-01,1.4791e+00,2.9346e+00,-5.1832e+03
-1.2802e-01,-1.2755e+00,-1.1230e+00,-4.0341e-02,-1.1503e+00,1.0102e+00,2.9156e+00,-7.7248e+03
