logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
1.1592e-01,-1.6672e+00,-2.2461e+00,-2.8506e-01,-4.5993e-01,2.0960e+00,3.0075e+00,2.4469e+01,-1.5248e+03
8.7442e-02,-1.4837e+00,-1.9457e+00,6.7062e-02,-9.1304e-01,2.0771e+00,3.0281e+00,2.4510e+01,-1.3351e+03
1.5550e-01,-1.9014e+00,-2.9894e+00,-7.4642e-01,-5.1166e-01,2.0998e+00,2.9837e+00,2.4414e+01,-1.5433e+03
1.5905e-01,-1.9684e+00,-9.0396e-01,-3.0262e-01,-6.0059e-01,1.8075e+00,2.9832e+00,2.4302e+01,-1.4135e+03
3.8839e-01,-1.8144e+00,-1.9332e+00,-1.5865e-01,8.6374e-01,2.4584e+00,2.7705e+00,2.4186e+01,-1.5027e+03
1.6848e-01,-1.6038e+00,-1.3312e+00,-1.3818e+00,1.0073e+00,2.2336e+00,2.9754e+00,2.4476e+01,-1.4416e+03
3.1597e-01,-1.7369e+00,-1.3444e+00,-1.6875e+00,8.1484e-01,2.3808e+00,2.7701e+00,2.4129e+01,-1.3172e+03
6.4873e-02,-1.8393e+00,-2.0284e+00,-5.5861e-02,-3.3050e-01,4.9148e-01,3.0697e+00,2.4471e+01,-1.3380e+03
1.5691e-01,-1.4675e+00,-2.9312e+00,-9.3888e-02,-1.0144e+00,2.2817e+00,2.8717e+00,2.4260e+01,-1.2619e+03
2.1277e-01,-1.5917e+00,-1.8719e+00,-1.6517e+00,1.0449e+00,2.1626e+00,2.8746e+00,2.4197e+01,-1.3950e+03
4.2371e-04,-1.1827e+00,-1.1246e+00,-4.7225e-02,3.6570e-02,2.3003e+00,2.9319e+00,2.4439e+01,-1.5508e+03
2.1165e-01,-1.7306e+00,-2.6883e+00,-1.1698e+00,7.9304e-01,2.2136e+00,2.8930e+00,2.4261e+01,-1.3942e+03
3.9369e-01,-1.4974e+00,-1.4702e+00,-5.1173e-01,7.1682e-01,2.5570e+00,2.5464e+00,2.4042e+01,-1.3736e+03
7.3372e-02,-1.7800e+00,-2.0328e+00,-9.4187e-02,5.6235e-01,1.1403e+00,3.1002e+00,2.4570e+01,-1.3388e+03
1.0479e-01,-1.7366e+00,-2.9386e+00,-2.7997e-01,-1.0687e-01,1.9235e+00,3.0352e+00,2.4480e+01,-1.3719e+03
3.6376e-03,-1.3362e+00,-2.3686e+00,-1.2511e-01,-1.1111e+00,2.0284e+00,3.0361e+00,2.4545e+01,-1.4452e+03
2.2621e-02,-1.4133e+00,-2.3239e+00,-2.0727e-01,2.7550e-01,1.8965e+00,3.0555e+00,2.4542e+01,-1.3625e+03
