nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust,logNpix,tau,dmod
2.0000e+03,1.0000e+00,1.0000e+00,1.9960e-01,-6.5044e+05,-6.5045e+05,-1.9980e-03,-6.5045e+05,1.1750e-01,6.9098e+00,inf,2.6887e+03,-1.4848e+00,-1.1037e+00,6.9878e+00,1.6139e+01,3.0151e+01
2.0000e+03,2.0000e+00,1.0000e+00,3.9841e-01,-6.2288e+05,-6.2289e+05,-3.9960e-03,-6.2289e+05,1.1751e-01,6.9118e+00,4.3362e+05,2.6943e+03,-1.4813e+00,-1.0994e+00,6.8862e+00,1.1182e+01,3.0424e+01
2.0000e+03,3.0000e+00,1.0000e+00,5.9642e-01,-6.1606e+05,-6.1607e+05,-5.9940e-03,-6.1607e+05,1.1753e-01,6.9137e+00,4.0606e+05,2.6998e+03,-6.8079e-01,-1.9943e+00,6.7701e+00,1.2145e+01,3.0033e+01
2.0000e+03,4.0000e+00,1.0000e+00,7.9365e-01,-5.9873e+05,-5.9873e+05,-7.9920e-03,-5.9873e+05,1.1755e-01,6.9157e+00,3.9924e+05,2.7043e+03,3.4996e-01,-1.4709e+00,6.8559e+00,1.0990e+01,3.0032e+01
2.0000e+03,5.0000e+00,1.0000e+00,9.9010e-01,-5.9379e+05,-5.9380e+05,-9.9900e-03,-5.9380e+05,1.1757e-01,6.9177e+00,3.8191e+05,2.7092e+03,-1.3923e+00,-1.5484e+00,6.9100e+00,2.5665e+00,3.0597e+01
2.0000e+03,6.0000e+00,1.0000e+00,1.1858e+00,-5.8706e+05,-5.8707e+05,-1.1988e-02,-5.8707e+05,1.1758e-01,6.9198e+00,3.7697e+05,2.7138e+03,-1.1025e+00,-1.5560e+00,6.6238e+00,1.3462e+01,3.0408e+01
2.0000e+03,7.0000e+00,1.0000e+00,1.3807e+00,-5.8072e+05,-5.8072e+05,-1.3986e-02,-5.8072e+05,1.1760e-01,6.9218e+00,3.7024e+05,2.7193e+03,3.3117e-01,-1.8223e+00,6.9105e+00,1.3122e+01,3.0710e+01
2.0000e+03,8.0000e+00,1.0000e+00,1.5748e+00,-5.7967e+05,-5.7968e+05,-1.5984e-02,-5.7968e+05,1.1762e-01,6.9238e+00,3.6389e+05,2.7247e+03,-4.7656e-01,-1.1564e+00,6.9677e+00,1.2652e+01,3.1427e+01
2.0000e+03,9.0000e+00,1.0000e+00,1.7682e+00,-5.7567e+05,-5.7568e+05,-1.7982e-02,-5.7568e+05,1.1763e-01,6.9257e+00,3.6285e+05,2.7292e+03,-2.8802e-01,-1.0352e+00,6.8380e+00,1.8608e+01,3.0923e+01
2.0000e+03,1.0000e+01,1.0000e+00,1.9608e+00,-5.6863e+05,-5.6864e+05,-1.9980e-02,-5.6864e+05,1.1765e-01,6.9277e+00,3.5885e+05,2.7345e+03,-1.1096e+00,-1.9426e+00,6.5737e+00,1.6630e+01,3.0795e+01
2.0000e+03,1.1000e+01,1.0000e+00,2.1526e+00,-5.5957e+05,-5.5957e+05,-2.1978e-02,-5.5957e+05,1.1767e-01,6.9297e+00,3.5181e+05,2.7399e+03,-3.6058e-01,-1.1107e+00,6.5907e+00,3.1325e+00,3.0595e+01
2.0000e+03,1.2000e+01,1.0000e+00,2.3438e+00,-5.5623e+05,-5.5624e+05,-2.3976e-02,-5.5624e+05,1.1768e-01,6.9317e+00,3.4275e+05,2.7452e+03,-4.4655e-01,-1.3703e+00,6.4076e+00,1.2859e+01,3.0113e+01
2.0000e+03,1.3000e+01,1.0000e+00,2.5341e+00,-5.5545e+05,-5.5545e+05,-2.5974e-02,-5.5545e+05,1.1770e-01,6.9338e+00,3.3941e+05,2.7497e+03,1.3137e-01,-1.0264e+00,6.6031e+00,2.0697e+00,3.0592e+01
2.0000e+03,1.4000e+01,1.0000e+00,2.7237e+00,-5.5398e+05,-5.5399e+05,-2.7972e-02,-5.5399e+05,1.1772e-01,6.9357e+00,3.3862e+05,2.7553e+03,-1.1895e+00,-1.6390e+00,6.7754e+00,2.6902e+00,3.1364e+01
2.0000e+03,1.5000e+01,1.0000e+00,2.9126e+00,-5.5010e+05,-5.5011e+05,-2.9970e-02,-5.5011e+05,1.1774e-01,6.9377e+00,3.3716e+05,2.7605e+03,-1.4565e+00,-1.5517e+00,6.4656e+00,1.5540e+01,3.1246e+01
2.0000e+03,1.6000e+01,1.0000e+00,3.1008e+00,-5.4949e+05,-5.4949e+05,-3.1968e-02,-5.4949e+05,1.1775e-01,6.9397e+00,3.3328e+05,2.7668e+03,1.9213e-01,-1.8167e+00,6.5648e+00,2.1627e+00,3.0634e+01
2.0000e+03,1.7000e+01,1.0000e+00,3.2882e+00,-5.4841e+05,-5.4842e+05,-3.3966e-02,-5.4842e+05,1.1777e-01,6.9417e+00,3.3267e+05,2.7721e+03,-1.4214e+00,-1.5682e+00,6.2714e+00,8.5043e+00,3.0442e+01
2.0000e+03,1.8000e+01,1.0000e+00,3.4749e+00,-5.4797e+05,-5.4798e+05,-3.5964e-02,-5.4798e+05,1.1779e-01,6.9437e+00,3.3159e+05,2.7780e+03,-1.3037e+00,-1.5618e+00,6.7374e+00,9.2774e-01,3.1554e+01
2.0000e+03,1.9000e+01,1.0000e+00,3.6609e+00,-5.4660e+05,-5.4660e+05,-3.7962e-02,-5.4660e+05,1.1780e-01,6.9457e+00,3.3115e+05,2.7833e+03,-6.5678e-01,-1.0678e+00,6.3382e+00,8.9590e+00,3.0146e+01
2.0000e+03,2.0000e+01,1.0000e+00,3.8462e+00,-5.4574e+05,-5.4575e+05,-3.9960e-02,-5.4575e+05,1.1782e-01,6.9477e+00,3.2978e+05,2.7886e+03,-9.1318e-01,-1.9436e+00,6.6727e+00,1.3011e+01,3.1728e+01
2.0000e+03,2.1000e+01,1.0000e+00,4.0307e+00,-5.4426e+05,-5.4426e+05,-4.1958e-02,-5.4426e+05,1.1784e-01,6.9497e+00,3.2892e+05,2.7942e+03,-9.0272e-01,-1.1384e+00,6.5290e+00,1.5395e+01,3.1306e+01
2.0000e+03,2.2000e+01,1.0000e+00,4.2146e+00,-5.4157e+05,-5.4158e+05,-4.3956e-02,-5.4158e+05,1.1785e-01,6.9517e+00,3.2743e+05,2.8001e+03,-1.1131e+00,-1.2600e+00,6.7836e+00,1.0366e+01,3.2150e+01
2.0000e+03,2.3000e+01,1.0000e+00,4.3977e+00,-5.3815e+05,-5.3815e+05,-4.5954e-02,-5.3815e+05,1.1787e-01,6.9537e+00,3.2475e+05,2.8063e+03,-1.4824e+00,-1.3803e+00,6.5619e+00,4.3307e+00,3.1611e+01
2.0000e+03,2.4000e+01,1.0000e+00,4.5802e+00,-5.3663e+05,-5.3664e+05,-4.7952e-02,-5.3664e+05,1.1789e-01,6.9557e+00,3.2133e+05,2.8117e+03,6.1261e-02,-1.1785e+00,6.7670e+00,1.2238e+01,3.1450e+01
2.0000e+03,2.5000e+01,1.0000e+00,4.7619e+00,-5.3661e+05,-5.3662e+05,-4.9950e-02,-5.3662e+05,1.1790e-01,6.9577e+00,3.1981e+05,2.8171e+03,-7.5315e-01,-1.9876e+00,6.6095e+00,1.7478e+01,3.1759e+01
2.0000e+03,2.6000e+01,1.0000e+00,4.9430e+00,-5.3597e+05,-5.3598e+05,-5.1948e-02,-5.3598e+05,1.1792e-01,6.9597e+00,3.1979e+05,2.8225e+03,1.2071e-01,-1.0359e+00,6.7886e+00,1.1864e+01,3.1558e+01
2.0000e+03,2.7000e+01,1.0000e+00,5.1233e+00,-5.3592e+05,-5.3593e+05,-5.3946e-02,-5.3593e+05,1.1794e-01,6.9617e+00,3.1915e+05,2.8273e+03,-6.4757e-01,-1.4780e+00,6.7337e+00,1.0345e+01,3.1876e+01
2.0000e+03,2.8000e+01,1.0000e+00,5.3030e+00,-5.3230e+05,-5.3231e+05,-5.5944e-02,-5.3231e+05,1.1796e-01,6.9637e+00,3.1910e+05,2.8327e+03,-1.4720e+00,-1.3910e+00,6.9428e+00,4.5597e+00,3.2936e+01
2.0000e+03,2.9000e+01,1.0000e+00,5.4820e+00,-5.2982e+05,-5.2983e+05,-5.7942e-02,-5.2983e+05,1.1797e-01,6.9657e+00,3.1548e+05,2.8378e+03,-1.0695e+00,-1.9816e+00,6.3149e+00,2.3130e+00,3.1260e+01
2.0000e+03,3.0000e+01,1.0000e+00,5.6604e+00,-5.2849e+05,-5.2850e+05,-5.9940e-02,-5.2850e+05,1.1799e-01,6.9677e+00,3.1300e+05,2.8431e+03,-4.6073e-01,-1.7922e+00,6.3755e+00,4.5606e+00,3.0693e+01
2.0000e+03,3.1000e+01,2.0000e+00,5.8271e+00,-5.2834e+05,-5.2834e+05,-6.1938e-02,-5.2834e+05,1.1801e-01,6.9697e+00,3.1167e+05,2.8546e+03,-1.4832e+00,-1.5285e+00,6.2621e+00,1.8471e+01,3.1157e+01
2.0000e+03,3.2000e+01,1.0000e+00,6.0038e+00,-5.2607e+05,-5.2608e+05,-6.3936e-02,-5.2608e+05,1.1802e-01,6.9717e+00,3.1151e+05,2.8604e+03,-8.5361e-01,-1.4095e+00,6.2695e+00,5.8125e+00,3.0865e+01
2.0000e+03,3.3000e+01,1.0000e+00,6.1798e+00,-5.2580e+05,-5.2581e+05,-6.5934e-02,-5.2581e+05,1.1804e-01,6.9737e+00,3.0925e+05,2.8659e+03,-1.3957e+00,-1.9073e+00,6.4349e+00,3.4462e+00,3.1814e+01
2.0000e+03,3.4000e+01,1.0000e+00,6.3551e+00,-5.2429e+05,-5.2430e+05,-6.7932e-02,-5.2430e+05,1.1806e-01,6.9757e+00,3.0898e+05,2.8704e+03,-1.2364e+00,-1.0728e+00,6.1390e+00,7.9154e+00,3.0703e+01
