nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust_med,logNpix,tau,dmod
2.0000e+03,1.0000e+00,1.0000e+00,3.3223e-01,-8.4958e+05,-8.4959e+05,-3.3278e-03,-8.4959e+05,1.4594e-01,6.4003e+00,inf,2.4069e+03,4.8896e-01,-1.6425e+00,2.0610e+00,9.1943e+00,3.1932e+01
2.0000e+03,2.0000e+00,1.0000e+00,6.6225e-01,-8.3266e+05,-8.3266e+05,-6.6556e-03,-8.3266e+05,1.4598e-01,6.4036e+00,3.3187e+05,2.4165e+03,-7.0012e-02,-5.5182e-01,2.0934e+00,5.7877e+00,3.1580e+01
2.0000e+03,3.0000e+00,1.0000e+00,9.9010e-01,-8.3094e+05,-8.3095e+05,-9.9834e-03,-8.3095e+05,1.4602e-01,6.4069e+00,3.1495e+05,2.4253e+03,-1.4668e+00,-9.2897e-01,2.2285e+00,3.1642e+00,3.1843e+01
2.0000e+03,4.0000e+00,1.0000e+00,1.3158e+00,-8.2918e+05,-8.2918e+05,-1.3311e-02,-8.2918e+05,1.4605e-01,6.4102e+00,3.1324e+05,2.4332e+03,-1.3159e+00,-2.2442e-01,2.0822e+00,1.7292e+01,3.1899e+01
2.0000e+03,5.0000e+00,1.0000e+00,1.6393e+00,-8.2730e+05,-8.2731e+05,-1.6639e-02,-8.2731e+05,1.4609e-01,6.4136e+00,3.1147e+05,2.4408e+03,3.6158e-02,-1.3942e+00,2.0759e+00,9.3210e+00,3.1703e+01
2.0000e+03,6.0000e+00,1.0000e+00,1.9608e+00,-8.2617e+05,-8.2618e+05,-1.9967e-02,-8.2618e+05,1.4613e-01,6.4169e+00,3.0959e+05,2.4495e+03,3.0747e-01,-1.7230e+00,2.0077e+00,1.2295e+01,3.1542e+01
2.0000e+03,7.0000e+00,1.0000e+00,2.2801e+00,-8.2573e+05,-8.2574e+05,-2.3295e-02,-8.2574e+05,1.4617e-01,6.4202e+00,3.0846e+05,2.4577e+03,-3.7761e-01,-9.9383e-01,2.0688e+00,1.5479e+01,3.1883e+01
2.0000e+03,8.0000e+00,1.0000e+00,2.5974e+00,-8.2497e+05,-8.2498e+05,-2.6622e-02,-8.2498e+05,1.4621e-01,6.4235e+00,3.0802e+05,2.4656e+03,-1.1924e+00,-4.4556e-01,2.2948e+00,1.6745e+00,3.1664e+01
2.0000e+03,9.0000e+00,1.0000e+00,2.9126e+00,-8.2088e+05,-8.2089e+05,-2.9950e-02,-8.2089e+05,1.4624e-01,6.4269e+00,3.0726e+05,2.4741e+03,-1.1861e+00,-4.4852e-01,2.1683e+00,3.1807e-01,3.1320e+01
2.0000e+03,1.0000e+01,1.0000e+00,3.2258e+00,-8.1985e+05,-8.1985e+05,-3.3278e-02,-8.1985e+05,1.4628e-01,6.4302e+00,3.0317e+05,2.4820e+03,-4.6590e-02,-5.8709e-01,2.1587e+00,4.8648e+00,3.1371e+01
2.0000e+03,1.1000e+01,1.0000e+00,3.5370e+00,-8.1916e+05,-8.1917e+05,-3.6606e-02,-8.1917e+05,1.4632e-01,6.4336e+00,3.0214e+05,2.4897e+03,-5.9115e-02,-1.5376e+00,2.1227e+00,5.2216e+00,3.1410e+01
2.0000e+03,1.2000e+01,1.0000e+00,3.8462e+00,-8.1675e+05,-8.1676e+05,-3.9933e-02,-8.1676e+05,1.4636e-01,6.4368e+00,3.0145e+05,2.4996e+03,1.3663e-01,-9.8489e-01,2.1060e+00,8.7271e+00,3.1446e+01
2.0000e+03,1.3000e+01,1.0000e+00,4.1534e+00,-8.1088e+05,-8.1089e+05,-4.3261e-02,-8.1089e+05,1.4640e-01,6.4402e+00,2.9904e+05,2.5080e+03,-6.8079e-01,-1.9886e+00,6.7701e+00,1.2145e+01,3.1007e+01
2.0000e+03,1.4000e+01,2.0000e+00,4.4444e+00,-8.0794e+05,-8.0794e+05,-4.6589e-02,-8.0794e+05,1.4643e-01,6.4435e+00,2.9317e+05,2.5219e+03,-3.5468e-01,-1.7587e+00,6.9998e+00,1.9948e+01,3.1695e+01
2.0000e+03,1.5000e+01,1.0000e+00,4.7468e+00,-8.0773e+05,-8.0774e+05,-4.9917e-02,-8.0774e+05,1.4647e-01,6.4469e+00,2.9023e+05,2.5295e+03,-4.7656e-01,-3.1277e-01,6.9677e+00,1.2652e+01,3.1285e+01
