nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust_med,logNpix,tau
2.0000e+03,1.0000e+00,1.0000e+00,3.3223e-01,-1.1677e+06,-1.1677e+06,-3.3278e-03,-inf,1.4594e-01,6.4001e+00,inf,3.4002e+03,-3.5468e-01,-1.7587e+00,6.9998e+00,1.9948e+01
2.0000e+03,2.0000e+00,1.0000e+00,6.6225e-01,-1.1535e+06,-1.1535e+06,-6.6556e-03,-inf,1.4598e-01,6.4036e+00,7.3413e+05,3.4115e+03,-9.0571e-01,-5.6403e-01,6.9890e+00,1.1083e+01
2.0000e+03,3.0000e+00,1.0000e+00,9.9010e-01,-1.1485e+06,-1.1485e+06,-9.9834e-03,-inf,1.4602e-01,6.4069e+00,7.1988e+05,3.4235e+03,-1.1894e+00,-7.0088e-01,6.9083e+00,1.3927e+01
2.0000e+03,4.0000e+00,1.0000e+00,1.3158e+00,-1.1440e+06,-1.1440e+06,-1.3311e-02,-inf,1.4606e-01,6.4104e+00,7.1487e+05,3.4353e+03,-3.9506e-01,-1.4539e+00,6.8725e+00,1.3389e+01
2.0000e+03,5.0000e+00,1.0000e+00,1.6393e+00,-1.1313e+06,-1.1313e+06,-1.6639e-02,-inf,1.4609e-01,6.4136e+00,7.1043e+05,3.4452e+03,-1.4813e+00,-1.9870e-01,6.8862e+00,1.1182e+01
2.0000e+03,6.0000e+00,1.0000e+00,1.9608e+00,-1.1287e+06,-1.1287e+06,-1.9967e-02,-inf,1.4613e-01,6.4168e+00,6.9773e+05,3.4561e+03,-1.0965e+00,-6.0341e-01,6.7610e+00,1.7810e+01
2.0000e+03,7.0000e+00,1.0000e+00,2.2801e+00,-1.1254e+06,-1.1254e+06,-2.3295e-02,-inf,1.4617e-01,6.4203e+00,6.9513e+05,3.4674e+03,-8.8663e-01,-1.8868e+00,6.6842e+00,1.8090e+01
2.0000e+03,8.0000e+00,1.0000e+00,2.5974e+00,-1.1237e+06,-1.1237e+06,-2.6622e-02,-inf,1.4621e-01,6.4235e+00,6.9179e+05,3.4794e+03,-1.1131e+00,-5.1990e-01,6.7836e+00,1.0366e+01
2.0000e+03,9.0000e+00,1.0000e+00,2.9126e+00,-1.1236e+06,-1.1236e+06,-2.9950e-02,-inf,1.4624e-01,6.4268e+00,6.9012e+05,3.4929e+03,-6.2538e-01,-8.1379e-01,6.7572e+00,1.1107e+01
2.0000e+03,1.0000e+01,1.0000e+00,3.2258e+00,-1.1205e+06,-1.1205e+06,-3.3278e-02,-inf,1.4628e-01,6.4302e+00,6.8997e+05,3.5063e+03,-1.4756e+00,-1.0860e+00,6.6588e+00,1.6936e+01
2.0000e+03,1.1000e+01,1.0000e+00,3.5370e+00,-1.1194e+06,-1.1195e+06,-3.6606e-02,-inf,1.4632e-01,6.4335e+00,6.8694e+05,3.5167e+03,-5.1007e-01,-3.8024e-01,6.7728e+00,1.2786e+01
2.0000e+03,1.2000e+01,1.0000e+00,3.8462e+00,-1.1182e+06,-1.1182e+06,-3.9933e-02,-inf,1.4636e-01,6.4370e+00,6.8585e+05,3.5268e+03,-3.0474e-01,-1.1543e+00,6.6674e+00,1.9880e+01
2.0000e+03,1.3000e+01,1.0000e+00,4.1534e+00,-1.1180e+06,-1.1180e+06,-4.3261e-02,-inf,1.4640e-01,6.4402e+00,6.8461e+05,3.5376e+03,-1.2240e+00,-1.1944e+00,6.6565e+00,1.3496e+01
2.0000e+03,1.4000e+01,1.0000e+00,4.4586e+00,-1.1170e+06,-1.1170e+06,-4.6589e-02,-inf,1.4643e-01,6.4434e+00,6.8441e+05,3.5505e+03,3.9477e-01,-2.8593e-01,2.1302e+00,2.4461e+00
