nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust,logNpix,tau
2.0000e+03,1.0000e+00,1.0000e+00,1.9960e-01,-6.2323e+05,-6.2324e+05,-1.9980e-03,-6.2324e+05,1.1750e-01,6.9098e+00,inf,2.6677e+03,-3.5468e-01,-1.8793e+00,6.9998e+00,1.9948e+01
2.0000e+03,2.0000e+00,1.0000e+00,3.9841e-01,-6.1872e+05,-6.1873e+05,-3.9960e-03,-6.1873e+05,1.1751e-01,6.9118e+00,5.9135e+05,2.6732e+03,-9.0571e-01,-1.2820e+00,6.9890e+00,1.1083e+01
2.0000e+03,3.0000e+00,1.0000e+00,5.9642e-01,-6.1552e+05,-6.1553e+05,-5.9940e-03,-6.1553e+05,1.1753e-01,6.9137e+00,5.8684e+05,2.6790e+03,-1.1894e+00,-1.3504e+00,6.9083e+00,1.3927e+01
2.0000e+03,4.0000e+00,1.0000e+00,7.9365e-01,-6.0953e+05,-6.0953e+05,-7.9920e-03,-6.0953e+05,1.1755e-01,6.9157e+00,5.8363e+05,2.6842e+03,-1.4813e+00,-1.0994e+00,6.8862e+00,1.1182e+01
2.0000e+03,5.0000e+00,1.0000e+00,9.9010e-01,-6.0700e+05,-6.0701e+05,-9.9900e-03,-6.0701e+05,1.1757e-01,6.9177e+00,5.7764e+05,2.6900e+03,-3.9506e-01,-1.7270e+00,6.8725e+00,1.3389e+01
2.0000e+03,6.0000e+00,1.0000e+00,1.1858e+00,-6.0376e+05,-6.0377e+05,-1.1988e-02,-6.0377e+05,1.1758e-01,6.9198e+00,5.7511e+05,2.6960e+03,-1.3322e+00,-1.8043e+00,6.7376e+00,1.9398e+01
2.0000e+03,7.0000e+00,1.0000e+00,1.3807e+00,-6.0248e+05,-6.0249e+05,-1.3986e-02,-6.0249e+05,1.1760e-01,6.9218e+00,5.7187e+05,2.7005e+03,-1.0965e+00,-1.3017e+00,6.7610e+00,1.7810e+01
2.0000e+03,8.0000e+00,1.0000e+00,1.5748e+00,-6.0117e+05,-6.0117e+05,-1.5984e-02,-6.0117e+05,1.1762e-01,6.9238e+00,5.7060e+05,2.7061e+03,-1.1131e+00,-1.2600e+00,6.7836e+00,1.0366e+01
2.0000e+03,9.0000e+00,1.0000e+00,1.7682e+00,-5.9999e+05,-6.0000e+05,-1.7982e-02,-6.0000e+05,1.1763e-01,6.9257e+00,5.6928e+05,2.7119e+03,-3.2406e-01,-1.9748e+00,6.9455e+00,1.5084e+00
2.0000e+03,1.0000e+01,1.0000e+00,1.9608e+00,-5.9790e+05,-5.9790e+05,-1.9980e-02,-5.9790e+05,1.1765e-01,6.9277e+00,5.6811e+05,2.7173e+03,-1.1422e+00,-1.9232e+00,6.6839e+00,1.6733e+01
2.0000e+03,1.1000e+01,1.0000e+00,2.1526e+00,-5.9705e+05,-5.9706e+05,-2.1978e-02,-5.9706e+05,1.1767e-01,6.9297e+00,5.6601e+05,2.7227e+03,-1.3876e+00,-1.7218e+00,6.6836e+00,1.6784e+01
2.0000e+03,1.2000e+01,1.0000e+00,2.3438e+00,-5.9679e+05,-5.9680e+05,-2.3976e-02,-5.9680e+05,1.1768e-01,6.9317e+00,5.6517e+05,2.7281e+03,-3.9535e-01,-1.8143e+00,6.9049e+00,2.0091e+00
2.0000e+03,1.3000e+01,1.0000e+00,2.5341e+00,-5.9662e+05,-5.9663e+05,-2.5974e-02,-5.9663e+05,1.1770e-01,6.9338e+00,5.6491e+05,2.7337e+03,-5.1007e-01,-1.1901e+00,6.7728e+00,1.2786e+01
2.0000e+03,1.4000e+01,1.0000e+00,2.7237e+00,-5.9622e+05,-5.9623e+05,-2.7972e-02,-5.9623e+05,1.1772e-01,6.9357e+00,5.6473e+05,2.7391e+03,-8.8663e-01,-1.9434e+00,6.6842e+00,1.8090e+01
2.0000e+03,1.5000e+01,1.0000e+00,2.9126e+00,-5.9594e+05,-5.9594e+05,-2.9970e-02,-5.9594e+05,1.1774e-01,6.9377e+00,5.6434e+05,2.7445e+03,-6.2538e-01,-1.4069e+00,6.7572e+00,1.1107e+01
2.0000e+03,1.6000e+01,1.0000e+00,3.1008e+00,-5.9481e+05,-5.9482e+05,-3.1968e-02,-5.9482e+05,1.1775e-01,6.9397e+00,5.6405e+05,2.7502e+03,-1.4756e+00,-1.5430e+00,6.6588e+00,1.6936e+01
2.0000e+03,1.7000e+01,1.0000e+00,3.2882e+00,-5.9300e+05,-5.9301e+05,-3.3966e-02,-5.9301e+05,1.1777e-01,6.9417e+00,5.6293e+05,2.7548e+03,-1.4922e+00,-1.8157e+00,6.6398e+00,1.3761e+01
2.0000e+03,1.8000e+01,1.0000e+00,3.4749e+00,-5.9196e+05,-5.9197e+05,-3.5964e-02,-5.9197e+05,1.1779e-01,6.9437e+00,5.6112e+05,2.7593e+03,-1.2240e+00,-1.5972e+00,6.6565e+00,1.3496e+01
2.0000e+03,1.9000e+01,1.0000e+00,3.6609e+00,-5.9136e+05,-5.9137e+05,-3.7962e-02,-5.9137e+05,1.1780e-01,6.9457e+00,5.6007e+05,2.7646e+03,2.2825e-03,-1.1343e+00,6.7711e+00,1.7603e+01
2.0000e+03,2.0000e+01,1.0000e+00,3.8462e+00,-5.9120e+05,-5.9121e+05,-3.9960e-02,-5.9121e+05,1.1782e-01,6.9477e+00,5.5947e+05,2.7706e+03,2.8377e-01,-1.1896e+00,6.8205e+00,1.9159e+01
2.0000e+03,2.1000e+01,1.0000e+00,4.0307e+00,-5.9085e+05,-5.9086e+05,-4.1958e-02,-5.9086e+05,1.1784e-01,6.9497e+00,5.5931e+05,2.7761e+03,-1.0993e+00,-1.3429e+00,6.7160e+00,7.1997e+00
2.0000e+03,2.2000e+01,1.0000e+00,4.2146e+00,-5.9018e+05,-5.9018e+05,-4.3956e-02,-5.9018e+05,1.1785e-01,6.9517e+00,5.5897e+05,2.7809e+03,8.1048e-02,-1.0079e+00,6.7940e+00,1.5860e+01
2.0000e+03,2.3000e+01,1.0000e+00,4.3977e+00,-5.8981e+05,-5.8982e+05,-4.5954e-02,-5.8982e+05,1.1787e-01,6.9537e+00,5.5829e+05,2.7855e+03,-1.1622e+00,-1.6694e+00,6.7736e+00,2.1636e+00
2.0000e+03,2.4000e+01,1.0000e+00,4.5802e+00,-5.8921e+05,-5.8922e+05,-4.7952e-02,-5.8922e+05,1.1789e-01,6.9557e+00,5.5792e+05,2.7912e+03,2.6808e-01,-1.4329e+00,6.9724e+00,3.6569e+00
2.0000e+03,2.5000e+01,1.0000e+00,4.7619e+00,-5.8851e+05,-5.8852e+05,-4.9950e-02,-5.8852e+05,1.1790e-01,6.9577e+00,5.5732e+05,2.7965e+03,-3.0474e-01,-1.5771e+00,6.6674e+00,1.9880e+01
2.0000e+03,2.6000e+01,1.0000e+00,4.9430e+00,-5.8836e+05,-5.8837e+05,-5.1948e-02,-5.8837e+05,1.1792e-01,6.9597e+00,5.5662e+05,2.8018e+03,-7.5315e-01,-1.9876e+00,6.6095e+00,1.7478e+01
2.0000e+03,2.7000e+01,1.0000e+00,5.1233e+00,-5.8373e+05,-5.8374e+05,-5.3946e-02,-5.8374e+05,1.1794e-01,6.9617e+00,5.5647e+05,2.8069e+03,-5.6398e-01,-1.2098e+00,6.6147e+00,1.4433e+01
2.0000e+03,2.8000e+01,1.0000e+00,5.3030e+00,-5.8148e+05,-5.8149e+05,-5.5944e-02,-5.8149e+05,1.1796e-01,6.9637e+00,5.5184e+05,2.8122e+03,-6.2621e-01,-1.3879e+00,6.5910e+00,1.2552e+01
2.0000e+03,2.9000e+01,1.0000e+00,5.4820e+00,-5.8018e+05,-5.8018e+05,-5.7942e-02,-5.8018e+05,1.1797e-01,6.9657e+00,5.4959e+05,2.8167e+03,-1.1232e+00,-1.9924e+00,6.4817e+00,1.9951e+01
2.0000e+03,3.0000e+01,1.0000e+00,5.6604e+00,-5.8005e+05,-5.8006e+05,-5.9940e-02,-5.8006e+05,1.1799e-01,6.9677e+00,5.4829e+05,2.8212e+03,8.2152e-02,-1.2127e+00,6.7389e+00,8.0641e+00
2.0000e+03,3.1000e+01,1.0000e+00,5.8380e+00,-5.7953e+05,-5.7954e+05,-6.1938e-02,-5.7954e+05,1.1801e-01,6.9697e+00,5.4816e+05,2.8265e+03,-8.0398e-01,-1.8174e+00,6.5090e+00,1.4160e+01
2.0000e+03,3.2000e+01,1.0000e+00,6.0150e+00,-5.7948e+05,-5.7949e+05,-6.3936e-02,-5.7949e+05,1.1802e-01,6.9717e+00,5.4765e+05,2.8316e+03,-1.3182e+00,-1.4764e+00,6.4730e+00,1.9278e+01
2.0000e+03,3.3000e+01,1.0000e+00,6.1914e+00,-5.7886e+05,-5.7887e+05,-6.5934e-02,-5.7887e+05,1.1804e-01,6.9737e+00,5.4760e+05,2.8370e+03,1.6869e-01,-1.2686e+00,6.8072e+00,2.3819e+00
2.0000e+03,3.4000e+01,1.0000e+00,6.3670e+00,-5.7858e+05,-5.7859e+05,-6.7932e-02,-5.7859e+05,1.1806e-01,6.9757e+00,5.4697e+05,2.8426e+03,-9.4809e-01,-1.4169e+00,6.6498e+00,1.2402e+00
2.0000e+03,3.5000e+01,1.0000e+00,6.5421e+00,-5.7773e+05,-5.7774e+05,-6.9930e-02,-5.7774e+05,1.1807e-01,6.9777e+00,5.4669e+05,2.8479e+03,-2.6199e-01,-1.2205e+00,6.6567e+00,6.8982e+00
2.0000e+03,3.6000e+01,1.0000e+00,6.7164e+00,-5.7641e+05,-5.7642e+05,-7.1928e-02,-5.7642e+05,1.1809e-01,6.9797e+00,5.4584e+05,2.8533e+03,-1.2782e+00,-1.1046e+00,6.4605e+00,1.8312e+01
2.0000e+03,3.7000e+01,1.0000e+00,6.8901e+00,-5.7386e+05,-5.7387e+05,-7.3926e-02,-5.7387e+05,1.1811e-01,6.9817e+00,5.4452e+05,2.8581e+03,-1.1887e+00,-1.0040e+00,6.4485e+00,1.6095e+01
2.0000e+03,3.8000e+01,2.0000e+00,7.0501e+00,-5.7317e+05,-5.7318e+05,-7.5924e-02,-5.7318e+05,1.1812e-01,6.9837e+00,5.4197e+05,2.8691e+03,-3.1767e-01,-1.6885e+00,6.5921e+00,1.1079e+00
2.0000e+03,3.9000e+01,1.0000e+00,7.2222e+00,-5.7262e+05,-5.7263e+05,-7.7922e-02,-5.7263e+05,1.1814e-01,6.9857e+00,5.4128e+05,2.8735e+03,-7.5611e-01,-1.1723e+00,6.5057e+00,8.6033e+00
2.0000e+03,4.0000e+01,1.0000e+00,7.3937e+00,-5.7124e+05,-5.7124e+05,-7.9920e-02,-5.7124e+05,1.1816e-01,6.9877e+00,5.4073e+05,2.8790e+03,-1.3457e+00,-1.0280e+00,6.4142e+00,1.2646e+01
2.0000e+03,4.1000e+01,1.0000e+00,7.5646e+00,-5.7027e+05,-5.7028e+05,-8.1918e-02,-5.7028e+05,1.1818e-01,6.9897e+00,5.3935e+05,2.8848e+03,-9.4596e-01,-1.9895e+00,6.4389e+00,7.5406e+00
2.0000e+03,4.2000e+01,1.0000e+00,7.7348e+00,-5.6892e+05,-5.6892e+05,-8.3916e-02,-5.6892e+05,1.1819e-01,6.9917e+00,5.3839e+05,2.8894e+03,-9.6576e-01,-1.1978e+00,6.4982e+00,2.1216e+00
2.0000e+03,4.3000e+01,1.0000e+00,7.9044e+00,-5.6794e+05,-5.6795e+05,-8.5914e-02,-5.6795e+05,1.1821e-01,6.9937e+00,5.3703e+05,2.8955e+03,-1.2283e+00,-1.0873e+00,6.3596e+00,1.5695e+01
2.0000e+03,4.4000e+01,1.0000e+00,8.0734e+00,-5.6781e+05,-5.6781e+05,-8.7912e-02,-5.6781e+05,1.1823e-01,6.9957e+00,5.3606e+05,2.9009e+03,-1.3957e+00,-1.9073e+00,6.4349e+00,3.4462e+00
2.0000e+03,4.5000e+01,1.0000e+00,8.2418e+00,-5.6717e+05,-5.6718e+05,-8.9910e-02,-5.6718e+05,1.1824e-01,6.9977e+00,5.3592e+05,2.9064e+03,-7.3402e-01,-1.3419e+00,6.4061e+00,1.1496e+01
2.0000e+03,4.6000e+01,1.0000e+00,8.4095e+00,-5.6652e+05,-5.6653e+05,-9.1908e-02,-5.6653e+05,1.1826e-01,6.9996e+00,5.3529e+05,2.9114e+03,-9.1350e-01,-1.4699e+00,6.3316e+00,1.7389e+01
2.0000e+03,4.7000e+01,1.0000e+00,8.5766e+00,-5.6625e+05,-5.6626e+05,-9.3906e-02,-5.6626e+05,1.1828e-01,7.0016e+00,5.3463e+05,2.9171e+03,3.6035e-02,-1.1827e+00,6.6337e+00,4.2200e+00
2.0000e+03,4.8000e+01,1.0000e+00,8.7432e+00,-5.6514e+05,-5.6515e+05,-9.5904e-02,-5.6515e+05,1.1829e-01,7.0037e+00,5.3437e+05,2.9228e+03,-4.7514e-01,-1.8552e+00,6.3840e+00,1.4791e+01
2.0000e+03,4.9000e+01,1.0000e+00,8.9091e+00,-5.6485e+05,-5.6486e+05,-9.7902e-02,-5.6486e+05,1.1831e-01,7.0057e+00,5.3325e+05,2.9288e+03,-1.4832e+00,-1.5285e+00,6.2621e+00,1.8471e+01
2.0000e+03,5.0000e+01,1.0000e+00,9.0744e+00,-5.6480e+05,-5.6481e+05,-9.9900e-02,-5.6481e+05,1.1833e-01,7.0077e+00,5.3296e+05,2.9341e+03,4.3821e-01,-1.2507e+00,6.6637e+00,1.8594e+00
2.0000e+03,5.1000e+01,1.0000e+00,9.2391e+00,-5.6434e+05,-5.6434e+05,-1.0190e-01,-5.6434e+05,1.1834e-01,7.0096e+00,5.3292e+05,2.9399e+03,-9.3438e-01,-1.7582e+00,6.3568e+00,7.4052e+00
2.0000e+03,5.2000e+01,1.0000e+00,9.4033e+00,-5.6347e+05,-5.6347e+05,-1.0390e-01,-5.6347e+05,1.1836e-01,7.0116e+00,5.3245e+05,2.9452e+03,-8.6633e-01,-1.4319e+00,6.3456e+00,8.7799e+00
2.0000e+03,5.3000e+01,1.0000e+00,9.5668e+00,-5.6341e+05,-5.6342e+05,-1.0589e-01,-5.6342e+05,1.1838e-01,7.0136e+00,5.3158e+05,2.9506e+03,2.5905e-01,-1.5001e+00,6.5713e+00,8.3070e+00
2.0000e+03,5.4000e+01,1.0000e+00,9.7297e+00,-5.6324e+05,-5.6325e+05,-1.0789e-01,-5.6325e+05,1.1839e-01,7.0157e+00,5.3152e+05,2.9558e+03,1.9797e-01,-1.0887e+00,6.4995e+00,1.7358e+01
2.0000e+03,5.5000e+01,1.0000e+00,9.8921e+00,-5.6320e+05,-5.6320e+05,-1.0989e-01,-5.6320e+05,1.1841e-01,7.0177e+00,5.3136e+05,2.9611e+03,-4.2659e-01,-1.2268e+00,6.4017e+00,1.2784e+01
2.0000e+03,5.6000e+01,1.0000e+00,1.0054e+01,-5.6111e+05,-5.6112e+05,-1.1189e-01,-5.6112e+05,1.1843e-01,7.0197e+00,5.3131e+05,2.9665e+03,-1.0504e+00,-1.7102e+00,6.2449e+00,1.4909e+01
2.0000e+03,5.7000e+01,1.0000e+00,1.0215e+01,-5.6085e+05,-5.6085e+05,-1.1389e-01,-5.6085e+05,1.1844e-01,7.0216e+00,5.2922e+05,2.9718e+03,-1.3080e+00,-1.4883e+00,6.2181e+00,1.9872e+01
2.0000e+03,5.8000e+01,1.0000e+00,1.0376e+01,-5.6057e+05,-5.6058e+05,-1.1588e-01,-5.6058e+05,1.1846e-01,7.0236e+00,5.2896e+05,2.9770e+03,-1.7231e-01,-1.9540e+00,6.3778e+00,1.8865e+01
2.0000e+03,5.9000e+01,1.0000e+00,1.0536e+01,-5.5994e+05,-5.5995e+05,-1.1788e-01,-5.5995e+05,1.1848e-01,7.0256e+00,5.2868e+05,2.9815e+03,4.2959e-01,-1.0324e+00,6.6501e+00,3.7751e+00
2.0000e+03,6.0000e+01,1.0000e+00,1.0695e+01,-5.5979e+05,-5.5980e+05,-1.1988e-01,-5.5980e+05,1.1850e-01,7.0276e+00,5.2806e+05,2.9870e+03,-1.1598e+00,-1.2816e+00,6.3490e+00,2.6733e+00
2.0000e+03,6.1000e+01,1.0000e+00,1.0854e+01,-5.5972e+05,-5.5973e+05,-1.2188e-01,-5.5973e+05,1.1851e-01,7.0297e+00,5.2791e+05,2.9924e+03,4.4811e-01,-1.2458e+00,6.5834e+00,8.5029e-01
2.0000e+03,6.2000e+01,1.0000e+00,1.1012e+01,-5.5967e+05,-5.5968e+05,-1.2388e-01,-5.5968e+05,1.1853e-01,7.0316e+00,5.2783e+05,2.9976e+03,-3.6678e-01,-1.4860e+00,6.3444e+00,1.4435e+01
2.0000e+03,6.3000e+01,1.0000e+00,1.1170e+01,-5.5875e+05,-5.5876e+05,-1.2587e-01,-5.5876e+05,1.1855e-01,7.0336e+00,5.2778e+05,3.0028e+03,-2.6772e-01,-1.7807e+00,6.3626e+00,1.2993e+01
2.0000e+03,6.4000e+01,2.0000e+00,1.1307e+01,-5.5784e+05,-5.5784e+05,-1.2787e-01,-5.5784e+05,1.1856e-01,7.0356e+00,5.2686e+05,3.0124e+03,1.3139e-01,-1.9080e+00,6.4389e+00,4.2714e-01
2.0000e+03,6.5000e+01,1.0000e+00,1.1464e+01,-5.5753e+05,-5.5754e+05,-1.2987e-01,-5.5754e+05,1.1858e-01,7.0376e+00,5.2595e+05,3.0169e+03,-5.8438e-01,-1.0796e+00,6.3953e+00,5.1271e+00
2.0000e+03,6.6000e+01,1.0000e+00,1.1620e+01,-5.5723e+05,-5.5724e+05,-1.3187e-01,-5.5724e+05,1.1860e-01,7.0396e+00,5.2564e+05,3.0226e+03,-2.2559e-01,-1.8340e+00,6.3706e+00,2.0018e+00
2.0000e+03,6.7000e+01,3.0000e+00,1.1734e+01,-5.5612e+05,-5.5613e+05,-1.3387e-01,-5.5613e+05,1.1861e-01,7.0416e+00,5.2534e+05,3.0388e+03,3.7728e-01,-1.2550e+00,6.5537e+00,4.8208e+00
2.0000e+03,6.8000e+01,1.0000e+00,1.1888e+01,-5.5594e+05,-5.5595e+05,-1.3586e-01,-5.5595e+05,1.1863e-01,7.0436e+00,5.2423e+05,3.0446e+03,-1.4791e+00,-1.8265e+00,6.1957e+00,6.2741e+00
2.0000e+03,6.9000e+01,1.0000e+00,1.2042e+01,-5.5536e+05,-5.5537e+05,-1.3786e-01,-5.5537e+05,1.1865e-01,7.0456e+00,5.2406e+05,3.0499e+03,2.9160e-01,-1.5477e+00,6.5246e+00,3.1485e+00
2.0000e+03,7.0000e+01,2.0000e+00,1.2174e+01,-5.5477e+05,-5.5478e+05,-1.3986e-01,-5.5478e+05,1.1866e-01,7.0476e+00,5.2348e+05,3.0614e+03,2.7979e-01,-1.8315e+00,6.4178e+00,1.4085e+01
2.0000e+03,7.1000e+01,1.0000e+00,1.2326e+01,-5.5473e+05,-5.5474e+05,-1.4186e-01,-5.5474e+05,1.1868e-01,7.0496e+00,5.2288e+05,3.0669e+03,-6.4392e-01,-1.7416e+00,6.3263e+00,3.5482e+00
2.0000e+03,7.2000e+01,3.0000e+00,1.2435e+01,-5.5386e+05,-5.5386e+05,-1.4386e-01,-5.5386e+05,1.1870e-01,7.0516e+00,5.2284e+05,3.0836e+03,6.7444e-02,-1.3940e+00,6.3587e+00,1.8102e+00
2.0000e+03,7.3000e+01,2.0000e+00,1.2565e+01,-5.5373e+05,-5.5374e+05,-1.4585e-01,-5.5374e+05,1.1871e-01,7.0536e+00,5.2197e+05,3.0949e+03,-1.3329e+00,-1.4014e+00,6.2303e+00,3.7468e+00
2.0000e+03,7.4000e+01,1.0000e+00,1.2715e+01,-5.5316e+05,-5.5317e+05,-1.4785e-01,-5.5317e+05,1.1873e-01,7.0556e+00,5.2185e+05,3.1003e+03,3.6062e-02,-1.8056e+00,6.3144e+00,6.7157e-01
2.0000e+03,7.5000e+01,1.0000e+00,1.2864e+01,-5.5303e+05,-5.5303e+05,-1.4985e-01,-5.5303e+05,1.1875e-01,7.0576e+00,5.2127e+05,3.1059e+03,2.1060e-01,-1.0888e+00,6.3828e+00,1.9312e+01
2.0000e+03,7.6000e+01,1.0000e+00,1.3014e+01,-5.5213e+05,-5.5213e+05,-1.5185e-01,-5.5213e+05,1.1877e-01,7.0596e+00,5.2114e+05,3.1116e+03,-1.1075e+00,-1.7618e+00,6.1226e+00,1.7940e+01
2.0000e+03,7.7000e+01,2.0000e+00,1.3140e+01,-5.5204e+05,-5.5205e+05,-1.5385e-01,-5.5205e+05,1.1878e-01,7.0616e+00,5.2024e+05,3.1223e+03,4.9566e-01,-1.5989e+00,6.4167e+00,1.1426e+01
2.0000e+03,7.8000e+01,1.0000e+00,1.3288e+01,-5.5149e+05,-5.5150e+05,-1.5584e-01,-5.5150e+05,1.1880e-01,7.0636e+00,5.2015e+05,3.1278e+03,2.7712e-01,-1.4707e+00,6.4250e+00,9.1083e+00
2.0000e+03,7.9000e+01,1.0000e+00,1.3435e+01,-5.5117e+05,-5.5118e+05,-1.5784e-01,-5.5118e+05,1.1882e-01,7.0656e+00,5.1960e+05,3.1336e+03,3.1986e-01,-1.8767e+00,6.4739e+00,4.1807e+00
2.0000e+03,8.0000e+01,2.0000e+00,1.3559e+01,-5.5051e+05,-5.5052e+05,-1.5984e-01,-5.5052e+05,1.1883e-01,7.0676e+00,5.1929e+05,3.1446e+03,1.1143e-01,-1.5157e+00,6.3834e+00,3.1292e+00
2.0000e+03,8.1000e+01,3.0000e+00,1.3659e+01,-5.5010e+05,-5.5011e+05,-1.6184e-01,-5.5011e+05,1.1885e-01,7.0696e+00,5.1863e+05,3.1615e+03,-1.3852e+00,-1.0853e+00,6.1534e+00,3.2642e+00
2.0000e+03,8.2000e+01,1.0000e+00,1.3805e+01,-5.5010e+05,-5.5011e+05,-1.6384e-01,-5.5011e+05,1.1274e-01,6.3610e+00,5.1822e+05,3.1667e+03,-5.5399e-01,-1.7658e+00,6.1691e+00,2.0605e+00
2.0000e+03,8.3000e+01,1.0000e+00,1.3950e+01,-5.4841e+05,-5.4842e+05,-1.6583e-01,-5.4842e+05,1.1888e-01,7.0736e+00,5.1822e+05,3.1721e+03,-1.1297e-01,-1.5788e+00,6.2917e+00,1.1544e+01
2.0000e+03,8.4000e+01,1.0000e+00,1.4094e+01,-5.4818e+05,-5.4819e+05,-1.6783e-01,-5.4819e+05,1.1890e-01,7.0756e+00,5.1652e+05,3.1771e+03,-9.7047e-01,-1.8050e+00,6.1026e+00,1.0454e+01
2.0000e+03,8.5000e+01,1.0000e+00,1.4238e+01,-5.4672e+05,-5.4672e+05,-1.6983e-01,-5.4672e+05,1.1892e-01,7.0776e+00,5.1629e+05,3.1825e+03,-1.4442e+00,-1.4267e+00,6.0282e+00,8.4682e+00
