nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust_med,logNpix,tau,dmod
2.0000e+03,1.0000e+00,1.0000e+00,3.3223e-01,-7.7144e+05,-7.7144e+05,-3.3278e-03,-7.7144e+05,1.4594e-01,6.4003e+00,inf,2.3722e+03,-7.7023e-01,-7.6921e-01,2.3769e+00,7.4396e+00,3.3666e+01
2.0000e+03,2.0000e+00,1.0000e+00,6.6225e-01,-7.6939e+05,-7.6939e+05,-6.6556e-03,-7.6939e+05,1.4598e-01,6.4036e+00,2.4415e+05,2.3817e+03,4.8896e-01,-1.6425e+00,2.0610e+00,9.1943e+00,3.3659e+01
2.0000e+03,3.0000e+00,1.0000e+00,9.9010e-01,-7.6903e+05,-7.6903e+05,-9.9834e-03,-7.6903e+05,1.4602e-01,6.4069e+00,2.4210e+05,2.3904e+03,-1.4668e+00,-9.2897e-01,2.2285e+00,3.1642e+00,3.3215e+01
2.0000e+03,4.0000e+00,1.0000e+00,1.3158e+00,-7.6707e+05,-7.6708e+05,-1.3311e-02,-7.6708e+05,1.4605e-01,6.4102e+00,2.4174e+05,2.3983e+03,-1.3159e+00,-2.2442e-01,2.0822e+00,1.7292e+01,3.3494e+01
2.0000e+03,5.0000e+00,1.0000e+00,1.6393e+00,-7.6660e+05,-7.6660e+05,-1.6639e-02,-7.6660e+05,1.4609e-01,6.4136e+00,2.3978e+05,2.4059e+03,-7.6070e-01,-7.9133e-01,2.5155e+00,1.6067e+01,3.3728e+01
2.0000e+03,6.0000e+00,1.0000e+00,1.9608e+00,-7.6617e+05,-7.6618e+05,-1.9967e-02,-7.6618e+05,1.4613e-01,6.4169e+00,2.3931e+05,2.4144e+03,-5.4445e-01,-1.3866e+00,2.2830e+00,1.8743e+01,3.3520e+01
2.0000e+03,7.0000e+00,1.0000e+00,2.2801e+00,-7.6485e+05,-7.6485e+05,-2.3295e-02,-7.6485e+05,1.4617e-01,6.4202e+00,2.3888e+05,2.4226e+03,-3.7761e-01,-9.9383e-01,2.0688e+00,1.5479e+01,3.3413e+01
2.0000e+03,8.0000e+00,1.0000e+00,2.5974e+00,-7.6093e+05,-7.6094e+05,-2.6622e-02,-7.6094e+05,1.4621e-01,6.4235e+00,2.3756e+05,2.4304e+03,-1.2742e+00,-1.1239e+00,2.3554e+00,1.6343e+01,3.3331e+01
2.0000e+03,9.0000e+00,1.0000e+00,2.9126e+00,-7.5962e+05,-7.5963e+05,-2.9950e-02,-7.5963e+05,1.4624e-01,6.4269e+00,2.3364e+05,2.4391e+03,-1.4148e+00,-1.5044e+00,2.2251e+00,1.4139e+01,3.3174e+01
2.0000e+03,1.0000e+01,1.0000e+00,3.2258e+00,-7.5961e+05,-7.5961e+05,-3.3278e-02,-7.5961e+05,1.4628e-01,6.4302e+00,2.3233e+05,2.4470e+03,3.8874e-01,-1.3535e+00,2.4872e+00,1.8953e+01,3.3285e+01
2.0000e+03,1.1000e+01,1.0000e+00,3.5370e+00,-7.5950e+05,-7.5951e+05,-3.6606e-02,-7.5951e+05,1.4632e-01,6.4336e+00,2.3232e+05,2.4547e+03,-6.8079e-01,-1.9886e+00,6.7701e+00,1.2145e+01,2.9033e+01
2.0000e+03,1.2000e+01,1.0000e+00,3.8462e+00,-7.5922e+05,-7.5922e+05,-3.9933e-02,-7.5922e+05,1.4636e-01,6.4368e+00,2.3221e+05,2.4646e+03,2.9380e-02,-1.2814e+00,2.4400e+00,1.4618e+01,3.3405e+01
2.0000e+03,1.3000e+01,1.0000e+00,4.1534e+00,-7.5632e+05,-7.5633e+05,-4.3261e-02,-7.5633e+05,1.4640e-01,6.4402e+00,2.3193e+05,2.4729e+03,-5.3756e-01,-1.9301e+00,2.5545e+00,1.7918e+01,3.3461e+01
2.0000e+03,1.4000e+01,2.0000e+00,4.4444e+00,-7.5532e+05,-7.5533e+05,-4.6589e-02,-7.5533e+05,1.4643e-01,6.4435e+00,2.2904e+05,2.4866e+03,3.8924e-01,-8.4123e-01,2.9338e+00,1.1970e+01,3.3669e+01
2.0000e+03,1.5000e+01,1.0000e+00,4.7468e+00,-7.5238e+05,-7.5239e+05,-4.9917e-02,-7.5239e+05,1.4647e-01,6.4469e+00,2.2804e+05,2.4940e+03,-6.1281e-01,-3.7997e-01,2.5193e+00,4.6767e+00,3.2959e+01
2.0000e+03,1.6000e+01,1.0000e+00,5.0473e+00,-7.5092e+05,-7.5093e+05,-5.3245e-02,-7.5093e+05,1.4651e-01,6.4501e+00,2.2510e+05,2.5020e+03,3.7053e-01,-3.7915e-01,2.9417e+00,1.1788e+01,3.3518e+01
2.0000e+03,1.7000e+01,1.0000e+00,5.3459e+00,-7.4876e+05,-7.4877e+05,-5.6572e-02,-7.4877e+05,1.4655e-01,6.4535e+00,2.2363e+05,2.5098e+03,-1.1196e+00,-1.9828e+00,2.6376e+00,2.3460e+00,3.2652e+01
2.0000e+03,1.8000e+01,1.0000e+00,5.6426e+00,-7.4864e+05,-7.4865e+05,-5.9900e-02,-7.4865e+05,1.4658e-01,6.4568e+00,2.2148e+05,2.5186e+03,-9.2771e-01,-6.8271e-01,2.4515e+00,1.6463e+01,3.3037e+01
