nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logSFH5,dmod
2.0000e+03,1.0000e+00,1.0000e+00,3.3223e-01,-7.0212e+14,-7.0212e+14,-3.3278e-03,-inf,,1.7512e+13,inf,6.3925e+00,-4.8996e-01,-2.0362e+00,7.2109e-02,5.9210e-01,1.1987e+00,1.4997e+00,2.5496e+00,2.5085e+00,2.7989e+01
2.0000e+03,2.0000e+00,1.0000e+00,6.6225e-01,-7.0181e+14,-7.0181e+14,-6.6556e-03,-inf,,1.9777e+13,inf,1.2775e+01,-4.5487e-01,-1.5919e+00,2.7136e-01,8.0056e-01,1.0392e+00,1.5026e+00,2.6021e+00,2.5458e+00,2.7975e+01
2.0000e+03,3.0000e+00,1.0000e+00,9.9010e-01,-7.0092e+14,-7.0092e+14,-9.9834e-03,-inf,,2.2015e+13,inf,1.9184e+01,-2.8792e-01,-1.4058e+00,2.0446e-01,3.8581e-01,1.1543e+00,1.8441e+00,2.6040e+00,2.4652e+00,2.7995e+01
2.0000e+03,4.0000e+00,1.0000e+00,1.3158e+00,-7.0084e+14,-7.0084e+14,-1.3311e-02,-inf,,2.4268e+13,inf,2.4517e+01,-5.0697e-01,-1.9747e+00,3.0529e-01,4.6347e-01,1.2918e+00,1.9106e+00,2.5274e+00,2.4847e+00,2.8083e+01
2.0000e+03,5.0000e+00,1.0000e+00,1.6393e+00,-6.9953e+14,-6.9953e+14,-1.6639e-02,-inf,,2.6466e+13,inf,3.0911e+01,-3.3899e-01,-2.0666e+00,3.1001e-01,6.0794e-01,9.1146e-01,1.8020e+00,2.6208e+00,2.5201e+00,2.8107e+01
2.0000e+03,6.0000e+00,1.0000e+00,1.9608e+00,-6.9924e+14,-6.9924e+14,-1.9967e-02,-inf,,2.8691e+13,inf,3.7307e+01,-4.9299e-01,-1.6587e+00,3.5603e-01,4.3639e-01,1.1432e+00,1.5823e+00,2.6145e+00,2.4581e+00,2.8070e+01
2.0000e+03,7.0000e+00,1.0000e+00,2.2801e+00,-6.9921e+14,-6.9921e+14,-2.3295e-02,-inf,,3.0917e+13,inf,4.3721e+01,-3.0090e-01,-1.0842e+00,1.0665e-01,6.2760e-01,1.1865e+00,1.8085e+00,2.5558e+00,2.5335e+00,2.8142e+01
2.0000e+03,8.0000e+00,1.0000e+00,2.5974e+00,-6.9890e+14,-6.9890e+14,-2.6622e-02,-inf,,3.3123e+13,inf,5.0022e+01,-4.5237e-01,-7.5494e-01,1.0673e-01,5.1591e-01,1.1504e+00,1.4627e+00,2.5808e+00,2.6015e+00,2.8195e+01
2.0000e+03,9.0000e+00,1.0000e+00,2.9126e+00,-6.9886e+14,-6.9886e+14,-2.9950e-02,-inf,,3.5332e+13,inf,5.6425e+01,-5.1026e-01,-1.5307e+00,3.4587e-01,6.9784e-01,9.8022e-01,1.7941e+00,2.6064e+00,2.3877e+00,2.8142e+01
2.0000e+03,1.0000e+01,1.0000e+00,3.2258e+00,-6.9879e+14,-6.9879e+14,-3.3278e-02,-inf,,3.7533e+13,inf,6.1899e+01,-2.7755e-02,-1.6415e+00,2.7196e-01,7.7019e-01,1.2876e+00,1.9014e+00,2.6177e+00,2.3507e+00,2.7999e+01
2.0000e+03,1.1000e+01,1.0000e+00,3.5370e+00,-6.9841e+14,-6.9841e+14,-3.6606e-02,-inf,,3.9708e+13,inf,6.8329e+01,-4.9609e-01,-9.8976e-01,1.3429e-01,3.7611e-01,9.9457e-01,1.4966e+00,2.5467e+00,2.4799e+00,2.8065e+01
2.0000e+03,1.2000e+01,1.0000e+00,3.8462e+00,-6.9840e+14,-6.9840e+14,-3.9933e-02,-inf,,4.1896e+13,inf,7.4844e+01,-5.1081e-01,-2.0696e+00,1.3531e-01,4.2289e-01,1.0763e+00,1.4775e+00,2.5926e+00,2.5821e+00,2.8300e+01
2.0000e+03,1.3000e+01,1.0000e+00,4.1534e+00,-6.9831e+14,-6.9831e+14,-4.3261e-02,-inf,,-4.3040e+13,inf,8.1338e+01,-2.4392e-01,-1.0410e+00,7.1233e-02,5.5469e-01,1.2294e+00,1.4641e+00,2.5934e+00,2.3619e+00,2.7993e+01
2.0000e+03,1.4000e+01,1.0000e+00,4.4586e+00,-6.9814e+14,-6.9814e+14,-4.6589e-02,-inf,,-4.0567e+13,inf,8.7872e+01,-2.8626e-01,-1.6334e+00,2.2638e-01,6.3487e-01,1.1728e+00,1.5388e+00,2.5645e+00,2.4778e+00,2.8035e+01
2.0000e+03,1.5000e+01,1.0000e+00,4.7619e+00,-6.9798e+14,-6.9798e+14,-4.9917e-02,-inf,,-3.8104e+13,inf,9.4350e+01,2.4034e-01,-1.3821e+00,2.2722e-01,3.8175e-01,1.1675e+00,1.8960e+00,2.6114e+00,2.5797e+00,2.8041e+01
2.0000e+03,1.6000e+01,1.0000e+00,5.0633e+00,-6.9787e+14,-6.9787e+14,-5.3245e-02,-inf,,-3.5653e+13,inf,9.9800e+01,-1.9441e-01,-1.5466e+00,2.4338e-01,8.1825e-01,1.0619e+00,1.4641e+00,2.5905e+00,2.5534e+00,2.8110e+01
2.0000e+03,1.7000e+01,1.0000e+00,5.3628e+00,-6.9787e+14,-6.9787e+14,-5.6572e-02,-inf,,-3.3216e+13,inf,1.0633e+02,-4.3706e-01,-1.3372e+00,2.6511e-01,8.0377e-01,1.1105e+00,1.6864e+00,2.4148e+00,2.5283e+00,2.7988e+01
2.0000e+03,1.8000e+01,1.0000e+00,5.6604e+00,-6.9771e+14,-6.9771e+14,-5.9900e-02,-inf,,-3.0780e+13,inf,1.1290e+02,-1.3017e-01,-1.7164e+00,1.2884e-01,6.0047e-01,1.3155e+00,1.7188e+00,2.6215e+00,2.3478e+00,2.8137e+01
2.0000e+03,1.9000e+01,1.0000e+00,5.9561e+00,-6.9766e+14,-6.9766e+14,-6.3228e-02,-inf,,-2.8357e+13,inf,1.1955e+02,-2.6445e-01,-1.9890e+00,4.5759e-02,5.2722e-01,1.0538e+00,1.9101e+00,2.6007e+00,2.2094e+00,2.8179e+01
2.0000e+03,2.0000e+01,1.0000e+00,6.2500e+00,-6.9749e+14,-6.9749e+14,-6.6556e-02,-inf,,-2.5939e+13,inf,1.2609e+02,-3.5279e-01,-1.7210e+00,3.9094e-01,3.9724e-01,1.0187e+00,1.8833e+00,2.5524e+00,2.5695e+00,2.8211e+01
2.0000e+03,2.1000e+01,1.0000e+00,6.5421e+00,-6.9728e+14,-6.9728e+14,-6.9884e-02,-inf,,-2.3529e+13,inf,1.3252e+02,-5.1566e-01,-9.9583e-01,9.9972e-02,5.7139e-01,1.0588e+00,1.4883e+00,2.5293e+00,2.3861e+00,2.8037e+01
