nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logNpix,tau
2.0000e+03,1.0000e+00,1.0000e+00,1.9960e-01,-7.9878e+10,-7.9878e+10,-1.9980e-03,-inf,,-4.9842e+05,inf,2.4897e+00,-3.2406e-01,-1.9497e+00,5.9455e+00,1.6370e+00
2.0000e+03,2.0000e+00,1.0000e+00,3.9841e-01,-5.1366e+10,-5.1366e+10,-3.9960e-03,-inf,7.0985e+00,2.5220e+04,inf,4.9987e+00,1.3139e-01,-1.8159e+00,5.4389e+00,1.1480e+00
2.0000e+03,3.0000e+00,1.0000e+00,5.9642e-01,-4.5105e+10,-4.5105e+10,-5.9940e-03,-inf,,-1.8389e+04,inf,7.5276e+00,-3.1767e-01,-1.3770e+00,5.5921e+00,1.4559e+00
2.0000e+03,4.0000e+00,1.0000e+00,7.9365e-01,-4.4246e+10,-4.4246e+10,-7.9920e-03,-inf,,-5.7803e+04,inf,1.0083e+01,-3.9535e-01,-1.6285e+00,5.9049e+00,1.8634e+00
2.0000e+03,5.0000e+00,1.0000e+00,9.9010e-01,-4.3844e+10,-4.3844e+10,-9.9900e-03,-inf,,-9.6681e+04,inf,1.2617e+01,2.6808e-01,-8.6589e-01,5.9724e+00,2.6087e+00
2.0000e+03,6.0000e+00,1.0000e+00,1.1858e+00,-3.8980e+10,-3.8980e+10,-1.1988e-02,-inf,,-1.2099e+05,inf,1.5159e+01,-9.4809e-01,-8.3388e-01,5.6498e+00,1.5157e+00
2.0000e+03,7.0000e+00,1.0000e+00,1.3807e+00,-3.2191e+10,-3.2191e+10,-1.3986e-02,-inf,,-6.0442e+03,inf,1.7634e+01,3.6062e-02,-1.6113e+00,5.3144e+00,1.2585e+00
2.0000e+03,8.0000e+00,1.0000e+00,1.5748e+00,-3.1706e+10,-3.1706e+10,-1.5984e-02,-inf,,-3.4447e+04,inf,2.0124e+01,1.6869e-01,-5.3724e-01,5.8072e+00,2.0320e+00
2.0000e+03,9.0000e+00,1.0000e+00,1.7682e+00,-2.9440e+10,-2.9440e+10,-1.7982e-02,-inf,1.0374e+01,5.3862e+04,inf,2.2648e+01,4.4811e-01,-4.9157e-01,5.5834e+00,1.3393e+00
2.0000e+03,1.0000e+01,1.0000e+00,1.9608e+00,-2.9365e+10,-2.9365e+10,-1.9980e-02,-inf,7.3901e+00,2.7334e+04,inf,2.5131e+01,-1.1622e+00,-1.3388e+00,5.7736e+00,1.9333e+00
2.0000e+03,1.1000e+01,1.0000e+00,2.1526e+00,-2.5414e+10,-2.5414e+10,-2.1978e-02,-inf,1.2782e+00,8.1775e+02,inf,2.7541e+01,-9.0571e-01,-5.6403e-01,5.9890e+00,5.9671e+00
2.0000e+03,1.2000e+01,1.0000e+00,2.3438e+00,-2.5293e+10,-2.5293e+10,-2.3976e-02,-inf,,-2.1917e+04,inf,2.9986e+01,4.3821e-01,-5.0140e-01,5.6637e+00,1.7957e+00
2.0000e+03,1.3000e+01,1.0000e+00,2.5341e+00,-2.3675e+10,-2.3675e+10,-2.5974e-02,-inf,,-4.1791e+04,inf,3.2439e+01,-1.1894e+00,-7.0088e-01,5.9083e+00,7.2533e+00
