nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod
2.0000e+03,1.0000e+00,1.0000e+00,3.3223e-01,-1.2224e+06,-1.2224e+06,-3.3278e-03,-inf,1.4594e-01,6.4001e+00,inf,1.9228e+03,2.1404e-01,-1.6311e+00,-1.4727e+00,-4.7303e-01,5.6477e-01,2.0700e+00,3.3997e+00,2.9475e+01
2.0000e+03,2.0000e+00,1.0000e+00,6.6225e-01,-1.2215e+06,-1.2215e+06,-6.6556e-03,-inf,1.4598e-01,6.4036e+00,9.9717e+05,1.9296e+03,-3.4742e-03,-6.8845e-01,-9.0969e-01,-1.0750e-01,1.1962e+00,3.2755e+00,2.5231e+00,2.9959e+01
2.0000e+03,3.0000e+00,1.0000e+00,9.9010e-01,-1.2133e+06,-1.2133e+06,-9.9834e-03,-inf,1.4602e-01,6.4069e+00,9.9624e+05,1.9364e+03,-4.7507e-02,-3.1695e-01,-1.6668e+00,2.8399e-01,1.9384e+00,3.0766e+00,3.6634e+00,2.9518e+01
2.0000e+03,4.0000e+00,1.0000e+00,1.3158e+00,-1.2033e+06,-1.2034e+06,-1.3311e-02,-inf,1.4606e-01,6.4104e+00,9.8806e+05,1.9431e+03,3.8638e-02,-1.9994e+00,-8.7988e-01,1.2943e+00,-4.2321e-02,2.0506e+00,3.4845e+00,2.9855e+01
2.0000e+03,5.0000e+00,1.0000e+00,1.6393e+00,-1.2015e+06,-1.2015e+06,-1.6639e-02,-inf,1.4609e-01,6.4136e+00,9.7811e+05,1.9499e+03,4.4949e-01,-1.8263e-01,-2.9128e-01,1.9979e-01,7.9270e-01,7.1021e-01,3.1037e+00,2.9709e+01
2.0000e+03,6.0000e+00,1.0000e+00,1.9608e+00,-1.1984e+06,-1.1984e+06,-1.9967e-02,-inf,1.4613e-01,6.4168e+00,9.7624e+05,1.9566e+03,1.5875e-01,-1.6538e+00,-7.3553e-02,6.4125e-01,6.0508e-01,6.4943e-01,3.6113e+00,2.9616e+01
2.0000e+03,7.0000e+00,1.0000e+00,2.2801e+00,-1.1976e+06,-1.1976e+06,-2.3295e-02,-inf,1.4617e-01,6.4203e+00,9.7317e+05,1.9633e+03,4.8931e-01,-1.5513e+00,-8.2933e-01,9.1280e-01,-2.8694e-01,3.1816e+00,3.7325e+00,2.8228e+01
2.0000e+03,8.0000e+00,1.0000e+00,2.5974e+00,-1.1945e+06,-1.1945e+06,-2.6622e-02,-inf,1.4621e-01,6.4235e+00,9.7239e+05,1.9701e+03,-4.2904e-01,-8.8801e-01,-1.7156e+00,1.0259e+00,2.5794e+00,3.3824e+00,3.5908e+00,2.6739e+01
2.0000e+03,9.0000e+00,1.0000e+00,2.9126e+00,-1.1936e+06,-1.1936e+06,-2.9950e-02,-inf,1.4624e-01,6.4267e+00,9.6928e+05,1.9768e+03,-1.3630e+00,-8.2812e-01,-7.1865e-01,-5.4397e-01,9.2502e-02,3.2177e+00,3.4165e+00,2.9135e+01
2.0000e+03,1.0000e+01,1.0000e+00,3.2258e+00,-1.1886e+06,-1.1886e+06,-3.3278e-02,-inf,1.4628e-01,6.4302e+00,9.6838e+05,1.9839e+03,-4.5684e-01,-1.7433e+00,-1.6248e+00,1.9368e-01,1.3643e+00,2.9929e+00,9.6910e-01,2.9580e+01
2.0000e+03,1.1000e+01,1.0000e+00,3.5370e+00,-1.1869e+06,-1.1869e+06,-3.6606e-02,-inf,1.4632e-01,6.4335e+00,9.6337e+05,1.9906e+03,-4.4726e-01,-1.9564e+00,-5.2981e-01,-5.2500e-01,2.6469e+00,3.3281e+00,3.0572e+00,2.8561e+01
2.0000e+03,1.2000e+01,1.0000e+00,3.8462e+00,-1.1859e+06,-1.1859e+06,-3.9933e-02,-inf,1.4636e-01,6.4370e+00,9.6168e+05,1.9973e+03,-1.3644e+00,-1.7458e+00,6.8123e-02,-1.8588e-01,2.3245e+00,3.4706e+00,3.1519e+00,2.8901e+01
2.0000e+03,1.3000e+01,1.0000e+00,4.1534e+00,-1.1852e+06,-1.1852e+06,-4.3261e-02,-inf,1.4640e-01,6.4402e+00,9.6068e+05,2.0040e+03,-1.3776e+00,-1.9421e+00,-2.5980e-01,7.6997e-03,1.0209e+00,3.4004e+00,3.1941e+00,2.7137e+01
2.0000e+03,1.4000e+01,1.0000e+00,4.4586e+00,-1.1823e+06,-1.1823e+06,-4.6589e-02,-inf,1.4643e-01,6.4434e+00,9.5996e+05,2.0095e+03,-1.3826e+00,-1.8525e+00,-1.6261e+00,7.5588e-01,9.0001e-01,3.4786e+00,1.1265e+00,2.7310e+01
2.0000e+03,1.5000e+01,1.0000e+00,4.7619e+00,-1.1821e+06,-1.1821e+06,-4.9917e-02,-inf,1.4647e-01,6.4469e+00,9.5704e+05,2.0163e+03,-1.3586e+00,-1.6059e+00,-1.2973e+00,5.8838e-02,1.2951e+00,2.7993e+00,3.4418e+00,2.8550e+01
2.0000e+03,1.6000e+01,1.0000e+00,5.0633e+00,-1.1799e+06,-1.1799e+06,-5.3245e-02,-inf,1.4651e-01,6.4501e+00,9.5688e+05,2.0219e+03,3.0718e-01,-1.3060e+00,-1.0120e+00,1.3070e+00,2.3897e+00,3.4307e+00,2.7235e+00,2.7320e+01
2.0000e+03,1.7000e+01,1.0000e+00,5.3628e+00,-1.1796e+06,-1.1796e+06,-5.6572e-02,-inf,1.4655e-01,6.4536e+00,9.5465e+05,2.0275e+03,-9.5883e-01,-6.9424e-01,-1.4870e+00,1.3488e+00,2.3371e+00,2.1808e+00,3.7842e+00,2.6715e+01
2.0000e+03,1.8000e+01,1.0000e+00,5.6604e+00,-1.1790e+06,-1.1790e+06,-5.9900e-02,-inf,1.4658e-01,6.4568e+00,9.5433e+05,2.0342e+03,-1.1571e+00,-1.5728e-01,-1.4009e+00,3.1688e-01,1.4980e+00,7.8893e-01,3.2079e+00,2.9782e+01
