nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logSFH5,dmod
2.0000e+03,1.0000e+00,1.0000e+00,3.3223e-01,-2.7003e+05,-2.7003e+05,-3.3278e-03,-2.7003e+05,1.4594e-01,6.4003e+00,inf,1.9507e+03,1.1065e-01,-1.7528e+00,-8.6122e-01,-5.0668e-01,1.0157e+00,6.8727e-01,1.1253e+00,8.5596e-01,2.9452e+01
2.0000e+03,2.0000e+00,1.0000e+00,6.6225e-01,-2.6543e+05,-2.6543e+05,-6.6556e-03,-2.6543e+05,1.4598e-01,6.4036e+00,1.6207e+05,1.9574e+03,-1.0859e+00,-4.9761e-01,-1.6785e+00,-5.5393e-01,-7.7792e-01,-2.3180e-02,1.3824e+00,9.8156e-01,2.8333e+01
2.0000e+03,3.0000e+00,1.0000e+00,9.9010e-01,-2.6073e+05,-2.6074e+05,-9.9834e-03,-2.6074e+05,1.4602e-01,6.4069e+00,1.5747e+05,1.9641e+03,1.4103e-01,-6.9929e-01,-6.0148e-01,-1.3097e+00,-5.4199e-01,1.7775e+00,1.4587e+00,1.7184e+00,2.9498e+01
2.0000e+03,4.0000e+00,1.0000e+00,1.3158e+00,-2.5903e+05,-2.5904e+05,-1.3311e-02,-2.5904e+05,1.4605e-01,6.4102e+00,1.5278e+05,1.9696e+03,2.0449e-03,-1.8602e+00,7.3981e-02,-3.9394e-01,-3.5929e-01,9.4221e-01,1.3159e+00,9.4841e-01,2.9335e+01
2.0000e+03,5.0000e+00,1.0000e+00,1.6393e+00,-2.4775e+05,-2.4776e+05,-1.6639e-02,-2.4776e+05,1.4609e-01,6.4136e+00,1.5108e+05,1.9762e+03,3.3014e-01,2.2508e-02,6.1242e-02,9.7886e-01,1.4312e+00,1.1380e+00,8.6178e-01,8.7740e-01,2.9707e+01
2.0000e+03,6.0000e+00,1.0000e+00,1.9608e+00,-2.4502e+05,-2.4503e+05,-1.9967e-02,-2.4503e+05,1.4613e-01,6.4169e+00,1.3980e+05,1.9829e+03,-1.4175e+00,-1.5628e+00,-5.2167e-01,-4.1108e-01,-7.7052e-01,2.3691e-02,1.7937e+00,1.0140e+00,2.9265e+01
2.0000e+03,7.0000e+00,1.0000e+00,2.2801e+00,-2.4364e+05,-2.4364e+05,-2.3295e-02,-2.4364e+05,1.4617e-01,6.4202e+00,1.3707e+05,1.9895e+03,2.1017e-01,-1.9504e+00,1.4309e-01,-9.4589e-01,-1.3217e-01,7.1284e-01,4.9804e-01,2.1164e+00,2.9188e+01
2.0000e+03,8.0000e+00,1.0000e+00,2.5974e+00,-2.3220e+05,-2.3221e+05,-2.6622e-02,-2.3221e+05,1.4621e-01,6.4236e+00,1.3568e+05,1.9962e+03,-2.0223e-01,-1.7148e+00,3.3409e-01,-3.5371e-01,3.6396e-01,6.2564e-01,2.1845e+00,9.0146e-01,2.9907e+01
2.0000e+03,9.0000e+00,1.0000e+00,2.9126e+00,-2.3157e+05,-2.3158e+05,-2.9950e-02,-2.3158e+05,1.4624e-01,6.4269e+00,1.2425e+05,2.0028e+03,-9.2030e-01,1.2245e-01,4.5053e-01,-4.3614e-01,7.9718e-01,1.7840e+00,7.5542e-01,9.6217e-01,2.9451e+01
2.0000e+03,1.0000e+01,1.0000e+00,3.2258e+00,-2.3059e+05,-2.3059e+05,-3.3278e-02,-2.3059e+05,1.4628e-01,6.4302e+00,1.2362e+05,2.0084e+03,1.0990e-01,-9.5067e-01,-3.8680e-01,8.3629e-01,1.5256e+00,1.0905e-01,7.2310e-01,1.8734e+00,2.9875e+01
2.0000e+03,1.1000e+01,1.0000e+00,3.5370e+00,-2.2512e+05,-2.2512e+05,-3.6606e-02,-2.2512e+05,1.4632e-01,6.4335e+00,1.2263e+05,2.0150e+03,-5.5529e-02,-3.6480e-01,-6.0534e-01,1.4881e+00,1.2282e+00,1.1642e+00,1.4589e+00,1.1483e+00,2.9888e+01
2.0000e+03,1.2000e+01,1.0000e+00,3.8462e+00,-2.2317e+05,-2.2318e+05,-3.9933e-02,-2.2318e+05,1.4636e-01,6.4369e+00,1.1716e+05,2.0217e+03,-6.5678e-01,3.3041e-01,8.2093e-01,-9.7374e-02,-8.1725e-01,6.6115e-03,1.0684e+00,1.5155e+00,2.9298e+01
2.0000e+03,1.3000e+01,1.0000e+00,4.1534e+00,-2.2139e+05,-2.2140e+05,-4.3261e-02,-2.2140e+05,1.4640e-01,6.4402e+00,1.1522e+05,2.0283e+03,2.7270e-01,-8.3754e-01,-3.8332e-01,-8.4488e-01,-7.8864e-01,1.5326e+00,2.1735e+00,1.1255e+00,2.8967e+01
2.0000e+03,1.4000e+01,1.0000e+00,4.4586e+00,-2.1530e+05,-2.1530e+05,-4.6589e-02,-2.1530e+05,1.4643e-01,6.4435e+00,1.1344e+05,2.0349e+03,-8.4938e-01,1.2565e-01,5.2510e-02,-1.0956e-01,6.7679e-01,2.0245e+00,1.2337e+00,2.1894e+00,2.9389e+01
2.0000e+03,1.5000e+01,1.0000e+00,4.7619e+00,-2.1493e+05,-2.1494e+05,-4.9917e-02,-2.1494e+05,1.4647e-01,6.4468e+00,1.0734e+05,2.0415e+03,-8.2453e-01,-7.3842e-01,-3.0483e-01,-3.8201e-01,-2.9765e-01,1.6485e-01,2.1627e+00,2.1393e+00,2.9421e+01
2.0000e+03,1.6000e+01,1.0000e+00,5.0633e+00,-2.1415e+05,-2.1416e+05,-5.3245e-02,-2.1416e+05,1.4651e-01,6.4502e+00,1.0698e+05,2.0481e+03,-2.4425e-01,2.6842e-01,-1.5737e+00,2.1831e-01,-4.4101e-01,1.8407e+00,8.8583e-01,8.1440e-01,2.8150e+01
2.0000e+03,1.7000e+01,1.0000e+00,5.3628e+00,-2.1387e+05,-2.1387e+05,-5.6572e-02,-2.1387e+05,1.4655e-01,6.4535e+00,1.0620e+05,2.0554e+03,-3.6589e-01,1.5390e-01,-1.5085e+00,-9.2616e-01,8.6999e-02,2.5492e+00,7.9071e-01,2.2925e+00,2.9956e+01
2.0000e+03,1.8000e+01,1.0000e+00,5.6604e+00,-2.1197e+05,-2.1197e+05,-5.9900e-02,-2.1197e+05,1.4658e-01,6.4568e+00,1.0591e+05,2.0621e+03,2.2942e-01,-1.6309e-01,-9.5056e-01,-3.6028e-01,-7.2769e-02,1.6080e+00,8.4506e-01,1.9173e+00,2.7802e+01
2.0000e+03,1.9000e+01,1.0000e+00,5.9561e+00,-2.1185e+05,-2.1186e+05,-6.3228e-02,-2.1186e+05,1.4662e-01,6.4602e+00,1.0402e+05,2.0687e+03,2.1932e-01,1.5931e-01,-5.6547e-01,6.5663e-01,-5.3434e-01,2.6329e+00,1.3598e+00,9.6985e-01,2.9738e+01
2.0000e+03,2.0000e+01,1.0000e+00,6.2500e+00,-2.0986e+05,-2.0986e+05,-6.6556e-02,-2.0986e+05,1.4666e-01,6.4635e+00,1.0390e+05,2.0753e+03,-1.0304e+00,-3.6814e-02,-7.0210e-01,-1.2189e+00,1.4508e+00,8.5052e-01,1.5499e+00,2.3490e+00,2.9330e+01
2.0000e+03,2.1000e+01,1.0000e+00,6.5421e+00,-2.0974e+05,-2.0975e+05,-6.9884e-02,-2.0975e+05,1.4670e-01,6.4668e+00,1.0190e+05,2.0820e+03,1.5750e-01,-2.1722e-01,-7.7553e-01,-9.2981e-01,1.3892e+00,7.6296e-01,7.4363e-01,2.9895e+00,2.9524e+01
2.0000e+03,2.2000e+01,1.0000e+00,6.8323e+00,-2.0509e+05,-2.0509e+05,-7.3211e-02,-2.0509e+05,1.4674e-01,6.4701e+00,1.0179e+05,2.0887e+03,3.6037e-01,-2.4486e-01,6.1991e-01,1.4439e+00,2.5283e-01,1.8825e+00,8.6519e-01,1.4168e+00,2.9533e+01
2.0000e+03,2.3000e+01,1.0000e+00,7.1207e+00,-2.0478e+05,-2.0479e+05,-7.6539e-02,-2.0479e+05,1.4677e-01,6.4735e+00,9.7133e+04,2.0952e+03,-1.3945e+00,-1.8933e+00,-1.9516e-01,3.7724e-01,-6.5806e-01,1.8145e+00,8.2803e-01,1.3927e+00,2.9117e+01
2.0000e+03,2.4000e+01,1.0000e+00,7.4074e+00,-2.0358e+05,-2.0359e+05,-7.9867e-02,-2.0359e+05,1.4681e-01,6.4768e+00,9.6826e+04,2.1022e+03,-9.6639e-01,3.7532e-01,-5.2837e-01,2.0183e-01,9.2758e-01,-1.6414e-01,8.4449e-01,2.3197e+00,2.8390e+01
2.0000e+03,2.5000e+01,1.0000e+00,7.6923e+00,-2.0231e+05,-2.0232e+05,-8.3195e-02,-2.0232e+05,1.4685e-01,6.4801e+00,9.5632e+04,2.1077e+03,-7.2980e-01,-5.9660e-01,7.0952e-01,4.4491e-01,-6.0380e-01,1.4941e+00,1.6740e+00,1.8067e+00,2.9469e+01
2.0000e+03,2.6000e+01,2.0000e+00,7.9511e+00,-2.0105e+05,-2.0105e+05,-8.6523e-02,-2.0105e+05,1.4689e-01,6.4835e+00,9.4357e+04,2.1199e+03,2.7869e-01,2.9535e-01,-1.3248e+00,-1.0759e+00,-8.7466e-01,5.2454e-01,8.4838e-01,2.1737e+00,2.6754e+01
2.0000e+03,2.7000e+01,1.0000e+00,8.2317e+00,-2.0073e+05,-2.0074e+05,-8.9850e-02,-2.0074e+05,1.4692e-01,6.4868e+00,9.3093e+04,2.1267e+03,-1.3720e+00,-7.3526e-01,1.0183e+00,-9.8601e-01,8.0361e-01,-1.3574e-01,9.8745e-01,1.0078e+00,2.9624e+01
2.0000e+03,2.8000e+01,1.0000e+00,8.5106e+00,-1.9990e+05,-1.9991e+05,-9.3178e-02,-1.9991e+05,1.4696e-01,6.4901e+00,9.2782e+04,2.1322e+03,-1.3741e-01,-1.0218e+00,-1.7034e+00,6.8902e-02,6.7956e-01,3.5482e-01,4.8468e-01,2.1405e+00,2.8021e+01
2.0000e+03,2.9000e+01,1.0000e+00,8.7879e+00,-1.9855e+05,-1.9856e+05,-9.6506e-02,-1.9856e+05,1.4700e-01,6.4934e+00,9.1947e+04,2.1389e+03,-1.1687e+00,-6.3806e-01,8.7115e-01,7.0252e-01,7.6429e-01,1.6207e+00,5.7767e-01,1.3913e+00,2.9603e+01
2.0000e+03,3.0000e+01,1.0000e+00,9.0634e+00,-1.9595e+05,-1.9596e+05,-9.9834e-02,-1.9596e+05,1.4704e-01,6.4968e+00,9.0602e+04,2.1455e+03,3.4735e-01,-8.5199e-01,1.0680e-01,-1.0675e+00,-2.1273e-01,-2.5351e-01,7.2839e-01,1.2870e+00,2.7389e+01
2.0000e+03,3.1000e+01,1.0000e+00,9.3373e+00,-1.9515e+05,-1.9516e+05,-1.0316e-01,-1.9516e+05,1.4707e-01,6.5001e+00,8.7997e+04,2.1521e+03,-6.5798e-02,-3.7317e-01,-1.3774e+00,-1.2385e+00,1.0751e-02,1.7673e+00,2.2459e+00,2.9527e+00,2.9496e+01
2.0000e+03,3.2000e+01,1.0000e+00,9.6096e+00,-1.9337e+05,-1.9338e+05,-1.0649e-01,-1.9338e+05,1.4711e-01,6.5034e+00,8.7201e+04,2.1576e+03,1.1413e-01,-1.7526e+00,-3.6437e-01,2.6913e-01,7.0313e-01,2.3781e-01,2.2400e+00,3.1585e+00,2.9992e+01
2.0000e+03,3.3000e+01,1.0000e+00,9.8802e+00,-1.9095e+05,-1.9096e+05,-1.0982e-01,-1.9096e+05,1.4715e-01,6.5067e+00,8.5421e+04,2.1642e+03,-5.5334e-01,2.5639e-01,-1.1040e+00,-5.2044e-01,1.2402e+00,1.8573e+00,5.3564e-01,1.6582e+00,2.8322e+01
2.0000e+03,3.4000e+01,1.0000e+00,1.0149e+01,-1.8997e+05,-1.8998e+05,-1.1314e-01,-1.8998e+05,1.4719e-01,6.5101e+00,8.2999e+04,2.1710e+03,-1.1139e+00,-1.3433e-01,-1.1300e+00,-1.0828e+00,1.2082e+00,2.2166e+00,1.9272e+00,1.0699e+00,2.9280e+01
2.0000e+03,3.5000e+01,1.0000e+00,1.0417e+01,-1.8975e+05,-1.8976e+05,-1.1647e-01,-1.8976e+05,1.4723e-01,6.5134e+00,8.2021e+04,2.1776e+03,-8.5516e-01,-1.0572e+00,-2.7517e-01,-8.3002e-02,4.9726e-01,-8.4000e-04,1.6009e+00,8.6608e-01,2.7793e+01
2.0000e+03,3.6000e+01,2.0000e+00,1.0651e+01,-1.8850e+05,-1.8851e+05,-1.1980e-01,-1.8851e+05,1.4726e-01,6.5167e+00,8.1799e+04,2.1897e+03,-7.5224e-01,-9.9622e-01,9.9333e-01,-6.9832e-01,1.0872e+00,1.1287e+00,5.8444e-01,1.1334e+00,2.9581e+01
2.0000e+03,3.7000e+01,1.0000e+00,1.0914e+01,-1.8826e+05,-1.8827e+05,-1.2313e-01,-1.8827e+05,1.4730e-01,6.5201e+00,8.0547e+04,2.1953e+03,1.8891e-01,-3.3581e-01,-1.4226e+00,3.1835e-01,1.2127e+00,8.2071e-01,2.9290e+00,2.7163e+00,2.9725e+01
2.0000e+03,3.8000e+01,1.0000e+00,1.1176e+01,-1.8728e+05,-1.8728e+05,-1.2646e-01,-1.8728e+05,1.4734e-01,6.5234e+00,8.0308e+04,2.2020e+03,-1.2873e+00,-1.2669e+00,-1.9162e-01,1.1661e+00,1.7015e+00,7.5453e-01,7.7399e-01,2.1154e+00,2.9790e+01
