nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logSFH5,logSFH6
2.0000e+03,1.0000e+00,1.0000e+00,4.9751e-01,-1.3047e+06,-1.3047e+06,-4.9875e-03,-inf,1.7294e-01,5.9963e+00,inf,7.1684e+02,-1.6649e+00,4.8129e-01,-2.7410e+00,-1.4649e+00,-5.6342e-01,-1.1813e+00,1.3013e+00,2.3545e+00,2.0138e+00
2.0000e+03,2.0000e+00,1.0000e+00,9.9010e-01,-1.2909e+06,-1.2910e+06,-9.9751e-03,-inf,1.7301e-01,6.0015e+00,inf,7.2042e+02,2.5883e-02,3.7435e-01,-1.1846e+00,-9.1767e-01,-1.0770e+00,6.3684e-01,-3.9870e-01,8.5149e-01,1.6254e+00
2.0000e+03,3.0000e+00,1.0000e+00,1.4778e+00,-1.2695e+06,-1.2695e+06,-1.4963e-02,-inf,1.7308e-01,6.0064e+00,inf,7.2403e+02,-8.6463e-01,4.3827e-01,-2.8350e+00,-1.9794e+00,-1.5643e+00,-1.0077e+00,1.1387e+00,1.6592e+00,2.4673e+00
2.0000e+03,4.0000e+00,1.0000e+00,1.9608e+00,-1.2685e+06,-1.2685e+06,-1.9950e-02,-inf,1.7315e-01,6.0113e+00,inf,7.2758e+02,-6.7717e-01,3.9915e-01,-2.0055e+00,-2.0871e+00,-7.5445e-01,-1.5582e-01,-1.9558e-01,1.7085e+00,1.1609e+00
2.0000e+03,5.0000e+00,1.0000e+00,2.4390e+00,-1.1688e+06,-1.1688e+06,-2.4938e-02,-inf,1.7323e-01,6.0165e+00,inf,7.3115e+02,3.5767e-02,3.6455e-01,-1.7723e+00,-2.0081e+00,5.1107e-02,6.8590e-01,1.4382e+00,1.8986e+00,2.7655e+00
2.0000e+03,6.0000e+00,1.0000e+00,2.9126e+00,-1.1274e+06,-1.1274e+06,-2.9925e-02,-inf,1.7330e-01,6.0214e+00,inf,7.3474e+02,-1.8072e+00,4.0199e-01,-1.3343e+00,-8.3913e-01,1.5815e-01,-4.0375e-01,4.7785e-01,1.7716e+00,1.4632e+00
2.0000e+03,7.0000e+00,1.0000e+00,3.3816e+00,-1.1027e+06,-1.1027e+06,-3.4913e-02,-inf,1.7337e-01,6.0263e+00,inf,7.3830e+02,2.2336e-01,2.1350e-01,-2.7952e+00,-1.8620e+00,-1.6799e+00,-6.4032e-01,-2.5416e-01,1.3153e+00,1.2768e+00
2.0000e+03,8.0000e+00,1.0000e+00,3.8462e+00,-1.0913e+06,-1.0913e+06,-3.9900e-02,-inf,1.7344e-01,6.0315e+00,inf,7.4191e+02,-6.9682e-01,3.5649e-01,-1.5786e+00,-4.9315e-01,-1.0409e+00,-4.4644e-01,8.7411e-01,1.8145e+00,1.1217e+00
2.0000e+03,9.0000e+00,1.0000e+00,4.3062e+00,-1.0803e+06,-1.0803e+06,-4.4888e-02,-inf,1.7351e-01,6.0364e+00,inf,7.4548e+02,-9.6936e-01,3.0617e-01,-1.9412e+00,-1.7265e+00,-5.0703e-01,6.6751e-01,-2.3172e-01,2.3646e+00,1.2078e+00
2.0000e+03,1.0000e+01,1.0000e+00,4.7619e+00,-1.0753e+06,-1.0753e+06,-4.9875e-02,-inf,1.7358e-01,6.0413e+00,inf,7.4903e+02,-9.4598e-01,2.6258e-01,-1.3647e+00,-1.2097e+00,-1.6416e+00,-9.8560e-01,-1.0748e-01,8.7647e-01,2.5490e+00
2.0000e+03,1.1000e+01,1.0000e+00,5.2133e+00,-1.0729e+06,-1.0729e+06,-5.4863e-02,-inf,1.7366e-01,6.0464e+00,inf,7.5260e+02,-1.3469e+00,2.8459e-01,-1.2227e+00,-6.0991e-01,1.2147e-01,-7.2555e-01,4.8993e-01,2.0198e+00,2.8091e+00
2.0000e+03,1.2000e+01,1.0000e+00,5.6604e+00,-1.0637e+06,-1.0638e+06,-5.9850e-02,-inf,1.7373e-01,6.0513e+00,inf,7.5617e+02,-8.9012e-01,2.3669e-01,-1.7571e+00,-1.9370e+00,-5.5468e-01,-9.5868e-01,1.4999e+00,2.3948e+00,2.2894e+00
2.0000e+03,1.3000e+01,1.0000e+00,6.1033e+00,-1.0548e+06,-1.0548e+06,-6.4838e-02,-inf,1.7380e-01,6.0562e+00,inf,7.5973e+02,-5.0592e-01,-1.5200e+00,-1.2330e+00,-1.1206e-01,-6.0432e-01,2.6047e-01,-4.4403e-01,2.1272e+00,2.8973e+00
2.0000e+03,1.4000e+01,1.0000e+00,6.5421e+00,-1.0231e+06,-1.0231e+06,-6.9826e-02,-inf,1.7387e-01,6.0613e+00,inf,7.6334e+02,-1.8421e+00,-2.8872e+00,-2.6151e+00,-1.8746e+00,-8.9002e-01,-1.1159e+00,1.3531e+00,2.2705e+00,2.5209e+00
2.0000e+03,1.5000e+01,1.0000e+00,6.9767e+00,-1.0139e+06,-1.0139e+06,-7.4813e-02,-inf,1.7394e-01,6.0663e+00,inf,7.6697e+02,-1.9210e+00,-2.7662e+00,-2.1539e+00,-1.6888e+00,-1.2491e+00,-3.3124e-01,-3.4180e-02,2.0568e+00,2.6829e+00
2.0000e+03,1.6000e+01,1.0000e+00,7.4074e+00,-1.0138e+06,-1.0138e+06,-7.9801e-02,-inf,1.7401e-01,6.0712e+00,9.9669e+05,7.7056e+02,1.7666e-02,-2.6536e+00,-2.1549e+00,-9.6532e-01,-6.2803e-01,-8.3147e-01,6.7357e-01,1.9718e+00,2.8961e+00
2.0000e+03,1.7000e+01,1.0000e+00,7.8341e+00,-1.0135e+06,-1.0135e+06,-8.4788e-02,-inf,1.7408e-01,6.0762e+00,9.9667e+05,7.7421e+02,-3.9230e-01,-1.0936e+00,-2.4635e+00,-5.2362e-01,-5.7115e-01,-3.6884e-01,1.5586e-01,2.2413e+00,2.7609e+00
2.0000e+03,1.8000e+01,1.0000e+00,8.2569e+00,-1.0127e+06,-1.0127e+06,-8.9776e-02,-inf,1.7416e-01,6.0813e+00,9.9636e+05,7.7783e+02,-1.8738e+00,-2.7107e+00,-3.0228e+00,-1.1694e+00,-4.9234e-01,-8.3642e-01,5.3806e-01,1.8203e+00,2.7500e+00
2.0000e+03,1.9000e+01,1.0000e+00,8.6758e+00,-1.0118e+06,-1.0118e+06,-9.4763e-02,-inf,1.7423e-01,6.0862e+00,9.9552e+05,7.8141e+02,-1.5212e+00,-8.2262e-01,-2.2245e+00,-5.2928e-01,-1.4005e-01,-6.5481e-01,5.2929e-02,2.0037e+00,2.8163e+00
2.0000e+03,2.0000e+01,2.0000e+00,9.0498e+00,-1.0078e+06,-1.0078e+06,-9.9751e-02,-inf,1.7430e-01,6.0912e+00,9.9462e+05,7.8857e+02,-3.4058e-01,-2.6226e+00,-1.5859e+00,-1.1915e+00,-3.1174e-01,-4.8655e-01,1.0360e+00,2.0347e+00,2.7535e+00
2.0000e+03,2.1000e+01,1.0000e+00,9.4595e+00,-1.0059e+06,-1.0059e+06,-1.0474e-01,-inf,1.7437e-01,6.0962e+00,9.9065e+05,7.9215e+02,-4.2467e-01,-1.7476e+00,-2.6744e+00,-1.6534e+00,-8.6087e-01,-1.0542e+00,8.0168e-01,1.9114e+00,2.7642e+00
2.0000e+03,2.2000e+01,1.0000e+00,9.8655e+00,-1.0035e+06,-1.0035e+06,-1.0973e-01,-inf,1.7444e-01,6.1012e+00,9.8876e+05,7.9577e+02,-1.4530e+00,2.3704e-01,-2.2157e+00,-2.8137e-01,-1.5804e+00,-8.3143e-01,-4.0529e-01,1.7498e+00,2.0892e+00
2.0000e+03,2.3000e+01,1.0000e+00,1.0268e+01,-9.9889e+05,-9.9890e+05,-1.1471e-01,-9.9890e+05,1.7451e-01,6.1062e+00,9.8635e+05,7.9933e+02,-3.7779e-01,-2.6007e+00,-1.6893e+00,-1.3805e+00,-8.5415e-01,-5.7292e-01,6.3661e-01,4.6713e-01,2.8537e+00
2.0000e+03,2.4000e+01,2.0000e+00,1.0619e+01,-9.9694e+05,-9.9695e+05,-1.1970e-01,-9.9695e+05,1.7459e-01,6.1112e+00,9.8172e+05,8.0647e+02,-7.5020e-01,1.9988e-01,-2.2752e+00,-1.6993e+00,-4.1286e-01,-4.0027e-01,7.2846e-01,1.2746e+00,2.0862e+00
2.0000e+03,2.5000e+01,1.0000e+00,1.1013e+01,-9.9611e+05,-9.9611e+05,-1.2469e-01,-9.9611e+05,1.7466e-01,6.1161e+00,9.7977e+05,8.1003e+02,3.8049e-01,1.1487e-01,-1.1129e+00,-4.6259e-01,-6.0976e-01,-2.9749e-01,1.2811e+00,2.3465e+00,2.0868e+00
2.0000e+03,2.6000e+01,1.0000e+00,1.1404e+01,-9.9551e+05,-9.9552e+05,-1.2968e-01,-9.9552e+05,1.7473e-01,6.1212e+00,9.7893e+05,8.1361e+02,-9.9231e-01,-2.1135e+00,-2.0863e+00,-1.7309e+00,-1.5858e+00,-4.6615e-01,9.3967e-01,1.3483e+00,2.7452e+00
2.0000e+03,2.7000e+01,1.0000e+00,1.1790e+01,-9.9523e+05,-9.9523e+05,-1.3466e-01,-9.9523e+05,1.7480e-01,6.1261e+00,9.7833e+05,8.1719e+02,-1.7341e+00,-1.9736e+00,-2.0398e+00,-3.6735e-01,3.7567e-02,-4.8699e-01,-3.0375e-01,1.2765e+00,2.7950e+00
2.0000e+03,2.8000e+01,1.0000e+00,1.2174e+01,-9.9439e+05,-9.9440e+05,-1.3965e-01,-9.9440e+05,1.7487e-01,6.1311e+00,9.7805e+05,8.2076e+02,-5.8236e-01,1.5466e-02,-2.9177e+00,-1.7622e+00,-1.0388e+00,7.0946e-01,-2.9260e-01,1.3945e+00,2.8782e+00
2.0000e+03,2.9000e+01,2.0000e+00,1.2500e+01,-9.9242e+05,-9.9243e+05,-1.4464e-01,-9.9243e+05,1.7494e-01,6.1361e+00,9.7722e+05,8.2791e+02,-1.7148e+00,3.2783e-01,-2.4486e+00,-1.7128e+00,-7.8438e-01,6.4081e-01,1.2581e+00,9.0523e-01,1.5960e+00
2.0000e+03,3.0000e+01,1.0000e+00,1.2876e+01,-9.8589e+05,-9.8590e+05,-1.4963e-01,-9.8590e+05,1.7501e-01,6.1410e+00,9.7525e+05,8.3148e+02,2.3025e-01,2.0306e-01,-2.4852e+00,-1.5032e+00,-3.8150e-01,-9.7246e-03,1.4687e+00,1.6312e+00,1.2094e+00
2.0000e+03,3.1000e+01,1.0000e+00,1.3248e+01,-9.8526e+05,-9.8527e+05,-1.5461e-01,-9.8527e+05,1.7508e-01,6.1461e+00,9.6872e+05,8.3508e+02,-1.9836e+00,-1.2553e+00,-1.9027e+00,-1.4997e+00,-7.7649e-01,-2.0880e-01,6.7132e-01,2.1393e+00,2.5645e+00
2.0000e+03,3.2000e+01,1.0000e+00,1.3617e+01,-9.8271e+05,-9.8272e+05,-1.5960e-01,-9.8272e+05,1.7515e-01,6.1511e+00,9.6809e+05,8.3865e+02,5.9355e-03,3.0944e-01,-1.1419e+00,-3.3754e-01,-4.4464e-01,6.6097e-01,9.4958e-01,1.8334e+00,9.8216e-01
2.0000e+03,3.3000e+01,1.0000e+00,1.3983e+01,-9.8242e+05,-9.8243e+05,-1.6459e-01,-9.8243e+05,1.7522e-01,6.1560e+00,9.6554e+05,8.4222e+02,3.8554e-01,7.8477e-02,-1.3681e+00,-6.7589e-01,-3.7246e-01,-4.3041e-01,-1.4139e-01,1.8891e+00,2.4340e+00
