nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logSFH5,dmod
2.0000e+03,1.0000e+00,1.0000e+00,9.9900e-02,-3.0975e+04,-3.0982e+04,-9.9950e-04,-3.0982e+04,8.7167e-02,7.6019e+00,inf,9.5683e+00,-7.1242e-01,-7.0481e-01,8.5089e-01,1.1864e+00,1.7108e+00,2.0552e+00,2.9772e+00,2.9176e+00,2.9262e+01
2.0000e+03,2.0000e+00,1.0000e+00,1.9960e-01,-3.0401e+04,-3.0409e+04,-1.9990e-03,-3.0409e+04,8.7173e-02,7.6029e+00,2.8942e+04,1.9306e+01,-8.1674e-01,-6.9822e-01,7.9097e-01,8.8575e-01,1.5471e+00,2.2411e+00,2.9730e+00,2.9263e+00,2.9247e+01
2.0000e+03,3.0000e+00,1.0000e+00,2.9910e-01,-2.8606e+04,-2.8614e+04,-2.9985e-03,-2.8614e+04,8.7179e-02,7.6039e+00,2.8369e+04,2.8945e+01,-6.2921e-01,-6.0550e-01,7.8674e-01,1.0927e+00,1.6721e+00,2.2337e+00,2.9563e+00,2.8747e+00,2.9244e+01
2.0000e+03,4.0000e+00,1.0000e+00,3.9841e-01,-2.8132e+04,-2.8139e+04,-3.9980e-03,-2.8139e+04,8.7184e-02,7.6049e+00,2.6574e+04,3.8628e+01,-7.7583e-01,-5.9288e-01,6.9214e-01,1.1936e+00,1.4770e+00,1.9688e+00,2.9811e+00,2.9320e+00,2.9225e+01
2.0000e+03,5.0000e+00,1.0000e+00,4.9751e-01,-2.8084e+04,-2.8092e+04,-4.9975e-03,-2.8092e+04,8.7190e-02,7.6059e+00,2.6099e+04,4.8274e+01,-6.8210e-01,-7.3882e-01,7.0375e-01,9.0134e-01,1.7330e+00,2.2693e+00,2.9604e+00,2.8010e+00,2.9250e+01
2.0000e+03,6.0000e+00,1.0000e+00,5.9642e-01,-2.7888e+04,-2.7895e+04,-5.9970e-03,-2.7895e+04,8.7196e-02,7.6069e+00,2.6052e+04,5.7925e+01,-4.7623e-01,-7.3605e-01,8.5126e-01,9.3246e-01,1.6901e+00,2.2797e+00,2.9561e+00,2.9321e+00,2.9354e+01
2.0000e+03,7.0000e+00,1.0000e+00,6.9513e-01,-2.7615e+04,-2.7622e+04,-6.9965e-03,-2.7622e+04,8.7201e-02,7.6079e+00,2.5855e+04,6.7544e+01,-4.4245e-01,-7.8399e-01,8.6279e-01,1.1500e+00,1.5969e+00,2.2245e+00,2.9188e+00,2.8304e+00,2.9254e+01
2.0000e+03,8.0000e+00,1.0000e+00,7.9365e-01,-2.7547e+04,-2.7555e+04,-7.9960e-03,-2.7555e+04,8.7207e-02,7.6089e+00,2.5582e+04,7.7268e+01,-7.5515e-01,-6.0288e-01,8.2240e-01,8.3493e-01,1.4659e+00,2.1260e+00,2.9422e+00,2.8853e+00,2.9221e+01
2.0000e+03,9.0000e+00,1.0000e+00,8.9197e-01,-2.7518e+04,-2.7526e+04,-8.9955e-03,-2.7526e+04,8.7213e-02,7.6099e+00,2.5514e+04,8.6869e+01,-5.7068e-01,-6.1134e-01,6.9265e-01,1.1679e+00,1.6850e+00,2.2865e+00,2.9916e+00,2.8133e+00,2.9253e+01
2.0000e+03,1.0000e+01,1.0000e+00,9.9010e-01,-2.6755e+04,-2.6763e+04,-9.9950e-03,-2.6763e+04,8.7219e-02,7.6109e+00,2.5486e+04,9.6616e+01,-8.0085e-01,-7.3533e-01,7.2100e-01,9.0809e-01,1.6885e+00,2.2938e+00,2.9306e+00,2.8948e+00,2.9347e+01
