nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logfeh_std,logdust,logNpix,tau
2.0000e+03,1.0000e+00,1.0000e+00,3.3223e-01,-1.1610e+06,-1.1610e+06,-3.3278e-03,-inf,1.4594e-01,6.4001e+00,inf,3.5317e+03,-1.2378e+00,2.7390e-01,-1.6250e+00,3.9128e+00,7.1909e+00
2.0000e+03,2.0000e+00,1.0000e+00,6.6225e-01,-1.1576e+06,-1.1576e+06,-6.6556e-03,-inf,1.4598e-01,6.4036e+00,inf,3.5442e+03,-1.2191e+00,2.3978e-01,-1.2009e+00,3.9450e+00,6.5585e+00
2.0000e+03,3.0000e+00,1.0000e+00,9.9010e-01,-1.1528e+06,-1.1528e+06,-9.9834e-03,-inf,1.4602e-01,6.4069e+00,inf,3.5567e+03,-1.1047e+00,2.4914e-01,-1.4980e+00,3.9706e+00,4.1519e+00
2.0000e+03,4.0000e+00,1.0000e+00,1.3158e+00,-1.1520e+06,-1.1520e+06,-1.3311e-02,-inf,1.4606e-01,6.4104e+00,inf,3.5690e+03,-9.9271e-01,8.5871e-01,-1.2647e+00,3.9525e+00,5.8843e+00
2.0000e+03,5.0000e+00,1.0000e+00,1.6393e+00,-1.1508e+06,-1.1508e+06,-1.6639e-02,-inf,1.4609e-01,6.4136e+00,inf,3.5814e+03,-8.2156e-01,3.6743e-01,-1.0640e+00,3.9934e+00,5.4152e+00
2.0000e+03,6.0000e+00,1.0000e+00,1.9608e+00,-1.1493e+06,-1.1494e+06,-1.9967e-02,-inf,1.4613e-01,6.4168e+00,inf,3.5939e+03,-1.3961e+00,5.6439e-01,-1.6900e+00,3.9989e+00,1.8686e+00
2.0000e+03,7.0000e+00,1.0000e+00,2.2801e+00,-1.1493e+06,-1.1493e+06,-2.3295e-02,-inf,1.4617e-01,6.4204e+00,inf,3.6063e+03,-5.4445e-01,3.7602e-01,-2.3868e+00,3.8105e+00,8.2320e+00
2.0000e+03,8.0000e+00,1.0000e+00,2.5974e+00,-1.1491e+06,-1.1491e+06,-2.6622e-02,-inf,1.4621e-01,6.4235e+00,inf,3.6188e+03,-1.3178e+00,8.8287e-01,-2.4453e+00,3.9059e+00,3.6200e+00
2.0000e+03,9.0000e+00,1.0000e+00,2.9126e+00,-1.1465e+06,-1.1465e+06,-2.9950e-02,-inf,1.4624e-01,6.4267e+00,inf,3.6312e+03,-8.4859e-01,2.7426e-01,-1.5844e+00,3.7612e+00,8.0326e+00
2.0000e+03,1.0000e+01,1.0000e+00,3.2258e+00,-1.1465e+06,-1.1465e+06,-3.3278e-02,-inf,1.4628e-01,6.4302e+00,inf,3.6436e+03,-1.1949e+00,6.1157e-01,-1.4436e+00,3.8543e+00,4.8429e+00
2.0000e+03,1.1000e+01,1.0000e+00,3.5370e+00,-1.1462e+06,-1.1462e+06,-3.6606e-02,-inf,1.4632e-01,6.4335e+00,inf,3.6560e+03,-9.5481e-01,3.4882e-01,-8.9626e-01,3.8744e+00,8.0075e+00
2.0000e+03,1.2000e+01,1.0000e+00,3.8462e+00,-1.1451e+06,-1.1451e+06,-3.9933e-02,-inf,1.4636e-01,6.4370e+00,inf,3.6686e+03,-5.5529e-02,6.8867e-01,-1.7156e+00,3.9210e+00,6.6881e+00
2.0000e+03,1.3000e+01,1.0000e+00,4.1534e+00,-1.1434e+06,-1.1434e+06,-4.3261e-02,-inf,1.4640e-01,6.4402e+00,inf,3.6810e+03,-1.3246e+00,8.7931e-01,-2.4175e+00,3.8745e+00,2.8189e+00
2.0000e+03,1.4000e+01,1.0000e+00,4.4586e+00,-1.1417e+06,-1.1417e+06,-4.6589e-02,-inf,1.4643e-01,6.4434e+00,inf,3.6934e+03,-8.5446e-01,4.0477e-01,-1.8354e+00,3.9365e+00,2.6257e+00
2.0000e+03,1.5000e+01,1.0000e+00,4.7619e+00,-1.1417e+06,-1.1417e+06,-4.9917e-02,-inf,1.4647e-01,6.4470e+00,inf,3.7031e+03,-9.9477e-01,4.1321e-01,-2.1348e+00,3.7054e+00,6.6522e+00
2.0000e+03,1.6000e+01,1.0000e+00,5.0633e+00,-1.1407e+06,-1.1407e+06,-5.3245e-02,-inf,1.4651e-01,6.4501e+00,inf,3.7154e+03,-4.9252e-01,9.3876e-01,-1.3517e+00,3.9692e+00,4.4382e+00
2.0000e+03,1.7000e+01,1.0000e+00,5.3628e+00,-1.1402e+06,-1.1402e+06,-5.6572e-02,-inf,1.4655e-01,6.4536e+00,inf,3.7278e+03,-1.3805e+00,2.5235e-01,-2.3619e+00,3.7181e+00,4.5793e+00
2.0000e+03,1.8000e+01,2.0000e+00,5.6426e+00,-1.1393e+06,-1.1393e+06,-5.9900e-02,-inf,1.4658e-01,6.4568e+00,inf,3.7529e+03,-1.3159e+00,8.9901e-01,-2.4671e+00,3.5918e+00,8.1902e+00
2.0000e+03,1.9000e+01,1.0000e+00,5.9375e+00,-1.1393e+06,-1.1393e+06,-6.3228e-02,-inf,1.4478e-01,6.2986e+00,inf,3.7624e+03,-5.3756e-01,1.3145e-01,-2.2782e+00,3.6861e+00,8.1368e+00
2.0000e+03,2.0000e+01,1.0000e+00,6.2305e+00,-1.1388e+06,-1.1388e+06,-6.6556e-02,-inf,1.4666e-01,6.4636e+00,inf,3.7748e+03,-9.8667e-01,7.2973e-01,-6.9686e-01,3.9511e+00,6.1273e+00
2.0000e+03,2.1000e+01,1.0000e+00,6.5217e+00,-1.1388e+06,-1.1388e+06,-6.9884e-02,-inf,1.3398e-01,5.3942e+00,inf,3.7872e+03,-1.1251e+00,2.9341e-01,-9.7829e-01,3.8347e+00,5.0124e+00
2.0000e+03,2.2000e+01,1.0000e+00,6.8111e+00,-1.1385e+06,-1.1385e+06,-7.3211e-02,-inf,1.4673e-01,6.4700e+00,inf,3.7968e+03,-5.1390e-01,3.9380e-01,-2.2683e+00,3.9162e+00,3.1954e+00
2.0000e+03,2.3000e+01,1.0000e+00,7.0988e+00,-1.1375e+06,-1.1375e+06,-7.6539e-02,-inf,1.4677e-01,6.4735e+00,inf,3.8091e+03,-1.0829e+00,2.5979e-01,-1.7915e+00,3.7353e+00,4.4682e+00
2.0000e+03,2.4000e+01,1.0000e+00,7.3846e+00,-1.1356e+06,-1.1356e+06,-7.9867e-02,-inf,1.4681e-01,6.4767e+00,inf,3.8216e+03,-2.7154e-01,4.9358e-01,-1.3138e+00,3.8543e+00,5.4250e+00
2.0000e+03,2.5000e+01,1.0000e+00,7.6687e+00,-1.1354e+06,-1.1354e+06,-8.3195e-02,-inf,1.4685e-01,6.4802e+00,inf,3.8340e+03,3.8874e-01,3.9093e-01,-2.3051e+00,3.8422e+00,7.8563e+00
2.0000e+03,2.6000e+01,1.0000e+00,7.9511e+00,-1.1339e+06,-1.1339e+06,-8.6523e-02,-inf,1.4689e-01,6.4834e+00,inf,3.8463e+03,-4.1229e-01,6.2917e-01,-2.4497e+00,3.9673e+00,1.5662e+00
2.0000e+03,2.7000e+01,1.0000e+00,8.2317e+00,-1.1337e+06,-1.1337e+06,-8.9850e-02,-inf,1.4692e-01,6.4867e+00,inf,3.8560e+03,-1.3542e+00,6.8576e-01,-9.8863e-01,3.7963e+00,4.0112e+00
2.0000e+03,2.8000e+01,1.0000e+00,8.5106e+00,-1.1333e+06,-1.1333e+06,-9.3178e-02,-inf,1.4696e-01,6.4902e+00,inf,3.8684e+03,-9.3481e-01,3.6400e-01,-2.2479e+00,3.6795e+00,4.6102e+00
2.0000e+03,2.9000e+01,1.0000e+00,8.7879e+00,-1.1312e+06,-1.1312e+06,-9.6506e-02,-inf,1.4700e-01,6.4934e+00,inf,3.8808e+03,-1.2856e+00,2.7663e-01,-2.0235e+00,3.4735e+00,8.1719e+00
2.0000e+03,3.0000e+01,1.0000e+00,9.0634e+00,-1.1312e+06,-1.1312e+06,-9.9834e-02,-inf,1.4704e-01,6.4968e+00,inf,3.8904e+03,-1.4507e+00,7.2416e-01,-1.6576e+00,3.5750e+00,5.6006e+00
2.0000e+03,3.1000e+01,1.0000e+00,9.3373e+00,-1.1311e+06,-1.1311e+06,-1.0316e-01,-inf,1.4707e-01,6.5001e+00,inf,3.9028e+03,-8.4523e-01,9.9805e-01,-1.6978e+00,3.6500e+00,5.5531e+00
2.0000e+03,3.2000e+01,1.0000e+00,9.6096e+00,-1.1305e+06,-1.1305e+06,-1.0649e-01,-inf,1.4711e-01,6.5033e+00,inf,3.9152e+03,-1.0906e-01,1.8180e-01,-1.4527e+00,3.6838e+00,8.7096e+00
2.0000e+03,3.3000e+01,1.0000e+00,9.8802e+00,-1.1302e+06,-1.1302e+06,-1.0982e-01,-inf,1.4715e-01,6.5068e+00,inf,3.9276e+03,-1.4806e+00,3.0254e-01,-2.3316e+00,3.4779e+00,6.7181e+00
