nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logNpix,tau
2.0000e+03,1.0000e+00,5.1000e+01,1.9608e+00,-1.1263e+06,-1.1263e+06,-1.9803e-02,-inf,3.0263e-01,4.6250e+00,inf,3.6051e+00,-1.0965e+00,-1.1034e+00,3.8566e+00,8.1197e+00
2.0000e+03,2.0000e+00,5.2000e+01,3.8462e+00,-1.1251e+06,-1.1251e+06,-3.9605e-02,-inf,3.0328e-01,4.6447e+00,inf,7.1147e+00,-3.9506e-01,-1.9539e+00,3.9235e+00,6.3423e+00
2.0000e+03,3.0000e+00,5.3000e+01,5.6604e+00,-1.1159e+06,-1.1159e+06,-5.9408e-02,-inf,3.0393e-01,4.6646e+00,inf,1.0619e+01,-1.4813e+00,-6.9870e-01,3.9317e+00,5.4552e+00
2.0000e+03,4.0000e+00,5.4000e+01,7.4074e+00,-1.1154e+06,-1.1154e+06,-7.9211e-02,-inf,3.0457e-01,4.6843e+00,inf,1.4151e+01,-8.0398e-01,-2.1348e+00,3.7054e+00,6.6522e+00
2.0000e+03,5.0000e+00,5.5000e+01,9.0909e+00,-1.1111e+06,-1.1111e+06,-9.9013e-02,-inf,3.0522e-01,4.7043e+00,inf,1.7709e+01,-6.2621e-01,-1.2757e+00,3.7546e+00,6.0059e+00
2.0000e+03,6.0000e+00,5.7000e+01,1.0526e+01,-1.1004e+06,-1.1004e+06,-1.1882e-01,-inf,3.0586e-01,4.7240e+00,inf,2.4878e+01,-8.6633e-01,-1.3638e+00,3.6074e+00,4.4894e+00
2.0000e+03,7.0000e+00,5.8000e+01,1.2069e+01,-1.0962e+06,-1.0962e+06,-1.3862e-01,-inf,3.0649e-01,4.7437e+00,inf,2.8396e+01,-2.5445e-01,-1.5126e+00,3.5216e+00,6.6968e+00
2.0000e+03,8.0000e+00,5.9000e+01,1.3559e+01,-1.0958e+06,-1.0958e+06,-1.5842e-01,-inf,3.0714e-01,4.7636e+00,inf,3.1936e+01,-2.9133e-01,-2.2938e+00,3.4071e+00,8.5644e+00
2.0000e+03,9.0000e+00,6.1000e+01,1.4754e+01,-1.0950e+06,-1.0951e+06,-1.7822e-01,-inf,3.0777e-01,4.7834e+00,inf,3.9079e+01,-9.8869e-01,-2.2834e+00,3.3285e+00,7.2598e+00
2.0000e+03,1.0000e+01,6.2000e+01,1.6129e+01,-1.0920e+06,-1.0920e+06,-1.9803e-01,-inf,3.0841e-01,4.8033e+00,inf,4.2590e+01,-4.9383e-01,-2.4725e+00,3.3185e+00,8.0611e+00
2.0000e+03,1.1000e+01,6.3000e+01,1.7460e+01,-1.0919e+06,-1.0919e+06,-2.1783e-01,-inf,3.0904e-01,4.8230e+00,inf,4.6104e+01,8.1048e-02,-5.1584e-01,3.8764e+00,7.3357e+00
2.0000e+03,1.2000e+01,6.4000e+01,1.8750e+01,-1.0885e+06,-1.0886e+06,-2.3763e-01,-inf,3.0967e-01,4.8427e+00,inf,4.9652e+01,-1.2521e+00,-2.2612e+00,3.2156e+00,5.6984e+00
2.0000e+03,1.3000e+01,6.5000e+01,2.0000e+01,-1.0863e+06,-1.0863e+06,-2.5743e-01,-inf,3.1031e-01,4.8627e+00,inf,5.3202e+01,-7.6876e-01,-8.9679e-01,3.3482e+00,6.6108e+00
2.0000e+03,1.4000e+01,6.6000e+01,2.1212e+01,-1.0839e+06,-1.0839e+06,-2.7724e-01,-inf,3.1094e-01,4.8824e+00,inf,5.6745e+01,-5.8438e-01,-6.5919e-01,3.6372e+00,3.0209e+00
2.0000e+03,1.5000e+01,6.7000e+01,2.2388e+01,-1.0833e+06,-1.0833e+06,-2.9704e-01,-inf,3.1157e-01,4.9021e+00,inf,6.0311e+01,-8.8005e-02,-2.2003e+00,3.2382e+00,7.6481e+00
2.0000e+03,1.6000e+01,6.8000e+01,2.3529e+01,-1.0803e+06,-1.0803e+06,-3.1684e-01,-inf,3.1220e-01,4.9220e+00,inf,6.3844e+01,3.4233e-02,-1.0838e+00,3.3906e+00,5.4621e+00
