nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logNpix,tau
2.0000e+03,1.0000e+00,3.0100e+02,3.3223e-01,-1.1388e+06,-1.1388e+06,-3.3278e-03,-inf,1.4594e-01,6.4001e+00,inf,3.6005e+00,-3.5468e-01,-2.2587e+00,3.9999e+00,8.9790e+00
2.0000e+03,2.0000e+00,3.0200e+02,6.6225e-01,-1.1323e+06,-1.1323e+06,-6.6556e-03,-inf,1.4598e-01,6.4036e+00,inf,7.1724e+00,-1.1894e+00,-1.2009e+00,3.9450e+00,6.5585e+00
2.0000e+03,3.0000e+00,3.0300e+02,9.9010e-01,-1.1284e+06,-1.1284e+06,-9.9834e-03,-inf,1.4602e-01,6.4069e+00,inf,1.0779e+01,-1.4756e+00,-1.5860e+00,3.7953e+00,7.7682e+00
2.0000e+03,4.0000e+00,3.0400e+02,1.3158e+00,-1.1282e+06,-1.1282e+06,-1.3311e-02,-inf,1.4606e-01,6.4104e+00,inf,1.4395e+01,-8.8663e-01,-2.3868e+00,3.8105e+00,8.2320e+00
2.0000e+03,5.0000e+00,3.0500e+02,1.6393e+00,-1.1268e+06,-1.1268e+06,-1.6639e-02,-inf,1.4609e-01,6.4136e+00,inf,1.7971e+01,-9.0571e-01,-1.0640e+00,3.9934e+00,5.4152e+00
2.0000e+03,6.0000e+00,3.0600e+02,1.9608e+00,-1.1263e+06,-1.1263e+06,-1.9967e-02,-inf,1.4613e-01,6.4168e+00,inf,2.1528e+01,-1.0965e+00,-1.1034e+00,3.8566e+00,8.1197e+00
2.0000e+03,7.0000e+00,3.0700e+02,2.2801e+00,-1.1251e+06,-1.1251e+06,-2.3295e-02,-inf,1.4617e-01,6.4203e+00,inf,2.5212e+01,-3.9506e-01,-1.9539e+00,3.9235e+00,6.3423e+00
2.0000e+03,8.0000e+00,3.0800e+02,2.5974e+00,-1.1243e+06,-1.1243e+06,-2.6622e-02,-inf,1.4621e-01,6.4235e+00,inf,2.8818e+01,-1.2240e+00,-1.6944e+00,3.7939e+00,6.3853e+00
2.0000e+03,9.0000e+00,3.0900e+02,2.9126e+00,-1.1230e+06,-1.1230e+06,-2.9950e-02,-inf,1.4624e-01,6.4268e+00,inf,3.2437e+01,-7.5315e-01,-2.4752e+00,3.7657e+00,7.9862e+00
2.0000e+03,1.0000e+01,3.1000e+02,3.2258e+00,-1.1205e+06,-1.1205e+06,-3.3278e-02,-inf,1.4628e-01,6.4302e+00,inf,3.6157e+01,-3.0474e-01,-1.6543e+00,3.8005e+00,8.9518e+00
2.0000e+03,1.1000e+01,3.1100e+02,3.5370e+00,-1.1177e+06,-1.1177e+06,-3.6606e-02,-inf,1.4632e-01,6.4335e+00,inf,3.9712e+01,-1.1131e+00,-1.0199e+00,3.8702e+00,5.1272e+00
2.0000e+03,1.2000e+01,3.1200e+02,3.8462e+00,-1.1164e+06,-1.1164e+06,-3.9933e-02,-inf,1.4636e-01,6.4370e+00,inf,4.3282e+01,-6.2538e-01,-1.3138e+00,3.8543e+00,5.4250e+00
2.0000e+03,1.3000e+01,3.1300e+02,4.1534e+00,-1.1160e+06,-1.1160e+06,-4.3261e-02,-inf,1.4640e-01,6.4402e+00,inf,4.6880e+01,-1.4813e+00,-6.9870e-01,3.9317e+00,5.4552e+00
2.0000e+03,1.4000e+01,3.1400e+02,4.4586e+00,-1.1154e+06,-1.1154e+06,-4.6589e-02,-inf,1.4643e-01,6.4434e+00,inf,5.0536e+01,-8.0398e-01,-2.1348e+00,3.7054e+00,6.6522e+00
2.0000e+03,1.5000e+01,3.1500e+02,4.7619e+00,-1.1119e+06,-1.1119e+06,-4.9917e-02,-inf,1.4647e-01,6.4469e+00,inf,5.4112e+01,-1.4832e+00,-1.5569e+00,3.5573e+00,8.3854e+00
2.0000e+03,1.6000e+01,3.1600e+02,5.0633e+00,-1.1109e+06,-1.1109e+06,-5.3245e-02,-inf,1.4651e-01,6.4501e+00,inf,5.7669e+01,-6.2621e-01,-1.2757e+00,3.7546e+00,6.0059e+00
2.0000e+03,1.7000e+01,3.1700e+02,5.3628e+00,-1.1102e+06,-1.1102e+06,-5.6572e-02,-inf,1.4655e-01,6.4536e+00,inf,6.1266e+01,-5.1007e-01,-8.8024e-01,3.8637e+00,6.0999e+00
2.0000e+03,1.8000e+01,3.1900e+02,5.6426e+00,-1.1071e+06,-1.1071e+06,-5.9900e-02,-inf,1.4658e-01,6.4568e+00,inf,6.8507e+01,-4.7514e-01,-2.2105e+00,3.6304e+00,6.9059e+00
2.0000e+03,1.9000e+01,3.2000e+02,5.9375e+00,-1.1056e+06,-1.1056e+06,-6.3228e-02,-inf,1.4662e-01,6.4601e+00,inf,7.2099e+01,-1.1075e+00,-2.0235e+00,3.4735e+00,8.1719e+00
