nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logSFH5,logSFH6
2.0000e+03,1.0000e+00,1.0000e+00,3.3223e-01,-1.1061e+06,-1.1061e+06,-3.3278e-03,-inf,1.4594e-01,6.4001e+00,inf,4.2832e+00,-1.3737e+00,-1.9194e+00,-1.3965e-01,5.3604e-01,1.6474e+00,1.2401e+00,3.9514e+00,4.4731e+00,4.0932e+00
2.0000e+03,2.0000e+00,1.0000e+00,6.6225e-01,-1.1049e+06,-1.1049e+06,-6.6556e-03,-inf,1.4598e-01,6.4036e+00,inf,8.5266e+00,-1.2320e+00,4.8663e-01,-2.9699e-01,1.0481e+00,2.0557e+00,1.1583e+00,3.8866e+00,4.5780e+00,3.4593e+00
2.0000e+03,3.0000e+00,1.0000e+00,9.9010e-01,-1.1008e+06,-1.1008e+06,-9.9834e-03,-inf,1.4602e-01,6.4069e+00,inf,1.2747e+01,4.4758e-01,-6.6130e-01,3.6626e-01,3.0955e-01,2.1499e+00,3.5469e+00,4.0539e+00,4.4600e+00,2.5288e+00
2.0000e+03,4.0000e+00,1.0000e+00,1.3158e+00,-1.0999e+06,-1.0999e+06,-1.3311e-02,-inf,1.4606e-01,6.4104e+00,inf,1.7096e+01,-1.1895e+00,-1.0770e-01,1.7623e-01,9.6130e-01,1.2394e+00,3.3133e+00,2.5527e+00,4.3550e+00,4.4418e+00
2.0000e+03,5.0000e+00,1.0000e+00,1.6393e+00,-1.0992e+06,-1.0992e+06,-1.6639e-02,-inf,1.4609e-01,6.4136e+00,inf,2.1469e+01,-3.6589e-01,1.5390e-01,-5.1780e-01,6.7655e-01,1.4615e+00,3.5218e+00,1.8942e+00,3.3780e+00,4.5398e+00
2.0000e+03,6.0000e+00,1.0000e+00,1.9608e+00,-1.0970e+06,-1.0970e+06,-1.9967e-02,-inf,1.4613e-01,6.4168e+00,inf,2.5826e+01,-1.2642e+00,7.3441e-02,-3.9954e-01,1.6779e+00,1.8294e+00,1.9017e+00,1.7765e+00,4.4770e+00,4.3271e+00
2.0000e+03,7.0000e+00,1.0000e+00,2.2801e+00,-1.0965e+06,-1.0965e+06,-2.3295e-02,-inf,1.4617e-01,6.4203e+00,inf,2.9947e+01,-1.0629e+00,-9.7165e-01,-5.7449e-01,1.4262e+00,1.5210e+00,1.3417e+00,1.9745e+00,4.4167e+00,4.2469e+00
2.0000e+03,8.0000e+00,1.0000e+00,2.5974e+00,-1.0954e+06,-1.0954e+06,-2.6622e-02,-inf,1.4621e-01,6.4235e+00,inf,3.4145e+01,-2.1838e-01,-1.6213e+00,-2.5779e-01,3.9775e-01,2.9218e+00,3.2116e+00,2.0324e+00,4.3042e+00,3.3353e+00
2.0000e+03,9.0000e+00,1.0000e+00,2.9126e+00,-1.0954e+06,-1.0954e+06,-2.9950e-02,-inf,1.4624e-01,6.4268e+00,inf,3.8387e+01,2.3223e-01,-1.6722e+00,-2.6268e-01,1.3480e+00,3.0623e+00,3.0696e+00,1.9644e+00,4.4529e+00,4.1366e+00
2.0000e+03,1.0000e+01,1.0000e+00,3.2258e+00,-1.0952e+06,-1.0952e+06,-3.3278e-02,-inf,1.4628e-01,6.4302e+00,inf,4.2809e+01,3.6157e-01,-1.1525e+00,-4.4552e-01,1.5450e+00,2.3830e+00,1.8815e+00,3.7890e+00,4.3995e+00,3.9886e+00
