nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logSFH5,logSFH6
2.0000e+03,1.0000e+00,1.0000e+00,3.2258e+00,-9.8885e+05,-9.8886e+05,-3.2790e-02,-9.8886e+05,3.6787e-01,4.1271e+00,inf,9.4961e-01,-1.1170e+00,-4.4473e-01,-7.3322e+00,-5.4414e+00,-5.0070e+00,-5.5725e+00,-4.3717e+00,-3.5944e-02,2.8941e+00
2.0000e+03,2.0000e+00,1.0000e+00,6.2500e+00,-9.7240e+05,-9.7240e+05,-6.5580e-02,-9.7240e+05,3.6933e-01,4.1600e+00,9.5973e+05,1.8926e+00,-2.3973e-01,-1.1054e+00,-7.8944e+00,-6.8465e+00,-5.9081e+00,-6.0717e+00,-3.4357e+00,-1.5141e-01,2.8290e+00
2.0000e+03,3.0000e+00,1.0000e+00,9.0909e+00,-8.8241e+05,-8.8241e+05,-9.8369e-02,-8.8241e+05,3.7078e-01,4.1927e+00,9.4328e+05,2.8783e+00,-1.2834e+00,-5.9548e-02,-6.4703e+00,-5.5008e+00,-4.6710e+00,-4.6074e+00,-3.6419e+00,-1.5362e+00,2.2445e+00
2.0000e+03,4.0000e+00,1.0000e+00,1.1765e+01,-8.7861e+05,-8.7861e+05,-1.3116e-01,-8.7861e+05,3.7223e-01,4.2255e+00,8.5329e+05,3.8358e+00,-6.7984e-01,-1.8952e+00,-7.9910e+00,-5.9913e+00,-6.5247e+00,-4.8374e+00,-3.7778e+00,1.3155e-01,2.2996e+00
2.0000e+03,5.0000e+00,1.0000e+00,1.4286e+01,-8.6726e+05,-8.6727e+05,-1.6395e-01,-8.6727e+05,3.7367e-01,4.2583e+00,8.4949e+05,4.7947e+00,-7.6785e-01,-1.1923e+00,-6.2479e+00,-6.8657e+00,-5.1196e+00,-5.3399e+00,-3.0588e+00,-8.3786e-02,2.2521e+00
2.0000e+03,6.0000e+00,1.0000e+00,1.6667e+01,-8.5395e+05,-8.5395e+05,-1.9674e-01,-8.5395e+05,3.7510e-01,4.2910e+00,8.3814e+05,5.7535e+00,-3.0353e-01,-1.7338e+00,-7.6836e+00,-7.2588e+00,-5.4037e+00,-6.1972e+00,-2.9252e+00,-1.2748e+00,2.3957e+00
2.0000e+03,7.0000e+00,3.0000e+00,1.7949e+01,-8.3851e+05,-8.3852e+05,-2.2953e-01,-8.3852e+05,3.7654e-01,4.3239e+00,8.2483e+05,8.6040e+00,4.5653e-02,2.0660e-01,-7.5143e+00,-5.8663e+00,-6.7685e+00,-5.3319e+00,-2.7300e+00,-4.1218e-01,1.4918e+00
2.0000e+03,8.0000e+00,1.0000e+00,2.0000e+01,-8.3803e+05,-8.3804e+05,-2.6232e-01,-8.3804e+05,3.7796e-01,4.3567e+00,8.0939e+05,9.5670e+00,1.4432e-01,-4.3009e-01,-8.1317e+00,-6.6901e+00,-4.4901e+00,-5.1744e+00,-3.6272e+00,-7.2252e-01,9.9288e-01
2.0000e+03,9.0000e+00,3.0000e+00,2.0930e+01,-8.1773e+05,-8.1774e+05,-2.9511e-01,-8.1774e+05,3.7938e-01,4.3894e+00,8.0891e+05,1.2431e+01,2.5187e-01,-1.1055e+00,-7.1740e+00,-5.6962e+00,-5.1752e+00,-5.3283e+00,-3.6598e+00,-7.8292e-01,5.3317e-01
2.0000e+03,1.0000e+01,2.0000e+00,2.2222e+01,-8.1510e+05,-8.1511e+05,-3.2790e-01,-8.1511e+05,3.8079e-01,4.4222e+00,7.8861e+05,1.4337e+01,-3.2704e-01,-7.6783e-01,-7.2081e+00,-6.7380e+00,-5.4444e+00,-4.3701e+00,-4.3864e+00,-7.3487e-01,7.4457e-01
2.0000e+03,1.1000e+01,1.0000e+00,2.3913e+01,-8.1401e+05,-8.1401e+05,-3.6069e-01,-8.1401e+05,3.8220e-01,4.4551e+00,7.8598e+05,1.5300e+01,4.4758e-01,-6.6130e-01,-7.3145e+00,-7.3496e+00,-5.4420e+00,-3.8420e+00,-2.6439e+00,2.8445e-01,9.6045e-01
2.0000e+03,1.2000e+01,3.0000e+00,2.4490e+01,-8.1340e+05,-8.1341e+05,-3.9348e-01,-8.1341e+05,3.8361e-01,4.4878e+00,7.8489e+05,1.8192e+01,-8.2965e-01,-3.5612e-01,-8.2431e+00,-7.2673e+00,-6.1490e+00,-4.7777e+00,-2.9281e+00,-1.3230e+00,9.3141e-01
2.0000e+03,1.3000e+01,1.0000e+00,2.6000e+01,-8.1310e+05,-8.1311e+05,-4.2627e-01,-8.1311e+05,3.8501e-01,4.5206e+00,7.8428e+05,1.9152e+01,-7.4719e-01,-1.2577e+00,-7.4966e+00,-5.3356e+00,-4.7041e+00,-5.1857e+00,-5.0574e+00,-1.9357e+00,8.5321e-01
2.0000e+03,1.4000e+01,1.0000e+00,2.7451e+01,-8.1178e+05,-8.1179e+05,-4.5906e-01,-8.1179e+05,3.8640e-01,4.5534e+00,7.8398e+05,2.0107e+01,-1.1348e+00,2.5449e-01,-6.6602e+00,-5.5882e+00,-4.7067e+00,-4.3060e+00,-3.5649e+00,-1.3128e+00,8.7723e-01
