logz,logdust,logNpix,logage,lnprob,N_walkers
-0.0877,-1.9697,2.0071,9.6073,-7318.6771,128
-0.0877,-1.9697,2.0071,9.6073,-7318.6771,128
-0.0885,-1.9677,2.0086,9.6082,-7041.2856,128
-0.0885,-1.9677,2.0086,9.6082,-7041.2856,128
-0.1065,-1.9739,2.0182,9.5981,-4138.9899,128
-0.1065,-1.9739,2.0182,9.5981,-4138.9899,128
-0.1065,-1.9739,2.0182,9.5981,-4138.9899,128
-0.1065,-1.9739,2.0182,9.5981,-4138.9899,128
-0.1106,-1.9858,2.0187,9.5970,-3712.8974,128
-0.1097,-1.9978,2.0186,9.6073,-3695.7419,128
-0.1097,-1.9978,2.0186,9.6073,-3695.7419,128
-0.1058,-2.0011,2.0231,9.5942,-3584.3082,128
-0.1058,-2.0011,2.0231,9.5942,-3584.3082,128
-0.1095,-2.0018,2.0218,9.5888,-3414.0806,128
-0.1095,-2.0018,2.0218,9.5888,-3414.0806,128
-0.0529,-2.0140,2.0343,9.5730,-2749.5405,128
-0.0573,-2.0123,2.0332,9.5741,-2510.3474,128
-0.0573,-2.0123,2.0332,9.5741,-2510.3474,128
-0.0573,-2.0123,2.0332,9.5741,-2510.3474,128
-0.0573,-2.0123,2.0332,9.5741,-2510.3474,128
-0.0573,-2.0123,2.0332,9.5741,-2510.3474,128
-0.0563,-2.0575,2.0150,9.5477,-2414.7867,128
-0.0563,-2.0575,2.0150,9.5477,-2414.7867,128
-0.0563,-2.0575,2.0150,9.5477,-2414.7867,128
-0.0563,-2.0575,2.0150,9.5477,-2414.7867,128
-0.0563,-2.0575,2.0150,9.5477,-2414.7867,128
-0.0563,-2.0575,2.0150,9.5477,-2414.7867,128
-0.0563,-2.0575,2.0150,9.5477,-2414.7867,128
-0.0563,-2.0575,2.0150,9.5477,-2414.7867,128
-0.0563,-2.0575,2.0150,9.5477,-2414.7867,128
-0.0563,-2.0575,2.0150,9.5477,-2414.7867,128
-0.0563,-2.0575,2.0150,9.5477,-2414.7867,128
-0.0563,-2.0575,2.0150,9.5477,-2414.7867,128
-0.0745,-2.0465,2.0150,9.5567,-1686.8628,128
-0.0919,-2.0420,2.0148,9.5623,-1256.5513,128
-0.0919,-2.0420,2.0148,9.5623,-1256.5513,128
-0.0919,-2.0420,2.0148,9.5623,-1256.5513,128
-0.0948,-2.0364,2.0141,9.5591,-1199.9907,128
-0.0948,-2.0364,2.0141,9.5591,-1199.9907,128
-0.0948,-2.0364,2.0141,9.5591,-1199.9907,128
-0.1020,-2.0309,2.0122,9.5623,-1098.0691,128
-0.1020,-2.0309,2.0122,9.5623,-1098.0691,128
-0.1251,-2.0229,2.0157,9.5723,-1028.3910,128
-0.1251,-2.0229,2.0157,9.5723,-1028.3910,128
-0.1251,-2.0229,2.0157,9.5723,-1028.3910,128
-0.1139,-2.0193,2.0157,9.5688,-986.4479,128
-0.1139,-2.0193,2.0157,9.5688,-986.4479,128
-0.1139,-2.0193,2.0157,9.5688,-986.4479,128
-0.1139,-2.0193,2.0157,9.5688,-986.4479,128
-0.1139,-2.0193,2.0157,9.5688,-986.4479,128
-0.1139,-2.0193,2.0157,9.5688,-986.4479,128
-0.1139,-2.0193,2.0157,9.5688,-986.4479,128
-0.1139,-2.0193,2.0157,9.5688,-986.4479,128
-0.1630,-2.0239,2.0266,9.5982,-977.6032,128
-0.1630,-2.0239,2.0266,9.5982,-977.6032,128
-0.1630,-2.0239,2.0266,9.5982,-977.6032,128
-0.1703,-1.9990,2.0227,9.6000,-922.2629,128
-0.1703,-1.9990,2.0227,9.6000,-922.2629,128
-0.1703,-1.9990,2.0227,9.6000,-922.2629,128
-0.1703,-1.9990,2.0227,9.6000,-922.2629,128
-0.1703,-1.9990,2.0227,9.6000,-922.2629,128
-0.1703,-1.9990,2.0227,9.6000,-922.2629,128
-0.1703,-1.9990,2.0227,9.6000,-922.2629,128
-0.1707,-1.9996,2.0225,9.5997,-916.1058,128
-0.1707,-1.9996,2.0225,9.5997,-916.1058,128
-0.1707,-1.9996,2.0225,9.5997,-916.1058,128
-0.1724,-1.9937,2.0217,9.6000,-900.0707,128
-0.1783,-1.9811,2.0190,9.5959,-879.8642,128
-0.1809,-1.9951,2.0167,9.5970,-863.4661,128
-0.1824,-1.9664,2.0162,9.5974,-861.6951,128
-0.1809,-1.9765,2.0170,9.5967,-860.6508,128
-0.1802,-1.9843,2.0174,9.5987,-862.6292,128
-0.1809,-1.9780,2.0174,9.5999,-863.0958,128
-0.1809,-1.9780,2.0174,9.5999,-863.0958,128
-0.1809,-1.9780,2.0174,9.5999,-863.0958,128
-0.1809,-1.9780,2.0174,9.5999,-863.0958,128
-0.1809,-1.9780,2.0174,9.5999,-863.0958,128
-0.1809,-1.9780,2.0174,9.5999,-863.0958,128
-0.1805,-1.9854,2.0174,9.5995,-861.0231,128
-0.1804,-1.9855,2.0174,9.5997,-860.1079,128
