logz,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logSFH5,logSFH6,lnprob,N_walkers
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
-0.0874,-1.9764,1.1411,1.1999,0.9488,1.3214,1.1223,1.1607,1.1743,-1339.3188,128
