"N_scale: 1024, log_Npix: 0","N_scale: 1024, log_Npix: 2","N_scale: 1024, log_Npix: 4","N_scale: 128, log_Npix: 0","N_scale: 128, log_Npix: 2","N_scale: 128, log_Npix: 4","N_scale: 2048, log_Npix: 0","N_scale: 2048, log_Npix: 2","N_scale: 2048, log_Npix: 4","N_scale: 256, log_Npix: 0","N_scale: 256, log_Npix: 2","N_scale: 256, log_Npix: 4","N_scale: 512, log_Npix: 0","N_scale: 512, log_Npix: 2","N_scale: 512, log_Npix: 4"
-4196.608717681753,-854.7990900452572,-142.65260076722,-3383.4805787861737,-901.269036209653,-173.50872400010127,-3793.157551682652,-853.1985743872096,-168.81564177827073,-5391.189547564182,-923.7673886802776,-124.04070679221729,-4342.480782842834,-885.7148561778787,-172.74265974038147
-4125.958480193859,-850.7953838719723,-163.14279593479233,-2113.8447305164327,-892.9151853777963,-133.05097363774624,-3909.7926655500105,-840.4517725874049,-164.75567579316814,-3498.231025489017,-847.3885581864364,-132.1863335888777,-3281.0938534822913,-853.2612061965283,-162.01797961879615
-3854.44780321445,-852.4497055917626,-167.35792107685447,-2859.129971386178,-893.6248272755724,-122.7038830877402,-3868.85714220707,-838.8552761693983,-162.94409422646027,-3583.9805302805944,-846.2430645351966,-146.03218238353548,-3145.116692858094,-805.3677800649557,-147.42566329861825
-4155.197939988095,-823.2227692911791,-146.2069186122335,-3838.686957227321,-878.2895440695818,-138.61803156443005,-3900.965743224588,-846.9049581035889,-162.0112355635779,-4257.0640435242685,-871.5378609929278,-220.50764219448553,-4230.453746713212,-890.6507825616937,-156.93865701799152
-4112.173861276818,-834.8614718607951,-167.4830590758626,-2391.8834749064936,-840.6985540042203,-81.1935139346635,-3984.2955590345955,-836.0454593421903,-164.66721212401114,-3042.054429258708,-1070.8044763400164,-161.45803614432356,-4043.5647857758418,-861.0925454774643,-145.09520870085856
-3969.064882444183,-857.974315160897,-159.78006877563,-3621.5097357541986,-711.7740335080783,-88.02432139718104,-3957.838719532894,-874.0988600087578,-161.7539569144649,-2188.641625656691,-847.988496226444,-172.0050656969682,-4009.6138570882285,-834.2748923588215,-169.94271782568262
-3764.539124704952,-835.1177441271607,-172.74575467744353,-3235.3871901225234,-949.2869651406716,-105.75133036239059,-3896.001441224064,-836.7480694939329,-170.372789257154,-3861.748680798631,-865.6303869023409,-134.12140388537878,-3355.4961403528087,-876.5955014425556,-145.40825580665827
-3952.963603374094,-844.4647379999575,-158.8322042477858,-3774.68463344352,-828.2398218538275,-268.8800235806616,-4167.182434783947,-850.5904363651165,-162.25429147710295,-3041.0429022018434,-855.8296558589103,-136.12771734952892,-4839.819950066542,-785.4417511677927,-151.9148321938825
-4245.594379981077,-881.366947515941,-168.27674684443483,-2169.891391562785,-756.0237169279197,-101.33185323554487,-4029.479621540857,-834.167505449663,-168.74157622891323,-2743.929544212379,-750.4292151224065,-159.10287559933656,-3183.031922322431,-844.7989513684789,-171.1057064660056
-3878.275325693891,-771.6451496478753,-162.40000050707803,-2362.999749570098,-803.2960646366263,-271.9258332597327,-4080.200429473783,-892.2740379270067,-173.25888251148965,-3606.0102516259467,-1071.8785047943227,-143.87550428195487,-2854.139386218948,-870.8819415567135,-146.22774746081984
-4225.679595779706,-848.6382196130699,-179.60250273849084,-3406.3801408469053,-813.1125329892902,-239.6576347358299,-4146.661632782118,-825.9700245910282,-159.23330795586674,-2997.8752687232045,-1067.273460904125,-139.27403452386122,-4191.010373256135,-883.2717821246828,-155.00991863468607
-4032.8386746710944,-851.3550717876133,-137.8252033438966,-2564.006482955073,-717.8344909511457,-190.9075525488471,-4155.666930359761,-825.1930969858067,-169.9105338713251,-3225.871701137345,-1049.4686037643605,-213.42105276282376,-3883.3903166179693,-825.5369279456978,-178.4049811594378
-4067.587937843526,-899.0351483654337,-175.24351470833952,-3380.5620954927285,-849.7158088960653,-290.44879204250884,-4302.587186231329,-833.4559387971116,-168.87808276633928,-2621.432307055314,-807.393407677213,-133.38026761565118,-3595.3771597372843,-828.3198081698241,-133.30830599774308
-3698.491731871768,-855.2267725897096,-176.1290815357527,-2465.485365988434,-750.6711701108933,-171.93898484846258,-3795.642397678118,-835.994573869381,-159.97454736206987,-3301.4029881944975,-823.4787457009185,-140.71497560417953,-4076.167474295791,-784.3779747188566,-189.1565699025118
-3725.188318186792,-843.9971062171822,-146.38840538987284,-2556.868547547146,-1034.0511413340641,-189.12140955222793,-4016.9303530792818,-839.7773417191212,-163.31462796741954,-5176.575598506799,-833.9452008684976,-166.8558609112087,-3098.8535224602288,-800.791044750872,-185.16526138493157
-4215.110970769862,-818.6067147211078,-156.9595701221445,-2302.207338330396,-1469.749584979751,-251.64740582759845,-4196.973778910467,-824.5223709047787,-164.89656985305098,-3410.3808968781286,-831.153384846356,-173.43729674969862,-3894.320049513276,-817.0526140277791,-163.5653807665905
-3737.595534646766,-821.532000020685,-165.65276595421275,-2374.3578924227136,-805.9491477644517,-102.15609187518297,-3878.6109539058143,-835.7770785498732,-155.7876884157234,-2759.4971108079762,-925.1812421523387,-114.93176945697651,-3991.8060487328335,-820.3023591540285,-157.26464163856477
-4102.886735561085,-840.7303236428824,-152.7181499287764,-2488.353262139607,-772.2187300639589,-152.36814476117814,-4000.053546767913,-854.0692577305338,-154.7040105199035,-3861.211731552169,-944.6636055530544,-190.91901716906733,-2934.2823556986364,-819.4373714334524,-140.60269574772545
-3532.6789382432275,-849.4293131131982,-164.4841478055934,-1963.3295548447163,-770.743616411305,-105.996404503983,-3857.3549523662105,-863.1486322988857,-169.65405208590806,-3689.4195169023797,-901.7922573920224,-153.84211096056333,-3432.180239100575,-883.7994065332535,-170.29257745459074
-3931.3204936533316,-855.5646989898077,-166.73602597574788,-2960.225953735029,-874.7804109165363,-118.57059517559696,-4047.176499878938,-840.9110247644998,-178.15611426229572,-3721.7297251677865,-974.5100600007955,-136.06909054730505,-3815.3064414782643,-988.2107866914408,-158.97637850405007
