nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,logzh,logdust,logNpix
2.0000e+03,0.0000e+00,1.0000e+00,4.9751e-01,-5.2281e+09,-5.2281e+09,-4.9875e-03,-5.2281e+09,,-1.2640e+03,inf,-1.1686e+00,-9.9802e-01,6.9804e+00
2.0000e+03,1.0000e+00,2.0000e+00,9.9010e-01,-4.7858e+09,-4.7858e+09,-9.9751e-03,-4.7858e+09,,-1.9949e+03,inf,-1.4558e+00,-7.8802e-01,6.9296e+00
2.0000e+03,2.0000e+00,3.0000e+00,1.4778e+00,-3.9225e+09,-3.9225e+09,-1.4963e-02,-3.9225e+09,,-4.5063e+02,inf,2.3971e-01,-1.9453e+00,6.9372e+00
2.0000e+03,3.0000e+00,4.0000e+00,1.9608e+00,-3.0457e+09,-3.0457e+09,-1.9950e-02,-3.0457e+09,1.6865e+00,5.7025e+02,inf,5.8571e-02,-1.9364e+00,6.9252e+00
2.0000e+03,4.0000e+00,5.0000e+00,2.4390e+00,-2.9698e+09,-2.9698e+09,-2.4938e-02,-2.9698e+09,4.2372e-01,3.5998e+01,inf,9.3734e-02,-8.8448e-01,6.9317e+00
2.0000e+03,5.0000e+00,7.0000e+00,2.8986e+00,-2.6670e+09,-2.6670e+09,-2.9925e-02,-2.6670e+09,,-4.3422e+02,inf,-1.1128e+00,-1.0844e+00,6.8408e+00
2.0000e+03,6.0000e+00,8.0000e+00,3.3654e+00,-2.5061e+09,-2.5061e+09,-3.4913e-02,-2.5061e+09,1.3182e+00,3.4837e+02,inf,4.0439e-01,-2.2007e-01,6.9871e+00
2.0000e+03,7.0000e+00,9.0000e+00,3.8278e+00,-2.4199e+09,-2.4199e+09,-3.9900e-02,-2.4199e+09,,-8.7279e+01,inf,-9.4707e-01,-3.9626e-01,6.9163e+00
2.0000e+03,8.0000e+00,1.0000e+01,4.2857e+00,-2.2063e+09,-2.2063e+09,-4.4888e-02,-2.2063e+09,,-4.6551e+02,inf,-1.1233e+00,-8.2536e-01,6.8070e+00
2.0000e+03,9.0000e+00,1.1000e+01,4.7393e+00,-2.1057e+09,-2.1057e+09,-4.9875e-02,-2.1057e+09,9.7664e-01,1.9124e+02,inf,2.6246e-01,-7.4464e-01,6.8610e+00
2.0000e+03,1.0000e+01,1.2000e+01,5.1887e+00,-1.9314e+09,-1.9314e+09,-5.4863e-02,-1.9314e+09,,-1.6240e+02,inf,4.9566e-01,-1.1978e+00,6.7667e+00
2.0000e+03,1.1000e+01,1.3000e+01,5.6338e+00,-1.8532e+09,-1.8532e+09,-5.9850e-02,-1.8532e+09,,-3.8348e+01,inf,1.0475e-01,-1.0889e-01,6.9581e+00
2.0000e+03,1.2000e+01,1.4000e+01,6.0748e+00,-1.8382e+09,-1.8382e+09,-6.4838e-02,-1.8382e+09,6.2489e-01,7.8293e+01,inf,-1.3240e+00,-5.4086e-01,6.7621e+00
2.0000e+03,1.3000e+01,1.5000e+01,6.5116e+00,-1.8267e+09,-1.8267e+09,-6.9826e-02,-1.8267e+09,9.8212e-01,1.9339e+02,inf,-1.2091e+00,-7.0599e-01,6.7679e+00
2.0000e+03,1.4000e+01,1.6000e+01,6.9444e+00,-1.7411e+09,-1.7411e+09,-7.4813e-02,-1.7411e+09,,-1.2036e+02,inf,-1.0059e-01,-1.9686e-01,6.9674e+00
2.0000e+03,1.5000e+01,1.7000e+01,7.3733e+00,-1.6345e+09,-1.6345e+09,-7.9801e-02,-1.6345e+09,,-9.2234e+00,inf,-9.7754e-01,-1.2309e-01,6.8773e+00
2.0000e+03,1.6000e+01,1.8000e+01,7.7982e+00,-1.5678e+09,-1.5678e+09,-8.4788e-02,-1.5678e+09,6.7213e-01,9.0579e+01,inf,-1.4379e+00,-8.4632e-01,6.7005e+00
2.0000e+03,1.7000e+01,1.9000e+01,8.2192e+00,-1.1791e+09,-1.1791e+09,-8.9776e-02,-1.1791e+09,8.4809e-01,1.4421e+02,inf,-1.9832e-01,-4.8863e-01,6.8642e+00
2.0000e+03,1.8000e+01,2.0000e+01,8.6364e+00,-1.0652e+09,-1.0652e+09,-9.4763e-02,-1.0652e+09,,-5.5707e+01,inf,-5.1007e-01,-3.8024e-01,6.9091e+00
2.0000e+03,1.9000e+01,2.1000e+01,9.0498e+00,-1.0199e+09,-1.0199e+09,-9.9751e-02,-1.0199e+09,2.3885e-01,1.1439e+01,inf,-1.0518e+00,-8.2556e-01,6.6701e+00
2.0000e+03,2.0000e+01,2.2000e+01,9.4595e+00,-9.7512e+08,-9.7512e+08,-1.0474e-01,-9.7512e+08,,-4.3353e+01,inf,-3.6584e-01,-3.6331e-01,6.8780e+00
2.0000e+03,2.1000e+01,2.3000e+01,9.8655e+00,-9.6604e+08,-9.6604e+08,-1.0973e-01,-9.6604e+08,3.0144e-01,1.8219e+01,inf,-7.6785e-01,-1.3538e+00,6.7428e+00
2.0000e+03,2.2000e+01,2.4000e+01,1.0268e+01,-9.4237e+08,-9.4237e+08,-1.1471e-01,-9.4237e+08,,-3.4803e+01,inf,-1.4877e+00,-1.1229e+00,6.5941e+00
2.0000e+03,2.3000e+01,2.5000e+01,1.0667e+01,-8.9432e+08,-8.9432e+08,-1.1970e-01,-8.9432e+08,3.4495e-01,2.3858e+01,inf,2.6069e-01,-7.2522e-01,6.7052e+00
2.0000e+03,2.4000e+01,2.7000e+01,1.1013e+01,-5.9915e+08,-5.9915e+08,-1.2469e-01,-5.9915e+08,,-1.5519e+01,inf,-4.6073e-01,-1.5844e+00,6.7502e+00
2.0000e+03,2.5000e+01,2.9000e+01,1.1354e+01,-5.8474e+08,-5.8474e+08,-1.2968e-01,-5.8474e+08,3.3120e-01,2.1993e+01,inf,2.3825e-01,-1.1277e+00,6.6043e+00
2.0000e+03,2.6000e+01,3.0000e+01,1.1739e+01,-5.5240e+08,-5.5240e+08,-1.3466e-01,-5.5240e+08,,-9.7886e+00,inf,-1.2364e+00,-1.4564e-01,6.6556e+00
2.0000e+03,2.7000e+01,3.1000e+01,1.2121e+01,-5.0543e+08,-5.0543e+08,-1.3965e-01,-5.0543e+08,,-6.5855e+00,inf,-1.2834e+00,-4.4764e-01,6.5650e+00
2.0000e+03,2.8000e+01,3.2000e+01,1.2500e+01,-5.0501e+08,-5.0501e+08,-1.4464e-01,-5.0501e+08,,-4.7266e+00,inf,-8.6425e-01,-3.0248e-01,6.6646e+00
2.0000e+03,2.9000e+01,3.3000e+01,1.2876e+01,-4.8722e+08,-4.8722e+08,-1.4963e-01,-4.8722e+08,,-2.5605e+00,inf,-2.5445e-01,-1.0126e+00,6.6811e+00
2.0000e+03,3.0000e+01,3.4000e+01,1.3248e+01,-4.8469e+08,-4.8469e+08,-1.5461e-01,-4.8469e+08,,-7.4121e-01,inf,2.7846e-01,-1.8955e+00,6.5664e+00
2.0000e+03,3.1000e+01,3.5000e+01,1.3617e+01,-4.4501e+08,-4.4501e+08,-1.5960e-01,-4.4501e+08,8.5101e-02,1.4521e+00,inf,-9.6486e-01,-1.3435e-01,6.6523e+00
2.0000e+03,3.2000e+01,3.7000e+01,1.3924e+01,-4.3393e+08,-4.3393e+08,-1.6459e-01,-4.3393e+08,1.2550e-01,3.1579e+00,inf,-1.3305e+00,-1.3340e+00,6.4569e+00
2.0000e+03,3.3000e+01,3.9000e+01,1.4226e+01,-4.2993e+08,-4.2993e+08,-1.6958e-01,-4.2993e+08,1.5408e-01,4.7599e+00,inf,-3.6172e-01,-9.3518e-02,6.7708e+00
2.0000e+03,3.4000e+01,4.1000e+01,1.4523e+01,-4.0386e+08,-4.0386e+08,-1.7456e-01,-4.0386e+08,1.7760e-01,6.3240e+00,inf,-6.2392e-01,-1.8579e+00,6.6325e+00
2.0000e+03,3.5000e+01,4.4000e+01,1.4754e+01,-4.0026e+08,-4.0026e+08,-1.7955e-01,-4.0026e+08,1.9709e-01,7.7886e+00,inf,-9.3273e-01,-9.2659e-01,6.5465e+00
2.0000e+03,3.6000e+01,4.5000e+01,1.5102e+01,-3.6794e+08,-3.6794e+08,-1.8454e-01,-3.6794e+08,2.1194e-01,9.0060e+00,inf,-1.3251e+00,-2.2607e-01,6.5649e+00
2.0000e+03,3.7000e+01,4.6000e+01,1.5447e+01,-3.4024e+08,-3.4024e+08,-1.8953e-01,-3.4024e+08,2.2377e-01,1.0040e+01,inf,-1.8225e-01,-1.6335e+00,6.5948e+00
2.0000e+03,3.8000e+01,4.8000e+01,1.5726e+01,-3.3829e+08,-3.3829e+08,-1.9451e-01,-3.3829e+08,2.3695e-01,1.1258e+01,inf,-9.6652e-01,-7.8998e-01,6.5071e+00
2.0000e+03,3.9000e+01,4.9000e+01,1.6064e+01,-3.2890e+08,-3.2890e+08,-1.9950e-01,-3.2890e+08,2.4791e-01,1.2322e+01,inf,2.1011e-01,-1.3873e+00,6.5176e+00
2.0000e+03,4.0000e+01,5.0000e+01,1.6400e+01,-3.1418e+08,-3.1418e+08,-2.0449e-01,-3.1418e+08,2.5658e-01,1.3200e+01,inf,-1.0517e+00,-1.7227e+00,6.4505e+00
2.0000e+03,4.1000e+01,5.1000e+01,1.6733e+01,-3.0938e+08,-3.0938e+08,-2.0948e-01,-3.0938e+08,2.6638e-01,1.4227e+01,inf,-1.2764e-01,-1.5192e+00,6.5759e+00
2.0000e+03,4.2000e+01,5.2000e+01,1.7063e+01,-3.0132e+08,-3.0132e+08,-2.1446e-01,-3.0132e+08,2.7464e-01,1.5123e+01,inf,-5.8600e-01,-1.3650e-01,6.6920e+00
2.0000e+03,4.3000e+01,5.3000e+01,1.7391e+01,-2.7486e+08,-2.7486e+08,-2.1945e-01,-2.7486e+08,,-1.0349e+00,inf,2.0700e-02,-1.0357e+00,6.5362e+00
2.0000e+03,4.4000e+01,5.4000e+01,1.7717e+01,-2.6881e+08,-2.6881e+08,-2.2444e-01,-2.6881e+08,2.3491e-02,1.1064e-01,inf,-4.1659e-01,-4.3874e-01,6.6430e+00
2.0000e+03,4.5000e+01,5.5000e+01,1.8039e+01,-2.5235e+08,-2.5235e+08,-2.2943e-01,-2.5235e+08,2.1106e-01,8.9313e+00,inf,4.3518e-01,-1.3994e-01,5.3694e+00
2.0000e+03,4.6000e+01,5.7000e+01,1.8288e+01,-2.4598e+08,-2.4598e+08,-2.3441e-01,-2.4598e+08,2.2070e-01,9.7658e+00,inf,4.9993e-01,-5.2393e-03,6.3894e+00
2.0000e+03,4.7000e+01,5.9000e+01,1.8533e+01,-2.0950e+08,-2.0950e+08,-2.3940e-01,-2.0950e+08,1.3707e-01,3.7669e+00,inf,-1.0224e+00,-3.3951e-01,6.4895e+00
2.0000e+03,4.8000e+01,6.0000e+01,1.8846e+01,-2.0177e+08,-2.0177e+08,-2.4439e-01,-2.0177e+08,1.5146e-01,4.5992e+00,inf,4.6331e-01,-6.1039e-01,6.5239e+00
2.0000e+03,4.9000e+01,6.1000e+01,1.9157e+01,-1.9020e+08,-1.9020e+08,-2.4938e-01,-1.9020e+08,1.6400e-01,5.3924e+00,inf,4.7670e-01,-3.9720e-01,5.6880e+00
2.0000e+03,5.0000e+01,6.2000e+01,1.9466e+01,-1.8616e+08,-1.8616e+08,-2.5436e-01,-1.8616e+08,1.7435e-01,6.0949e+00,inf,-6.4208e-01,-5.6056e-01,6.5361e+00
