nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logfeh_std,logdust,logNpix,tau
2.0000e+03,0.0000e+00,1.0000e+00,1.9608e+00,-1.2655e+06,-1.2655e+06,-1.9803e-02,-1.2655e+06,3.0263e-01,4.6250e+00,inf,1.1513e+01,-9.5481e-01,2.7646e-01,-8.9626e-01,3.8744e+00,8.0075e+00
2.0000e+03,1.0000e+00,2.0000e+00,3.8462e+00,-1.2613e+06,-1.2613e+06,-3.9605e-02,-1.2613e+06,3.0328e-01,4.6446e+00,inf,2.2806e+01,-1.1949e+00,5.6841e-01,-1.4436e+00,3.8543e+00,4.8429e+00
2.0000e+03,2.0000e+00,3.0000e+00,5.6604e+00,-1.2591e+06,-1.2591e+06,-5.9408e-02,-1.2591e+06,3.0393e-01,4.6646e+00,inf,3.4158e+01,-8.4859e-01,1.9362e-01,-1.5844e+00,3.7612e+00,8.0326e+00
2.0000e+03,3.0000e+00,4.0000e+00,7.4074e+00,-1.2501e+06,-1.2501e+06,-7.9211e-02,-1.2501e+06,3.0457e-01,4.6843e+00,inf,4.5571e+01,-9.9477e-01,3.4801e-01,-2.1348e+00,3.7054e+00,6.6522e+00
2.0000e+03,4.0000e+00,5.0000e+00,9.0909e+00,-1.2458e+06,-1.2458e+06,-9.9013e-02,-1.2458e+06,3.0522e-01,4.7043e+00,inf,5.6690e+01,-1.3542e+00,6.5084e-01,-9.8863e-01,3.7963e+00,4.0112e+00
2.0000e+03,5.0000e+00,6.0000e+00,1.0714e+01,-1.2398e+06,-1.2398e+06,-1.1882e-01,-1.2398e+06,3.0586e-01,4.7240e+00,inf,6.5266e+01,4.5808e-01,8.8123e-01,-1.2446e+00,3.7915e+00,6.7983e+00
2.0000e+03,6.0000e+00,7.0000e+00,1.2281e+01,-1.2338e+06,-1.2338e+06,-1.3862e-01,-1.2338e+06,3.0649e-01,4.7437e+00,inf,7.6373e+01,1.3741e-01,5.4512e-01,-1.5975e+00,3.6717e+00,8.7861e+00
2.0000e+03,7.0000e+00,8.0000e+00,1.3793e+01,-1.2324e+06,-1.2324e+06,-1.5842e-01,-1.2324e+06,3.0714e-01,4.7637e+00,inf,8.7798e+01,3.2425e-01,7.9052e-01,-5.1584e-01,3.8764e+00,7.3357e+00
2.0000e+03,8.0000e+00,1.0000e+01,1.5000e+01,-1.2323e+06,-1.2323e+06,-1.7822e-01,-1.2323e+06,3.0777e-01,4.7833e+00,inf,1.1049e+02,-1.0965e+00,6.9830e-01,-5.9561e-01,3.6699e+00,8.9485e+00
2.0000e+03,9.0000e+00,1.1000e+01,1.6393e+01,-1.2318e+06,-1.2318e+06,-1.9803e-01,-1.2318e+06,3.0841e-01,4.8033e+00,inf,1.2168e+02,-9.0615e-01,3.7194e-01,-8.4460e-01,3.7034e+00,4.4184e+00
2.0000e+03,1.0000e+01,1.3000e+01,1.7460e+01,-1.2233e+06,-1.2233e+06,-2.1783e-01,-1.2233e+06,3.0904e-01,4.8230e+00,inf,1.4414e+02,-4.7199e-01,8.6887e-01,-1.0593e+00,3.7108e+00,3.2209e+00
2.0000e+03,1.1000e+01,1.5000e+01,1.8462e+01,-1.2201e+06,-1.2202e+06,-2.3763e-01,-1.2202e+06,3.0967e-01,4.8427e+00,inf,1.6419e+02,-4.4408e-02,6.9235e-01,-1.5553e+00,3.5706e+00,6.3179e+00
2.0000e+03,1.2000e+01,1.6000e+01,1.9697e+01,-1.2173e+06,-1.2173e+06,-2.5743e-01,-1.2173e+06,3.1031e-01,4.8627e+00,inf,1.7530e+02,-7.6070e-01,6.0433e-01,-2.2938e+00,3.4071e+00,8.5644e+00
2.0000e+03,1.3000e+01,1.9000e+01,2.0290e+01,-1.2109e+06,-1.2109e+06,-2.7724e-01,-1.2109e+06,3.1094e-01,4.8824e+00,inf,2.0655e+02,-3.1318e-01,3.6607e-01,-1.8538e+00,3.6143e+00,2.7251e+00
2.0000e+03,1.4000e+01,2.0000e+01,2.1429e+01,-1.2107e+06,-1.2107e+06,-2.9704e-01,-1.2107e+06,3.1157e-01,4.9021e+00,inf,2.1778e+02,-1.1170e+00,6.2211e-01,-1.6245e+00,3.3561e+00,7.2398e+00
2.0000e+03,1.5000e+01,2.1000e+01,2.2535e+01,-1.1978e+06,-1.1978e+06,-3.1684e-01,-1.1978e+06,3.1220e-01,4.9220e+00,inf,2.2898e+02,-7.5315e-01,1.2407e-02,-6.5619e-01,3.6198e+00,3.8140e+00
2.0000e+03,1.6000e+01,2.2000e+01,2.3611e+01,-1.1826e+06,-1.1826e+06,-3.3664e-01,-1.1826e+06,3.1283e-01,4.9417e+00,inf,2.4037e+02,-2.4102e-01,6.8618e-01,-2.0192e+00,3.3638e+00,7.8518e+00
2.0000e+03,1.7000e+01,2.3000e+01,2.4658e+01,-1.1758e+06,-1.1758e+06,-3.5645e-01,-1.1758e+06,3.1346e-01,4.9617e+00,inf,2.5154e+02,-3.7761e-01,5.0308e-01,-2.4725e+00,3.3185e+00,8.0611e+00
2.0000e+03,1.8000e+01,2.4000e+01,2.5676e+01,-1.1688e+06,-1.1688e+06,-3.7625e-01,-1.1688e+06,3.1408e-01,4.9814e+00,inf,2.6279e+02,-2.8802e-01,9.6480e-01,-5.6482e-01,3.7901e+00,2.4774e+00
2.0000e+03,1.9000e+01,2.5000e+01,2.6667e+01,-1.0828e+06,-1.0828e+06,-3.9605e-01,-1.0828e+06,3.1470e-01,5.0011e+00,inf,2.7140e+02,-2.1824e-01,1.2621e-01,-2.1571e+00,3.2113e+00,2.0162e+00
2.0000e+03,2.0000e+01,2.6000e+01,2.7632e+01,-1.0759e+06,-1.0759e+06,-4.1586e-01,-1.0759e+06,3.1533e-01,5.0211e+00,inf,2.8261e+02,-1.5434e-01,8.7472e-02,-7.2607e-01,3.3474e+00,3.5384e+00
2.0000e+03,2.1000e+01,2.9000e+01,2.7848e+01,-1.0672e+06,-1.0672e+06,-4.3566e-01,-1.0672e+06,3.1594e-01,5.0408e+00,inf,3.1384e+02,-3.0110e-02,3.6562e-01,-8.9679e-01,3.3482e+00,6.6108e+00
2.0000e+03,2.2000e+01,3.0000e+01,2.8750e+01,-1.0659e+06,-1.0659e+06,-4.5546e-01,-1.0659e+06,3.1657e-01,5.0607e+00,inf,3.2243e+02,2.9993e-01,4.1675e-01,-1.4283e+00,1.0186e+00,3.4051e+00
2.0000e+03,2.3000e+01,3.1000e+01,2.9630e+01,-1.0492e+06,-1.0492e+06,-4.7526e-01,-1.0492e+06,3.1718e-01,5.0804e+00,inf,3.3361e+02,-7.8437e-01,5.0100e-01,-1.1331e+00,3.1381e+00,3.9620e+00
2.0000e+03,2.4000e+01,3.2000e+01,3.0488e+01,-1.0442e+06,-1.0442e+06,-4.9507e-01,-1.0442e+06,3.1780e-01,5.1003e+00,inf,3.4229e+02,-1.3804e+00,1.8429e-01,-2.4053e+00,3.0246e+00,5.7570e+00
2.0000e+03,2.5000e+01,3.5000e+01,3.0588e+01,-1.0278e+06,-1.0278e+06,-5.1487e-01,-1.0278e+06,3.1842e-01,5.1201e+00,inf,3.7349e+02,-2.5445e-01,4.9368e-01,-8.1892e-01,3.1363e+00,4.5513e+00
