nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logzh,logdust,logNpix
2.0000e+03,0.0000e+00,1.0000e+00,6.6225e-01,-2.1578e+05,-2.1579e+05,-6.6445e-03,-2.1579e+05,1.9479e-01,5.7104e+00,inf,5.2790e-01,-5.9670e-01,-3.5991e-02,2.2479e+00
2.0000e+03,1.0000e+00,2.0000e+00,1.3158e+00,-2.0479e+05,-2.0480e+05,-1.3289e-02,-2.0480e+05,1.9490e-01,5.7171e+00,1.9943e+05,1.0517e+00,-1.2320e+00,-1.0692e-02,2.3590e+00
2.0000e+03,2.0000e+00,3.0000e+00,1.9608e+00,-1.9776e+05,-1.9776e+05,-1.9934e-02,-1.9776e+05,1.9502e-01,5.7237e+00,1.8843e+05,1.5745e+00,4.3518e-01,-1.3994e-01,2.3694e+00
2.0000e+03,3.0000e+00,4.0000e+00,2.5974e+00,-1.7523e+05,-1.7524e+05,-2.6578e-02,-1.7524e+05,1.9513e-01,5.7304e+00,1.8140e+05,2.0963e+00,-4.2624e-01,-3.6160e-01,2.1142e+00
2.0000e+03,4.0000e+00,6.0000e+00,3.2051e+00,-1.6835e+05,-1.6836e+05,-3.3223e-02,-1.6836e+05,1.9524e-01,5.7370e+00,1.5888e+05,3.1309e+00,-5.5334e-01,-1.9489e-01,2.4520e+00
2.0000e+03,5.0000e+00,7.0000e+00,3.8217e+00,-1.6556e+05,-1.6557e+05,-3.9867e-02,-1.6557e+05,1.9536e-01,5.7436e+00,1.5200e+05,3.6490e+00,-5.0420e-02,-5.6664e-01,2.0822e+00
2.0000e+03,6.0000e+00,8.0000e+00,4.4304e+00,-1.6455e+05,-1.6455e+05,-4.6512e-02,-1.6455e+05,1.9547e-01,5.7503e+00,1.4921e+05,4.1829e+00,-9.2824e-01,-2.6506e-02,2.8636e+00
2.0000e+03,7.0000e+00,9.0000e+00,5.0314e+00,-1.6420e+05,-1.6421e+05,-5.3156e-02,-1.6421e+05,1.9558e-01,5.7569e+00,1.4819e+05,4.7018e+00,-9.9109e-03,-1.7853e-01,2.4744e+00
2.0000e+03,8.0000e+00,1.0000e+01,5.6250e+00,-1.6418e+05,-1.6419e+05,-5.9801e-02,-1.6419e+05,1.9569e-01,5.7636e+00,1.4784e+05,5.2226e+00,4.0298e-01,-6.3404e-01,2.1523e+00
2.0000e+03,9.0000e+00,1.2000e+01,6.1728e+00,-1.6275e+05,-1.6276e+05,-6.6445e-02,-1.6276e+05,1.9581e-01,5.7702e+00,1.4782e+05,6.2584e+00,-1.2719e+00,-9.8380e-02,2.6514e+00
2.0000e+03,1.0000e+01,1.3000e+01,6.7485e+00,-1.6167e+05,-1.6167e+05,-7.3090e-02,-1.6167e+05,1.9592e-01,5.7769e+00,1.4639e+05,6.7762e+00,4.6665e-01,-1.2532e+00,2.0248e+00
2.0000e+03,1.1000e+01,1.4000e+01,7.3171e+00,-1.6042e+05,-1.6042e+05,-7.9735e-02,-1.6042e+05,1.9603e-01,5.7835e+00,1.4531e+05,7.3005e+00,3.0130e-01,-4.5517e-02,3.1138e+00
2.0000e+03,1.2000e+01,1.5000e+01,7.8788e+00,-1.5850e+05,-1.5851e+05,-8.6379e-02,-1.5851e+05,1.9615e-01,5.7902e+00,1.4406e+05,7.8217e+00,3.4381e-01,-2.5345e-01,2.7035e+00
2.0000e+03,1.3000e+01,1.6000e+01,8.4337e+00,-1.5838e+05,-1.5839e+05,-9.3024e-02,-1.5839e+05,1.9626e-01,5.7968e+00,1.4215e+05,8.3494e+00,4.8896e-01,-1.6425e+00,2.0244e+00
2.0000e+03,1.4000e+01,1.7000e+01,8.9820e+00,-1.5770e+05,-1.5771e+05,-9.9668e-02,-1.5771e+05,1.9637e-01,5.8035e+00,1.4202e+05,8.8749e+00,-2.8561e-01,-8.6811e-01,2.0135e+00
2.0000e+03,1.5000e+01,1.8000e+01,9.5238e+00,-1.5592e+05,-1.5593e+05,-1.0631e-01,-1.5593e+05,1.9648e-01,5.8101e+00,1.4134e+05,9.3904e+00,-1.1686e+00,-9.9802e-01,3.9804e+00
2.0000e+03,1.6000e+01,2.1000e+01,9.9415e+00,-1.5434e+05,-1.5434e+05,-1.1296e-01,-1.5434e+05,1.9659e-01,5.8167e+00,1.3956e+05,1.0929e+01,2.8111e-01,-5.3470e-02,3.1868e+00
2.0000e+03,1.7000e+01,2.2000e+01,1.0465e+01,-1.5413e+05,-1.5413e+05,-1.1960e-01,-1.5413e+05,1.9671e-01,5.8234e+00,1.3798e+05,1.1447e+01,-1.6595e-01,-8.5043e-01,2.1040e+00
2.0000e+03,1.8000e+01,2.3000e+01,1.0983e+01,-1.5298e+05,-1.5299e+05,-1.2625e-01,-1.5299e+05,1.9682e-01,5.8300e+00,1.3777e+05,1.1962e+01,-8.6491e-01,-8.6342e-01,2.0187e+00
2.0000e+03,1.9000e+01,2.4000e+01,1.1494e+01,-1.5278e+05,-1.5278e+05,-1.3289e-01,-1.5278e+05,1.9693e-01,5.8367e+00,1.3663e+05,1.2492e+01,1.5540e-01,-1.9772e-01,2.8546e+00
2.0000e+03,2.0000e+01,2.5000e+01,1.2000e+01,-1.5263e+05,-1.5264e+05,-1.3954e-01,-1.5264e+05,1.9704e-01,5.8433e+00,1.3642e+05,1.3019e+01,-7.5806e-02,-1.1122e+00,2.0621e+00
2.0000e+03,2.1000e+01,2.6000e+01,1.2500e+01,-1.5263e+05,-1.5263e+05,-1.4618e-01,-1.5263e+05,1.9708e-01,5.8453e+00,1.3628e+05,1.3540e+01,-3.7761e-01,-9.9383e-01,2.0275e+00
2.0000e+03,2.2000e+01,2.7000e+01,1.2994e+01,-1.5111e+05,-1.5111e+05,-1.5282e-01,-1.5111e+05,1.9727e-01,5.8566e+00,1.3627e+05,1.4065e+01,-1.3832e+00,-7.5735e-01,2.0454e+00
2.0000e+03,2.3000e+01,2.8000e+01,1.3483e+01,-1.5085e+05,-1.5086e+05,-1.5947e-01,-1.5086e+05,1.9738e-01,5.8633e+00,1.3475e+05,1.4582e+01,1.4432e-01,-7.4407e-01,2.2358e+00
