logfeh_mean,logdust,logNpix,tau,dmod,logl
2.4117e-01,-6.8749e-01,1.8927e+00,2.2814e+00,2.5557e+01,-1.5515e+03
-3.6997e-03,-5.6095e-01,1.7857e+00,2.8598e+00,2.5280e+01,-2.2743e+03
-4.4307e-01,-4.0208e-01,2.2364e+00,4.5792e+00,2.6759e+01,-2.1341e+03
-9.7714e-02,-5.2987e-01,2.0589e+00,3.7336e+00,2.6227e+01,-2.5365e+03
-8.0444e-04,-6.2006e-01,1.9732e+00,1.9293e+00,2.5755e+01,-2.7704e+03
-7.1220e-03,-6.4279e-01,2.0169e+00,2.0237e+00,2.5965e+01,-1.6928e+03
-2.0704e-01,-4.9661e-01,2.0931e+00,3.7205e+00,2.6344e+01,-2.5880e+03
-2.4106e-01,-5.5602e-01,2.1576e+00,1.0574e+00,2.6385e+01,-1.1491e+03
-2.6881e-01,-5.5353e-01,2.2359e+00,2.3429e+00,2.6703e+01,-2.2498e+03
-3.5647e-01,-4.7280e-01,2.0374e+00,2.9163e+00,2.6136e+01,-1.2923e+03
-1.8497e-01,-5.3716e-01,2.2723e+00,3.1543e+00,2.6772e+01,-2.1658e+03
9.4091e-02,-6.4295e-01,1.9495e+00,2.3842e+00,2.5713e+01,-1.3643e+03
1.3730e-01,-6.3684e-01,2.0739e+00,3.0053e+00,2.6106e+01,-1.2907e+03
6.1021e-02,-6.0417e-01,1.9711e+00,3.2468e+00,2.5844e+01,-2.0885e+03
-3.9551e-01,-4.9661e-01,1.8883e+00,1.0699e+00,2.5633e+01,-2.7132e+03
3.4613e-02,-6.2020e-01,1.8864e+00,1.1818e+00,2.5525e+01,-1.5449e+03
-1.8058e-01,-4.5455e-01,2.0998e+00,4.5631e+00,2.6285e+01,-2.4578e+03
2.1485e-01,-6.1091e-01,1.7718e+00,3.1502e+00,2.5180e+01,-2.0052e+03
-3.9081e-01,-4.6548e-01,2.3455e+00,3.5721e+00,2.7036e+01,-2.6042e+03
9.5359e-02,-6.0527e-01,1.8056e+00,2.3222e+00,2.5314e+01,-2.1882e+03
-3.4404e-01,-5.3492e-01,2.3396e+00,1.6985e+00,2.6913e+01,-2.8096e+03
-1.2272e-01,-5.3937e-01,1.9650e+00,2.5935e+00,2.5836e+01,-8.6517e+02
-1.8618e-01,-4.6864e-01,1.7995e+00,3.3701e+00,2.5388e+01,-2.5110e+03
-1.0781e-01,-5.9258e-01,1.9812e+00,2.3774e+00,2.5933e+01,-2.0989e+03
-3.9410e-01,-4.4924e-01,1.8967e+00,3.1233e+00,2.5711e+01,-1.7004e+03
-3.7833e-01,-5.0025e-01,2.0679e+00,2.6333e+00,2.6221e+01,-1.5919e+03
2.4442e-01,-7.1490e-01,1.8762e+00,1.6378e+00,2.5439e+01,-1.3212e+03
-2.5551e-01,-4.2207e-01,1.9915e+00,4.7474e+00,2.6016e+01,-1.9666e+03
-4.4565e-01,-4.6648e-01,1.9716e+00,2.4256e+00,2.5934e+01,-1.6369e+03
-2.7826e-01,-5.5382e-01,2.2355e+00,4.6236e-01,2.6629e+01,-1.6986e+03
-8.6542e-02,-5.5438e-01,2.1048e+00,3.1716e+00,2.6294e+01,-1.2505e+03
-7.5493e-02,-5.9014e-01,1.8724e+00,4.6107e-01,2.5540e+01,-1.9340e+03
1.4266e-01,-6.6876e-01,1.8568e+00,2.1093e+00,2.5428e+01,-1.9813e+03
-4.0176e-01,-3.8816e-01,1.9452e+00,4.3393e+00,2.5843e+01,-1.8547e+03
-3.1827e-01,-4.4608e-01,1.9877e+00,3.4831e+00,2.5925e+01,-1.1089e+03
3.9090e-02,-6.6698e-01,2.0672e+00,2.0512e+00,2.6162e+01,-2.3332e+03
1.4157e-01,-6.6653e-01,1.8534e+00,1.0095e+00,2.5433e+01,-1.9020e+03
1.3163e-02,-6.4568e-01,2.1078e+00,1.5721e+00,2.6212e+01,-1.4016e+03
1.0154e-01,-6.0492e-01,2.0284e+00,2.9012e+00,2.6013e+01,-2.2846e+03
1.1974e-01,-6.5167e-01,1.9470e+00,1.5959e+00,2.5693e+01,-1.6274e+03
-2.8033e-01,-5.3786e-01,2.1419e+00,2.4981e+00,2.6409e+01,-1.6669e+03
-1.7711e-01,-5.6160e-01,1.8927e+00,3.5329e-01,2.5600e+01,-2.0119e+03
6.5071e-02,-6.7880e-01,2.0551e+00,5.2232e-01,2.5991e+01,-1.7700e+03
1.6233e-01,-6.5495e-01,2.0357e+00,2.7567e+00,2.6040e+01,-2.2794e+03
-1.2163e-01,-6.0074e-01,1.9779e+00,2.0516e+00,2.5950e+01,-2.7936e+03
-4.4923e-01,-4.5489e-01,2.1116e+00,2.6406e+00,2.6260e+01,-1.1470e+03
-3.2380e-01,-4.6105e-01,2.2137e+00,3.2294e+00,2.6579e+01,-2.1094e+03
1.5729e-01,-5.5530e-01,1.7620e+00,3.6364e+00,2.5172e+01,-2.6004e+03
8.6835e-02,-6.5508e-01,2.0270e+00,1.7346e+00,2.5892e+01,-1.6867e+03
1.3523e-01,-7.0477e-01,1.9227e+00,6.0523e-01,2.5686e+01,-1.9192e+03
-2.3517e-01,-4.8787e-01,1.8764e+00,3.4988e+00,2.5645e+01,-2.6396e+03
-4.7351e-01,-4.8420e-01,2.1180e+00,1.1462e+00,2.6239e+01,-2.1561e+03
-3.6808e-01,-4.8009e-01,2.0075e+00,2.7789e+00,2.6001e+01,-1.0602e+03
-1.0660e-01,-5.3673e-01,1.7996e+00,2.3064e+00,2.5367e+01,-2.7014e+03
1.9862e-01,-6.9331e-01,1.8520e+00,5.5985e-01,2.5331e+01,-2.5086e+03
-1.6945e-01,-4.7329e-01,1.8500e+00,3.0688e+00,2.5480e+01,-2.6060e+03
-1.6346e-01,-4.6355e-01,2.0613e+00,4.0574e+00,2.6162e+01,-1.5439e+03
-4.2903e-01,-4.7068e-01,2.3161e+00,3.0672e+00,2.6957e+01,-2.7882e+03
-1.9614e-01,-5.3913e-01,2.1267e+00,3.0620e+00,2.6331e+01,-2.4129e+03
-8.6404e-02,-5.9098e-01,2.2117e+00,1.7204e+00,2.6514e+01,-2.5583e+03
-2.2196e-01,-5.7759e-01,2.2504e+00,7.9359e-01,2.6658e+01,-1.9458e+03
8.2617e-02,-5.8204e-01,2.0386e+00,3.3208e+00,2.6043e+01,-1.3536e+03
-4.4093e-01,-5.0715e-01,2.1914e+00,2.4396e+00,2.6606e+01,-2.6406e+03
5.0080e-02,-6.1027e-01,2.0430e+00,2.7753e+00,2.6046e+01,-8.9802e+02
-2.6568e-01,-4.5711e-01,2.0160e+00,3.3956e+00,2.6005e+01,-1.1156e+03
-1.2362e-01,-5.4839e-01,2.0334e+00,1.0811e+00,2.5925e+01,-2.6587e+03
2.1882e-01,-7.4619e-01,2.0080e+00,2.2127e+00,2.5964e+01,-2.3178e+03
-3.1587e-01,-5.5090e-01,2.1015e+00,6.2097e-01,2.6303e+01,-2.0113e+03
-1.9316e-01,-5.5019e-01,2.0091e+00,5.9995e-01,2.5946e+01,-1.1327e+03
9.6841e-02,-6.4458e-01,1.7885e+00,1.3408e+00,2.5220e+01,-2.4620e+03
-4.4211e-01,-4.5978e-01,2.1214e+00,3.0687e+00,2.6297e+01,-2.6962e+03
-3.4309e-01,-4.7202e-01,1.8956e+00,2.4491e+00,2.5668e+01,-1.8317e+03
-1.1131e-01,-5.5998e-01,2.0183e+00,2.8654e+00,2.6022e+01,-1.1945e+03
-6.1309e-02,-5.9985e-01,2.2240e+00,1.7871e+00,2.6537e+01,-2.7693e+03
2.0975e-01,-7.0727e-01,1.8479e+00,9.2326e-01,2.5432e+01,-2.5292e+03
-3.0665e-01,-4.8531e-01,1.9022e+00,1.7328e+00,2.5612e+01,-2.3587e+03
-1.5946e-01,-6.1435e-01,2.2107e+00,1.9144e-01,2.6564e+01,-1.9869e+03
-3.9688e-02,-5.1729e-01,1.7981e+00,3.2110e+00,2.5335e+01,-2.0174e+03
-1.0646e-01,-4.8331e-01,2.0493e+00,3.5625e+00,2.6050e+01,-2.2237e+03
-2.8072e-01,-5.1909e-01,1.9774e+00,8.1105e-01,2.5805e+01,-2.1385e+03
1.4200e-01,-6.9224e-01,1.9640e+00,7.0503e-01,2.5674e+01,-2.5960e+03
-1.2428e-01,-6.0510e-01,2.2810e+00,2.6208e-01,2.6689e+01,-2.7054e+03
8.4493e-02,-6.6585e-01,2.1742e+00,1.9625e+00,2.6362e+01,-2.2088e+03
-1.1332e-01,-5.8951e-01,2.2278e+00,6.9792e-01,2.6540e+01,-2.6240e+03
2.3803e-01,-7.1618e-01,2.0300e+00,7.7393e-01,2.5899e+01,-2.4774e+03
-4.6629e-01,-4.4340e-01,2.2166e+00,3.1441e+00,2.6669e+01,-2.3339e+03
1.2411e-01,-6.2383e-01,1.8790e+00,2.6065e+00,2.5587e+01,-2.4468e+03
-9.4743e-02,-6.2582e-01,2.2418e+00,1.8103e+00,2.6656e+01,-2.4259e+03
-2.1153e-01,-5.3500e-01,1.9549e+00,2.2968e+00,2.5888e+01,-2.5420e+03
-3.4567e-01,-5.5351e-01,2.1976e+00,9.8883e-01,2.6527e+01,-2.4552e+03
-1.0104e-02,-5.7773e-01,1.8455e+00,2.5621e+00,2.5447e+01,-1.6971e+03
-1.0431e-01,-5.8559e-01,2.1533e+00,1.3866e+00,2.6289e+01,-1.8726e+03
-4.9808e-01,-4.1523e-01,1.9139e+00,2.5881e+00,2.5684e+01,-2.8146e+03
1.8746e-01,-6.8410e-01,1.9116e+00,2.3474e+00,2.5632e+01,-1.0234e+03
-4.7741e-01,-4.8423e-01,2.0353e+00,1.6210e+00,2.6046e+01,-1.9657e+03
-1.7312e-01,-4.7298e-01,2.1165e+00,4.2459e+00,2.6386e+01,-2.0783e+03
2.0990e-01,-7.3595e-01,2.0422e+00,1.1136e+00,2.6001e+01,-2.2388e+03
9.9502e-02,-6.5541e-01,1.9974e+00,1.1167e+00,2.5865e+01,-2.1919e+03
2.3560e-01,-7.3908e-01,1.9901e+00,1.3712e+00,2.5786e+01,-1.1739e+03
-5.8415e-02,-6.2347e-01,2.2115e+00,1.3715e+00,2.6464e+01,-2.3509e+03
-3.5237e-01,-4.4561e-01,2.2534e+00,4.3138e+00,2.6826e+01,-2.3265e+03
-4.9856e-01,-4.6282e-01,1.9342e+00,2.5399e+00,2.5825e+01,-2.5782e+03
8.7698e-02,-7.0164e-01,2.0436e+00,3.6482e-01,2.6051e+01,-2.0888e+03
-2.2593e-01,-5.4210e-01,1.9803e+00,2.1421e+00,2.5936e+01,-1.5657e+03
-1.1979e-01,-6.3255e-01,2.1792e+00,5.0890e-01,2.6438e+01,-2.4916e+03
-2.1605e-01,-5.1138e-01,1.9002e+00,4.1264e-01,2.5549e+01,-2.7348e+03
1.7765e-01,-6.7275e-01,2.0013e+00,1.2302e+00,2.5825e+01,-2.6509e+03
-4.1674e-01,-4.3025e-01,2.0557e+00,3.0966e+00,2.6143e+01,-2.1418e+03
4.9536e-02,-6.4598e-01,2.1432e+00,1.9176e+00,2.6321e+01,-2.4154e+03
2.9074e-04,-6.4540e-01,1.9132e+00,1.6468e+00,2.5697e+01,-2.6536e+03
-1.5286e-01,-5.5348e-01,1.9348e+00,3.2600e-01,2.5696e+01,-1.4688e+03
