logfeh,logdust,logNpix,tau,dmod,logl
3.8773e-02,-8.5518e-01,1.8874e+00,3.7747e+00,2.5655e+01,-2.0639e+03
2.2152e-02,-6.3740e-01,2.0207e+00,3.9915e+00,2.6015e+01,-1.6741e+03
-2.7268e-01,-7.1808e-01,1.9959e+00,4.8284e-01,2.5975e+01,-1.5246e+03
-2.9113e-01,-5.4534e-01,2.1201e+00,2.7844e+00,2.6338e+01,-1.3139e+03
-2.5522e-01,-3.1586e-01,2.1736e+00,4.2991e+00,2.6540e+01,-1.9949e+03
-1.5789e-01,-7.5254e-01,1.9445e+00,2.4623e+00,2.5832e+01,-1.3388e+03
-3.7098e-01,-5.9605e-01,2.1740e+00,1.3643e+00,2.6461e+01,-1.8015e+03
-3.1405e-01,-7.3038e-01,2.0990e+00,1.5768e+00,2.6277e+01,-2.1616e+03
-1.6926e-02,-7.9482e-01,1.9279e+00,3.3220e+00,2.5800e+01,-1.3975e+03
-2.7109e-01,-5.3526e-01,2.1511e+00,2.1252e+00,2.6362e+01,-2.0062e+03
-1.7430e-01,-8.6788e-01,2.0279e+00,1.2707e+00,2.6073e+01,-1.7962e+03
-3.6163e-01,-5.6774e-01,2.0152e+00,8.9396e-01,2.5993e+01,-1.4331e+03
-1.4324e-01,-6.4124e-01,1.9975e+00,2.9533e+00,2.5999e+01,-1.2079e+03
-2.6105e-01,-6.4723e-01,1.9902e+00,1.3169e+00,2.5904e+01,-1.7418e+03
-3.8793e-01,-2.0172e-01,2.0321e+00,3.0703e+00,2.5973e+01,-1.9899e+03
-4.9121e-01,-4.6794e-01,1.9391e+00,1.2822e+00,2.5766e+01,-2.1216e+03
-3.8723e-01,-6.1920e-01,2.0276e+00,4.3886e-01,2.6124e+01,-2.0398e+03
-2.0758e-01,-8.0782e-01,1.9271e+00,5.5331e-01,2.5814e+01,-1.9840e+03
-4.0350e-01,-5.9692e-01,2.0858e+00,3.9236e-01,2.6245e+01,-1.5442e+03
-6.7991e-02,-7.0700e-01,2.1982e+00,3.6860e+00,2.6602e+01,-1.9392e+03
-3.7001e-01,-4.2815e-01,2.1941e+00,2.6807e+00,2.6536e+01,-1.3294e+03
-1.9578e-01,-4.3666e-01,2.0996e+00,3.5922e+00,2.6216e+01,-1.7945e+03
-1.4738e-01,-5.5241e-01,1.8589e+00,2.9974e+00,2.5513e+01,-1.5306e+03
-1.9991e-01,-2.8908e-01,1.9060e+00,4.0127e+00,2.5646e+01,-2.1530e+03
-1.6989e-01,-7.2763e-01,2.0512e+00,1.4291e+00,2.6069e+01,-2.1424e+03
-2.3266e-01,-6.2080e-01,1.9548e+00,1.4670e+00,2.5841e+01,-1.9925e+03
-3.1475e-01,-4.6959e-01,2.0494e+00,2.7165e+00,2.6175e+01,-1.7201e+03
-3.5901e-01,-2.4483e-01,1.9433e+00,3.0902e+00,2.5726e+01,-2.0666e+03
6.3275e-03,-8.2750e-01,2.0694e+00,3.0788e+00,2.6197e+01,-1.9417e+03
-1.8632e-01,-8.1316e-01,1.8668e+00,4.9440e-01,2.5589e+01,-1.8602e+03
-2.4497e-01,-5.6690e-01,1.7569e+00,2.4862e+00,2.5308e+01,-2.1023e+03
-3.3288e-01,-2.0841e-01,2.2555e+00,3.6400e+00,2.6635e+01,-1.7593e+03
-4.8264e-01,-4.0307e-01,2.0415e+00,6.7859e-01,2.5994e+01,-1.8288e+03
-1.2392e-01,-4.5764e-01,2.0356e+00,4.0921e+00,2.6048e+01,-1.9182e+03
-2.2682e-01,-3.4465e-01,2.1122e+00,4.1404e+00,2.6337e+01,-1.6947e+03
-4.8340e-01,-4.5201e-01,2.2724e+00,2.3356e+00,2.6750e+01,-1.8539e+03
-4.9530e-01,-5.4933e-01,2.1515e+00,7.7189e-01,2.6475e+01,-2.1111e+03
-4.9019e-01,-4.1886e-01,2.1155e+00,2.5258e+00,2.6307e+01,-1.6803e+03
-4.3790e-01,-1.7995e-01,2.2823e+00,2.8957e+00,2.6624e+01,-1.9131e+03
-2.8119e-01,-1.5600e-01,2.1435e+00,3.9635e+00,2.6278e+01,-2.0449e+03
-4.1033e-01,-5.4735e-01,2.1666e+00,1.4814e+00,2.6510e+01,-2.1711e+03
-3.5553e-02,-8.0107e-01,1.8611e+00,2.8841e+00,2.5535e+01,-1.6005e+03
-4.9952e-01,-3.7151e-01,2.3084e+00,1.8504e+00,2.6817e+01,-1.7796e+03
-2.7466e-01,-5.1187e-01,2.0101e+00,2.8157e+00,2.6079e+01,-1.8885e+03
-1.2178e-01,-4.7420e-01,1.8679e+00,3.2207e+00,2.5484e+01,-2.0683e+03
-4.4958e-01,-3.9716e-01,2.0315e+00,2.4467e+00,2.6070e+01,-1.3807e+03
-3.4370e-01,-6.0771e-01,1.9511e+00,9.4791e-01,2.5830e+01,-1.4933e+03
-2.4365e-01,-5.9759e-01,1.9482e+00,1.4450e+00,2.5757e+01,-1.7653e+03
-1.4163e-01,-7.5416e-01,2.0682e+00,2.9372e+00,2.6201e+01,-1.5187e+03
1.0837e-01,-7.8629e-01,1.9769e+00,4.0592e+00,2.5959e+01,-2.1480e+03
-2.3105e-01,-6.2255e-01,1.8784e+00,8.0762e-01,2.5592e+01,-1.8890e+03
-2.2787e-01,-5.1886e-01,1.8566e+00,2.5740e+00,2.5503e+01,-1.6332e+03
-2.5203e-01,-3.7493e-01,2.0501e+00,2.8379e+00,2.6048e+01,-1.6561e+03
-2.4927e-01,-4.0814e-01,1.9675e+00,3.3422e+00,2.5843e+01,-1.4032e+03
-1.0415e-01,-6.7264e-01,1.8134e+00,2.6440e+00,2.5376e+01,-1.8459e+03
-3.4415e-01,-6.4788e-01,2.0069e+00,2.2013e+00,2.6044e+01,-1.9603e+03
-3.9681e-01,-5.1472e-01,2.0033e+00,8.8551e-01,2.5925e+01,-1.5879e+03
-1.2825e-01,-6.6180e-01,2.0347e+00,2.9423e+00,2.6072e+01,-1.4554e+03
-6.1461e-02,-5.3118e-01,2.0277e+00,4.2104e+00,2.6066e+01,-1.7740e+03
-1.5677e-01,-4.3966e-01,1.7945e+00,3.6926e+00,2.5363e+01,-1.9952e+03
-3.6342e-01,-6.1610e-01,1.8927e+00,1.4350e+00,2.5682e+01,-2.0911e+03
-4.7304e-01,-3.2594e-01,2.1607e+00,1.1199e+00,2.6346e+01,-2.0161e+03
-1.3248e-01,-4.5393e-01,1.9875e+00,4.3480e+00,2.6002e+01,-1.7856e+03
-6.5722e-02,-7.3699e-01,1.9717e+00,3.4756e+00,2.5898e+01,-1.8892e+03
-3.6220e-01,-2.8217e-01,2.1371e+00,3.8905e+00,2.6429e+01,-2.0083e+03
-4.0503e-01,-4.6172e-01,1.9959e+00,1.6055e+00,2.5948e+01,-1.4905e+03
-3.7615e-01,-3.2149e-01,2.2932e+00,3.7216e+00,2.6881e+01,-1.8234e+03
-2.5000e-01,-7.0282e-01,1.9876e+00,1.8308e+00,2.5934e+01,-1.7732e+03
