niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust_med,logNpix,tau,dmod
1.0000e+00,1.0000e+00,1.9960e-01,-1.8223e+05,-1.8224e+05,-1.9980e-03,-1.8224e+05,1.1750e-01,6.9098e+00,inf,5.9553e+02,-1.9280e-01,-9.9428e-01,4.8161e+00,4.8815e+00,2.2039e+01
2.0000e+00,1.0000e+00,3.9841e-01,-1.8125e+05,-1.8126e+05,-3.9960e-03,-1.8126e+05,1.1751e-01,6.9118e+00,1.6959e+05,5.9673e+02,-4.5959e-01,-5.4835e-01,4.9280e+00,1.0791e+00,2.2716e+01
3.0000e+00,1.0000e+00,5.9642e-01,-1.8065e+05,-1.8066e+05,-5.9940e-03,-1.8066e+05,1.1753e-01,6.9138e+00,1.6861e+05,5.9793e+02,1.9374e-01,-4.7087e-01,4.8847e+00,4.4233e+00,2.2039e+01
4.0000e+00,1.0000e+00,7.9365e-01,-1.7992e+05,-1.7993e+05,-7.9920e-03,-1.7993e+05,1.1755e-01,6.9157e+00,1.6801e+05,5.9910e+02,-4.9429e-01,-1.0366e-01,4.9902e+00,6.4674e+00,2.2181e+01
5.0000e+00,1.0000e+00,9.9010e-01,-1.7927e+05,-1.7928e+05,-9.9900e-03,-1.7928e+05,1.1757e-01,6.9177e+00,1.6728e+05,6.0031e+02,1.8669e-01,-8.2228e-01,4.9284e+00,5.2696e+00,2.2852e+01
6.0000e+00,1.0000e+00,1.1858e+00,-1.7839e+05,-1.7840e+05,-1.1988e-02,-1.7840e+05,1.1758e-01,6.9197e+00,1.6663e+05,6.0151e+02,-3.5092e-01,-5.5605e-01,4.6991e+00,5.4043e+00,2.2489e+01
7.0000e+00,1.0000e+00,1.3807e+00,-1.7825e+05,-1.7826e+05,-1.3986e-02,-1.7826e+05,1.1760e-01,6.9217e+00,1.6575e+05,6.0271e+02,1.3455e-01,-8.1674e-01,4.6519e+00,9.1885e-01,2.2761e+01
8.0000e+00,1.0000e+00,1.5748e+00,-1.7800e+05,-1.7800e+05,-1.5984e-02,-1.7800e+05,1.1762e-01,6.9237e+00,1.6561e+05,6.0390e+02,-4.9299e-01,-9.9351e-02,4.9090e+00,4.4995e+00,2.2509e+01
9.0000e+00,1.0000e+00,1.7682e+00,-1.7741e+05,-1.7741e+05,-1.7982e-02,-1.7741e+05,1.1763e-01,6.9257e+00,1.6535e+05,6.0509e+02,-3.8355e-01,-6.3901e-01,4.8203e+00,1.1283e+00,2.3637e+01
1.0000e+01,1.0000e+00,1.9608e+00,-1.7724e+05,-1.7725e+05,-1.9980e-02,-1.7725e+05,1.1765e-01,6.9277e+00,1.6476e+05,6.0640e+02,-3.5362e-01,-9.4261e-01,4.6590e+00,6.6623e+00,2.2954e+01
1.1000e+01,1.0000e+00,2.1526e+00,-1.7707e+05,-1.7708e+05,-2.1978e-02,-1.7708e+05,1.1767e-01,6.9297e+00,1.6460e+05,6.0759e+02,-1.1027e-01,-7.9221e-01,4.5004e+00,1.8708e+00,2.2832e+01
1.2000e+01,1.0000e+00,2.3438e+00,-1.7654e+05,-1.7654e+05,-2.3976e-02,-1.7654e+05,1.1768e-01,6.9317e+00,1.6443e+05,6.0879e+02,-1.0495e-01,-3.7027e-01,4.5261e+00,5.1650e+00,2.2136e+01
1.3000e+01,1.0000e+00,2.5341e+00,-1.7639e+05,-1.7640e+05,-2.5974e-02,-1.7640e+05,1.1770e-01,6.9337e+00,1.6389e+05,6.0999e+02,-4.7052e-01,-5.6822e-01,4.4171e+00,3.4364e+00,2.2531e+01
