logfeh_mean,logdust_med,logNpix,tau,dmod,logl
-1.8640e-01,-9.8473e-01,1.9817e+00,3.3747e+00,2.6035e+01,-1.4114e+03
-1.8350e-01,-9.9235e-01,1.9762e+00,3.3312e+00,2.6016e+01,-1.4198e+03
-2.6903e-01,-9.5079e-01,1.9639e+00,3.1360e+00,2.5988e+01,-1.4188e+03
-1.8685e-01,-9.9477e-01,1.9801e+00,3.2897e+00,2.6033e+01,-1.3969e+03
-1.8984e-01,-9.8820e-01,1.9724e+00,3.2776e+00,2.6003e+01,-1.4193e+03
-2.0519e-01,-9.6852e-01,1.9476e+00,3.2782e+00,2.5929e+01,-1.4120e+03
-1.8559e-01,-9.8696e-01,1.9791e+00,3.2471e+00,2.6016e+01,-1.4178e+03
-1.8746e-01,-9.8307e-01,1.9719e+00,3.3306e+00,2.6004e+01,-1.4150e+03
-1.8547e-01,-9.9379e-01,1.9791e+00,3.2790e+00,2.6020e+01,-1.4168e+03
-1.9815e-01,-9.6716e-01,1.9522e+00,3.2372e+00,2.5934e+01,-1.4145e+03
-1.8505e-01,-9.9275e-01,1.9779e+00,3.2809e+00,2.6022e+01,-1.3715e+03
-1.7130e-01,-9.9394e-01,1.9362e+00,3.2438e+00,2.5884e+01,-1.4154e+03
-1.8427e-01,-9.9841e-01,1.9789e+00,3.2859e+00,2.6029e+01,-1.4066e+03
-1.8897e-01,-9.9755e-01,1.9742e+00,3.2202e+00,2.6012e+01,-1.4141e+03
-2.8374e-01,-9.4160e-01,1.9728e+00,3.0817e+00,2.6016e+01,-1.4029e+03
-2.2258e-01,-9.7087e-01,1.9923e+00,3.2751e+00,2.6076e+01,-1.4073e+03
-1.8510e-01,-9.8941e-01,1.9838e+00,3.3715e+00,2.6042e+01,-1.4131e+03
-1.8962e-01,-9.9887e-01,1.9769e+00,3.2837e+00,2.6023e+01,-1.4105e+03
-2.0012e-01,-9.7029e-01,1.9570e+00,3.2479e+00,2.5943e+01,-1.4134e+03
