niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logNpix,tau
1.0000e+00,1.0000e+00,1.9960e-01,-1.6820e+05,-1.6821e+05,-1.9980e-03,-1.6821e+05,1.1750e-01,6.9098e+00,inf,5.9682e+02,-5.9021e-02,-9.7485e-01,4.9564e+00,6.5912e-01
2.0000e+00,1.0000e+00,3.9841e-01,-1.6794e+05,-1.6794e+05,-3.9960e-03,-1.6794e+05,1.1751e-01,6.9118e+00,1.4778e+05,5.9801e+02,-8.5755e-02,-8.1427e-01,4.9239e+00,8.5790e-01
3.0000e+00,1.0000e+00,5.9642e-01,-1.6733e+05,-1.6733e+05,-5.9940e-03,-1.6733e+05,1.1753e-01,6.9138e+00,1.4751e+05,5.9919e+02,1.6303e-01,-4.3295e-01,4.9779e+00,1.5120e+00
4.0000e+00,1.0000e+00,7.9365e-01,-1.6658e+05,-1.6658e+05,-7.9920e-03,-1.6658e+05,1.1755e-01,6.9157e+00,1.4690e+05,6.0039e+02,-4.6090e-01,-9.0727e-01,4.5480e+00,1.4284e+00
5.0000e+00,1.0000e+00,9.9010e-01,-1.6657e+05,-1.6658e+05,-9.9900e-03,-1.6658e+05,1.1080e-01,6.1446e+00,1.4615e+05,6.0159e+02,-5.6626e-02,-6.8850e-01,4.6737e+00,5.0014e-01
6.0000e+00,1.0000e+00,1.1858e+00,-1.6656e+05,-1.6656e+05,-1.1988e-02,-1.6656e+05,1.1758e-01,6.9197e+00,1.4615e+05,6.0279e+02,-2.9304e-01,-4.1694e-01,4.7198e+00,5.5263e-01
7.0000e+00,1.0000e+00,1.3807e+00,-1.6638e+05,-1.6638e+05,-1.3986e-02,-1.6638e+05,1.1760e-01,6.9217e+00,1.4613e+05,6.0397e+02,1.2576e-01,-2.6862e-01,4.8458e+00,1.0059e+00
8.0000e+00,2.0000e+00,1.5717e+00,-1.6623e+05,-1.6623e+05,-1.5984e-02,-1.6623e+05,1.1762e-01,6.9237e+00,1.4595e+05,6.0635e+02,-7.0506e-02,-8.7934e-01,4.9999e+00,7.9793e+00
9.0000e+00,1.0000e+00,1.7647e+00,-1.6609e+05,-1.6610e+05,-1.7982e-02,-1.6610e+05,1.1763e-01,6.9257e+00,1.4580e+05,6.0755e+02,1.1177e-01,-9.0796e-01,4.5512e+00,2.2987e-01
1.0000e+01,1.0000e+00,1.9569e+00,-1.6608e+05,-1.6609e+05,-1.9980e-02,-1.6609e+05,1.1765e-01,6.9276e+00,1.4567e+05,6.0887e+02,-2.7714e-01,-2.8201e-01,4.9912e+00,4.4600e+00
1.1000e+01,1.0000e+00,2.1484e+00,-1.6607e+05,-1.6608e+05,-2.1978e-02,-1.6608e+05,1.1767e-01,6.9296e+00,1.4565e+05,6.1008e+02,1.8245e-01,-8.7670e-01,4.5791e+00,1.7200e+00
1.2000e+01,1.0000e+00,2.3392e+00,-1.6592e+05,-1.6592e+05,-2.3976e-02,-1.6592e+05,1.1768e-01,6.9317e+00,1.4564e+05,6.1128e+02,-2.2098e-02,-8.3405e-01,4.4965e+00,8.5498e-01
1.3000e+01,1.0000e+00,2.5292e+00,-1.6584e+05,-1.6584e+05,-2.5974e-02,-1.6584e+05,1.1770e-01,6.9337e+00,1.4549e+05,6.1248e+02,-3.4974e-01,-3.4292e-01,4.7728e+00,2.9185e+00
