logfeh_mean,logdust_med,logNpix,tau,logl
-4.9250e-01,-1.1890e-01,2.7130e+00,3.6073e+00,-3.5277e+03
-4.8847e-01,-1.4234e-01,2.7093e+00,3.5771e+00,-3.4946e+03
-4.8694e-01,-1.4687e-01,2.7048e+00,3.6576e+00,-3.5263e+03
-4.9918e-01,-5.3617e-02,2.7413e+00,3.2773e+00,-3.4891e+03
-4.9198e-01,-1.1974e-01,2.7125e+00,3.6456e+00,-3.5300e+03
-4.8684e-01,-1.3389e-01,2.7124e+00,3.5431e+00,-3.5036e+03
-4.6615e-01,-2.7413e-02,2.7531e+00,3.3360e+00,-3.5298e+03
-4.8473e-01,-1.3327e-01,2.7127e+00,3.5908e+00,-3.5309e+03
-4.9244e-01,-1.2022e-01,2.7147e+00,3.6445e+00,-3.4861e+03
-4.9306e-01,-1.1911e-01,2.7133e+00,3.6516e+00,-3.4907e+03
-4.9062e-01,-1.3169e-01,2.7124e+00,3.6250e+00,-3.5280e+03
-4.9207e-01,-1.2098e-01,2.7154e+00,3.6307e+00,-3.5136e+03
-4.8650e-01,-1.6963e-01,2.7035e+00,3.5853e+00,-3.5235e+03
-4.9209e-01,-1.1551e-01,2.7157e+00,3.6438e+00,-3.5184e+03
-4.8810e-01,-1.5068e-01,2.7066e+00,3.6306e+00,-3.5278e+03
-4.8410e-01,-1.4594e-01,2.7087e+00,3.5983e+00,-3.5316e+03
-4.9028e-01,-1.0932e-01,2.7127e+00,3.6381e+00,-3.5213e+03
-4.9276e-01,-1.1438e-01,2.7140e+00,3.6461e+00,-3.5240e+03
-4.8611e-01,-1.3344e-01,2.7123e+00,3.5858e+00,-3.5100e+03
-4.8329e-01,-1.2699e-01,2.7131e+00,3.6031e+00,-3.5246e+03
-4.9161e-01,-1.1949e-01,2.7147e+00,3.6498e+00,-3.5230e+03
-4.8713e-01,-1.6764e-01,2.7031e+00,3.5743e+00,-3.5315e+03
-4.8693e-01,-1.5426e-01,2.7053e+00,3.6545e+00,-3.5311e+03
-4.9119e-01,-1.2088e-01,2.7118e+00,3.6374e+00,-3.5185e+03
-4.9147e-01,-1.1276e-01,2.7150e+00,3.6202e+00,-3.5229e+03
-4.8423e-01,-1.3733e-01,2.7157e+00,3.5294e+00,-3.5324e+03
-4.9276e-01,-1.2791e-01,2.7130e+00,3.6342e+00,-3.5292e+03
-4.8422e-01,-1.1155e-01,2.7130e+00,3.6992e+00,-3.5314e+03
-4.9226e-01,-1.2014e-01,2.7149e+00,3.6443e+00,-3.5040e+03
-4.8625e-01,-1.2393e-01,2.7129e+00,3.5758e+00,-3.5254e+03
-4.9060e-01,-1.3750e-01,2.7116e+00,3.6209e+00,-3.5244e+03
-4.8715e-01,-1.4588e-01,2.7062e+00,3.6456e+00,-3.5320e+03
-4.9225e-01,-1.1944e-01,2.7143e+00,3.6376e+00,-3.5303e+03
-4.8678e-01,-1.7017e-01,2.7036e+00,3.5888e+00,-3.5174e+03
-4.9190e-01,-1.3732e-01,2.7111e+00,3.6255e+00,-3.5318e+03
-4.8809e-01,-1.4097e-01,2.7093e+00,3.6504e+00,-3.5196e+03
-4.9972e-01,-6.0273e-02,2.7367e+00,3.3576e+00,-3.5311e+03
-4.9017e-01,-1.3160e-01,2.7115e+00,3.6366e+00,-3.5268e+03
-4.8570e-01,-1.4100e-01,2.7119e+00,3.5512e+00,-3.5185e+03
-4.9934e-01,-5.2139e-02,2.7419e+00,3.2748e+00,-3.4905e+03
-4.8495e-01,-1.3516e-01,2.7113e+00,3.5735e+00,-3.5304e+03
-4.9968e-01,-5.4234e-02,2.7405e+00,3.2889e+00,-3.5241e+03
-4.8804e-01,-1.5526e-01,2.7047e+00,3.6708e+00,-3.5140e+03
-4.8412e-01,-1.4849e-01,2.7101e+00,3.5904e+00,-3.5137e+03
-4.9193e-01,-1.2253e-01,2.7154e+00,3.6328e+00,-3.5223e+03
-4.9908e-01,-6.9465e-02,2.7375e+00,3.3444e+00,-3.5160e+03
-4.8834e-01,-1.4775e-01,2.7066e+00,3.6194e+00,-3.5317e+03
-4.9043e-01,-1.1774e-01,2.7128e+00,3.6414e+00,-3.5276e+03
-4.9084e-01,-1.2892e-01,2.7113e+00,3.6285e+00,-3.5285e+03
-4.9166e-01,-1.1385e-01,2.7136e+00,3.6543e+00,-3.5268e+03
-4.8555e-01,-1.5678e-01,2.6999e+00,3.7603e+00,-3.5171e+03
-4.9997e-01,-5.6516e-02,2.7407e+00,3.2264e+00,-3.5194e+03
-4.9937e-01,-5.2093e-02,2.7411e+00,3.2877e+00,-3.5322e+03
