niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logNpix,tau,dmod
1.0000e+00,1.0000e+00,1.9960e-01,-1.7322e+05,-1.7323e+05,-1.9980e-03,-1.7323e+05,1.1750e-01,6.9098e+00,inf,6.0863e+02,-4.5959e-01,-5.4835e-01,4.9280e+00,1.0791e+00,2.5597e+01
2.0000e+00,1.0000e+00,3.9841e-01,-1.7300e+05,-1.7301e+05,-3.9960e-03,-1.7301e+05,1.1751e-01,6.9118e+00,1.5563e+05,6.0987e+02,-1.9280e-01,-9.9428e-01,4.8161e+00,4.8815e+00,2.5033e+01
3.0000e+00,1.0000e+00,5.9642e-01,-1.7205e+05,-1.7206e+05,-5.9940e-03,-1.7206e+05,1.1753e-01,6.9138e+00,1.5541e+05,6.1112e+02,1.9374e-01,-4.7087e-01,4.8847e+00,4.4233e+00,2.5032e+01
4.0000e+00,1.0000e+00,7.9365e-01,-1.7162e+05,-1.7163e+05,-7.9920e-03,-1.7163e+05,1.1755e-01,6.9157e+00,1.5446e+05,6.1237e+02,-4.9429e-01,-1.0366e-01,4.9902e+00,6.4674e+00,2.5151e+01
5.0000e+00,1.0000e+00,9.9010e-01,-1.7133e+05,-1.7133e+05,-9.9900e-03,-1.7133e+05,1.1757e-01,6.9177e+00,1.5403e+05,6.1363e+02,1.8669e-01,-8.2228e-01,4.9284e+00,5.2696e+00,2.5710e+01
6.0000e+00,1.0000e+00,1.1858e+00,-1.7095e+05,-1.7096e+05,-1.1988e-02,-1.7096e+05,1.1758e-01,6.9197e+00,1.5373e+05,6.1498e+02,1.3455e-01,-8.1674e-01,4.6519e+00,9.1885e-01,2.5634e+01
7.0000e+00,1.0000e+00,1.3807e+00,-1.7073e+05,-1.7074e+05,-1.3986e-02,-1.7074e+05,1.1760e-01,6.9217e+00,1.5336e+05,6.1618e+02,-3.8355e-01,-6.3901e-01,4.8203e+00,1.1283e+00,2.6364e+01
8.0000e+00,1.0000e+00,1.5748e+00,-1.7048e+05,-1.7049e+05,-1.5984e-02,-1.7049e+05,1.1762e-01,6.9237e+00,1.5314e+05,6.1741e+02,-4.9299e-01,-9.9351e-02,4.9090e+00,4.4995e+00,2.5424e+01
9.0000e+00,1.0000e+00,1.7682e+00,-1.7020e+05,-1.7021e+05,-1.7982e-02,-1.7021e+05,1.1763e-01,6.9257e+00,1.5289e+05,6.1863e+02,-3.5092e-01,-5.5605e-01,4.6991e+00,5.4043e+00,2.5408e+01
1.0000e+01,1.0000e+00,1.9608e+00,-1.7010e+05,-1.7010e+05,-1.9980e-02,-1.7010e+05,1.1765e-01,6.9277e+00,1.5261e+05,6.1991e+02,-1.1027e-01,-7.9221e-01,4.5004e+00,1.8708e+00,2.5693e+01
1.1000e+01,1.0000e+00,2.1526e+00,-1.7003e+05,-1.7004e+05,-2.1978e-02,-1.7004e+05,1.1767e-01,6.9297e+00,1.5250e+05,6.2109e+02,-4.2640e-01,-5.6177e-01,4.7899e+00,4.2860e-01,2.6554e+01
1.2000e+01,1.0000e+00,2.3438e+00,-1.6946e+05,-1.6947e+05,-2.3976e-02,-1.6947e+05,1.1768e-01,6.9317e+00,1.5244e+05,6.2232e+02,-3.5362e-01,-9.4261e-01,4.6590e+00,6.6623e+00,2.5795e+01
1.3000e+01,1.0000e+00,2.5341e+00,-1.6943e+05,-1.6944e+05,-2.5974e-02,-1.6944e+05,1.1770e-01,6.9337e+00,1.5187e+05,6.2353e+02,-7.2719e-02,-1.1066e-01,4.6726e+00,1.3038e+00,2.5595e+01
1.4000e+01,1.0000e+00,2.7237e+00,-1.6913e+05,-1.6914e+05,-2.7972e-02,-1.6914e+05,1.1772e-01,6.9357e+00,1.5184e+05,6.2473e+02,-3.3858e-01,-9.8160e-01,4.4519e+00,9.7852e-01,2.6260e+01
1.5000e+01,1.0000e+00,2.9126e+00,-1.6903e+05,-1.6903e+05,-2.9970e-02,-1.6903e+05,1.1774e-01,6.9377e+00,1.5154e+05,6.2592e+02,-4.7052e-01,-5.6822e-01,4.4171e+00,3.4364e+00,2.5442e+01
1.6000e+01,1.0000e+00,3.1008e+00,-1.6886e+05,-1.6887e+05,-3.1968e-02,-1.6887e+05,1.1775e-01,6.9397e+00,1.5143e+05,6.2715e+02,1.1176e-01,-2.6356e-02,4.6825e+00,8.8194e-01,2.5592e+01
1.7000e+01,1.0000e+00,3.2882e+00,-1.6872e+05,-1.6873e+05,-3.3966e-02,-1.6873e+05,1.1777e-01,6.9417e+00,1.5127e+05,6.2839e+02,-1.0495e-01,-3.7027e-01,4.5261e+00,5.1650e+00,2.5113e+01
1.8000e+01,1.0000e+00,3.4749e+00,-1.6863e+05,-1.6863e+05,-3.5964e-02,-1.6863e+05,1.1779e-01,6.9437e+00,1.5113e+05,6.2959e+02,-4.6090e-01,-9.0727e-01,4.5480e+00,1.4284e+00,2.6814e+01
1.9000e+01,1.0000e+00,3.6609e+00,-1.6860e+05,-1.6860e+05,-3.7962e-02,-1.6860e+05,1.1780e-01,6.9457e+00,1.5103e+05,6.3080e+02,1.0429e-01,-5.1573e-01,4.5067e+00,1.3026e+00,2.6099e+01
2.0000e+01,1.0000e+00,3.8462e+00,-1.6857e+05,-1.6858e+05,-3.9960e-02,-1.6858e+05,1.1782e-01,6.9477e+00,1.5100e+05,6.3207e+02,-4.9339e-01,-3.8030e-01,4.6495e+00,1.7795e+00,2.6611e+01
2.1000e+01,1.0000e+00,4.0307e+00,-1.6840e+05,-1.6841e+05,-4.1958e-02,-1.6841e+05,1.1784e-01,6.9497e+00,1.5098e+05,6.3325e+02,-2.5760e-01,-4.0952e-01,4.4156e+00,2.3678e+00,2.5865e+01
2.2000e+01,1.0000e+00,4.2146e+00,-1.6817e+05,-1.6818e+05,-4.3956e-02,-1.6818e+05,1.1785e-01,6.9517e+00,1.5081e+05,6.3447e+02,1.3452e-01,-5.2667e-01,4.6102e+00,1.8854e+00,2.6521e+01
2.3000e+01,1.0000e+00,4.3977e+00,-1.6810e+05,-1.6811e+05,-4.5954e-02,-1.6811e+05,1.1787e-01,6.9537e+00,1.5057e+05,6.3569e+02,-2.7994e-01,-9.4364e-01,4.7382e+00,5.2254e+00,2.6728e+01
2.4000e+01,1.0000e+00,4.5802e+00,-1.6793e+05,-1.6794e+05,-4.7952e-02,-1.6794e+05,1.1789e-01,6.9557e+00,1.5051e+05,6.3689e+02,2.3054e-01,-2.4578e-01,4.6667e+00,3.9785e-01,2.6429e+01
2.5000e+01,1.0000e+00,4.7619e+00,-1.6783e+05,-1.6784e+05,-4.9950e-02,-1.6784e+05,1.1790e-01,6.9577e+00,1.5034e+05,6.3811e+02,-1.1621e-01,-1.5638e-01,4.9742e+00,5.0830e+00,2.6427e+01
2.6000e+01,1.0000e+00,4.9430e+00,-1.6781e+05,-1.6782e+05,-5.1948e-02,-1.6782e+05,1.1792e-01,6.9597e+00,1.5023e+05,6.3932e+02,-1.8379e-01,-6.7835e-02,4.4705e+00,3.6169e+00,2.5146e+01
2.7000e+01,1.0000e+00,5.1233e+00,-1.6781e+05,-1.6781e+05,-5.3946e-02,-1.6781e+05,1.1760e-01,6.9216e+00,1.5022e+05,6.4052e+02,-2.8443e-01,-1.9472e-01,1.2248e+00,2.2977e+00,2.9684e+01
2.8000e+01,1.0000e+00,5.3030e+00,-1.6771e+05,-1.6772e+05,-5.5944e-02,-1.6772e+05,1.1796e-01,6.9637e+00,1.5021e+05,6.4179e+02,-4.8951e-01,-3.9102e-01,4.9543e+00,1.8704e+00,2.7936e+01
2.9000e+01,1.0000e+00,5.4820e+00,-1.6765e+05,-1.6766e+05,-5.7942e-02,-1.6766e+05,1.1797e-01,6.9657e+00,1.5012e+05,6.4299e+02,-9.2907e-02,-5.0507e-01,4.2051e+00,2.5329e+00,2.5570e+01
3.0000e+01,1.0000e+00,5.6604e+00,-1.6740e+05,-1.6741e+05,-5.9940e-02,-1.6741e+05,1.1799e-01,6.9677e+00,1.5005e+05,6.4423e+02,-2.6836e-01,-6.3232e-01,4.0532e+00,1.5255e+00,2.5689e+01
3.1000e+01,2.0000e+00,5.8271e+00,-1.6739e+05,-1.6739e+05,-6.1938e-02,-1.6739e+05,1.1801e-01,6.9697e+00,1.4981e+05,6.4665e+02,-4.3097e-01,-1.1221e-01,1.0658e+00,6.9250e+00,2.9494e+01
3.2000e+01,1.0000e+00,6.0038e+00,-1.6738e+05,-1.6739e+05,-6.3936e-02,-1.6739e+05,1.1740e-01,6.8986e+00,1.4979e+05,6.4786e+02,-2.1993e-01,-9.8759e-01,4.6876e+00,6.9989e+00,2.6759e+01
3.3000e+01,1.0000e+00,6.1798e+00,-1.6735e+05,-1.6735e+05,-6.5934e-02,-1.6735e+05,1.1804e-01,6.9737e+00,1.4979e+05,6.4908e+02,8.6812e-02,-6.5088e-01,3.9987e+00,5.3413e-01,2.5391e+01
3.4000e+01,1.0000e+00,6.3551e+00,-1.6732e+05,-1.6733e+05,-6.7932e-02,-1.6733e+05,1.1806e-01,6.9757e+00,1.4975e+05,6.5031e+02,-1.8034e-01,-4.7799e-01,4.7870e+00,4.1671e+00,2.6876e+01
3.5000e+01,1.0000e+00,6.5299e+00,-1.6731e+05,-1.6732e+05,-6.9930e-02,-1.6732e+05,1.1745e-01,6.9044e+00,1.4972e+05,6.5153e+02,4.9953e-02,-9.3448e-01,4.2620e+00,6.8922e+00,2.5158e+01
3.6000e+01,1.0000e+00,6.7039e+00,-1.6728e+05,-1.6728e+05,-7.1928e-02,-1.6728e+05,1.1809e-01,6.9797e+00,1.4972e+05,6.5274e+02,-4.8367e-01,-5.5166e-01,4.5725e+00,6.2295e+00,2.6246e+01
3.7000e+01,1.0000e+00,6.8773e+00,-1.6722e+05,-1.6722e+05,-7.3926e-02,-1.6722e+05,1.1811e-01,6.9817e+00,1.4968e+05,6.5394e+02,-8.0501e-02,-6.7110e-01,4.3304e+00,2.0368e+00,2.6440e+01
3.8000e+01,1.0000e+00,7.0501e+00,-1.6707e+05,-1.6708e+05,-7.5924e-02,-1.6708e+05,1.1812e-01,6.9837e+00,1.4962e+05,6.5514e+02,-4.5200e-01,-4.9410e-01,4.7337e+00,1.2768e+00,2.7847e+01
3.9000e+01,1.0000e+00,7.2222e+00,-1.6697e+05,-1.6698e+05,-7.7922e-02,-1.6698e+05,1.1814e-01,6.9857e+00,1.4948e+05,6.5635e+02,-1.3771e-01,-8.7467e-01,4.8578e+00,2.3450e-01,2.8383e+01
4.0000e+01,1.0000e+00,7.3937e+00,-1.6687e+05,-1.6688e+05,-7.9920e-02,-1.6688e+05,1.1816e-01,6.9877e+00,1.4937e+05,6.5761e+02,8.5473e-02,-1.7851e-01,4.8136e+00,4.9187e+00,2.6450e+01
