nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust_med,logNpix,tau,dmod
2.0000e+03,1.0000e+00,1.0000e+00,1.9960e-01,-2.1398e+06,-2.1398e+06,-1.9980e-03,-inf,1.1750e-01,6.9098e+00,inf,1.1133e+04,-4.5959e-01,-5.4835e-01,4.9280e+00,1.0791e+00,2.5597e+01
2.0000e+03,2.0000e+00,1.0000e+00,3.9841e-01,-2.1372e+06,-2.1372e+06,-3.9960e-03,-inf,1.1752e-01,6.9118e+00,inf,1.1157e+04,1.3455e-01,-8.1674e-01,4.6519e+00,9.1885e-01,2.5634e+01
2.0000e+03,3.0000e+00,1.0000e+00,5.9642e-01,-2.1372e+06,-2.1372e+06,-5.9940e-03,-inf,1.1745e-01,6.9043e+00,inf,1.1182e+04,-3.8355e-01,-6.3901e-01,4.8203e+00,1.1283e+00,2.6364e+01
2.0000e+03,4.0000e+00,1.0000e+00,7.9365e-01,-2.1368e+06,-2.1369e+06,-7.9920e-03,-inf,1.1755e-01,6.9159e+00,inf,1.1202e+04,-7.2719e-02,-1.1066e-01,4.6726e+00,1.3038e+00,2.5595e+01
2.0000e+03,5.0000e+00,1.0000e+00,9.9010e-01,-2.1365e+06,-2.1365e+06,-9.9900e-03,-inf,1.1757e-01,6.9180e+00,inf,1.1223e+04,-4.2640e-01,-5.6177e-01,4.7899e+00,4.2860e-01,2.6554e+01
2.0000e+03,6.0000e+00,1.0000e+00,1.1858e+00,-2.1365e+06,-2.1365e+06,-1.1988e-02,-inf,1.1758e-01,6.9200e+00,inf,1.1244e+04,1.1176e-01,-2.6356e-02,4.6825e+00,8.8194e-01,2.5592e+01
2.0000e+03,7.0000e+00,1.0000e+00,1.3807e+00,-2.1361e+06,-2.1361e+06,-1.3986e-02,-inf,1.1760e-01,6.9221e+00,inf,1.1268e+04,-1.1027e-01,-7.9221e-01,4.5004e+00,1.8708e+00,2.5693e+01
2.0000e+03,8.0000e+00,1.0000e+00,1.5748e+00,-2.1353e+06,-2.1353e+06,-1.5984e-02,-inf,1.1762e-01,6.9241e+00,inf,1.1288e+04,-3.3858e-01,-9.8160e-01,4.4519e+00,9.7852e-01,2.6260e+01
2.0000e+03,9.0000e+00,1.0000e+00,1.7682e+00,-2.1352e+06,-2.1352e+06,-1.7982e-02,-inf,1.1764e-01,6.9262e+00,inf,1.1309e+04,-4.9339e-01,-3.8030e-01,4.6495e+00,1.7795e+00,2.6611e+01
2.0000e+03,1.0000e+01,1.0000e+00,1.9608e+00,-2.1351e+06,-2.1351e+06,-1.9980e-02,-inf,1.1765e-01,6.9282e+00,inf,1.1333e+04,1.0429e-01,-5.1573e-01,4.5067e+00,1.3026e+00,2.6099e+01
2.0000e+03,1.1000e+01,1.0000e+00,2.1526e+00,-2.1350e+06,-2.1350e+06,-2.1978e-02,-inf,1.1766e-01,6.9293e+00,inf,1.1353e+04,-4.9429e-01,-1.0366e-01,4.9902e+00,6.4674e+00,2.5151e+01
2.0000e+03,1.2000e+01,1.0000e+00,2.3438e+00,-2.1349e+06,-2.1349e+06,-2.3976e-02,-inf,1.1768e-01,6.9313e+00,inf,1.1374e+04,-4.6090e-01,-9.0727e-01,4.5480e+00,1.4284e+00,2.6814e+01
2.0000e+03,1.3000e+01,1.0000e+00,2.5341e+00,-2.1348e+06,-2.1348e+06,-2.5974e-02,-inf,1.1770e-01,6.9333e+00,inf,1.1394e+04,2.3054e-01,-2.4578e-01,4.6667e+00,3.9785e-01,2.6429e+01
2.0000e+03,1.4000e+01,1.0000e+00,2.7237e+00,-2.1344e+06,-2.1345e+06,-2.7972e-02,-inf,1.1772e-01,6.9354e+00,inf,1.1418e+04,1.3452e-01,-5.2667e-01,4.6102e+00,1.8854e+00,2.6521e+01
2.0000e+03,1.5000e+01,1.0000e+00,2.9126e+00,-2.1343e+06,-2.1343e+06,-2.9970e-02,-inf,1.1773e-01,6.9374e+00,inf,1.1442e+04,-4.9299e-01,-9.9351e-02,4.9090e+00,4.4995e+00,2.5424e+01
2.0000e+03,1.6000e+01,1.0000e+00,3.1008e+00,-2.1343e+06,-2.1343e+06,-3.1968e-02,-inf,1.1775e-01,6.9391e+00,inf,1.1468e+04,-1.9280e-01,-9.9428e-01,4.8161e+00,4.8815e+00,2.5033e+01
