niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logNpix,tau
1.0000e+00,1.0000e+00,1.9608e+00,-5.5304e+05,-5.5305e+05,-1.9803e-02,-5.5305e+05,3.0263e-01,4.6250e+00,inf,7.7667e+01,-1.5664e-01,-7.9597e-02,4.5163e+00,2.0957e+00
2.0000e+00,1.0000e+00,3.8462e+00,-5.4608e+05,-5.4608e+05,-3.9605e-02,-5.4608e+05,3.0328e-01,4.6448e+00,3.4629e+05,7.9266e+01,-4.9299e-01,-9.9351e-02,4.9090e+00,4.4995e+00
3.0000e+00,1.0000e+00,5.6604e+00,-5.4542e+05,-5.4542e+05,-5.9408e-02,-5.4542e+05,3.0393e-01,4.6646e+00,3.3932e+05,8.0803e+01,-4.3642e-01,-6.6700e-01,3.9137e+00,1.2252e+00
4.0000e+00,1.0000e+00,7.4074e+00,-5.4402e+05,-5.4402e+05,-7.9211e-02,-5.4402e+05,3.0457e-01,4.6844e+00,3.3867e+05,8.2298e+01,-2.6237e-01,-4.3190e-01,4.4765e+00,3.5458e+00
5.0000e+00,1.0000e+00,9.0909e+00,-5.4175e+05,-5.4175e+05,-9.9013e-02,-5.4175e+05,3.0521e-01,4.7042e+00,3.3727e+05,8.3935e+01,-8.5648e-02,-7.2696e-01,4.8980e+00,5.3755e+00
6.0000e+00,1.0000e+00,1.0714e+01,-5.3925e+05,-5.3926e+05,-1.1882e-01,-5.3926e+05,3.0586e-01,4.7240e+00,3.3499e+05,8.5449e+01,9.2893e-02,-7.9185e-03,4.8352e+00,6.3565e+00
7.0000e+00,1.0000e+00,1.2281e+01,-5.3918e+05,-5.3918e+05,-1.3862e-01,-5.3918e+05,3.0650e-01,4.7438e+00,3.3250e+05,8.6956e+01,-1.7233e-01,-3.8785e-01,4.6728e+00,5.0433e+00
8.0000e+00,1.0000e+00,1.3793e+01,-5.3661e+05,-5.3661e+05,-1.5842e-01,-5.3661e+05,3.0714e-01,4.7636e+00,3.3242e+05,8.8541e+01,-2.3899e-01,-8.1741e-01,4.6072e+00,5.6816e+00
9.0000e+00,1.0000e+00,1.5254e+01,-5.3616e+05,-5.3617e+05,-1.7822e-01,-5.3617e+05,3.0777e-01,4.7834e+00,3.2986e+05,9.0069e+01,-3.4868e-01,-3.0170e-01,4.8088e+00,7.1307e+00
1.0000e+01,2.0000e+00,1.6393e+01,-5.3562e+05,-5.3562e+05,-1.9803e-01,-5.3562e+05,3.0841e-01,4.8032e+00,3.2941e+05,9.3166e+01,-2.1993e-01,-9.8759e-01,4.6876e+00,6.9989e+00
1.1000e+01,1.0000e+00,1.7742e+01,-5.3448e+05,-5.3448e+05,-2.1783e-01,-5.3448e+05,3.0904e-01,4.8230e+00,3.2886e+05,9.4738e+01,-1.4333e-01,-6.5558e-01,3.5635e+00,1.0970e+00
1.2000e+01,1.0000e+00,1.9048e+01,-5.3246e+05,-5.3247e+05,-2.3763e-01,-5.3247e+05,3.0968e-01,4.8428e+00,3.2773e+05,9.6495e+01,7.5337e-02,-2.9188e-01,4.1875e+00,4.5063e+00
1.3000e+01,1.0000e+00,2.0312e+01,-5.2965e+05,-5.2965e+05,-2.5743e-01,-5.2965e+05,3.1031e-01,4.8626e+00,3.2571e+05,9.7989e+01,-3.2918e-02,-5.0632e-01,4.3622e+00,5.7256e+00
