logfeh,logdust,logNpix,tau,logl
-2.5065e-01,-4.9968e-01,4.5018e+00,6.2447e-01,-1.4976e+01
-2.3164e-01,-5.0588e-01,4.5043e+00,5.6280e-01,-1.6002e+01
-2.3268e-01,-5.0581e-01,4.5039e+00,2.9992e-01,-1.5505e+01
-2.4206e-01,-5.0261e-01,4.5028e+00,7.7684e-01,-1.5203e+01
-2.5119e-01,-4.9993e-01,4.5009e+00,9.1796e-01,-1.5412e+01
-2.3394e-01,-5.0477e-01,4.5044e+00,5.7686e-01,-1.5239e+01
-2.5114e-01,-5.0000e-01,4.5012e+00,6.2179e-01,-1.5783e+01
-2.3647e-01,-5.0390e-01,4.5027e+00,1.0925e+00,-1.6061e+01
-2.4734e-01,-5.0068e-01,4.5023e+00,3.2313e-01,-1.6264e+01
-2.3987e-01,-5.0308e-01,4.5031e+00,7.6547e-01,-1.3787e+01
-2.3142e-01,-5.0625e-01,4.5039e+00,1.9167e-01,-1.5991e+01
-2.4442e-01,-5.0164e-01,4.5024e+00,7.8498e-01,-1.2894e+01
-2.4392e-01,-5.0207e-01,4.5024e+00,2.2245e-01,-1.5703e+01
-2.3351e-01,-5.0497e-01,4.5033e+00,1.0282e+00,-1.6198e+01
-2.3244e-01,-5.0575e-01,4.5038e+00,8.0183e-01,-1.6010e+01
-2.3929e-01,-5.0345e-01,4.5031e+00,3.4366e-01,-1.4150e+01
-2.3396e-01,-5.0519e-01,4.5038e+00,2.6963e-01,-1.4433e+01
-2.4440e-01,-5.0202e-01,4.5019e+00,7.8325e-01,-1.5836e+01
-2.3878e-01,-5.0304e-01,4.5032e+00,1.0016e+00,-1.4430e+01
-2.3314e-01,-5.0538e-01,4.5039e+00,2.9429e-01,-1.4303e+01
-2.3104e-01,-5.0550e-01,4.5031e+00,1.1907e+00,-1.5822e+01
-2.3581e-01,-5.0431e-01,4.5037e+00,2.6879e-01,-1.5073e+01
-2.3413e-01,-5.0528e-01,4.5037e+00,5.5806e-01,-1.5944e+01
