logfeh_mean,logdust_med,logNpix,tau,dmod,logl
-2.4407e-01,-5.3802e-01,2.0037e+00,2.8310e+00,2.6026e+01,-9.2874e+02
-2.3185e-01,-5.2268e-01,2.0062e+00,3.0045e+00,2.6031e+01,-8.9315e+02
-3.1314e-01,-4.5240e-01,2.0127e+00,2.8467e+00,2.6038e+01,-9.2686e+02
-2.2506e-01,-5.4409e-01,1.9900e+00,2.9656e+00,2.5986e+01,-9.2453e+02
-2.5412e-01,-5.1701e-01,1.9883e+00,2.9559e+00,2.5977e+01,-9.2099e+02
-2.3880e-01,-5.1737e-01,1.9868e+00,2.9811e+00,2.5972e+01,-9.2450e+02
-2.4740e-01,-5.1406e-01,2.0295e+00,2.9523e+00,2.6102e+01,-9.2737e+02
-3.1077e-01,-4.8560e-01,2.0272e+00,2.6599e+00,2.6089e+01,-9.2053e+02
-2.1983e-01,-5.3371e-01,2.0067e+00,3.0401e+00,2.6031e+01,-9.2533e+02
-2.2629e-01,-5.4179e-01,2.0083e+00,2.9709e+00,2.6039e+01,-9.2327e+02
-2.7556e-01,-4.8481e-01,2.0206e+00,3.0013e+00,2.6073e+01,-9.1795e+02
-2.3141e-01,-5.3804e-01,2.0187e+00,2.9535e+00,2.6069e+01,-9.2092e+02
-2.1205e-01,-5.3633e-01,1.9859e+00,3.0308e+00,2.5970e+01,-9.2049e+02
-2.3288e-01,-5.2446e-01,2.0122e+00,2.9701e+00,2.6049e+01,-9.2350e+02
-2.2020e-01,-5.1554e-01,2.0057e+00,3.0807e+00,2.6027e+01,-9.2173e+02
-2.6216e-01,-5.1637e-01,1.9944e+00,2.7865e+00,2.5984e+01,-9.0594e+02
-2.8333e-01,-4.9103e-01,2.0307e+00,2.8816e+00,2.6103e+01,-9.2740e+02
-2.1986e-01,-5.5138e-01,1.9937e+00,2.9538e+00,2.6000e+01,-9.2665e+02
-2.2705e-01,-5.4793e-01,1.9985e+00,2.9366e+00,2.6014e+01,-9.2147e+02
-2.2225e-01,-5.5095e-01,1.9992e+00,2.8776e+00,2.6004e+01,-9.2703e+02
-2.1154e-01,-5.3975e-01,2.0025e+00,3.0665e+00,2.6025e+01,-9.2468e+02
-2.9671e-01,-4.9354e-01,2.0069e+00,2.7504e+00,2.6030e+01,-9.2320e+02
-2.3144e-01,-5.3415e-01,2.0082e+00,2.9382e+00,2.6033e+01,-9.2577e+02
-2.5577e-01,-5.1230e-01,2.0259e+00,2.9731e+00,2.6088e+01,-9.2582e+02
-2.7781e-01,-4.8334e-01,2.0212e+00,2.8715e+00,2.6066e+01,-9.2869e+02
-2.7552e-01,-5.0055e-01,2.0289e+00,2.9290e+00,2.6105e+01,-9.2737e+02
-2.2079e-01,-5.5132e-01,1.9950e+00,3.0190e+00,2.6011e+01,-9.2801e+02
-2.5129e-01,-5.2940e-01,2.0039e+00,2.9054e+00,2.6027e+01,-9.2647e+02
-2.8671e-01,-4.9008e-01,2.0271e+00,2.7945e+00,2.6084e+01,-9.2186e+02
-2.7348e-01,-5.3140e-01,1.9970e+00,2.7436e+00,2.6007e+01,-9.2843e+02
-2.8106e-01,-5.0021e-01,2.0306e+00,2.7960e+00,2.6096e+01,-9.1805e+02
-2.1913e-01,-5.1460e-01,2.0054e+00,3.1027e+00,2.6029e+01,-9.2570e+02
-2.7458e-01,-5.1665e-01,2.0107e+00,2.8350e+00,2.6049e+01,-9.2655e+02
-3.1182e-01,-4.8140e-01,2.0180e+00,2.7390e+00,2.6067e+01,-9.2727e+02
-2.2499e-01,-5.1704e-01,2.0098e+00,3.1218e+00,2.6042e+01,-9.1819e+02
-2.3237e-01,-5.4171e-01,2.0051e+00,2.9786e+00,2.6037e+01,-9.2803e+02
-2.2074e-01,-5.5363e-01,2.0023e+00,2.9281e+00,2.6018e+01,-9.1033e+02
-3.1322e-01,-4.6321e-01,2.0595e+00,2.8665e+00,2.6186e+01,-9.2344e+02
-2.2642e-01,-5.4556e-01,1.9914e+00,2.8919e+00,2.5982e+01,-9.2499e+02
-2.1986e-01,-5.2847e-01,2.0001e+00,3.0497e+00,2.6012e+01,-9.2237e+02
-2.5656e-01,-5.3373e-01,2.0016e+00,2.9107e+00,2.6028e+01,-9.1654e+02
-2.2049e-01,-5.1550e-01,2.0059e+00,3.1186e+00,2.6027e+01,-9.2430e+02
-1.9724e-01,-5.6000e-01,2.0071e+00,3.0618e+00,2.6027e+01,-9.1847e+02
-2.5750e-01,-5.0789e-01,2.0251e+00,2.9940e+00,2.6089e+01,-9.2740e+02
-2.5932e-01,-5.0825e-01,2.0102e+00,2.9913e+00,2.6044e+01,-9.2368e+02
-2.2160e-01,-5.4738e-01,1.9981e+00,3.0232e+00,2.6021e+01,-9.1393e+02
-2.5657e-01,-5.2761e-01,2.0059e+00,2.7883e+00,2.6023e+01,-9.1413e+02
-2.5358e-01,-5.1851e-01,1.9897e+00,2.8176e+00,2.5968e+01,-9.2617e+02
-2.2515e-01,-5.2407e-01,2.0010e+00,3.1386e+00,2.6025e+01,-9.2373e+02
-2.5087e-01,-5.0727e-01,2.0197e+00,3.0027e+00,2.6071e+01,-9.2095e+02
-3.0443e-01,-4.8619e-01,2.0212e+00,2.7496e+00,2.6068e+01,-9.2762e+02
-2.7797e-01,-4.8413e-01,1.9955e+00,2.9463e+00,2.5996e+01,-9.2674e+02
-2.9476e-01,-4.8143e-01,2.0245e+00,2.8655e+00,2.6076e+01,-9.2636e+02
-2.2491e-01,-5.5419e-01,1.9905e+00,2.9047e+00,2.5988e+01,-9.2796e+02
-2.3675e-01,-5.1708e-01,2.0025e+00,2.9678e+00,2.6013e+01,-9.2581e+02
-2.2336e-01,-5.5977e-01,2.0019e+00,2.9324e+00,2.6028e+01,-9.2709e+02
-2.7815e-01,-5.0950e-01,2.0076e+00,2.8256e+00,2.6041e+01,-9.2709e+02
-3.0798e-01,-4.5610e-01,2.0288e+00,2.8749e+00,2.6091e+01,-9.2432e+02
-3.1243e-01,-4.7644e-01,2.0195e+00,2.6948e+00,2.6062e+01,-9.2794e+02
-2.4750e-01,-5.3536e-01,2.0033e+00,2.8783e+00,2.6022e+01,-9.2869e+02
-2.2349e-01,-5.4377e-01,1.9859e+00,2.9653e+00,2.5972e+01,-9.2813e+02
-2.2615e-01,-5.2279e-01,1.9957e+00,3.1060e+00,2.6004e+01,-9.2483e+02
