logfeh_mean,logdust_med,logNpix,tau,logl
-2.2863e-01,-5.2221e-01,1.9974e+00,3.1163e+00,-1.0122e+03
-2.7548e-01,-5.3547e-01,1.9943e+00,2.6480e+00,-9.7581e+02
-2.3481e-01,-5.3060e-01,1.9874e+00,3.1312e+00,-1.0149e+03
-3.4814e-01,-4.6368e-01,2.0030e+00,2.4373e+00,-1.0275e+03
-2.3790e-01,-5.6664e-01,1.9898e+00,2.9151e+00,-9.8342e+02
-2.7637e-01,-5.2316e-01,1.9956e+00,2.7166e+00,-9.8125e+02
-2.2815e-01,-4.9968e-01,1.9923e+00,3.2489e+00,-1.0179e+03
-3.2088e-01,-4.9147e-01,1.9986e+00,2.5371e+00,-1.0202e+03
-3.0725e-01,-5.0900e-01,1.9941e+00,2.7089e+00,-1.0278e+03
-3.0532e-01,-5.1006e-01,1.9974e+00,2.6258e+00,-9.8418e+02
-2.8139e-01,-5.3253e-01,1.9964e+00,2.6066e+00,-9.9645e+02
-2.8465e-01,-4.6679e-01,2.0010e+00,3.0098e+00,-1.0168e+03
-2.3910e-01,-5.7676e-01,1.9960e+00,2.6206e+00,-1.0013e+03
-2.2970e-01,-5.7241e-01,2.0010e+00,2.6656e+00,-1.0031e+03
-2.4921e-01,-5.1426e-01,1.9983e+00,2.8910e+00,-9.8848e+02
-2.7143e-01,-4.9962e-01,2.0038e+00,2.8061e+00,-1.0223e+03
-2.7205e-01,-5.5077e-01,1.9870e+00,2.8041e+00,-1.0286e+03
-2.0063e-01,-5.4428e-01,2.0012e+00,3.0090e+00,-9.5624e+02
-2.2287e-01,-4.9827e-01,1.9994e+00,3.0085e+00,-1.0243e+03
-2.4959e-01,-5.7827e-01,1.9926e+00,2.6902e+00,-9.9825e+02
-2.5710e-01,-5.7557e-01,1.9955e+00,2.5481e+00,-1.0197e+03
-2.8728e-01,-4.7103e-01,1.9977e+00,2.8518e+00,-9.8616e+02
-2.7213e-01,-4.6811e-01,1.9963e+00,3.1147e+00,-1.0239e+03
-2.4564e-01,-4.8807e-01,1.9926e+00,3.1522e+00,-1.0034e+03
-2.0655e-01,-5.4937e-01,1.9956e+00,2.9251e+00,-1.0105e+03
-2.5873e-01,-5.0675e-01,2.0049e+00,2.7121e+00,-1.0271e+03
-2.1848e-01,-6.0212e-01,1.9944e+00,2.7027e+00,-1.0202e+03
-2.2739e-01,-5.8959e-01,1.9987e+00,2.6282e+00,-9.8239e+02
-2.7270e-01,-5.0261e-01,2.0048e+00,2.6249e+00,-1.0113e+03
-2.9133e-01,-5.0142e-01,2.0012e+00,2.7392e+00,-1.0109e+03
-2.0187e-01,-5.8221e-01,1.9889e+00,3.0496e+00,-1.0206e+03
-2.5902e-01,-5.5876e-01,1.9973e+00,2.6496e+00,-9.8511e+02
-2.4293e-01,-5.7291e-01,1.9900e+00,2.8002e+00,-1.0307e+03
-2.2889e-01,-5.5750e-01,2.0011e+00,2.8146e+00,-1.0035e+03
-2.7851e-01,-4.8598e-01,2.0025e+00,2.8083e+00,-9.8509e+02
-2.5754e-01,-5.3854e-01,1.9925e+00,2.7796e+00,-1.0248e+03
-3.4812e-01,-4.5732e-01,2.0066e+00,2.2952e+00,-1.0131e+03
-1.9941e-01,-6.0011e-01,1.9960e+00,2.7751e+00,-9.8869e+02
-2.3871e-01,-5.5343e-01,1.9882e+00,2.9118e+00,-1.0222e+03
-2.7007e-01,-4.8716e-01,1.9940e+00,2.9460e+00,-9.6573e+02
-2.4447e-01,-5.1557e-01,1.9896e+00,3.0389e+00,-1.0242e+03
-2.2763e-01,-5.4285e-01,1.9961e+00,2.9663e+00,-9.7247e+02
-2.5643e-01,-5.2164e-01,1.9947e+00,2.9768e+00,-9.9810e+02
-2.8664e-01,-5.0097e-01,1.9996e+00,2.6489e+00,-1.0124e+03
-2.6168e-01,-5.2116e-01,1.9953e+00,2.9178e+00,-9.7234e+02
-2.2853e-01,-5.3085e-01,1.9905e+00,3.1242e+00,-9.8641e+02
-3.0491e-01,-5.0839e-01,1.9937e+00,2.6232e+00,-1.0244e+03
-3.4237e-01,-4.6119e-01,2.0013e+00,2.6012e+00,-1.0265e+03
-1.9631e-01,-5.9373e-01,1.9923e+00,3.0564e+00,-1.0264e+03
-2.4107e-01,-5.1795e-01,1.9969e+00,3.0214e+00,-9.7266e+02
