logfeh,logdust,logNpix,tau,dmod,logl
-3.5045e-01,-3.9603e-01,4.4281e+00,3.4705e+00,2.5871e+01,-2.5162e+04
9.4898e-02,-5.8967e-01,4.4927e+00,1.4309e+00,2.5812e+01,-9.7333e+03
1.4132e-01,-4.7496e-01,4.8459e+00,3.8368e+00,2.6732e+01,-2.1045e+04
1.9691e-01,-5.5303e-01,4.7259e+00,3.2518e+00,2.6474e+01,-2.3394e+04
-4.6671e-01,-3.3696e-01,4.6166e+00,5.1685e+00,2.6451e+01,-1.4932e+04
-1.7488e-01,-4.0015e-01,4.2792e+00,4.9033e+00,2.5587e+01,-2.8608e+04
-1.0536e-01,-5.3817e-01,4.3972e+00,1.6446e+00,2.5727e+01,-2.6149e+04
-1.6298e-01,-4.2202e-01,4.2398e+00,3.6404e+00,2.5342e+01,-3.2360e+04
-4.8210e-01,-4.1176e-01,4.4642e+00,1.3364e+00,2.5881e+01,-2.9517e+04
-8.1357e-02,-3.2743e-01,4.7816e+00,7.8222e+00,2.6848e+01,-2.9244e+04
6.5494e-02,-4.8206e-01,4.8513e+00,3.7669e+00,2.6801e+01,-2.5521e+04
8.4881e-02,-6.3511e-01,4.4346e+00,9.1936e-01,2.5749e+01,-4.9926e+03
-4.4405e-01,-3.7385e-01,4.7777e+00,4.8943e+00,2.6945e+01,-2.9906e+04
-3.2428e-01,-4.5104e-01,4.5006e+00,3.1941e+00,2.6132e+01,-1.2791e+04
-4.4964e-02,-5.4725e-01,4.4195e+00,1.3757e+00,2.5688e+01,-4.8332e+03
-4.8970e-01,-3.6962e-01,4.9922e+00,3.1170e+00,2.7232e+01,-3.2173e+04
-4.3787e-03,-5.9315e-01,4.3594e+00,2.8216e-01,2.5546e+01,-2.3038e+04
-4.3220e-01,-3.2888e-01,4.2889e+00,5.2789e+00,2.5608e+01,-3.1047e+04
1.3535e-01,-4.7588e-01,4.2770e+00,4.2551e+00,2.5370e+01,-2.9930e+04
3.8539e-02,-6.0702e-01,4.8574e+00,1.0244e+00,2.6802e+01,-1.0308e+04
1.6950e-01,-5.7963e-01,4.4013e+00,2.9880e+00,2.5697e+01,-2.7042e+04
-4.3234e-01,-3.7258e-01,4.3982e+00,4.0955e+00,2.5835e+01,-2.2274e+04
