logfeh_mean,logfeh_std,logdust_med,dust_sig,logNpix,tau,dmod,logl
-4.9647e-02,1.4420e-01,-6.0480e-01,2.3934e-01,1.9177e+00,3.4318e+00,2.7257e+01,-1.3877e+05
1.0140e-01,3.8409e-01,-1.2407e-01,1.5597e-01,3.0040e+00,5.4994e+00,2.8564e+01,-1.5296e+04
-3.8626e-01,1.5352e-01,-5.3792e-01,3.3837e-01,1.2039e+00,2.0411e+00,2.7494e+01,-1.3876e+05
-3.8453e-02,4.8645e-02,-6.3118e-01,3.7459e-01,3.6055e+00,3.2379e+00,2.8944e+01,-1.5584e+05
-1.6021e-01,3.6570e-01,-3.9053e-01,3.0726e-01,1.2570e+00,7.9153e+00,2.6096e+01,-1.2529e+05
-3.2109e-01,6.5731e-02,-1.2207e-01,7.6264e-02,1.3508e+00,3.7228e+00,2.6759e+01,-1.2842e+05
-4.6448e-01,2.7645e-01,-4.0538e-01,2.2266e-01,1.1733e+00,4.5353e+00,2.6648e+01,-1.2770e+05
-3.3784e-01,2.7836e-01,-2.3944e-01,1.4382e-01,3.0867e+00,6.8261e+00,2.9361e+01,-3.0242e+04
9.2893e-02,3.9699e-01,-4.1198e-02,3.2095e-01,2.1410e+00,5.0368e+00,2.7390e+01,-1.3513e+05
-4.9422e-01,3.9001e-01,-4.5659e-01,5.9173e-02,1.0735e+00,6.8581e+00,2.7864e+01,-1.4084e+05
5.3892e-02,2.4318e-01,-5.2837e-01,6.0708e-02,1.9169e+00,7.2097e+00,2.7084e+01,-1.2727e+05
-9.8111e-02,2.2359e-02,-6.9936e-01,1.8602e-01,3.4486e+00,7.3538e+00,2.8129e+01,-1.5640e+05
-2.9549e-01,2.8518e-01,-4.8763e-01,1.2842e-01,2.4516e+00,3.4612e+00,2.7097e+01,-1.6858e+04
-7.3693e-02,2.2073e-01,-4.8571e-02,2.0254e-01,3.0102e+00,4.3413e+00,2.9096e+01,-1.2505e+05
-2.6670e-01,2.0066e-01,-7.9903e-02,1.8676e-01,2.2868e+00,1.1214e+00,2.5652e+01,-8.9297e+04
-2.9438e-01,5.9805e-02,-2.1743e-01,3.9134e-01,3.4754e+00,3.9195e+00,2.6107e+01,-1.5990e+05
-1.5664e-01,3.6975e-01,-1.2093e-01,1.1599e-01,2.3920e+00,1.5425e+00,2.9509e+01,-1.4108e+05
-4.2960e-01,3.3625e-01,-5.6975e-02,1.9217e-01,1.1578e+00,4.6975e-01,2.5790e+01,-1.2737e+05
-2.4862e-01,2.6987e-01,-9.2666e-01,4.0902e-02,2.2928e+00,4.7648e+00,2.9269e+01,-1.4217e+05
-2.8470e-01,8.5766e-02,-8.6598e-01,3.9797e-01,1.7180e+00,2.6086e+00,2.7841e+01,-1.3598e+05
-4.9299e-01,3.6225e-01,-2.2759e-02,2.3162e-01,1.3391e+00,2.7307e+00,2.8642e+01,-1.5170e+05
1.3810e-01,3.2124e-01,-8.8941e-01,1.5714e-01,1.2348e+00,1.2438e+00,2.6106e+01,-1.3235e+05
-4.1883e-01,5.7486e-02,-7.9287e-01,1.0189e-01,2.5860e+00,1.8489e+00,2.8615e+01,-1.3699e+05
-3.3310e-01,3.9390e-01,-7.5406e-01,3.6934e-01,1.3514e+00,4.9719e+00,2.5974e+01,-1.2498e+05
1.6792e-01,3.8984e-01,-4.0659e-01,1.5911e-01,2.2924e+00,6.9842e+00,2.6078e+01,-1.1033e+05
5.1209e-02,1.5894e-01,-1.9840e-01,3.1744e-01,3.8054e+00,5.0199e+00,2.7468e+01,-1.5955e+05
1.3040e-01,2.9060e-01,-5.5609e-01,3.1793e-02,2.4530e+00,5.8727e+00,2.7378e+01,-9.6636e+03
-1.3759e-02,2.6146e-01,-3.2320e-01,1.0568e-01,3.1957e+00,6.1953e+00,2.6655e+01,-1.5556e+05
-5.2683e-02,2.3933e-01,-6.7152e-01,5.8664e-02,4.1486e+00,7.7190e+00,2.9852e+01,-1.5891e+05
1.9786e-01,2.9542e-01,-2.8332e-01,3.5610e-02,2.7579e+00,2.3284e+00,2.6675e+01,-1.2130e+05
1.8098e-01,3.5128e-02,-4.9164e-01,1.1002e-01,2.3467e+00,6.9096e+00,2.5349e+01,-1.4588e+05
-3.8168e-01,2.3321e-01,-2.5992e-01,2.8595e-01,1.9221e+00,1.9989e+00,2.5544e+01,-3.6403e+03
-2.3619e-01,2.5945e-01,-6.4217e-01,1.0087e-01,1.8933e+00,3.4146e+00,2.5365e+01,-5.1298e+04
-1.1871e-02,3.0716e-01,-6.7899e-02,1.6303e-01,2.1877e+00,3.0384e+00,2.9138e+01,-1.3933e+05
1.7585e-01,1.8238e-01,-9.9781e-01,3.5947e-02,1.5671e+00,4.8261e+00,2.5532e+01,-8.3733e+04
4.8514e-03,1.2872e-01,-4.9803e-01,1.9508e-01,1.0330e+00,2.1180e+00,2.5704e+01,-1.2986e+05
-7.7544e-02,3.4502e-02,-4.3448e-01,2.7037e-01,1.7331e+00,6.3995e+00,2.8062e+01,-1.3193e+05
-8.3260e-02,2.5921e-01,-3.1382e-01,1.1135e-01,4.1517e+00,6.8662e+00,2.8639e+01,-1.5965e+05
1.9259e-02,1.9949e-01,-1.4313e-01,2.7260e-01,2.3335e+00,4.1933e+00,2.6973e+01,-4.9513e+04
-2.2064e-01,3.7651e-01,-5.1901e-01,3.7251e-01,3.7192e+00,7.3990e+00,2.8854e+01,-1.5761e+05
-4.6857e-01,8.6191e-02,-4.3460e-01,8.5699e-02,3.2664e+00,4.1606e+00,2.9344e+01,-5.0252e+04
4.0260e-02,3.6336e-01,-7.2239e-01,1.1753e-01,3.7988e+00,7.2224e+00,2.9918e+01,-1.5646e+05
-3.1253e-01,1.1480e-01,-3.9055e-01,3.2284e-02,3.1581e+00,5.1630e+00,2.6876e+01,-1.5600e+05
2.4006e-01,1.8408e-01,-4.2577e-01,2.2035e-01,1.7906e+00,1.4091e+00,2.7505e+01,-1.3689e+05
2.4265e-01,1.6972e-01,-2.8599e-01,8.6844e-02,1.2828e+00,1.3452e+00,2.5808e+01,-1.3069e+05
-2.8727e-01,2.2395e-01,-2.2676e-01,3.5453e-01,3.5496e+00,6.8356e+00,2.7990e+01,-1.5713e+05
-4.1888e-01,8.1581e-02,-2.8202e-01,2.1380e-01,1.7448e+00,2.6898e+00,2.8755e+01,-1.3887e+05
-3.0262e-01,3.4424e-01,-3.7622e-01,6.4528e-02,1.4414e+00,5.9302e+00,2.8844e+01,-1.4451e+05
-1.1686e-01,3.8774e-01,-8.0540e-01,3.6515e-02,2.4694e+00,4.7260e+00,2.9435e+01,-1.4468e+05
4.0369e-02,1.8023e-01,-3.4899e-01,3.4070e-01,3.5882e+00,7.7209e+00,2.5383e+01,-1.6003e+05
-6.2746e-02,3.3750e-01,-7.5352e-01,1.1979e-01,1.5122e+00,6.3430e+00,2.7235e+01,-1.3115e+05
2.2569e-01,3.7341e-01,-8.1532e-01,2.5673e-01,2.6519e+00,2.9682e+00,2.5183e+01,-1.5460e+05
-2.2535e-01,2.4947e-01,-1.8542e-01,9.6669e-02,2.9830e+00,1.0226e+00,2.5505e+01,-1.5782e+05
-1.1933e-01,2.8053e-02,-5.6648e-01,1.8960e-01,1.9553e+00,6.6589e+00,2.8724e+01,-1.3517e+05
-6.0141e-02,2.0729e-01,-5.1264e-01,1.2136e-01,3.4200e+00,6.0530e+00,2.6353e+01,-1.5818e+05
-1.0827e-01,5.7365e-02,-2.8636e-01,3.5594e-01,3.2682e+00,7.9564e+00,2.5894e+01,-1.5616e+05
-4.9085e-01,1.9366e-01,-6.8248e-02,3.4149e-01,2.8933e+00,7.2302e+00,2.6130e+01,-1.5220e+05
-2.7188e-01,2.9170e-01,-2.7591e-01,2.7097e-02,2.1433e+00,4.6858e+00,2.9654e+01,-1.3861e+05
-2.4575e-01,6.5632e-02,-4.8373e-01,2.8570e-01,2.1946e+00,6.9067e+00,2.9529e+01,-1.3627e+05
-4.1160e-01,2.1660e-02,-3.2882e-01,2.3012e-01,2.2313e+00,1.3027e+00,2.7073e+01,-8.9474e+04
-1.4115e-01,3.9513e-01,-8.7589e-01,1.3491e-01,2.6813e+00,4.7870e+00,2.7714e+01,-7.2868e+04
1.2519e-01,1.6058e-01,-6.3443e-02,2.0356e-01,1.5013e+00,7.7192e+00,2.5085e+01,-8.2320e+04
1.7086e-01,1.8242e-01,-9.6931e-01,1.4375e-01,1.5733e+00,3.2032e+00,2.7003e+01,-1.3505e+05
-1.8109e-01,7.2780e-02,-7.8381e-01,3.1059e-01,1.2184e+00,3.9720e+00,2.5903e+01,-1.2708e+05
-1.6322e-01,3.4785e-01,-4.2686e-01,1.2943e-01,2.4407e+00,5.6958e-01,2.9678e+01,-1.4243e+05
2.3455e-02,1.1815e-01,-8.4192e-02,2.2230e-01,3.2319e+00,2.6499e+00,2.6693e+01,-1.5844e+05
-2.5077e-01,3.9195e-01,-7.9678e-01,2.7347e-01,3.2991e+00,5.1060e-01,2.7714e+01,-1.5970e+05
1.7485e-02,3.0472e-01,-3.9547e-01,3.1872e-01,2.1716e+00,2.4530e+00,2.9413e+01,-1.4153e+05
-3.9834e-01,6.8285e-02,-5.8602e-01,2.5463e-01,1.5291e+00,7.7984e+00,2.5903e+01,-9.7144e+04
7.0262e-02,2.0322e-01,-2.3192e-01,1.3510e-01,1.0607e+00,3.7606e+00,2.8517e+01,-1.5844e+05
-4.5047e-01,2.7422e-01,-6.5452e-01,2.4485e-01,1.9162e+00,2.2138e+00,2.9664e+01,-1.4439e+05
2.0764e-01,2.1798e-01,-1.3402e-01,8.0777e-02,2.8676e+00,6.7942e+00,2.7444e+01,-1.0651e+05
1.1497e-01,3.5919e-01,-2.3042e-01,3.4536e-02,2.7856e+00,1.3253e+00,2.8830e+01,-1.5114e+05
-1.4280e-01,8.4321e-02,-9.3683e-01,3.2245e-02,1.9697e+00,9.9038e-01,2.7025e+01,-1.3382e+05
-4.6845e-01,3.7209e-01,-6.4737e-02,3.2796e-01,1.7534e+00,4.7398e+00,2.9518e+01,-1.4695e+05
2.2551e-01,4.5665e-02,-6.8241e-01,2.8481e-01,3.5611e+00,5.0977e+00,2.9144e+01,-1.4559e+05
3.4833e-02,1.4748e-01,-8.3231e-01,3.1058e-01,2.4373e+00,7.9524e-01,2.8648e+01,-1.4787e+05
1.6079e-01,3.5680e-02,-8.2513e-01,1.7964e-01,2.3624e+00,4.5367e-01,2.5564e+01,-1.3711e+05
-1.7147e-01,4.7008e-02,-1.8375e-01,3.4912e-01,1.5245e+00,1.6264e+00,2.7187e+01,-1.3265e+05
8.1017e-03,3.8433e-01,-1.5896e-01,2.5939e-01,2.7681e+00,7.9699e+00,2.5394e+01,-1.5061e+05
-4.6090e-01,5.5237e-02,-1.1301e-01,8.3897e-02,2.4515e+00,5.2688e+00,2.8024e+01,-1.0748e+05
-3.2337e-01,2.6066e-01,-7.3158e-01,8.4814e-02,2.9156e+00,4.2574e+00,2.6291e+01,-1.5536e+05
1.4715e-01,3.0914e-02,-9.7871e-02,1.0989e-01,1.5143e+00,2.6112e+00,2.9244e+01,-1.5883e+05
1.2422e-01,1.5135e-01,-7.6003e-01,2.2360e-01,2.0859e+00,3.7200e-01,2.8135e+01,-1.4195e+05
-1.4360e-01,3.5394e-01,-8.3253e-02,1.9405e-01,2.5385e+00,6.8492e+00,2.9235e+01,-1.4313e+05
-2.3632e-01,1.8832e-01,-4.2051e-01,2.5467e-01,1.7085e+00,6.9334e+00,2.8551e+01,-1.3202e+05
-3.7203e-01,3.4493e-01,-9.8014e-01,2.6384e-01,1.6493e+00,2.1346e+00,2.6713e+01,-1.3429e+05
-4.9539e-01,1.8665e-01,-2.0296e-01,2.7675e-01,3.1801e+00,4.5574e+00,2.5070e+01,-1.5838e+05
1.3967e-01,2.6920e-01,-6.8790e-01,2.3474e-01,2.1907e+00,4.7045e+00,2.8999e+01,-1.3958e+05
-2.3210e-01,3.8484e-01,-7.7620e-01,1.0038e-01,1.6157e+00,4.0176e+00,2.6306e+01,-1.2243e+05
1.1604e-01,1.3257e-01,-4.9532e-01,3.9273e-01,2.5697e+00,7.9046e+00,2.9090e+01,-1.4515e+05
-4.8159e-01,1.1780e-01,-5.8988e-01,2.3192e-02,2.8862e+00,6.8341e+00,2.9616e+01,-1.2645e+05
1.9543e-01,2.7816e-01,-5.0674e-01,7.1899e-02,2.8652e+00,5.3400e+00,2.8642e+01,-5.3831e+04
-2.1450e-01,3.3639e-01,-2.8804e-01,1.5490e-01,1.0985e+00,5.5787e+00,2.7106e+01,-1.3316e+05
1.4376e-01,2.3853e-01,-5.9938e-02,3.5450e-01,2.8326e+00,2.3675e-01,2.5343e+01,-1.5620e+05
-2.5954e-01,2.4507e-01,-3.8995e-01,2.1472e-01,1.5790e+00,7.0268e+00,2.8691e+01,-1.3594e+05
-2.2001e-01,3.3490e-01,-9.0976e-01,4.4321e-02,3.0236e+00,7.4741e+00,2.5745e+01,-1.5573e+05
-9.9174e-02,3.4091e-01,-7.1066e-01,2.6632e-01,3.1023e+00,9.8572e-01,2.9529e+01,-1.4871e+05
-1.0552e-03,2.1086e-01,-5.9079e-01,2.9664e-01,1.6884e+00,3.1372e+00,2.6335e+01,-1.3133e+05
-2.6883e-01,8.7375e-02,-5.1744e-01,2.5929e-01,1.2382e+00,1.6554e+00,2.6396e+01,-1.3105e+05
3.0865e-02,1.4442e-01,-5.7471e-01,2.8781e-01,1.6363e+00,3.5713e+00,2.8147e+01,-1.3600e+05
1.9379e-01,1.5566e-01,-1.8087e-01,2.6325e-01,3.8602e+00,5.9335e+00,2.9855e+01,-1.3978e+05
-3.1546e-01,3.6181e-02,-7.5220e-01,3.7106e-02,3.8218e+00,6.6942e+00,2.9671e+01,-1.5748e+05
-1.7543e-01,1.9983e-01,-5.2023e-01,5.7277e-02,2.6563e+00,7.5308e+00,2.7952e+01,-4.6065e+04
1.5964e-01,2.0997e-01,-8.5748e-02,1.7672e-01,1.8015e+00,5.1842e+00,2.6999e+01,-1.3351e+05
-3.9326e-02,1.8618e-01,-4.0690e-01,3.8155e-01,3.2125e+00,7.2395e+00,2.5693e+01,-1.5607e+05
-3.9295e-01,1.7531e-01,-4.2853e-01,1.0885e-01,2.8808e+00,5.4707e+00,2.8167e+01,-8.4318e+04
-1.8289e-01,1.0530e-01,-5.9889e-01,3.5943e-01,2.5569e+00,5.9368e+00,2.7780e+01,-2.3091e+04
-1.6703e-01,3.7141e-01,-3.2857e-01,5.0979e-02,3.2906e+00,1.0532e+00,3.0000e+01,-1.5478e+05
5.8429e-02,3.2361e-01,-4.3243e-01,3.7895e-01,4.3958e+00,7.8032e+00,2.9545e+01,-1.5986e+05
-2.4976e-01,3.0082e-01,-5.4107e-01,2.2981e-01,1.1182e+00,1.6726e-01,2.6600e+01,-1.3259e+05
-2.7619e-01,2.7052e-01,-4.0486e-01,3.9406e-01,3.4625e+00,1.3223e+00,2.9157e+01,-1.0508e+05
1.1177e-01,5.4976e-02,-1.1221e-01,2.6247e-02,4.4557e+00,7.2003e+00,2.9252e+01,-1.5993e+05
-3.6824e-01,1.0953e-01,-4.0626e-01,3.9006e-02,2.1938e+00,1.7553e+00,2.5784e+01,-8.0189e+04
-3.6324e-01,8.6605e-02,-9.9868e-01,1.4848e-01,2.0005e+00,5.6330e+00,2.6802e+01,-6.6308e+04
-3.2436e-01,3.3685e-01,-9.0148e-01,9.7910e-02,1.9389e+00,4.8161e+00,2.8142e+01,-1.3826e+05
2.3699e-01,8.7000e-02,-2.0002e-01,7.9000e-02,2.4440e+00,7.6451e+00,2.5651e+01,-1.4378e+05
-2.9537e-01,3.2746e-01,-3.4343e-02,5.5120e-02,3.3337e+00,3.3029e+00,2.9497e+01,-3.7817e+04
-4.3641e-01,8.8832e-02,-9.4933e-01,1.3449e-01,1.7607e+00,1.6798e-01,2.5638e+01,-2.9769e+04
-4.1535e-01,2.9756e-01,-7.6062e-01,3.6260e-01,2.3141e+00,7.0049e+00,2.6183e+01,-1.4485e+05
