logfeh_mean,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-3.5636e-01,-3.7789e-01,-1.8909e+00,-1.6307e-01,4.3622e-01,6.5378e-01,1.4885e+00,-1.0155e+05
1.0140e-01,-4.1861e-02,-1.0144e+00,-1.0182e+00,-1.2174e-01,1.4755e+00,2.3609e+00,-6.8379e+04
-2.2231e-01,-4.3880e-01,-1.7601e+00,-1.7063e+00,4.2192e-01,1.8739e+00,1.6653e+00,-7.7521e+04
1.1654e-01,-5.4476e-01,-1.9988e+00,1.8491e-01,3.4122e-01,1.1639e+00,1.9791e+00,-8.1873e+03
-2.6237e-01,-4.3190e-01,-1.0281e+00,-8.6144e-01,4.8056e-01,3.9613e-01,2.3441e+00,-1.1286e+05
2.8436e-02,-7.8121e-01,-9.1658e-01,-8.4951e-01,6.9490e-01,2.2821e-01,1.3041e+00,-1.1267e+05
-4.6448e-01,-3.2512e-01,-1.5771e+00,-6.6717e-01,-1.0371e+00,1.2315e+00,1.5949e+00,-7.4931e+04
-2.3782e-01,-1.8727e-01,-1.1441e+00,-5.8467e-01,-7.4036e-01,1.6983e+00,1.6679e+00,-5.9151e+03
9.2893e-02,-7.9185e-03,-8.4871e-01,-1.4986e-01,-5.5323e-01,1.3584e+00,1.8917e+00,-5.3779e+04
-3.5324e-01,-6.1768e-01,-2.6586e+00,-8.3049e-01,8.4028e-01,3.5648e-01,1.1743e+00,-1.0163e+05
5.3892e-02,-4.1270e-01,-1.8230e+00,-1.5195e+00,-6.6529e-01,1.9085e+00,1.7690e+00,-4.6724e+04
1.2563e-01,-3.4237e-01,-1.4703e+00,-2.0046e-03,-8.7114e-01,1.7659e+00,2.2640e+00,-1.0098e+05
2.9498e-02,-8.5017e-01,-1.2742e+00,-7.1773e-02,1.4372e-01,9.8521e-01,1.2407e+00,-1.1256e+05
-2.8266e-01,-4.9426e-01,-2.0610e+00,-1.1143e+00,-5.9893e-01,1.5550e+00,1.3171e+00,-4.4878e+04
-1.3759e-02,-3.6457e-01,-1.4127e+00,-1.2828e+00,-2.5872e-02,1.6517e+00,1.5976e+00,-6.5952e+03
-3.8963e-01,-9.7035e-01,-1.5785e+00,-1.5057e+00,7.7789e-01,7.6001e-01,1.3228e+00,-9.0891e+04
-8.7697e-02,-4.7760e-01,-1.2857e+00,-6.0942e-01,-4.0181e-02,8.5331e-01,1.7962e+00,-6.6597e+04
-1.3743e-01,-1.9089e-01,-1.7525e+00,-4.3387e-01,5.2559e-01,1.3166e+00,1.5542e+00,-7.0593e+04
-5.8207e-02,-5.5400e-01,-1.8926e+00,-1.4450e+00,-9.8929e-01,1.9209e+00,1.0161e+00,-3.5399e+04
-2.8470e-01,-8.2693e-01,-2.4983e+00,2.5552e-01,-7.6473e-01,7.4369e-01,2.0721e+00,-7.8776e+04
-4.9299e-01,-9.9351e-02,-8.1183e-01,-6.2000e-01,-9.5418e-01,7.7460e-01,2.3924e+00,-1.1350e+05
-3.9317e-01,-4.4753e-01,-2.2202e+00,2.1520e-01,2.1184e-01,6.1990e-01,1.1522e+00,-1.1502e+05
8.2136e-02,-2.1752e-01,-1.2431e+00,9.5019e-02,1.9352e-01,1.2453e+00,1.3390e+00,-1.0819e+05
2.3722e-02,-4.7805e-02,-9.8639e-01,2.5335e-01,5.1368e-01,1.1988e+00,1.8380e+00,-4.1080e+04
1.6792e-01,-2.6735e-02,-1.5795e+00,-1.0016e+00,-4.7754e-01,1.8514e+00,1.3668e+00,-2.5369e+04
5.1209e-02,-6.3438e-01,-1.1631e+00,-1.6832e-01,2.7898e-01,1.3541e+00,1.9229e+00,-8.4964e+03
1.3040e-01,-2.8790e-01,-1.8785e+00,-1.6717e+00,-3.9725e-01,1.5700e+00,1.8867e+00,-2.5409e+04
-2.4169e-01,-3.5912e-01,-2.5139e+00,-1.3909e+00,3.5044e-01,3.6265e-01,1.6748e+00,-1.0228e+05
-2.2318e-01,-1.9444e-02,-2.1127e+00,-9.5350e-01,-7.3981e-02,1.9572e+00,1.9617e+00,-8.4366e+04
-4.9968e-01,-3.5791e-01,-1.0664e+00,-1.0547e+00,-8.3844e-01,1.4738e+00,2.0832e+00,-7.7060e+04
-4.3735e-01,-2.3915e-01,-1.7478e+00,-4.1169e-01,1.3690e-01,8.5045e-01,1.8290e+00,-4.3218e+04
-3.5344e-01,-2.3890e-01,-2.5189e+00,-1.0795e+00,5.4356e-01,1.1859e+00,1.0125e+00,-1.1187e+05
-3.6066e-01,-5.6796e-01,-1.9312e+00,-1.1014e+00,6.8268e-01,1.2793e+00,1.3267e+00,-6.2928e+04
-9.9903e-02,-3.8570e-01,-1.4755e+00,9.7892e-03,-1.9573e-04,4.0675e-01,1.3885e+00,-1.1960e+05
1.8098e-01,-9.6019e-01,-1.7496e+00,-1.2600e+00,-4.5039e-01,1.8325e+00,1.0752e+00,-1.4605e+04
-3.1483e-01,-4.9515e-01,-9.6414e-01,-4.6451e-01,-5.0531e-01,2.0424e+00,1.0160e+00,-1.1827e+05
