niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod
1.0000e+00,1.0000e+00,1.9960e-01,-1.6493e+05,-1.6493e+05,-1.9980e-03,-1.6493e+05,1.1750e-01,6.9098e+00,inf,1.8379e+03,1.0675e-01,-3.8560e-01,-1.1585e+00,-1.7645e-01,-1.5508e-01,3.6337e-01,9.8662e-01,2.9634e+01
2.0000e+00,1.0000e+00,3.9841e-01,-1.6464e+05,-1.6465e+05,-3.9960e-03,-1.6465e+05,1.1751e-01,6.9118e+00,1.6061e+05,1.8413e+03,-4.5041e-02,-2.9213e-01,-2.1379e+00,-8.4208e-01,-5.2155e-01,9.8316e-01,1.0371e+00,2.9768e+01
3.0000e+00,1.0000e+00,5.9642e-01,-1.6333e+05,-1.6333e+05,-5.9940e-03,-1.6333e+05,1.1753e-01,6.9138e+00,1.6032e+05,1.8449e+03,1.1328e-01,-1.8827e-02,-2.0617e+00,-1.5725e+00,4.8778e-01,4.1840e-01,1.6955e+00,2.9913e+01
4.0000e+00,1.0000e+00,7.9365e-01,-1.6328e+05,-1.6329e+05,-7.9920e-03,-1.6329e+05,1.1755e-01,6.9157e+00,1.5901e+05,1.8489e+03,2.0136e-01,-7.8608e-03,-1.6660e+00,-9.9948e-02,-3.8543e-01,6.6363e-01,1.4036e+00,2.9575e+01
5.0000e+00,1.0000e+00,9.9010e-01,-1.6275e+05,-1.6276e+05,-9.9900e-03,-1.6276e+05,1.1757e-01,6.9177e+00,1.5896e+05,1.8524e+03,-3.4759e-01,-3.3297e-01,-1.6167e+00,-1.6298e+00,-3.8054e-02,5.2449e-01,1.1177e+00,2.9349e+01
6.0000e+00,1.0000e+00,1.1858e+00,-1.6275e+05,-1.6275e+05,-1.1988e-02,-1.6275e+05,1.1749e-01,6.9084e+00,1.5844e+05,1.8565e+03,-3.7305e-01,-9.3683e-01,-2.7019e+00,-1.2489e+00,-8.9832e-01,9.1857e-01,1.0197e+00,2.9633e+01
7.0000e+00,1.0000e+00,1.3807e+00,-1.6247e+05,-1.6247e+05,-1.3986e-02,-1.6247e+05,1.1760e-01,6.9217e+00,1.5843e+05,1.8605e+03,-4.1444e-01,-2.9465e-01,-2.0469e+00,-8.8793e-01,-4.9665e-01,1.2452e+00,1.0027e+00,2.9884e+01
8.0000e+00,1.0000e+00,1.5748e+00,-1.6238e+05,-1.6239e+05,-1.5984e-02,-1.6239e+05,1.1762e-01,6.9237e+00,1.5815e+05,1.8640e+03,-3.0628e-01,-8.4192e-02,-1.7016e+00,-6.1786e-01,-4.7819e-01,7.8585e-01,1.6001e+00,2.9894e+01
9.0000e+00,1.0000e+00,1.7682e+00,-1.6213e+05,-1.6214e+05,-1.7982e-02,-1.6214e+05,1.1763e-01,6.9257e+00,1.5806e+05,1.8675e+03,1.3673e-01,-4.7673e-01,-1.1430e+00,-6.9809e-01,7.7128e-01,3.9564e-01,1.0458e+00,2.9674e+01
1.0000e+01,1.0000e+00,1.9608e+00,-1.6096e+05,-1.6096e+05,-1.9980e-02,-1.6096e+05,1.1765e-01,6.9277e+00,1.5782e+05,1.8710e+03,-1.2007e-01,-7.0880e-01,-1.4230e+00,-1.6831e+00,-4.7610e-01,2.9439e-01,1.3040e+00,2.9147e+01
