run_name,logl_mean
b1-m1,-657.595
b2-m1,-467.753
b3-m1,-279.607
b4-m1,-578.682
b5-m1,-566.421
b6-m1,-685.865
b7-m1,-498.633
b8-m1,-521.551
b9-m1,-203.910
d1-m1,-997.540
d2-m1,-972.962
d3-m1,-993.524
d4-m1,-958.816
d5-m1,-1008.759
d6-m1,-1038.299
d7-m1,-1045.050
d8-m1,-1056.723
d9-m1,-1102.926
d10-m1,-957.373
b1-m2,-509.957
b2-m2,-309.371
b3-m2,-188.591
b4-m2,-556.719
b5-m2,-534.900
b6-m2,-441.973
b7-m2,-272.085
b8-m2,-324.853
b9-m2,-177.179
d1-m2,-711.880
d2-m2,-694.350
d3-m2,-614.981
d4-m2,-648.154
d5-m2,-657.612
d6-m2,-613.148
d7-m2,-634.118
d8-m2,-763.428
d9-m2,-705.259
d10-m2,-710.184
b1-m3,-604.474
b2-m3,-399.636
b3-m3,-238.889
b4-m3,-600.842
b5-m3,-486.326
b6-m3,-629.541
b7-m3,-495.025
b8-m3,-542.489
b9-m3,-190.121
d1-m3,-1062.409
d4-m3,-971.751
d5-m3,-1015.640
b1-m4,-433.325
b2-m4,-316.481
b3-m4,-186.151
b4-m4,-529.164
b5-m4,-586.120
b6-m4,-360.212
b7-m4,-278.776
b8-m4,-303.150
b9-m4,-130.308
d1-m4,-640.291
d4-m4,-711.737
d5-m4,-666.567
