run_name,logl_mean,logl_true
mock_1,-984.508,-1046.731
mock_2,-59.996,-77.250
mock_3,-932.660,-947.322
mock_4,-47.115,-413.066
mock_5,-962.763,-1008.118
mock_6,-955.299,-1023.575
mock_7,-994.025,-1272.267
mock_8,-969.114,-1209.433
mock_9,928943.272,928901.284
mock_10,-886.041,-924.587
mock_11,-851.325,-985.576
mock_12,-45.957,-885.778
mock_13,-68.048,-914.625
mock_14,-50.168,-122.252
mock_15,-46.547,-1425.828
mock_16,-64.958,-2748.222
mock_17,-80.812,-11896.041
mock_18,-1002.799,-1002.345
mock_19,-932.967,-988.826
mock_20,-995.552,-1016.024
mock_21,-935.936,-999.002
mock_22,-967.364,-1014.742
mock_23,-965.609,-974.255
mock_24,-1031.819,-1006.930
mock_25,-427.818,-411.581
mock_26,-123.514,-168.572
mock_27,-117.522,-205.592
mock_28,-104.607,-93.194
mock_29,-472.623,-440.221
mock_30,-2860.654,-2938.750
mock_31,-401.920,-880.041
mock_32,-2888.628,-3143.640
mock_33,-944.780,-1006.814
mock_34,-972.056,-1011.325
mock_35,-907.245,-1071.970
mock_36,-932.920,-1102.297
mock_37,-1042.530,-1098.004
mock_38,-962.276,-1100.519
mock_39,-941.469,-1202.541
mock_40,-903.850,-1081.079
mismatch_1,-997.721,-1071.568
mismatch_2,-1019.655,-80073.892
mismatch_3,-940.610,-999.241
mismatch_4,-952.024,-1046.753
mismatch_5,-1016.821,-82259.955
mismatch_6,-685.341,-139887.624
mismatch_7,-1162.425,-14506.093
mismatch_8,-1093.005,-6260.617
mismatch_9,-836.336,-9373.499
mismatch_10,-910.451,-1144.947
mismatch_11,-956.820,-1134.047
